Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.45,4.66,4.41,4.65,4.65,762621
2010-01-05,4.63,4.72,4.62,4.7,4.7,319744
2010-01-06,5.05,5.95,5.03,5.84,5.84,8492695
2010-01-07,5.67,6.05,5.46,5.66,5.66,4128518
2010-01-08,5.58,5.8,5.43,5.56,5.56,1775728
2010-01-11,5.64,6.36,5.52,6.19,6.19,4671816
2010-01-12,6.08,6.43,5.91,5.93,5.93,2552212
2010-01-13,6.06,6.4,6.0,6.27,6.27,1992256
2010-01-14,6.26,6.69,6.26,6.39,6.39,2507608
2010-01-15,6.43,6.43,5.99,6.29,6.29,1663489
2010-01-19,6.33,6.687,6.29,6.32,6.32,1674102
2010-01-20,6.35,6.36,6.1101,6.25,6.25,746823
2010-01-21,6.23,6.28,5.86,5.88,5.88,1278720
2010-01-22,5.78,6.09,5.58,5.74,5.74,1237689
2010-01-25,5.83,5.93,5.64,5.8,5.8,811298
2010-01-26,5.77,5.87,5.65,5.82,5.82,1071312
2010-01-27,5.8,5.95,5.78,5.92,5.92,842636
2010-01-28,5.9,5.96,5.8,5.9,5.9,573023
2010-01-29,5.945,6.0,5.56,5.64,5.64,1259554
2010-02-01,5.83,5.91,5.66,5.89,5.89,587090
2010-02-02,5.84,5.98,5.8333,5.97,5.97,505626
2010-02-03,5.95,6.0,5.81,5.85,5.85,771599
2010-02-04,5.78,5.8,5.63,5.63,5.63,721268
2010-02-05,5.595,5.65,5.33,5.47,5.47,931357
2010-02-08,5.57,5.67,5.47,5.51,5.51,395835
2010-02-09,5.56,5.71,5.549,5.66,5.66,414768
2010-02-10,5.73,5.77,5.58,5.67,5.67,330651
2010-02-11,5.64,5.84,5.56,5.77,5.77,450514
2010-02-12,5.61,5.72,5.57,5.72,5.72,544476
2010-02-16,5.76,5.99,5.73,5.95,5.95,693679
2010-02-17,6.0,6.5,5.9895,6.41,6.41,1676429
2010-02-18,6.48,6.61,6.32,6.58,6.58,1898882
2010-02-19,6.82,7.34,6.82,7.15,7.15,5253646
2010-02-22,7.16,7.88,7.15,7.63,7.63,3894449
2010-02-23,7.48,7.7,6.94,6.97,6.97,4436427
2010-02-24,7.01,7.26,7.0,7.23,7.23,1316965
2010-02-25,7.03,7.29,6.9501,7.25,7.25,1334916
2010-02-26,7.28,7.75,7.27,7.56,7.56,2243288
2010-03-01,7.25,7.27,6.88,6.98,6.98,3408656
2010-03-02,7.05,7.1,6.79,7.02,7.02,1430716
2010-03-03,7.04,7.09,6.8,6.93,6.93,1132642
2010-03-04,6.92,7.02,6.68,6.78,6.78,1507836
2010-03-05,6.84,6.99,6.79,6.97,6.97,1049505
2010-03-08,7.06,7.1,6.87,6.99,6.99,955502
2010-03-09,6.95,7.35,6.95,7.15,7.15,2017264
2010-03-10,7.2,7.29,7.02,7.07,7.07,1175159
2010-03-11,7.06,7.16,7.0,7.03,7.03,833676
2010-03-12,7.1,7.1,6.91,6.94,6.94,1168845
2010-03-15,6.97,7.09,6.86,6.89,6.89,885749
2010-03-16,6.88,6.96,6.77,6.78,6.78,973994
2010-03-17,6.85,6.88,6.68,6.7,6.7,1020783
2010-03-18,6.75,6.78,6.39,6.39,6.39,1849477
2010-03-19,6.49,6.49,6.32,6.32,6.32,1375573
2010-03-22,6.27,6.48,6.15,6.44,6.44,787608
2010-03-23,6.42,6.6,6.4001,6.6,6.6,839581
2010-03-24,6.58,6.72,6.52,6.63,6.63,1247330
2010-03-25,6.7,6.74,6.29,6.31,6.31,1285062
2010-03-26,6.32,6.3699,5.871,6.0,6.0,2312843
2010-03-29,6.01,6.07,5.9,6.06,6.06,823930
2010-03-30,6.07,6.11,5.97,6.03,6.03,577661
2010-03-31,6.01,6.03,5.86,5.87,5.87,840460
2010-04-01,5.85,5.97,5.76,5.78,5.78,702016
2010-04-05,5.64,5.64,5.35,5.59,5.59,3363013
2010-04-06,5.6,5.8,5.54,5.62,5.62,1683488
2010-04-07,5.6,5.72,5.5,5.54,5.54,1288992
2010-04-08,5.54,5.57,5.43,5.48,5.48,1030403
2010-04-09,5.5,5.6,5.37,5.52,5.52,1332972
2010-04-12,5.45,5.57,5.4,5.47,5.47,915741
2010-04-13,5.44,5.45,5.27,5.33,5.33,1065104
2010-04-14,5.39,5.43,5.33,5.43,5.43,631195
2010-04-15,5.44,5.46,5.27,5.37,5.37,706141
2010-04-16,5.37,5.3985,5.21,5.21,5.21,1006793
2010-04-19,5.27,5.4,5.2,5.302,5.302,1221328
2010-04-20,5.35,5.43,5.31,5.39,5.39,990793
2010-04-21,5.39,5.43,5.31,5.38,5.38,626629
2010-04-22,5.34,5.63,5.32,5.61,5.61,1266498
2010-04-23,5.33,5.39,4.87,4.9,4.9,4555377
2010-04-26,4.93,4.96,4.74,4.77,4.77,2498598
2010-04-27,4.91,5.07,4.8,4.95,4.95,2855669
2010-04-28,4.94,4.99,4.8,4.83,4.83,1570034
2010-04-29,4.86,4.9,4.81,4.87,4.87,1364718
2010-04-30,4.86,4.91,4.73,4.75,4.75,1485063
2010-05-03,4.76,4.85,4.61,4.84,4.84,1182964
2010-05-04,4.79,4.81,4.69,4.76,4.76,1428346
2010-05-05,4.74,4.78,4.65,4.75,4.75,1100566
2010-05-06,4.72,4.78,4.48,4.61,4.61,2605974
2010-05-07,4.55,4.65,4.4,4.41,4.41,1772922
2010-05-10,4.63,4.67,4.52,4.65,4.65,1012922
2010-05-11,4.63,4.76,4.5598,4.68,4.68,884607
2010-05-12,4.68,4.9,4.652,4.89,4.89,915329
2010-05-13,4.9,5.17,4.85,5.1,5.1,1913756
2010-05-14,5.05,5.12,4.89,5.04,5.04,1107205
2010-05-17,5.07,5.1,4.95,5.06,5.06,795977
2010-05-18,5.11,5.17,4.93,4.96,4.96,805708
2010-05-19,4.95,4.98,4.83,4.86,4.86,776220
2010-05-20,4.75,4.8169,4.52,4.52,4.52,1676171
2010-05-21,4.45,4.64,4.45,4.52,4.52,1065029
2010-05-24,4.53,4.62,4.34,4.34,4.34,762426
2010-05-25,4.23,4.37,4.11,4.33,4.33,976394
2010-05-26,4.44,4.53,4.3,4.34,4.34,642375
2010-05-27,4.44,4.53,4.35,4.53,4.53,428074
2010-05-28,4.53,4.55,4.25,4.47,4.47,1540151
2010-06-01,4.41,4.47,4.13,4.13,4.13,1071241
2010-06-02,4.18,4.33,4.14,4.32,4.32,876315
2010-06-03,4.32,4.4,4.15,4.32,4.32,1008093
2010-06-04,4.21,4.32,4.18,4.28,4.28,1054560
2010-06-07,4.29,4.35,4.12,4.13,4.13,822410
2010-06-08,4.15,4.19,4.07,4.1,4.1,664962
2010-06-09,4.15,4.2,4.1,4.12,4.12,566403
2010-06-10,4.17,4.22,4.08,4.18,4.18,866378
2010-06-11,4.16,4.23,4.1,4.13,4.13,424100
2010-06-14,4.18,4.27,4.18,4.2,4.2,396394
2010-06-15,4.23,4.25,3.98,4.2,4.2,2339712
2010-06-16,4.15,4.18,4.055,4.16,4.16,941044
2010-06-17,4.15,4.18,4.1101,4.18,4.18,623694
2010-06-18,4.21,4.2201,4.13,4.15,4.15,699766
2010-06-21,4.21,4.24,4.0,4.01,4.01,662225
2010-06-22,4.02,4.08,3.81,3.85,3.85,1825676
2010-06-23,3.86,3.96,3.8281,3.94,3.94,958527
2010-06-24,3.93,4.05,3.92,3.96,3.96,728183
2010-06-25,3.96,4.07,3.88,4.07,4.07,1297436
2010-06-28,4.02,4.07,3.96,3.98,3.98,810262
2010-06-29,3.9,3.95,3.79,3.8,3.8,824152
2010-06-30,3.81,4.13,3.81,3.9,3.9,1102323
2010-07-01,3.58,3.79,3.55,3.7,3.7,1951560
2010-07-02,3.71,3.75,3.59,3.71,3.71,514428
2010-07-06,3.77,3.96,3.68,3.74,3.74,476829
2010-07-07,3.76,3.84,3.7,3.79,3.79,478220
