Date,Open,High,Low,Close,Adj Close,Volume
2014-05-09,15.0,15.3,14.83,15.05,10.321354,204500
2014-05-12,15.14,15.14,14.815,15.0,10.287061999999999,32800
2014-05-13,15.0,15.0,14.85,15.0,10.287061999999999,23300
2014-05-14,14.85,15.0,14.85,15.0,10.287061999999999,38700
2014-05-15,15.1,15.1,14.76,14.92,10.232199000000001,47400
2014-05-16,15.05,15.05,14.85,14.99,10.280206,21400
2014-05-19,15.06,15.06,14.9,14.92,10.232199000000001,31100
2014-05-20,14.9,14.97,14.85,14.94,10.245915,18800
2014-05-21,14.91,15.018,14.8,14.89,10.211625999999999,3000
2014-05-22,14.8,15.04,14.8,14.84,10.177334,16300
2014-05-23,14.8,15.0,14.8,14.95,10.252773,3200
2014-05-27,15.0,15.0,14.8,14.86,10.191051,10100
2014-05-28,14.85,15.0,14.8,14.91,10.225342,25000
2014-05-29,14.85,14.939,14.74,14.84,10.177334,14400
2014-05-30,14.81,14.9,14.8,14.9,10.218481,4900
2014-06-02,14.91,15.0,14.85,14.96,10.259631,4700
2014-06-03,14.9,14.9,14.7,14.79,10.143044,23400
2014-06-04,14.75,14.78,14.6,14.69,10.074461,48600
2014-06-05,14.65,14.75,14.6,14.74,10.108753,17600
2014-06-06,14.839,14.98,14.66,14.71,10.08818,18200
2014-06-09,14.8,14.89,14.51,14.73,10.101894999999999,22900
2014-06-10,14.73,14.75,14.55,14.74,10.108753,25000
2014-06-11,14.51,14.75,14.5,14.5,9.94416,26800
2014-06-12,14.52,14.84,14.496,14.53,9.964734,16600
2014-06-13,14.435,15.0,14.38,14.6,10.012742,38200
2014-06-16,14.4,14.55,14.4,14.41,9.882439999999999,23700
2014-06-17,14.71,14.71,14.4,14.42,9.889296,17100
2014-06-18,14.35,14.49,14.25,14.36,9.848148,36500
2014-06-19,14.3,14.49,14.25,14.45,9.909871,52600
2014-06-20,14.47,14.49,14.05,14.31,9.813858999999999,51400
2014-06-23,14.05,14.4,14.0,14.31,9.813858999999999,27100
2014-06-24,14.25,14.39,14.25,14.26,9.779569,22300
2014-06-25,14.39,14.4,14.0,14.26,9.779569,43500
2014-06-26,14.26,14.52,14.14,14.52,10.08375,80300
2014-06-27,14.31,14.95,14.31,14.89,10.469043,88200
2014-06-30,14.7,15.5,14.17,14.85,10.440921000000001,196000
2014-07-01,14.9,15.04,14.311,15.0,10.546383,51500
2014-07-02,14.81,15.0,14.76,15.0,10.546383,28000
2014-07-03,15.0,15.02,14.7,15.0,10.546383,36900
2014-07-07,14.98,15.0,14.52,15.0,10.546383,25100
2014-07-08,14.74,14.83,14.32,14.48,10.180775,33000
2014-07-09,14.36,14.575,14.0,14.01,9.85032,98100
2014-07-10,14.0,14.2,13.8,14.0,9.843289,148100
2014-07-11,13.86,14.187,13.25,13.71,9.639394,208600
2014-07-14,14.05,14.3,13.88,13.96,9.815166,100800
2014-07-15,14.19,14.22,13.89,14.06,9.885474,76700
2014-07-16,13.93,14.14,13.88,13.99,9.836259,84100
2014-07-17,13.95,14.1,13.79,13.91,9.780012,102300
2014-07-18,13.9,14.0,13.75,13.97,9.822198,60400
2014-07-21,13.8,13.88,13.5,13.72,9.646424,75000
2014-07-22,13.65,13.677,13.35,13.49,9.484712,103900
2014-07-23,13.55,14.0,13.55,13.95,9.808136,44700
2014-07-24,13.91,13.91,13.61,13.79,9.695641,36700
2014-07-25,13.6,13.99,13.6,13.78,9.688609,54700
2014-07-28,13.74,13.935,13.579,13.76,9.674548,89000
2014-07-29,13.55,14.19,13.55,13.83,9.723763,179400
2014-07-30,13.77,13.98,13.55,13.55,9.526897,75900
2014-07-31,13.54,13.69,13.15,13.15,9.245661,113900
2014-08-01,13.0,13.08,10.6,12.89,9.062859,120700
2014-08-04,12.97,13.15,12.36,12.98,9.126134,69200
2014-08-05,12.7,13.1,12.7,12.98,9.126134,62300
2014-08-06,12.78,13.0,12.52,12.57,8.837867999999999,60400
2014-08-07,12.7,12.97,12.61,12.78,8.985517999999999,65700
2014-08-08,12.74,12.967,12.66,12.66,8.901147,38200
2014-08-11,12.99,13.0,12.7,12.77,8.978487,80900
2014-08-12,12.08,12.72,12.08,12.41,8.725373,204400
2014-08-13,12.5,12.93,12.32,12.74,8.957395,132800
2014-08-14,12.7,13.6,12.7,13.2,9.280818,156300
2014-08-15,13.45,13.59,13.1,13.1,9.210506,87900
2014-08-18,13.2,13.42,13.05,13.33,9.372217,81100
2014-08-19,13.39,13.579,13.26,13.481,9.478385000000001,95200
2014-08-20,13.47,13.47,13.104,13.27,9.330031,62100
2014-08-21,13.31,13.45,13.3,13.39,9.414405,64700
2014-08-22,13.21,13.45,13.21,13.35,9.386281,47200
2014-08-25,13.2,13.5,13.2,13.4,9.421435,82000
2014-08-26,13.37,13.7,13.3,13.599,9.561349,40800
2014-08-27,13.63,13.7,13.4,13.42,9.435496,32700
2014-08-28,13.58,13.62,13.26,13.49,9.484712,88200
2014-08-29,13.53,13.7,13.33,13.68,9.618302,44400
2014-09-02,13.7,13.981,13.68,13.785,9.692124,40600
2014-09-03,13.63,13.88,13.63,13.77,9.681581,60900
2014-09-04,13.5,13.85,13.451,13.66,9.604239,88400
2014-09-05,13.6,13.88,13.6,13.79,9.695641,23700
2014-09-08,13.8,13.87,13.63,13.7,9.632361,32200
2014-09-09,13.72,13.96,13.6,13.75,9.667518,46300
2014-09-10,13.75,13.93,13.7,13.84,9.730796,36700
2014-09-11,13.718,13.9,13.718,13.85,9.737826,30000
2014-09-12,13.8,13.91,13.7,13.81,9.709703,77800
2014-09-15,13.75,13.92,13.58,13.61,9.569083000000001,39400
2014-09-16,13.64,13.94,13.58,13.58,9.547992,36000
2014-09-17,13.61,13.84,13.51,13.53,9.512836,40500
2014-09-18,13.48,13.876,13.48,13.8,9.702671,39500
2014-09-19,13.86,13.93,13.56,13.71,9.639394,30100
2014-09-22,13.85,13.94,13.6,13.62,9.576117,28400
2014-09-23,13.55,13.75,13.426,13.6,9.562052,27200
2014-09-24,13.67,13.75,13.57,13.7,9.632361,43700
2014-09-25,13.61,13.75,13.5,13.54,9.519867999999999,30700
2014-09-26,13.3,13.3,12.68,13.26,9.563139999999999,86800
2014-09-29,13.2,13.24,12.84,12.84,9.260234,57500
2014-09-30,12.8,13.28,12.4,13.28,9.577563,184700
2014-10-01,13.2,13.369,12.59,13.34,9.620837,45900
2014-10-02,13.25,13.5,13.069,13.31,9.5992,38700
2014-10-03,12.51,13.28,12.51,13.08,9.433325,82500
2014-10-06,13.26,13.26,12.82,12.89,9.296294999999999,36100
