Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.4884,3.6,3.4884,3.6,2.7559560000000003,40000
2010-01-05,3.58,3.58,3.5408,3.5752,2.73697,187500
2010-01-06,3.5684,3.62,3.5652,3.5944,2.7516689999999997,117500
2010-01-07,3.592,3.6008,3.5396,3.5804,2.740951,135000
2010-01-08,3.5776,3.6392,3.5776,3.6372,2.784434,222500
2010-01-11,3.6008,3.6012,3.5888,3.5888,2.747382,37500
2010-01-12,3.4992,3.5652,3.4992,3.56,2.725333,182500
2010-01-13,3.594,3.594,3.5532,3.5668,2.73054,57500
2010-01-14,3.5528,3.6632,3.5472,3.62,2.771267,102500
2010-01-15,3.6252,3.6252,3.5564,3.5572,2.723191,107500
2010-01-19,3.5864,3.64,3.5736,3.596,2.752894,332500
2010-01-20,3.5748,3.5752,3.4524,3.4868,2.669296,1230000
2010-01-21,3.52,3.544,3.358,3.4776,2.6622529999999998,807500
2010-01-22,3.412,3.4616,3.4,3.4516,2.6423490000000003,110000
2010-01-25,3.4692,3.4692,3.42,3.4584,2.647555,20000
2010-01-26,3.4156,3.4156,3.37,3.37,2.5798799999999997,250000
2010-01-27,3.35,3.35,3.2864,3.308,2.5324169999999997,332500
2010-01-28,3.3472,3.3876,3.3064,3.35,2.5645700000000002,1052500
2010-01-29,3.346,3.3512,3.136,3.136,2.400744,2575000
2010-02-01,3.19,3.3108,3.186,3.29,2.518637,635000
2010-02-02,3.3448,3.44,3.3304,3.4,2.602848,680000
2010-02-03,3.4232,3.4232,3.3528,3.3696,2.579574,590000
2010-02-04,3.3532,3.3532,3.186,3.1868,2.439633,122500
2010-02-05,3.1956,3.1956,3.0528,3.1468,2.4090119999999997,187500
2010-02-08,3.1496,3.1496,3.098,3.1004,2.3734900000000003,82500
2010-02-09,3.1516,3.18,3.1184,3.1184,2.38727,245000
2010-02-10,3.1396,3.1496,3.08,3.148,2.40993,25000
2010-02-11,3.134,3.2068,3.12,3.2068,2.454944,80000
2010-02-12,3.18,3.192,3.12,3.1908,2.442695,100000
2010-02-16,3.202,3.2616,3.202,3.2352,2.476686,45000
2010-02-17,3.2728,3.3852,3.2728,3.362,2.573757,222500
2010-02-18,3.3428,3.4412,3.3428,3.4412,2.634387,115000
2010-02-19,3.3956,3.44,3.38,3.4144,2.613871,60000
2010-02-22,3.3996,3.3996,3.3552,3.356,2.569163,50000
