Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.96,2.0,1.89,1.97,1.247075,89000
2010-01-05,1.99,1.99,1.87,1.92,1.215423,42800
2010-01-06,1.94,2.18,1.92,2.14,1.354691,399400
2010-01-07,2.2,2.34,2.13,2.25,1.424324,340800
2010-01-08,2.24,2.39,2.24,2.3,1.455976,190600
2010-01-11,2.3,2.38,2.25,2.35,1.487627,134400
2010-01-12,2.34,2.34,2.25,2.32,1.468637,175500
2010-01-13,2.34,2.42,2.33,2.38,1.5066190000000002,195200
2010-01-14,2.36,2.38,2.28,2.35,1.487627,102500
2010-01-15,2.37,2.44,2.28,2.44,1.5446,66300
2010-01-19,2.41,2.44,2.36,2.42,1.5319399999999999,113500
2010-01-20,2.38,2.45,2.36,2.44,1.5446,84400
2010-01-21,2.45,2.45,2.35,2.39,1.5129489999999999,96900
2010-01-22,2.35,2.35,2.22,2.23,1.411663,86400
2010-01-25,2.22,2.32,2.13,2.25,1.424324,88700
2010-01-26,2.25,2.27,2.16,2.17,1.373682,48600
2010-01-27,2.14,2.16,2.05,2.05,1.297718,77100
2010-01-28,2.06,2.09,1.97,2.01,1.2723959999999999,118800
2010-01-29,2.05,2.08,1.99,2.0,1.266066,116200
2010-02-01,2.04,2.04,1.97,2.01,1.2723959999999999,81500
2010-02-02,2.01,2.17,1.98,2.14,1.354691,152100
2010-02-03,2.14,2.37,2.09,2.31,1.4623059999999999,271000
2010-02-04,2.34,2.37,2.09,2.14,1.354691,115100
2010-02-05,2.11,2.22,2.08,2.17,1.373682,95300
2010-02-08,2.18,2.22,2.09,2.17,1.373682,35300
2010-02-09,2.17,2.27,2.12,2.25,1.424324,45700
2010-02-10,2.3,2.3,2.19,2.21,1.399003,66800
2010-02-11,2.21,2.3,2.17,2.3,1.455976,100600
2010-02-12,2.27,2.32,2.26,2.3,1.455976,21900
2010-02-16,2.29,2.37,2.23,2.33,1.474967,87000
2010-02-17,2.33,2.43,2.3,2.42,1.5319399999999999,155700
2010-02-18,2.44,2.47,2.42,2.47,1.563592,109400
2010-02-19,2.43,2.52,2.4,2.43,1.53827,158900
2010-02-22,2.48,2.5,2.45,2.48,1.569922,50600
2010-02-23,2.51,2.51,2.41,2.41,1.525609,26100
2010-02-24,2.41,2.5,2.37,2.4,1.519279,66100
2010-02-25,2.4,2.47,2.4,2.47,1.563592,131600
2010-02-26,2.36,2.39,2.12,2.28,1.443315,443900
2010-03-01,2.25,2.33,2.21,2.3,1.455976,206100
