Date,Open,High,Low,Close,Adj Close,Volume
2014-01-16,13.25,13.65,13.0,13.38,9.215076,7336700
2014-01-17,13.54,13.75,13.3,13.75,9.4699,1218200
2014-01-21,13.85,13.85,13.625,13.78,9.490563,515000
2014-01-22,13.75,13.89,13.5,13.7,9.435467,380900
2014-01-23,13.75,14.1,13.49,14.07,9.690292999999999,583500
2014-01-24,13.91,14.0,13.61,14.0,9.64208,364600
2014-01-27,14.1,14.24,13.705,14.24,9.807373,337100
2014-01-28,14.25,14.25,13.83,14.08,9.697179,114900
2014-01-29,13.75,14.25,13.75,14.19,9.772939,316700
2014-01-30,14.25,14.25,14.04,14.12,9.724728,288700
2014-01-31,14.15,14.23,13.96,14.09,9.704066000000001,259700
2014-02-03,14.05,14.06,13.76,13.83,9.524999000000001,272200
2014-02-04,13.75,13.87,13.75,13.83,9.524999000000001,50900
2014-02-05,13.81,13.88,13.75,13.83,9.524999000000001,56200
2014-02-06,13.8,13.95,13.79,13.87,9.552551,73300
2014-02-07,13.99,13.99,13.81,13.89,9.566321,30100
2014-02-10,14.08,14.35,14.049,14.31,9.855589,291300
2014-02-11,14.22,14.45,14.09,14.42,9.931344000000001,254000
2014-02-12,14.5,14.5,14.221,14.4,9.917571,65300
2014-02-13,14.38,14.4,14.2,14.4,9.917571,78300
2014-02-14,14.4,14.466,14.15,14.4,9.917571,110400
2014-02-18,14.4,14.52,14.25,14.47,9.965783,122000
2014-02-19,14.21,14.47,14.21,14.36,9.890023,97200
2014-02-20,14.476,14.49,14.25,14.39,9.910682000000001,130000
2014-02-21,14.45,14.51,14.39,14.5,9.986442,81700
2014-02-24,14.59,14.6,14.4,14.56,10.027766999999999,97300
2014-02-25,14.73,14.73,14.35,14.47,9.965783,134800
2014-02-26,14.64,14.65,14.46,14.63,10.075974,113400
2014-02-27,14.58,14.719,14.56,14.7,10.124186,63800
2014-02-28,14.61,14.7,14.6,14.62,10.069086,111800
2014-03-03,14.65,14.69,14.49,14.69,10.117295,106500
2014-03-04,14.7,14.7,14.45,14.45,9.952007,57800
2014-03-05,14.36,14.51,14.33,14.44,9.945119,42300
2014-03-06,14.32,14.52,14.3,14.33,9.869361,100200
2014-03-07,14.39,14.4,14.31,14.33,9.869361,97400
2014-03-10,14.3,14.52,14.147,14.22,9.793603,77400
2014-03-11,14.31,14.37,14.2,14.27,9.828035,22800
2014-03-12,14.3,14.44,14.2,14.38,9.903795,16600
2014-03-13,14.2,14.36,14.0,14.05,9.676517,127000
2014-03-14,14.025,14.102,13.99,13.99,9.635192,42900
2014-03-17,14.01,14.34,13.99,14.2,9.779828,54800
2014-03-18,14.55,14.55,14.14,14.36,9.890023,36500
2014-03-19,14.39,14.4,14.2,14.252,9.81564,36400
2014-03-20,14.51,14.52,14.0,14.02,9.655856,102400
2014-03-21,14.0,14.13,13.85,13.91,9.580097,66000
2014-03-24,14.0,14.0,13.55,13.87,9.552551,95000
2014-03-25,14.02,14.29,13.894,14.1,9.710952,65800
2014-03-26,14.19,14.239,13.914,13.94,9.600757000000002,64400
2014-03-27,13.84,13.95,13.7,13.75,9.593781,76500
2014-03-28,13.83,13.85,13.7,13.85,9.663552000000001,65900
2014-03-31,13.84,14.19,13.82,14.04,9.796126,558300
2014-04-01,14.05,14.06,13.8,13.8,9.628667,213900
2014-04-02,13.82,13.9,13.76,13.76,9.600758,140300
2014-04-03,13.76,13.979,13.7,13.83,9.649598,122800
2014-04-04,13.91,13.93,13.71,13.72,9.57285,136100
2014-04-07,13.7,13.85,13.62,13.83,9.649598,137100
2014-04-08,13.68,14.13,13.68,13.81,9.635646000000001,62500
2014-04-09,13.8,13.86,13.77,13.81,9.635646000000001,58200
2014-04-10,13.96,13.96,13.67,13.67,9.537964,98100
2014-04-11,13.52,13.667,13.37,13.5,9.419349,167900
2014-04-14,13.51,13.57,13.36,13.4,9.349577,131000
2014-04-15,13.4,13.51,13.38,13.4,9.349577,61300
2014-04-16,13.49,13.58,13.38,13.43,9.370507,85900
2014-04-17,13.48,13.58,13.4,13.47,9.398417,65500
2014-04-21,13.44,13.62,13.38,13.4,9.349577,73700
2014-04-22,13.45,13.6,13.39,13.54,9.447262,85400
2014-04-23,13.58,13.61,13.45,13.49,9.412372,78900
2014-04-24,13.55,13.55,13.44,13.45,9.38446,125100
2014-04-25,13.48,13.6,13.46,13.47,9.398417,69000
2014-04-28,13.45,13.51,13.35,13.46,9.391442,71000
2014-04-29,13.46,13.51,13.3,13.35,9.314689,86100
2014-04-30,13.49,13.49,13.24,13.25,9.244914,110900
2014-05-01,13.27,13.68,13.27,13.52,9.433304,65400
2014-05-02,13.63,13.8,13.51,13.75,9.593781,47300
2014-05-05,13.75,13.786,13.55,13.68,9.544941,37600
2014-05-06,13.5,13.62,13.39,13.46,9.391442,71600
2014-05-07,13.52,13.62,13.48,13.56,9.461215,61900
2014-05-08,13.55,13.62,13.514,13.6,9.489122,44000
2014-05-09,13.69,13.69,13.43,13.55,9.454238,188900
2014-05-12,13.59,13.6,13.48,13.48,9.405394,57100
2014-05-13,13.55,13.55,13.43,13.44,9.377483,54800
2014-05-14,13.45,13.48,13.31,13.31,9.286781,71600
2014-05-15,13.31,13.38,13.27,13.35,9.314689,63900
2014-05-16,13.306,13.35,13.2,13.3,9.279803999999999,109300
2014-05-19,13.32,13.44,13.31,13.39,9.342601,45900
2014-05-20,13.47,13.49,13.36,13.43,9.370507,23100
2014-05-21,13.35,13.46,13.31,13.46,9.391442,38100
2014-05-22,13.42,13.57,13.355,13.45,9.38446,132000
2014-05-23,13.46,13.67,13.46,13.66,9.530987,85700
2014-05-27,13.64,13.77,13.64,13.77,9.607738000000001,55800
2014-05-28,13.81,13.97,13.55,13.83,9.649598,65700
2014-05-29,13.89,13.94,13.83,13.88,9.684485,33900
2014-05-30,13.88,13.94,13.67,13.92,9.712396,65100
2014-06-02,13.93,13.933,13.76,13.8,9.628667,33800
2014-06-03,13.84,13.87,13.65,13.74,9.586802,64700
2014-06-04,13.61,13.78,13.58,13.66,9.530987,52700
2014-06-05,13.74,13.97,13.7,13.96,9.740307000000001,20900
2014-06-06,13.98,13.98,13.74,13.92,9.712396,16000
2014-06-09,13.86,14.0,13.8,14.0,9.768212,44600
2014-06-10,14.0,14.1,13.8,13.93,9.719377,52400
2014-06-11,13.823,14.0,13.823,13.99,9.761237,19100
2014-06-12,13.94,14.04,13.925,14.04,9.796126,18100
2014-06-13,14.02,14.04,13.9,14.01,9.775191,31500
2014-06-16,13.95,14.04,13.91,13.94,9.726351,47500
2014-06-17,13.86,14.04,13.86,14.0,9.768212,50800
2014-06-18,14.04,14.04,13.884,14.0,9.768212,46500
2014-06-19,14.07,14.2,13.9,14.2,9.907759,70700
2014-06-20,14.18,14.2,14.05,14.2,9.907759,27500
2014-06-23,14.25,14.4,14.06,14.25,9.942646,65700
2014-06-24,14.25,14.29,14.175,14.2,9.907759,69100
2014-06-25,14.13,14.25,14.13,14.16,9.879850999999999,44000
2014-06-26,14.18,14.18,13.94,14.0,9.965266,50500
2014-06-27,13.95,14.1,13.95,14.06,10.007974,25000
2014-06-30,14.09,14.17,13.951,14.0,9.965266,59100
2014-07-01,14.0,14.02,13.81,13.85,9.858497999999999,82100
2014-07-02,13.9,13.97,13.78,13.95,9.929678,43600
2014-07-03,14.0,14.01,13.87,13.944,9.925407,24700
2014-07-07,13.94,14.05,13.84,14.05,10.000857,34000
2014-07-08,14.05,14.13,14.01,14.12,10.050684,67700
2014-07-09,14.043,14.1,14.01,14.02,9.979503999999999,19600
2014-07-10,14.13,14.13,13.86,14.01,9.972387,65400
2014-07-11,13.93,14.0,13.92,13.99,9.958148,19800
2014-07-14,13.96,13.999,13.9,13.91,9.901207000000001,24500
2014-07-15,13.98,14.0,13.84,13.9,9.894088,21900
2014-07-16,13.97,14.12,13.78,13.9,9.894088,23700
2014-07-17,13.78,13.93,13.78,13.89,9.886969,29800
2014-07-18,13.85,14.07,13.83,13.95,9.929678,10500
2014-07-21,13.88,14.0,13.85,13.95,9.929678,13700
2014-07-22,13.98,14.07,13.89,14.0,9.965266,33300
2014-07-23,14.09,14.09,13.92,14.05,10.000857,18600
2014-07-24,14.07,14.13,14.05,14.05,10.000857,22300
2014-07-25,14.08,14.13,14.0,14.06,10.007974,29900
2014-07-28,14.19,14.19,14.06,14.06,10.007974,39200
2014-07-29,14.076,14.14,13.91,13.97,9.943914,41800
2014-07-30,14.06,14.12,14.02,14.02,9.979503999999999,22500
2014-07-31,13.92,13.999,13.8,13.8,9.822907,62800
2014-08-01,13.85,13.99,13.75,13.92,9.908319,34000
2014-08-04,13.98,14.01,13.9,13.95,9.929678,68600
2014-08-05,13.95,14.03,13.85,13.85,9.858497999999999,77800
2014-08-06,13.93,13.96,13.85,13.86,9.865616000000001,22300
2014-08-07,13.9,14.01,13.9,13.94,9.922557000000001,24000
2014-08-08,14.0,14.01,13.97,13.99,9.958148,13700
2014-08-11,13.98,14.05,13.95,13.97,9.943914,41400
2014-08-12,13.98,14.049,13.95,14.0,9.965266,14600
2014-08-13,13.99,14.0,13.9,13.99,9.958148,17000
2014-08-14,13.91,14.02,13.91,13.99,9.958148,75500
2014-08-15,13.95,14.04,13.95,13.99,9.958148,11100
2014-08-18,14.03,14.05,14.01,14.04,9.993739,23700
2014-08-19,14.06,14.09,13.94,14.02,9.979503999999999,45800
2014-08-20,13.92,14.05,13.9,13.98,9.951031,17000
2014-08-21,13.95,14.039,13.932,13.99,9.958148,16500
2014-08-22,14.01,14.01,13.91,13.97,9.943914,27200
2014-08-25,13.91,14.01,13.9,14.01,9.972387,29800
2014-08-26,13.91,14.02,13.91,14.01,9.972387,25900
2014-08-27,14.04,14.04,13.92,13.99,9.958148,45900
2014-08-28,14.03,14.03,13.96,14.0,9.965266,29700
2014-08-29,14.05,14.05,13.96,13.99,9.958148,37600
2014-09-02,13.99,14.04,13.93,13.95,9.929678,42900
2014-09-03,13.95,14.05,13.95,14.0,9.965266,36200
2014-09-04,14.006,14.01,13.98,14.0,9.965266,12800
2014-09-05,13.97,14.04,13.91,14.01,9.972387,27100
2014-09-08,13.94,14.02,13.94,13.993,9.960285,6700
2014-09-09,13.95,13.99,13.88,13.9,9.894088,55000
2014-09-10,14.0,14.0,13.8,13.91,9.901207000000001,88200
2014-09-11,13.91,13.97,13.79,13.89,9.886969,66400
2014-09-12,13.83,13.953,13.8,13.9,9.894088,26700
2014-09-15,13.9,13.9,13.8,13.8,9.822907,48700
2014-09-16,13.812,13.9,13.75,13.77,9.801554,40200
2014-09-17,13.77,13.81,13.77,13.8,9.822907,25500
2014-09-18,13.8,13.84,13.66,13.74,9.780198,60300
2014-09-19,13.74,13.8,13.52,13.7,9.751722000000001,30500
2014-09-22,13.7,13.8,13.52,13.65,9.716134,43700
2014-09-23,13.59,13.76,13.5,13.5,9.609364999999999,25300
2014-09-24,13.51,13.61,13.45,13.553,9.647093,44300
2014-09-25,13.52,13.71,13.5,13.55,9.644956,60400
2014-09-26,13.45,13.48,13.25,13.42,9.75398,43200
2014-09-29,13.37,13.48,13.22,13.36,9.710367999999999,36800
2014-09-30,13.39,13.39,12.97,13.01,9.45598,121400
2014-10-01,13.1,13.3,13.1,13.29,9.659492,50900
2014-10-02,13.24,13.29,13.08,13.22,9.608614999999999,13800
2014-10-03,13.21,13.38,13.0,13.37,9.71764,27200
2014-10-06,13.4,13.42,13.32,13.38,9.724907,15000
2014-10-07,13.46,13.47,13.36,13.44,9.768514999999999,34800
2014-10-08,13.45,13.45,13.33,13.4,9.739445,32700
2014-10-09,13.36,13.4,13.25,13.31,9.674026,19100
2014-10-10,13.26,13.56,13.02,13.03,9.470513,115200
2014-10-13,13.16,13.17,12.69,12.78,9.288809,64200
2014-10-14,12.83,13.01,12.71,12.83,9.325151,83800
2014-10-15,12.76,12.78,12.12,12.44,9.041692999999999,172100
2014-10-16,12.2,13.05,12.2,12.99,9.441445,63300
2014-10-17,13.13,13.26,12.91,12.97,9.426907,27200
2014-10-20,12.71,12.97,12.66,12.9,9.376032,27800
2014-10-21,12.31,13.12,12.31,13.1,9.521395,60500
2014-10-22,13.1,13.26,13.08,13.26,9.637686,19300
2014-10-23,13.23,13.29,12.78,13.01,9.45598,38700
2014-10-24,13.14,13.15,12.8,13.03,9.470513,13700
2014-10-27,13.22,13.22,13.01,13.07,9.49959,40300
2014-10-28,13.06,13.24,12.85,12.97,9.426907,89700
2014-10-29,12.97,12.99,12.69,12.8,9.303347,120700
2014-10-30,12.82,12.97,12.81,12.94,9.405104,43700
2014-10-31,12.905,13.15,12.72,13.15,9.557736,60500
2014-11-03,13.12,13.26,12.96,13.26,9.637686,34300
2014-11-04,13.25,13.25,12.97,13.08,9.506855,34200
2014-11-05,13.06,13.27,13.06,13.2,9.594078,16200
2014-11-06,13.19,13.25,13.06,13.07,9.49959,23100
2014-11-07,13.1,13.27,13.06,13.245,9.626783999999999,27000
2014-11-10,13.22,13.22,13.11,13.11,9.528663,16900
2014-11-11,13.21,13.21,13.12,13.18,9.579541,6500
2014-11-12,13.21,13.22,13.117,13.2,9.594078,15700
2014-11-13,13.15,13.19,13.02,13.03,9.470513,20000
2014-11-14,13.04,13.19,13.02,13.15,9.557736,10100
2014-11-17,13.15,13.15,13.01,13.03,9.470513,10700
2014-11-18,13.1,13.18,12.99,13.18,9.579541,33900
2014-11-19,13.07,13.17,12.96,13.15,9.557736,31300
2014-11-20,13.06,13.11,12.94,13.0,9.448713,36600
2014-11-21,13.1,13.1,12.99,13.06,9.492322999999999,32900
2014-11-24,13.1,13.1,12.863,12.97,9.426907,29800
2014-11-25,13.04,13.2,12.83,13.19,9.586807,57700
2014-11-26,13.2,13.39,13.02,13.26,9.637686,51500
2014-11-28,13.4,13.4,13.05,13.39,9.732175,25200
2014-12-01,13.27,13.27,12.84,12.9,9.376032,23400
2014-12-02,12.99,13.05,12.9,12.98,9.434175,29700
2014-12-03,13.03,13.18,13.0,13.0,9.448713,29200
2014-12-04,13.08,13.1,12.93,12.93,9.397834,30100
2014-12-05,13.04,13.069,12.86,12.98,9.434175,15400
2014-12-08,13.02,13.09,12.61,12.67,9.208859,57200
2014-12-09,12.6,12.78,12.45,12.67,9.208859,56500
2014-12-10,12.67,12.87,12.32,12.33,8.961739999999999,22800
2014-12-11,12.41,12.75,12.41,12.56,9.128911,22400
2014-12-12,12.57,12.57,12.25,12.3,8.939936999999999,55700
2014-12-15,12.33,12.57,12.24,12.25,8.903595,25900
2014-12-16,12.21,12.27,11.98,12.26,8.910865,114400
2014-12-17,12.32,12.65,12.2,12.31,8.947204,14200
2014-12-18,12.44,12.65,12.26,12.51,9.09257,32800
2014-12-19,12.55,12.85,12.55,12.57,9.136178,51000
2014-12-22,12.66,12.66,12.15,12.46,9.056227999999999,87000
2014-12-23,12.42,12.425,12.18,12.4,9.012618,57500
2014-12-24,12.3,12.42,12.3,12.35,8.976275999999999,33000
2014-12-26,12.341,12.47,12.26,12.26,8.910865,99800
2014-12-29,12.1,12.36,12.052,12.34,9.186301,78200
2014-12-30,12.2,12.29,12.15,12.25,9.119302000000001,70500
2014-12-31,12.25,12.5,12.11,12.11,9.015084,109500
2015-01-02,12.24,12.64,12.16,12.26,9.126748,37800
2015-01-05,12.46,12.49,12.26,12.46,9.275635000000001,24500
2015-01-06,12.48,12.48,12.35,12.45,9.268193,29400
2015-01-07,12.47,12.73,12.45,12.7,9.454299,53800
2015-01-08,12.79,12.8,12.58,12.65,9.417076,20400
2015-01-09,12.7,12.85,12.59,12.64,9.409633,44600
2015-01-12,12.65,12.65,12.42,12.5,9.305411999999999,39600
2015-01-13,12.44,12.6,12.28,12.49,9.297966,21500
2015-01-14,12.42,12.422,12.25,12.33,9.178859,52800
2015-01-15,12.33,12.33,12.25,12.3,9.156525,32800
2015-01-16,12.3,12.33,12.12,12.25,9.119302000000001,55200
2015-01-20,12.33,12.33,12.06,12.33,9.178859,24200
2015-01-21,12.26,12.26,12.1,12.25,9.119302000000001,29700
2015-01-22,12.28,12.39,12.223,12.24,9.111858,20900
2015-01-23,12.25,12.25,12.1,12.24,9.111858,49200
2015-01-26,12.23,12.25,12.11,12.2,9.082083,20500
2015-01-27,12.13,12.3,12.13,12.21,9.089526,24200
2015-01-28,12.25,12.26,12.15,12.2,9.082083,23600
2015-01-29,12.26,12.26,12.11,12.25,9.119302000000001,16100
2015-01-30,12.13,12.25,12.05,12.11,9.015084,62100
2015-02-02,12.19,12.24,12.09,12.12,9.02253,31000
2015-02-03,12.09,12.24,12.06,12.2,9.082083,40500
2015-02-04,12.21,12.38,12.07,12.19,9.074638,46200
2015-02-05,12.28,12.35,12.18,12.25,9.119302000000001,51500
2015-02-06,12.34,12.41,12.255,12.3,9.156525,54500
2015-02-09,12.34,12.34,12.17,12.31,9.163973,45400
2015-02-10,12.39,12.67,12.31,12.67,9.431968,71200
2015-02-11,12.49,12.59,12.35,12.47,9.28308,34300
2015-02-12,12.55,12.78,12.5,12.77,9.506407000000001,36800
2015-02-13,12.8,12.85,12.61,12.81,9.536189,29800
2015-02-17,12.73,12.73,12.47,12.56,9.350079,22300
2015-02-18,12.58,12.76,12.54,12.75,9.491521,71100
2015-02-19,12.79,12.84,12.69,12.84,9.558518,25500
2015-02-20,12.85,12.94,12.76,12.9,9.603185,55900
2015-02-23,12.9,12.93,12.82,12.92,9.618072999999999,30200
2015-02-24,12.98,13.05,12.94,12.99,9.670183999999999,80100
2015-02-25,13.05,13.15,12.95,13.09,9.744626,60400
2015-02-26,13.09,13.15,12.96,13.15,9.789292999999999,30400
2015-02-27,13.1,13.49,13.05,13.49,10.042399000000001,120800
2015-03-02,13.51,13.51,13.18,13.44,10.005180000000001,78700
2015-03-03,13.35,13.44,13.06,13.36,9.945625999999999,37300
2015-03-04,13.38,13.45,12.964,13.28,9.88607,39900
2015-03-05,13.28,13.41,13.2,13.39,9.967958,15400
2015-03-06,13.4,13.43,13.29,13.33,9.923291,31400
2015-03-09,13.33,13.49,13.12,13.29,9.893516,29400
2015-03-10,13.15,13.36,13.1,13.215,9.837683,27000
2015-03-11,13.22,13.48,13.13,13.2,9.826514,16000
2015-03-12,13.25,13.3,13.13,13.29,9.893516,17800
2015-03-13,13.34,13.47,13.17,13.29,9.893516,40200
2015-03-16,13.3,13.3,12.95,13.08,9.737184,74500
2015-03-17,13.14,13.33,13.08,13.2,9.826514,19100
2015-03-18,13.25,13.28,13.17,13.22,9.841406,12400
2015-03-19,13.23,13.23,13.08,13.2,9.826514,8700
2015-03-20,13.23,13.38,13.13,13.3,9.900958000000001,44600
2015-03-23,13.3,13.43,13.27,13.38,9.960512,32500
2015-03-24,13.26,13.37,13.12,13.3,9.900958000000001,34600
2015-03-25,13.22,13.33,13.12,13.19,9.819072,26800
2015-03-26,13.19,13.4,13.104,13.29,9.893516,73000
2015-03-27,13.1,13.29,13.06,13.12,9.984838,10900
2015-03-30,13.23,13.25,13.08,13.25,10.083775,17000
2015-03-31,13.25,13.25,13.08,13.1,9.969621,33500
2015-04-01,13.18,13.3,13.08,13.19,10.038111,38100
2015-04-02,13.25,13.37,13.17,13.35,10.159879,14200
2015-04-06,13.39,13.4,13.27,13.36,10.167488,65200
2015-04-07,13.4,13.4,13.25,13.38,10.182708,20500
2015-04-08,13.4,13.4,13.23,13.23,10.068555,23400
2015-04-09,13.2,13.4,13.13,13.3,10.121827,37000
2015-04-10,13.38,13.4,13.01,13.07,9.946788,26100
2015-04-13,13.2,13.34,13.1,13.2,10.045722,38600
2015-04-14,13.22,13.34,13.03,13.27,10.098995,34500
2015-04-15,13.27,13.6,13.12,13.15,10.00767,50000
2015-04-16,13.31,13.36,13.2,13.3,10.121827,32500
2015-04-17,13.28,13.36,13.17,13.25,10.157857,30900
2015-04-20,13.24,13.37,13.14,13.17,10.096528,26700
2015-04-21,13.22,13.37,13.12,13.35,10.234522,44500
2015-04-22,13.37,13.38,13.21,13.28,10.180855000000001,15000
2015-04-23,13.27,13.37,13.27,13.35,10.234522,7700
2015-04-24,13.352,13.37,13.2,13.36,10.242188,17700
2015-04-27,13.39,13.54,13.21,13.28,10.180855000000001,27900
2015-04-28,13.34,13.34,13.2,13.32,10.211521000000001,29800
2015-04-29,13.32,13.34,13.23,13.33,10.21919,14500
2015-04-30,13.33,13.51,13.29,13.42,10.288183,45500
2015-05-01,13.5,13.5,13.32,13.45,10.311183,16200
2015-05-04,13.5,13.5,13.26,13.4,10.272851,24800
2015-05-05,13.44,13.44,13.21,13.29,10.188522,26200
2015-05-06,13.36,13.43,13.22,13.31,10.203855,10100
2015-05-07,13.29,13.31,13.232,13.27,10.173188,39500
2015-05-08,13.3,13.45,13.21,13.26,10.165525,33500
2015-05-11,13.32,13.46,13.25,13.26,10.165525,82300
2015-05-12,13.26,13.4,13.2,13.3,10.196189,68900
2015-05-13,13.3,13.3,13.22,13.29,10.188522,27900
2015-05-14,13.26,13.32,13.19,13.26,10.165525,25400
2015-05-15,13.3,13.42,13.22,13.22,10.13486,95900
2015-05-18,13.4,13.47,13.29,13.29,10.188522,41600
2015-05-19,13.3,13.35,13.25,13.35,10.234522,47700
2015-05-20,13.3,13.32,13.05,13.24,10.224482,57600
2015-05-21,13.2,13.39,13.136,13.3,10.270817,65300
2015-05-22,13.35,13.47,13.201,13.3,10.270817,36200
2015-05-26,13.375,13.47,13.25,13.3,10.270817,42200
2015-05-27,13.3,13.3,13.254,13.3,10.270817,67800
2015-05-28,13.3,13.33,13.25,13.28,10.25537,97000
2015-05-29,13.2,13.35,13.2,13.25,10.232207,69300
2015-06-01,13.34,13.45,13.25,13.29,10.263094,48700
2015-06-02,13.31,13.35,13.243,13.27,10.247644000000001,51300
2015-06-03,13.31,13.31,13.22,13.27,10.247644000000001,46600
2015-06-04,13.31,13.31,13.12,13.15,10.154981,58800
2015-06-05,13.23,13.23,13.05,13.12,10.131813000000001,48500
2015-06-08,13.04,13.18,12.899,12.95,10.000531,39700
2015-06-09,12.948,12.995,12.72,12.915,9.973500999999999,41500
2015-06-10,12.9,13.1,12.9,13.035,10.066173,36700
2015-06-11,13.15,13.15,12.98,13.03,10.062311,48200
2015-06-12,13.05,13.09,12.96,12.99,10.031417999999999,36400
2015-06-15,13.03,13.15,12.95,12.99,10.031417999999999,48200
