Date,Open,High,Low,Close,Adj Close,Volume
2012-05-29,8.709,8.709,8.709,8.709,6.710226,0.0
2012-05-30,8.609,8.609,8.609,8.609,6.633177000000001,0.0
2012-05-31,8.696,8.696,8.696,8.696,6.700211,0.0
2012-06-01,8.6,8.6,8.6,8.6,6.626244,0.0
2012-06-04,8.505,8.505,8.505,8.505,6.553046,0.0
2012-06-05,8.53,8.53,8.53,8.53,6.5723080000000005,0.0
2012-06-06,8.603,8.603,8.603,8.603,6.628553999999999,0.0
2012-06-07,8.587,8.587,8.587,8.587,6.616227,0.0
2012-06-08,8.506,8.506,8.506,8.506,6.553816,0.0
2012-06-11,3.6,3.6,3.6,3.6,2.773776,0.0
2012-06-12,2.146,2.146,2.146,2.146,1.6534790000000001,0.0
2012-06-13,2.098,2.098,2.059,2.059,1.586446,102.0
2012-06-14,2.121,2.121,2.083,2.083,1.604938,71.0
2012-06-15,2.104,2.113,2.104,2.113,1.628052,132.0
2012-06-18,2.088,2.088,2.088,2.088,1.60879,0.0
2012-06-19,2.089,2.089,2.089,2.089,1.60956,0.0
2012-06-20,2.079,2.079,2.079,2.079,1.601856,0.0
2012-06-21,2.051,2.051,2.051,2.051,1.580282,0.0
2012-06-22,2.067,2.067,2.067,2.067,1.59261,0.0
2012-06-25,2.061,2.061,2.061,2.061,1.587987,0.0
2012-06-26,2.065,2.065,2.065,2.065,1.591069,0.0
2012-06-27,2.102,2.102,2.102,2.102,1.619577,0.0
2012-06-28,2.093,2.093,2.093,2.093,1.612643,0.0
2012-06-29,2.091,2.091,2.091,2.091,1.6111010000000001,0.0
2012-07-02,2.11,2.11,2.11,2.11,1.6257409999999999,0.0
2012-07-03,2.125,2.125,2.125,2.125,1.637299,0.0
2012-07-05,2.077,2.077,2.074,2.074,1.598003,0.0
2012-07-06,2.162,2.162,2.162,2.162,1.6658060000000001,0.0
2012-07-09,2.11,2.11,2.103,2.103,1.620347,1.0
2012-07-10,2.147,2.147,2.147,2.147,1.65425,0.0
2012-07-11,2.16,2.16,2.16,2.16,1.664266,0.0
2012-07-12,2.138,2.138,2.138,2.138,1.647314,0.0
2012-07-13,2.156,2.156,2.156,2.156,1.661184,0.0
2012-07-16,2.17,2.17,2.17,2.17,1.6719700000000002,0.0
2012-07-17,2.154,2.154,2.154,2.154,1.659643,0.0
2012-07-18,2.1,2.1,2.1,2.1,1.618036,0.0
2012-07-19,2.112,2.112,2.112,2.112,1.627282,0.0
2012-07-20,2.114,2.114,2.114,2.114,1.628823,0.0
2012-07-23,2.119,2.119,2.119,2.119,1.632675,0.0
2012-07-24,2.134,2.134,2.134,2.134,1.6442330000000003,0.0
