Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.12,3.135,3.05,3.12,2.959139,70140
2010-01-05,3.225,3.305,3.02,3.22,3.053983,84480
2010-01-06,3.13,3.145,2.9,3.075,2.916459,133304
2010-01-07,3.02,3.07495,2.98,2.99,2.835842,78934
2010-01-08,3.135,3.255,3.03,3.2,3.035014,77220
2010-01-11,3.165,3.245,3.155,3.175,3.011303,37334
2010-01-12,3.205,3.5,3.15035,3.4,3.224703,96822
2010-01-13,3.425,3.5,3.4,3.47,3.291094,61024
2010-01-14,3.49,3.575,3.355,3.435,3.257898,66290
2010-01-15,3.345,3.435,3.25,3.34,3.167796,31920
2010-01-19,3.295,3.365,3.25,3.32,3.1488270000000003,25428
2010-01-20,3.205,3.25,3.075,3.14,2.978108,34172
2010-01-21,3.105,3.17,3.05,3.155,2.992334,62460
2010-01-22,3.055,3.125,3.025,3.085,2.925944,66460
2010-01-25,3.015,3.145,3.01,3.07,2.911717,36656
2010-01-26,2.88,3.07,2.85,2.95,2.797904,45002
2010-01-27,2.865,2.95,2.75,2.81995,2.674559,84932
2010-01-28,2.79,2.815,2.7,2.79,2.646153,19700
2010-01-29,2.94,3.0,2.835,2.925,2.774193,61150
2010-02-01,2.975,3.0,2.935,2.975,2.821615,27962
2010-02-02,2.91,2.975,2.905,2.975,2.821615,20860
2010-02-03,2.91,2.945,2.846,2.91,2.759966,24400
2010-02-04,2.83,2.91,2.53,2.725,2.584504,72794
2010-02-05,2.605,2.72,2.415,2.515,2.385332,110176
2010-02-08,2.46,2.505,2.36075,2.495,2.366363,25196
2010-02-09,2.605,2.645,2.45,2.575,2.442238,24602
2010-02-10,2.54,2.695,2.36,2.545,2.413785,55336
2010-02-11,2.545,2.55,2.50505,2.55,2.418527,36444
2010-02-12,2.55,2.69,2.47505,2.69,2.551309,59480
2010-02-16,2.7,2.725,2.63,2.65,2.513371,29570
2010-02-17,2.6,2.665,2.47,2.49495,2.366316,89672
2010-02-18,2.48,2.5,2.4712,2.5,2.371105,6800
2010-02-19,2.45,2.575,2.45,2.575,2.442238,43698
2010-02-22,2.55,2.6,2.505,2.6,2.465949,19918
2010-02-23,2.64,2.735,2.45,2.53,2.3995580000000003,19516
2010-02-24,2.54,2.58995,2.465,2.585,2.451723,10596
2010-02-25,2.545,2.6,2.5,2.6,2.465949,24400
2010-02-26,2.595,2.9,2.55,2.825,2.679349,154996
2010-03-01,2.835,2.9,2.75,2.87,2.722028,8400
2010-03-02,2.86,3.07,2.815,2.955,2.8026459999999997,19806
2010-03-03,2.965,3.07495,2.935,2.955,2.8026459999999997,10700
2010-03-04,2.975,3.0,2.935,2.965,2.812131,26444
2010-03-05,3.005,3.055,2.955,3.02,2.8642950000000003,17424
2010-03-08,3.07,3.07,3.0,3.035,2.878521,26090
2010-03-09,3.07,3.38,3.0,3.105,2.944912,57758
2010-03-10,3.11,3.36,3.11,3.25,3.082437,58342
2010-03-11,3.3,3.39,3.13,3.39,3.215219,81506
2010-03-12,3.4,3.495,3.355,3.45,3.272125,27220
2010-03-15,3.495,3.525,3.395,3.455,3.2768669999999998,84308
2010-03-16,3.505,3.59495,3.45,3.5,3.319547,73342
2010-03-17,3.475,3.565,3.475,3.565,3.381196,42362
2010-03-18,3.615,3.625,3.495,3.5,3.319547,48220
2010-03-19,3.5,3.56495,3.375,3.425,3.248414,41258
2010-03-22,3.435,3.48995,3.36,3.475,3.295836,19954
2010-03-23,3.475,3.485,3.35505,3.48,3.300578,26234
2010-03-24,3.485,3.975,3.485,3.9,3.698924,219464
2010-03-25,4.47,4.75,4.075,4.265,4.045105,399132
2010-03-26,4.375,4.38,4.00075,4.19,3.9739720000000003,128876
2010-03-29,4.225,4.339,4.015,4.085,3.874386,56918
2010-03-30,4.005,4.125,3.975,3.98,3.774799,75746
2010-03-31,4.105,4.105,3.83,4.0,3.793768,92068
2010-04-01,4.035,4.035,3.86,3.9,3.698924,29530
2010-04-05,3.98,4.05,3.9,3.95,3.746346,43874
2010-04-06,3.925,4.155,3.9,4.01,3.8032529999999998,54300
2010-04-07,3.95,4.045,3.95,3.9655,3.761047,33232
2010-04-08,3.935,4.005,3.935,3.95,3.746346,29954
2010-04-09,3.935,3.95,3.79,3.8,3.60408,40384
2010-04-12,3.755,3.755,3.655,3.705,3.513978,78130
2010-04-13,3.69,3.75,3.675,3.745,3.551915,30204
2010-04-14,3.745,4.125,3.735,3.905,3.7036660000000006,92970
2010-04-15,3.93,4.095,3.8,3.95725,3.753222,48928
2010-04-16,4.03,4.14,3.9,3.925,3.722635,153924
2010-04-19,3.94,4.035,3.66,3.775,3.580369,69880
2010-04-20,3.795,3.939,3.75,3.75,3.556658,15184
2010-04-21,3.74,3.75,3.535,3.625,3.4381019999999998,54354
2010-04-22,3.525,3.6874,3.525,3.60995,3.423828,44234
2010-04-23,3.745,3.75995,3.576,3.75995,3.566095,38754
2010-04-26,3.765,4.01,3.68,3.83495,3.637228,48640
2010-04-27,3.88,4.026,3.6,3.72,3.528204,43872
2010-04-28,3.685,3.805,3.67,3.805,3.608822,20772
2010-04-29,3.995,4.095,3.79,3.79,3.5945949999999995,12400
2010-04-30,3.765,3.97995,3.7,3.73,3.537689,8614
2010-05-03,3.73,3.8,3.725,3.75,3.556658,16236
2010-05-04,3.75,3.865,3.725,3.865,3.6657290000000002,21918
2010-05-05,3.825,3.995,3.75,3.76,3.5661419999999997,21080
2010-05-06,3.81,3.81,3.56,3.59505,3.409697,18800
2010-05-07,3.68,3.68,3.44,3.54,3.357485,55986
2010-05-10,3.635,3.653,3.47,3.6,3.414391,20292
2010-05-11,3.475,3.575,3.365,3.49995,3.3195,50400
2010-05-12,3.52,3.56495,3.41,3.56495,3.3811480000000005,33366
2010-05-13,3.43,3.625,3.25,3.435,3.257898,130380
2010-05-14,3.32,3.65,3.254,3.62,3.43336,61802
2010-05-17,3.685,3.685,3.575,3.625,3.4381019999999998,60148
2010-05-18,3.86,3.86,3.56,3.625,3.4381019999999998,41386
2010-05-19,3.645,3.645,3.505,3.62,3.43336,25712
2010-05-20,3.695,3.695,3.38,3.435,3.257898,105080
2010-05-21,3.36,3.475,3.345,3.355,3.182023,43276
2010-05-24,3.375,3.43,2.97,3.095,2.935428,212456
2010-05-25,3.02,3.05,2.85,3.0,2.845326,164152
2010-05-26,3.0,3.125,3.0,3.055,2.897491,33676
2010-05-27,3.345,3.345,3.01,3.125,2.963881,35066
2010-05-28,3.125,3.125,3.0,3.1,2.94017,11664
2010-06-01,3.155,3.47,3.115,3.14,2.978108,25434
2010-06-02,3.105,3.105,3.08,3.105,2.944912,8520
2010-06-03,3.105,3.105,3.105,3.105,2.944912,0
2010-06-04,3.03,3.155,3.025,3.155,2.992334,8164
2010-06-07,3.09,3.09,2.81,2.81,2.665122,34684
2010-06-08,2.84,2.86905,2.55,2.575,2.442238,68104
2010-06-09,2.545,2.745,2.505,2.645,2.508629,36528
2010-06-10,2.58,2.68495,2.57,2.57,2.437496,3000
2010-06-11,2.515,2.7095,2.515,2.535,2.404301,31106
2010-06-14,2.54,2.72,2.52,2.57,2.437496,36822
2010-06-15,2.62,2.65,2.58,2.59,2.456465,16392
2010-06-16,2.58,2.58025,2.51,2.52,2.3900740000000003,12840
2010-06-17,2.55,2.575,2.5,2.5,2.371105,13652
2010-06-18,2.575,2.8266,2.56505,2.68,2.541825,38178
2010-06-21,2.65,2.83,2.65,2.82,2.6746060000000003,31062
2010-06-22,2.82,2.82,2.73,2.75,2.608216,8422
2010-06-23,2.77,2.825,2.66505,2.775,2.631927,8666
2010-06-24,2.65,2.795,2.555,2.63,2.494402,38492
2010-06-25,2.74,2.84,2.64,2.68,2.541825,66958
2010-06-28,2.72,2.815,2.605,2.61,2.475434,18804
2010-06-29,2.71,2.81,2.55,2.6,2.465949,24576
2010-06-30,2.695,2.76,2.575,2.655,2.5181139999999997,95778
2010-07-01,2.64,2.64495,2.535,2.575,2.442238,19996
2010-07-02,2.6,2.73,2.5,2.545,2.413785,48004
2010-07-06,2.645,3.07,2.6,2.82,2.6746060000000003,82942
2010-07-07,2.865,3.125,2.655,2.775,2.631927,53850
2010-07-08,2.87,3.0215,2.775,2.825,2.679349,29912
2010-07-09,2.755,2.80005,2.705,2.725,2.584504,11120
2010-07-12,2.805,3.24,2.75,2.875,2.726771,82880
2010-07-13,2.855,3.3,2.765,3.205,3.039757,48016
2010-07-14,3.245,3.3,3.055,3.225,3.058725,66848
2010-07-15,3.275,3.33,3.08,3.235,3.0682099999999997,52830
2010-07-16,3.285,3.285,3.15,3.22,3.053983,7520
2010-07-19,3.135,3.25,3.105,3.105,2.944912,9200
2010-07-20,3.1,3.12995,2.93005,3.075,2.916459,15282
2010-07-21,3.035,3.035,2.90075,2.955,2.8026459999999997,51910
2010-07-22,2.95,2.95045,2.95,2.95,2.797904,2228
2010-07-23,2.905,2.94,2.905,2.925,2.774193,17880
2010-07-26,3.005,3.005,2.9,2.955,2.8026459999999997,27438
2010-07-27,2.975,3.0198,2.94995,2.95,2.797904,7540
2010-07-28,2.975,3.0,2.935,2.96,2.807389,12800
2010-07-29,3.005,3.35,2.935,3.075,2.916459,82620
2010-07-30,3.125,3.225,3.03,3.225,3.058725,84648
2010-08-02,3.175,3.375,3.175,3.25,3.082437,26444
2010-08-03,3.25,3.25,3.17,3.221,3.054932,21800
2010-08-04,3.265,3.385,3.22,3.385,3.210476,62816
2010-08-05,3.435,3.4405,3.38,3.435,3.257898,32736
2010-08-06,3.465,3.465,3.35,3.4365,3.259321,9312
2010-08-09,3.465,3.575,3.43,3.57,3.385938,56194
2010-08-10,3.48,3.58425,3.35,3.475,3.295836,14980
2010-08-11,3.465,3.465,3.245,3.37495,3.200944,34458
2010-08-12,3.35,3.395,3.12,3.345,3.172539,32812
2010-08-13,2.995,2.995,2.55,2.731,2.590195,111956
2010-08-16,2.73,2.81,2.70505,2.75,2.608216,12000
2010-08-17,2.74,2.84,2.73,2.84,2.693575,24418
2010-08-18,2.75,2.8,2.75,2.8,2.655638,4500
2010-08-19,2.75,2.75,2.67,2.705,2.5655360000000003,10480
2010-08-20,2.755,2.82,2.7532,2.775,2.631927,47856
2010-08-23,2.835,2.835,2.7,2.775,2.631927,7120
2010-08-24,2.775,2.775,2.775,2.775,2.631927,0
2010-08-25,2.75,2.75,2.675,2.705,2.5655360000000003,920
