Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.16,10.25,10.15,10.25,6.547715,123100
2010-01-05,10.22,10.28,10.22,10.27,6.560492999999999,99700
2010-01-06,10.26,10.32,10.26,10.31,6.586042999999999,154800
2010-01-07,10.27,10.35,10.26,10.32,6.592433,139700
2010-01-08,10.3,10.33,10.29,10.32,6.592433,133500
2010-01-11,10.36,10.38,10.31,10.36,6.617985000000001,142300
2010-01-12,10.29,10.31,10.22,10.24,6.541328,156800
2010-01-13,10.27,10.35,10.22,10.32,6.592433,85400
2010-01-14,10.31,10.38,10.31,10.38,6.63076,104400
2010-01-15,10.33,10.36,10.22,10.26,6.554104,49100
2010-01-19,10.33,10.41,10.29,10.39,6.637148,105800
2010-01-20,10.36,10.36,10.23,10.3,6.579657000000001,132000
2010-01-21,10.32,10.33,10.11,10.12,6.464673,187700
2010-01-22,10.1,10.13,9.88,9.89,6.317747,123700
2010-01-25,9.96,10.02,9.91,9.95,6.356076,84500
2010-01-26,9.9,10.0,9.88,9.9,6.324136,153800
2010-01-27,9.87,9.92,9.83,9.91,6.330523,156800
2010-01-28,9.92,9.93,9.75,9.8,6.260255,191600
2010-01-29,9.85,9.92,9.69,9.73,6.215538,124600
2010-02-01,9.73,9.85,9.73,9.85,6.292196,72000
2010-02-02,9.86,9.99,9.85,9.99,6.381627,101900
2010-02-03,9.91,9.98,9.88,9.93,6.343298,75700
2010-02-04,9.88,9.88,9.61,9.61,6.138882,134800
2010-02-05,9.62,9.64,9.27,9.58,6.119718,271100
2010-02-08,9.58,9.63,9.48,9.48,6.05584,68200
2010-02-09,9.56,9.66,9.52,9.56,6.106943,133200
2010-02-10,9.51,9.56,9.47,9.53,6.1197870000000005,89200
2010-02-11,9.53,9.64,9.49,9.64,6.190424,68000
2010-02-12,9.54,9.63,9.5,9.62,6.17758,100800
2010-02-16,9.68,9.82,9.67,9.8,6.293171,179700
2010-02-17,9.83,9.9,9.83,9.86,6.3317,75400
2010-02-18,9.85,9.98,9.85,9.97,6.402336,89400
2010-02-19,9.94,10.04,9.92,9.99,6.415179,185400
2010-02-22,10.0,10.0,9.94,9.97,6.402336,114600
2010-02-23,9.96,9.98,9.87,9.93,6.376651,193300
2010-02-24,9.92,10.0,9.92,9.98,6.408757,137800
2010-02-25,9.82,9.93,9.8,9.92,6.370229,137500
2010-02-26,9.92,9.97,9.92,9.95,6.389492,78400
2010-03-01,10.05,10.08,10.02,10.07,6.466552,176700
2010-03-02,10.11,10.13,9.97,10.09,6.4793959999999995,105900
2010-03-03,10.11,10.17,10.09,10.11,6.49224,68700
2010-03-04,10.11,10.16,10.1,10.13,6.505082,70200
2010-03-05,10.18,10.3,10.18,10.29,6.607829,103100
2010-03-08,10.28,10.35,10.27,10.33,6.633514,108100
2010-03-09,10.3,10.39,10.28,10.34,6.639935,75400
