Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.76,6.92,6.75,6.83,5.105653,884600
2010-01-05,6.89,6.94,6.79,6.88,5.143031,658000
2010-01-06,6.83,6.87,6.79,6.85,5.120604,397200
2010-01-07,6.82,7.02,6.78,7.01,5.24021,797400
2010-01-08,7.12,7.25,7.12,7.24,5.412143,611400
2010-01-11,7.26,7.28,7.11,7.17,5.359816,580200
2010-01-12,7.13,7.19,7.03,7.13,5.329914,659800
2010-01-13,7.16,7.18,7.06,7.18,5.367290000000001,607500
2010-01-14,7.12,7.17,7.07,7.14,5.337389,314400
2010-01-15,7.03,7.03,6.83,6.95,5.195358000000001,965500
2010-01-19,6.74,6.91,6.74,6.9,5.1579809999999995,635900
2010-01-20,6.68,6.68,6.45,6.56,4.90382,738500
2010-01-21,6.49,6.52,6.06,6.07,4.537529,1442900
2010-01-22,6.14,6.24,5.97,6.01,4.492676,1178500
2010-01-25,6.27,6.3,6.11,6.14,4.589856,614600
2010-01-26,6.06,6.21,6.02,6.07,4.537529,427200
2010-01-27,6.08,6.17,6.03,6.17,4.6122819999999995,578000
2010-01-28,6.17,6.18,5.96,6.02,4.500151,881400
2010-01-29,6.07,6.14,5.9,5.92,4.425398,827100
2010-02-01,6.17,6.26,6.15,6.23,4.657133999999999,488500
2010-02-02,6.35,6.49,6.31,6.46,4.829066,521700
2010-02-03,6.41,6.46,6.33,6.37,4.761787,528100
2010-02-04,6.24,6.24,5.91,5.91,4.417922,917100
2010-02-05,5.83,5.88,5.5,5.72,4.275892,1245900
2010-02-08,5.58,5.71,5.5,5.51,4.11891,616200
2010-02-09,5.83,6.03,5.74,5.94,4.440348999999999,1302900
2010-02-10,5.97,6.04,5.88,6.0,4.485201,494400
2010-02-11,5.89,6.01,5.8,5.99,4.4777260000000005,521400
2010-02-12,5.77,5.92,5.72,5.92,4.425398,472400
2010-02-16,5.94,6.11,5.9,6.07,4.537529,593000
2010-02-17,6.1,6.15,6.05,6.08,4.5450040000000005,320400
2010-02-18,6.01,6.16,6.0,6.15,4.597331,393300
2010-02-19,5.95,6.05,5.93,6.05,4.522578,360000
2010-02-22,6.04,6.07,6.01,6.03,4.507626999999999,283800
2010-02-23,5.95,6.0,5.83,5.83,4.3581199999999995,289400
2010-02-24,5.91,6.0,5.85,5.92,4.425398,312100
2010-02-25,5.99,6.07,5.94,6.07,4.537529,420800
2010-02-26,6.2,6.33,6.1,6.3,4.70946,687900
2010-03-01,6.3,6.36,6.28,6.35,4.7468379999999994,547000
2010-03-02,6.5,6.52,6.41,6.48,4.844017,572300
2010-03-03,6.47,6.53,6.44,6.44,4.814115,506800
2010-03-04,6.44,6.46,6.32,6.38,4.769264,522600
2010-03-05,6.49,6.69,6.48,6.66,4.978572,524500
2010-03-08,6.56,6.61,6.5,6.54,4.888869000000001,428400
2010-03-09,6.51,6.6,6.5,6.54,4.888869000000001,256800
2010-03-10,6.61,6.71,6.6,6.65,4.971097,1959900
2010-03-11,6.66,6.72,6.62,6.71,5.015951,1184500
2010-03-12,6.77,6.79,6.67,6.73,5.0309,884600
