Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.47,7.69,7.47,7.63,7.064000999999999,500800
2010-01-05,7.64,7.71,7.42,7.47,6.91587,211700
2010-01-06,7.63,7.98,7.63,7.73,7.156583,518000
2010-01-07,7.7,7.92,7.58,7.89,7.304714,456400
2010-01-08,7.82,7.98,7.79,7.83,7.249165,241000
2010-01-11,7.83,7.94,7.66,7.81,7.2306490000000005,339100
2010-01-12,7.71,7.81,7.52,7.79,7.212132,371000
2010-01-13,7.79,7.95,7.75,7.95,7.360262,362800
2010-01-14,7.87,8.08,7.87,8.03,7.434328,259500
2010-01-15,8.07,8.12,7.97,8.02,7.425071000000001,481300
2010-01-19,8.02,8.19,7.94,8.05,7.452845,540400
2010-01-20,7.96,8.08,7.9,7.99,7.397296000000001,358800
2010-01-21,7.97,8.04,7.68,7.97,7.378779,604500
2010-01-22,7.94,7.98,7.52,7.61,7.045485,445600
2010-01-25,7.69,7.83,7.56,7.71,7.1380669999999995,249200
2010-01-26,7.65,7.71,7.45,7.5,6.943644,339500
2010-01-27,7.44,7.86,7.33,7.63,7.064000999999999,246500
2010-01-28,7.67,7.69,7.37,7.58,7.017710000000001,277000
2010-01-29,7.64,7.71,7.3,7.34,6.795514,494700
2010-02-01,7.41,7.47,7.3,7.34,6.795514,263200
2010-02-02,7.33,7.38,7.21,7.31,6.767739999999999,376900
2010-02-03,7.29,7.42,7.27,7.39,6.841804,463400
2010-02-04,7.33,7.39,7.15,7.17,6.638124,338100
2010-02-05,7.17,7.27,6.97,7.21,6.6751570000000005,235600
2010-02-08,7.18,7.18,6.9,6.9,6.388154,250800
2010-02-09,6.96,7.07,6.65,7.01,6.489994,406400
2010-02-10,6.99,6.99,6.7,6.95,6.434443,208000
2010-02-11,6.94,7.03,6.76,7.01,6.489994,251000
2010-02-12,6.91,7.12,6.83,7.1,6.573316999999999,292500
2010-02-16,7.2,7.2,7.03,7.13,6.601091,284500
2010-02-17,7.18,7.43,7.09,7.42,6.869578999999999,373500
2010-02-18,7.43,7.58,7.34,7.57,7.008452,214600
2010-02-19,7.56,7.76,7.48,7.72,7.147324,313200
2010-02-22,7.77,7.86,7.7,7.84,7.258423,290800
2010-02-23,7.85,7.9,7.68,7.77,7.193614999999999,401600
2010-02-24,7.78,7.94,7.68,7.91,7.323230000000001,407000
2010-02-25,8.13,8.72,8.07,8.55,7.915755,1512700
2010-02-26,8.6,8.91,8.51,8.8,8.147209,643500
2010-03-01,8.89,9.27,8.86,9.24,8.554569,743100
2010-03-02,9.29,9.72,9.27,9.38,8.684183,754200
2010-03-03,9.37,9.53,9.21,9.3,8.61012,573400
2010-03-04,9.29,9.64,9.22,9.6,8.887865,539300
2010-03-05,9.71,9.71,9.51,9.6,8.887865,510300
2010-03-08,9.63,9.9,9.63,9.84,9.110062,249900
2010-03-09,9.84,10.0,9.75,9.85,9.119321000000001,327600
2010-03-10,9.93,10.21,9.75,10.19,9.434097,673800
2010-03-11,10.13,10.29,10.01,10.28,9.517421,371600
2010-03-12,10.3,10.4,10.21,10.27,9.508164,392000
2010-03-15,10.28,10.39,10.18,10.24,9.480389,560600
2010-03-16,10.26,10.6,10.21,10.47,9.693328999999999,661500
2010-03-17,10.53,10.8,10.5,10.69,9.897008,395500
2010-03-18,10.65,10.81,10.6,10.68,9.88775,459100
2010-03-19,10.84,10.99,10.73,10.84,10.035881,793800
2010-03-22,10.75,10.9,10.63,10.76,9.961815,403700
2010-03-23,10.71,10.71,10.23,10.43,9.656295,737700
2010-03-24,10.31,10.67,10.31,10.58,9.795169,487900
2010-03-25,10.65,10.7,10.32,10.32,9.554455,468100
2010-03-26,10.4,10.59,10.26,10.38,9.610003,727800
2010-03-29,10.47,10.61,10.34,10.6,9.813684,466300
2010-03-30,10.63,10.78,10.58,10.72,9.924783999999999,299700
2010-03-31,10.7,10.85,10.63,10.65,9.859975,348200
2010-04-01,10.71,10.81,10.62,10.76,9.961815,379300
2010-04-05,10.84,10.94,10.75,10.79,9.989589,388200
2010-04-06,10.75,10.94,10.75,10.87,10.063655,508100
2010-04-07,10.87,10.95,10.81,10.87,10.063655,533200
2010-04-08,10.87,10.88,10.73,10.8,9.998847,386800
2010-04-09,10.8,10.9,10.63,10.73,9.93404,327600
2010-04-12,10.7,10.82,10.65,10.77,9.971074,326500
2010-04-13,10.72,10.91,10.65,10.91,10.100689,406500
2010-04-14,10.94,11.34,10.88,11.32,10.480272,517600
2010-04-15,11.34,11.41,11.2,11.39,10.545083,580300
2010-04-16,11.37,11.47,10.96,10.97,10.156239999999999,562500
2010-04-19,10.87,11.25,10.87,11.25,10.415467,430100
2010-04-20,11.27,11.36,11.16,11.25,10.415467,342800
2010-04-21,11.3,11.3,11.08,11.26,10.424725,323400
2010-04-22,11.11,11.13,10.85,11.13,10.304367999999998,281300
2010-04-23,11.1,11.31,11.03,11.3,10.461758,309600
2010-04-26,11.33,11.37,11.17,11.24,10.406208,394100
2010-04-27,11.22,11.28,10.57,10.58,9.795169,1072700
2010-04-28,10.63,10.8,10.53,10.7,9.906266,478000
2010-04-29,10.83,11.03,10.74,10.84,10.035881,398500
2010-04-30,10.86,10.86,10.42,10.52,9.739619,621000
2010-05-03,10.61,10.72,10.43,10.65,9.859975,343200
2010-05-04,10.45,10.46,10.2,10.29,9.526682000000001,729900
2010-05-05,10.24,10.26,9.92,10.01,9.267451,943700
2010-05-06,10.02,10.46,9.32,9.7,8.980447999999999,780100
2010-05-07,9.69,9.71,9.26,9.45,8.748992999999999,725700
2010-05-10,9.96,10.33,9.7,10.3,9.535936999999999,578300
2010-05-11,10.12,10.34,10.03,10.13,9.378549000000001,284400
2010-05-12,10.18,10.32,10.11,10.3,9.535936999999999,263800
2010-05-13,10.25,10.35,10.18,10.25,9.489647,287500
2010-05-14,10.13,10.16,9.64,9.86,9.128575999999999,384300
2010-05-17,9.9,10.1,9.62,9.78,9.054511,334200
2010-05-18,9.92,9.95,9.42,9.45,8.748992999999999,351900
2010-05-19,9.39,9.54,9.2,9.53,8.823056,368300
2010-05-20,9.26,9.41,9.03,9.03,8.360147,729100
2010-05-21,8.85,9.13,8.75,9.11,8.434214,487700
2010-05-24,9.07,9.1,8.75,8.83,8.174985000000001,301700
2010-05-25,8.63,9.02,8.55,8.98,8.313856,459000
2010-05-26,9.09,9.45,8.99,9.17,8.489764,508800
2010-05-27,9.39,9.76,9.3,9.76,9.035996,238900
2010-05-28,9.69,9.78,9.4,9.41,8.711959,494400
2010-06-01,9.32,9.44,9.1,9.1,8.424956,400200
2010-06-02,9.21,9.56,9.17,9.56,8.850832,707700
2010-06-03,9.65,9.79,9.51,9.56,8.850832,472800
2010-06-04,9.34,9.42,8.96,9.0,8.332374,615100
2010-06-07,9.08,9.15,8.84,8.85,8.193501,444800
