Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.45,13.49,13.42,13.46,8.329763999999999,49600
2010-01-05,13.4,13.49,13.38,13.43,8.311198,41600
2010-01-06,13.42,13.48,13.4,13.43,8.311198,75800
2010-01-07,13.47,13.47,13.34,13.44,8.317386,75800
2010-01-08,13.45,13.56,13.44,13.53,8.373085000000001,122900
2010-01-11,13.58,13.69,13.58,13.62,8.428782,50100
2010-01-12,13.54,13.69,13.51,13.64,8.489773,102700
2010-01-13,13.59,13.64,13.57,13.63,8.483547999999999,51400
2010-01-14,13.58,13.61,13.53,13.58,8.452428,57000
2010-01-15,13.52,13.57,13.52,13.57,8.446204,40900
2010-01-19,13.56,13.64,13.56,13.64,8.489773,28300
2010-01-20,13.64,13.8,13.61,13.8,8.589366,67400
2010-01-21,13.75,13.99,13.75,13.91,8.657832,96700
2010-01-22,13.96,14.05,13.83,13.91,8.657832,71900
2010-01-25,13.9,13.96,13.88,13.96,8.688952,48600
2010-01-26,13.98,13.98,13.89,13.89,8.645381,26300
2010-01-27,13.97,13.99,13.89,13.99,8.707623,63700
2010-01-28,13.96,13.96,13.93,13.96,8.688952,32300
2010-01-29,13.98,13.98,13.94,13.97,8.695175,28900
2010-02-01,13.94,13.99,13.92,13.95,8.682725,36500
2010-02-02,13.92,13.99,13.92,13.99,8.707623,26100
2010-02-03,13.87,13.98,13.87,13.92,8.712633,32400
2010-02-04,13.93,13.93,13.74,13.75,8.606228,44300
2010-02-05,13.81,13.81,13.65,13.68,8.562413000000001,46900
2010-02-08,13.7,13.77,13.65,13.65,8.543633,40900
2010-02-09,13.67,13.69,13.65,13.65,8.543633,30200
2010-02-10,13.76,13.76,13.63,13.73,8.59371,44500
2010-02-11,13.66,13.81,13.66,13.69,8.568667999999999,52100
2010-02-12,13.7,13.73,13.62,13.64,8.537383,48200
2010-02-16,13.64,13.75,13.64,13.73,8.59371,55800
2010-02-17,13.7,13.75,13.64,13.65,8.543633,35300
2010-02-18,13.72,13.72,13.64,13.67,8.556155,40700
2010-02-19,13.7,13.8,13.63,13.7,8.574928,79000
2010-02-22,13.77,13.77,13.39,13.43,8.405938,95400
2010-02-23,13.32,13.49,13.32,13.49,8.443493,49900
2010-02-24,13.5,13.7,13.5,13.64,8.537383,51800
2010-02-25,13.59,13.81,13.59,13.81,8.643784,42700
2010-02-26,13.77,13.91,13.77,13.88,8.687597,44600
2010-03-01,13.85,13.95,13.85,13.95,8.73141,43800
2010-03-02,14.12,14.12,14.02,14.02,8.77522,78900
2010-03-03,13.98,13.99,13.88,13.9,8.748785,35300
2010-03-04,13.88,13.92,13.85,13.92,8.761374,37000
2010-03-05,13.9,13.9,13.82,13.89,8.742492,23700
2010-03-08,13.87,13.95,13.87,13.91,8.755085000000001,36900
2010-03-09,13.88,13.95,13.8,13.81,8.692138,42100
2010-03-10,13.87,13.89,13.82,13.84,8.711021,33100
2010-03-11,13.82,13.91,13.78,13.81,8.692138,115100
2010-03-12,13.82,13.84,13.75,13.75,8.654376,34200
2010-03-15,13.75,13.79,13.69,13.75,8.654376,112200
2010-03-16,13.8,13.87,13.72,13.87,8.729903,92500
2010-03-17,13.89,13.94,13.84,13.84,8.711021,65300
2010-03-18,13.83,13.89,13.76,13.78,8.673257000000001,97900
2010-03-19,14.05,14.11,13.77,14.05,8.843199,171600
2010-03-22,14.04,14.1,14.01,14.1,8.87467,77300
2010-03-23,14.1,14.2,14.04,14.11,8.88096,77800
2010-03-24,14.09,14.14,14.0,14.0,8.811726,52700
2010-03-25,14.02,14.06,13.93,13.94,8.773963,38100
2010-03-26,13.97,14.04,13.9,13.91,8.755085000000001,29900
2010-03-29,13.9,13.94,13.88,13.93,8.767669999999999,13300
2010-03-30,13.97,13.98,13.83,13.89,8.742492,75400
2010-03-31,13.89,13.94,13.88,13.93,8.767669999999999,20000
2010-04-01,13.89,13.95,13.83,13.83,8.704728999999999,56300
2010-04-05,13.85,13.91,13.82,13.89,8.742492,36100
2010-04-06,13.87,14.06,13.87,14.0,8.811726,65500
2010-04-07,13.93,13.99,13.85,13.94,8.823117,43600
2010-04-08,13.9,14.04,13.9,14.0,8.861094,64300
2010-04-09,13.95,14.03,13.94,13.94,8.823117,24900
2010-04-12,13.92,14.03,13.9,13.99,8.854768,39500
2010-04-13,13.92,13.97,13.91,13.93,8.816788,25700
2010-04-14,13.9,14.01,13.89,13.92,8.810459,57400
