Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.75,6.02,5.59,6.0,2.928743,64500
2010-01-05,6.06,6.17,5.91,5.94,2.899457,38800
2010-01-06,5.93,6.25,5.61,5.84,2.850644,50500
2010-01-07,5.8,5.81,5.6,5.6,2.733493,41900
2010-01-08,5.68,5.7,5.42,5.62,2.743256,82300
2010-01-11,5.79,5.83,5.52,5.69,2.777425,39000
2010-01-12,5.56,5.67,5.47,5.53,2.699325,20500
2010-01-13,5.43,5.63,5.35,5.51,2.689563,60500
2010-01-14,5.53,5.78,5.47,5.69,2.777425,34600
2010-01-15,5.75,5.83,5.56,5.71,2.787188,35600
2010-01-19,5.71,5.82,5.64,5.82,2.840882,18400
2010-01-20,5.7,6.1,5.64,5.77,2.816475,53500
2010-01-21,5.82,6.82,5.82,6.34,3.094706,371400
2010-01-22,6.41,6.77,6.09,6.18,3.0166060000000003,208300
2010-01-25,6.12,6.21,5.89,6.11,2.982437,65700
2010-01-26,6.01,6.55,5.93,6.3,3.07518,85600
2010-01-27,6.39,6.56,6.23,6.48,3.163043,51200
2010-01-28,6.45,6.78,6.01,6.19,3.021487,99100
2010-01-29,6.15,6.23,6.01,6.11,2.982437,39200
2010-02-01,6.08,6.57,6.01,6.53,3.187449,79700
2010-02-02,6.5,6.72,6.32,6.54,3.19233,50500
2010-02-03,6.38,6.57,6.37,6.5,3.172805,47500
2010-02-04,6.5,6.53,6.24,6.24,3.045893,31000
2010-02-05,6.24,6.24,5.79,5.86,2.8604060000000002,36200
2010-02-08,5.78,6.19,5.77,6.1,2.9775560000000003,21900
2010-02-09,6.2,6.23,6.07,6.19,3.021487,7600
2010-02-10,6.24,6.24,6.02,6.16,3.006843,24000
2010-02-11,6.05,6.25,5.89,6.0,2.928743,86900
2010-02-12,5.91,6.01,5.56,5.85,2.855524,69400
2010-02-16,5.94,6.24,5.89,6.14,2.997081,30700
2010-02-17,6.12,6.28,6.04,6.2,3.026368,37500
2010-02-18,6.25,6.25,5.9,6.15,3.001962,51400
