Date,Open,High,Low,Close,Adj Close,Volume
2015-02-13,14.25,14.25,14.0,14.0,11.383777,1315226
2015-02-17,14.0,14.09,13.98,14.0,11.383777,196100
2015-02-18,14.08,14.1,14.0,14.0,11.383777,35000
2015-02-19,14.01,14.15,14.01,14.12,11.481352000000001,26100
2015-02-20,14.12,14.15,14.05,14.05,11.424435,33300
2015-02-23,14.15,14.15,14.09,14.09,11.456959,43400
2015-02-24,14.15,14.15,14.08,14.08,11.448828,34800
2015-02-25,14.14,14.15,14.11,14.11,11.473222,30300
2015-02-26,14.09,14.13,14.09,14.11,11.473222,2100
2015-02-27,14.08,14.19,14.08,14.1,11.465089,16000
2015-03-02,14.1,14.16,14.1,14.13,11.489482,19500
2015-03-03,14.11,14.15,14.07,14.15,11.505744,68900
2015-03-04,14.15,14.5,14.15,14.44,11.741551,104100
2015-03-05,14.4,14.65,14.4,14.55,11.830997,37100
2015-03-06,14.56,14.6,14.54,14.54,11.822865,25300
2015-03-09,14.5,14.6,14.5,14.55,11.830997,27900
2015-03-10,14.3,14.6,14.3,14.46,11.757814999999999,52500
2015-03-11,14.43,14.595,14.26,14.33,11.652109,41500
2015-03-12,14.26,14.34,14.2,14.27,11.603323,49600
2015-03-13,14.3,14.3,14.12,14.18,11.530141,24300
2015-03-16,14.27,14.28,14.15,14.23,11.570797,52000
2015-03-17,14.2,14.2,14.1,14.12,11.481352000000001,7500
2015-03-18,14.1,14.14,14.0,14.01,11.391908,149500
2015-03-19,14.1,14.55,14.04,14.41,11.717158,22900
2015-03-20,14.41,14.7,14.25,14.25,11.587058,117500
2015-03-23,14.24,14.5,14.24,14.43,11.733422000000001,32900
2015-03-24,14.49,14.6,14.46,14.58,11.855389,34900
2015-03-25,14.58,14.6,14.41,14.6,11.871653,39900
2015-03-26,14.6,14.62,14.4,14.62,11.887915,43800
2015-03-27,14.65,14.67,14.25,14.29,11.619584,13700
2015-03-30,14.35,14.67,14.35,14.66,11.920441,25000
2015-03-31,14.67,14.99,14.26,14.53,11.814734,394700
2015-04-01,14.73,14.83,14.31,14.42,11.725289,45900
2015-04-02,14.58,14.89,14.58,14.81,12.04241,31100
2015-04-06,14.85,14.9,14.66,14.83,12.058672999999999,25500
2015-04-07,14.86,14.98,14.57,14.57,11.847258,18400
2015-04-08,14.67,14.8,14.29,14.41,11.717158,17800
2015-04-09,14.25,14.81,14.25,14.71,11.961098,27300
2015-04-10,14.72,14.79,14.7,14.71,11.961098,3500
2015-04-13,14.63,14.89,14.62,14.7,11.952967,39700
2015-04-14,14.73,14.75,14.39,14.52,11.806602999999999,21600
2015-04-15,14.43,14.94,14.43,14.77,12.009886,8200
2015-04-16,14.7,14.74,14.67,14.72,11.969228999999999,3300
2015-04-17,14.65,14.65,14.184,14.45,11.749684,54700
2015-04-20,14.44,14.6,14.26,14.56,11.839128,44100
2015-04-21,14.52,14.62,14.31,14.38,11.692765,15100
2015-04-22,14.29,14.36,14.1,14.36,11.676503,58700
2015-04-23,14.43,14.47,14.21,14.28,11.61145,28300
2015-04-24,14.25,14.28,14.24,14.28,11.61145,29000
2015-04-27,14.3,14.3,14.16,14.26,11.595189,15000
2015-04-28,14.24,14.38,14.24,14.3,11.627714,11100
2015-04-29,14.26,14.38,14.19,14.19,11.538269,16700
2015-04-30,14.15,14.28,14.08,14.18,11.530141,31800
2015-05-01,14.24,14.37,14.22,14.35,11.668372,21400
2015-05-04,14.29,14.31,14.04,14.08,11.448828,13600
2015-05-05,14.08,14.11,13.95,14.0,11.383777,32600
2015-05-06,14.07,14.08,13.5,13.76,11.188627,393600
2015-05-07,13.7,13.88,13.62,13.69,11.131706,24400
2015-05-08,13.84,13.89,13.58,13.79,11.213021000000001,138500
2015-05-11,13.75,13.89,13.71,13.76,11.188627,51200
2015-05-12,13.72,13.76,13.26,13.41,10.904033,424700
2015-05-13,13.31,13.31,12.61,12.75,10.508422,326900
2015-05-14,12.81,13.295,12.81,13.08,10.780402,50600
2015-05-15,13.12,13.25,12.88,13.18,10.862822999999999,59900
2015-05-18,13.15,13.15,12.93,12.99,10.706225,16000
2015-05-19,13.04,13.09,12.95,12.95,10.67326,19400
2015-05-20,12.92,13.14,12.85,12.88,10.615565,360700
2015-05-21,12.92,13.11,12.88,13.09,10.788646,399800
2015-05-22,13.06,13.1,12.96,13.0,10.714468,127600
