Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,65.625,65.625,65.625,65.625,65.625,0
2010-01-05,65.625,70.0,65.625,65.625,65.625,0
2010-01-06,70.0,70.0,65.625,65.625,65.625,0
2010-01-07,70.0,70.0,70.0,70.0,70.0,100
2010-01-08,70.0,78.75,70.0,70.0,70.0,0
2010-01-11,70.0,78.75,70.0,74.375,74.375,0
2010-01-12,74.375,74.375,74.375,74.375,74.375,0
2010-01-13,70.0,74.375,70.0,74.375,74.375,0
2010-01-14,70.0,74.375,70.0,74.375,74.375,0
2010-01-15,70.0,78.75,65.625,78.75,78.75,0
2010-01-19,65.625,78.75,65.625,70.0,70.0,0
2010-01-20,70.0,70.0,56.875,65.625,65.625,100
2010-01-21,65.625,65.625,56.875,61.25,61.25,100
2010-01-22,61.25,61.25,56.875,61.25,61.25,100
2010-01-25,61.25,61.25,61.25,61.25,61.25,0
2010-01-26,61.25,61.25,61.25,61.25,61.25,0
2010-01-27,61.25,70.0,61.25,70.0,70.0,0
2010-01-28,70.0,70.0,61.25,70.0,70.0,100
2010-01-29,61.25,70.0,61.25,61.25,61.25,0
2010-02-01,61.25,61.25,56.875,56.875,56.875,100
2010-02-02,48.125,61.25,48.125,56.875,56.875,100
2010-02-03,56.875,65.625,52.5,52.5,52.5,0
2010-02-04,52.5,52.5,48.125,48.125,48.125,0
2010-02-05,48.125,48.125,48.125,48.125,48.125,0
2010-02-08,65.625,65.625,65.625,65.625,65.625,0
2010-02-09,56.875,65.625,56.875,61.25,61.25,0
2010-02-10,70.0,70.0,65.625,65.625,65.625,200
2010-02-11,65.625,78.75,65.625,78.75,78.75,0
2010-02-12,65.625,65.625,61.25,61.25,61.25,0
2010-02-16,61.25,61.25,56.875,56.875,56.875,0
2010-02-17,61.25,61.25,61.25,61.25,61.25,0
2010-02-18,70.0,74.375,70.0,74.375,74.375,100
2010-02-19,65.625,74.375,65.625,65.625,65.625,0
2010-02-22,65.625,65.625,61.25,61.25,61.25,100
2010-02-23,61.25,65.625,61.25,65.625,65.625,100
2010-02-24,74.375,74.375,65.625,65.625,65.625,100
2010-02-25,65.625,65.625,65.625,65.625,65.625,0
2010-02-26,61.25,74.375,61.25,74.375,74.375,0
2010-03-01,65.625,70.0,65.625,70.0,70.0,0
2010-03-02,70.0,74.375,61.25,61.25,61.25,100
2010-03-03,61.25,74.375,61.25,74.375,74.375,100
2010-03-04,61.25,65.625,61.25,65.625,65.625,0
2010-03-05,70.0,78.75,70.0,78.75,78.75,200
2010-03-08,74.375,74.375,65.625,74.375,74.375,100
2010-03-09,70.0,70.0,70.0,70.0,70.0,0
2010-03-10,70.0,78.75,70.0,70.0,70.0,0
2010-03-11,70.0,78.75,70.0,78.75,78.75,0
2010-03-12,78.75,78.75,78.75,78.75,78.75,100
2010-03-15,70.0,78.75,70.0,78.75,78.75,0
2010-03-16,70.0,70.0,65.625,65.625,65.625,0
2010-03-17,65.625,74.375,65.625,74.375,74.375,200
2010-03-18,65.625,78.75,65.625,65.625,65.625,0
2010-03-19,65.625,65.625,65.625,65.625,65.625,0
2010-03-22,65.625,65.625,65.625,65.625,65.625,0
2010-03-23,65.625,65.625,65.625,65.625,65.625,0
2010-03-24,65.625,74.375,65.625,65.625,65.625,0
2010-03-25,74.375,74.375,65.625,65.625,65.625,0
2010-03-26,65.625,65.625,65.625,65.625,65.625,0
2010-03-29,65.625,65.625,65.625,65.625,65.625,0
2010-03-30,61.25,61.25,61.25,61.25,61.25,200
2010-03-31,52.5,65.625,52.5,61.25,61.25,200
2010-04-01,56.875,70.0,56.875,70.0,70.0,100
2010-04-05,61.25,65.625,56.875,61.25,61.25,100
2010-04-06,56.875,65.625,56.875,65.625,65.625,100
2010-04-07,65.625,74.375,65.625,74.375,74.375,0
2010-04-08,61.25,70.0,56.875,65.625,65.625,100
2010-04-09,65.625,65.625,56.875,56.875,56.875,200
2010-04-12,56.875,65.625,52.5,65.625,65.625,200
2010-04-13,52.5,65.625,52.5,65.625,65.625,0
2010-04-14,56.875,61.25,56.875,56.875,56.875,0
2010-04-15,56.875,56.875,56.875,56.875,56.875,0
2010-04-16,65.625,65.625,56.875,65.625,65.625,0
2010-04-19,56.875,56.875,56.875,56.875,56.875,100
2010-04-20,56.875,61.25,56.875,61.25,61.25,100
2010-04-21,56.875,61.25,48.125,56.875,56.875,100
2010-04-22,56.875,56.875,56.875,56.875,56.875,0
2010-04-23,65.625,74.375,65.625,65.625,65.625,300
2010-04-26,65.625,91.875,65.625,87.5,87.5,500
2010-04-27,87.5,91.875,83.125,83.125,83.125,200
2010-04-28,83.125,83.125,74.375,78.75,78.75,200
2010-04-29,78.75,83.125,74.375,74.375,74.375,200
2010-04-30,74.375,78.75,65.625,70.0,70.0,100
2010-05-03,74.375,74.375,61.25,61.25,61.25,100
2010-05-04,65.625,65.625,65.625,65.625,65.625,0
2010-05-05,65.625,78.75,65.625,78.75,78.75,100
2010-05-06,56.875,78.75,56.875,78.75,78.75,0
2010-05-07,78.75,78.75,78.75,78.75,78.75,0
2010-05-10,56.875,56.875,56.875,56.875,56.875,0
2010-05-11,91.875,91.875,65.625,83.125,83.125,0
2010-05-12,65.625,83.125,65.625,65.625,65.625,0
2010-05-13,65.625,78.75,65.625,78.75,78.75,0
2010-05-14,87.5,91.875,78.75,78.75,78.75,100
2010-05-17,78.75,91.875,78.75,87.5,87.5,100
2010-05-18,83.125,87.5,74.375,74.375,74.375,500
2010-05-19,74.375,78.75,70.0,78.75,78.75,0
2010-05-20,78.75,78.75,74.375,78.75,78.75,100
2010-05-21,65.625,74.375,61.25,74.375,74.375,200
2010-05-24,74.375,74.375,74.375,74.375,74.375,0
2010-05-25,74.375,74.375,56.875,74.375,74.375,100
2010-05-26,61.25,65.625,61.25,65.625,65.625,100
2010-05-27,65.625,74.375,65.625,70.0,70.0,100
2010-05-28,70.0,70.0,70.0,70.0,70.0,100
2010-06-01,70.0,70.0,65.625,65.625,65.625,200
2010-06-02,65.625,74.375,56.875,65.625,65.625,500
2010-06-03,61.25,61.25,61.25,61.25,61.25,0
2010-06-04,65.625,70.0,61.25,61.25,61.25,0
2010-06-07,70.0,70.0,61.25,61.25,61.25,0
2010-06-08,61.25,70.0,61.25,61.25,61.25,100
2010-06-09,61.25,61.25,61.25,61.25,61.25,0
2010-06-10,61.25,70.0,61.25,70.0,70.0,0
2010-06-11,61.25,70.0,61.25,61.25,61.25,0
2010-06-14,61.25,61.25,61.25,61.25,61.25,0
2010-06-15,65.625,65.625,56.875,56.875,56.875,100
2010-06-16,65.625,70.0,56.875,61.25,61.25,100
2010-06-17,56.875,56.875,56.875,56.875,56.875,0
2010-06-18,61.25,65.625,56.875,56.875,56.875,300
2010-06-21,61.25,61.25,56.875,61.25,61.25,0
2010-06-22,56.875,56.875,48.125,52.5,52.5,100
2010-06-23,56.875,56.875,48.125,48.125,48.125,200
2010-06-24,52.5,52.5,52.5,52.5,52.5,0
2010-06-25,48.125,52.5,48.125,48.125,48.125,100
2010-06-28,43.75,52.5,43.75,52.5,52.5,100
2010-06-29,48.125,48.125,43.75,43.75,43.75,100
2010-06-30,43.75,56.875,43.75,56.875,56.875,0
2010-07-01,43.75,43.75,43.75,43.75,43.75,0
2010-07-02,48.125,56.875,48.125,56.875,56.875,0
2010-07-06,43.75,56.875,43.75,43.75,43.75,100
2010-07-07,43.75,43.75,43.75,43.75,43.75,0
2010-07-08,48.125,48.125,48.125,48.125,48.125,0
2010-07-09,48.125,48.125,48.125,48.125,48.125,0
2010-07-12,48.125,48.125,43.75,43.75,43.75,0
2010-07-13,43.75,43.75,43.75,43.75,43.75,0
2010-07-14,43.75,48.125,43.75,48.125,48.125,100
2010-07-15,48.125,48.125,48.125,48.125,48.125,0
2010-07-16,52.5,52.5,48.125,48.125,48.125,200
2010-07-19,48.125,52.5,48.125,52.5,52.5,0
2010-07-20,52.5,52.5,48.125,48.125,48.125,0
