Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,15.17,15.2,15.1,15.1,14.365598,15500
2017-06-02,14.95,14.95,14.95,14.95,14.222893,2500
2017-06-05,15.1,15.1,15.1,15.1,14.365598,400
2017-06-06,15.08,15.08,14.89,14.89,14.165810999999998,3700
2017-06-07,15.07,15.07,14.81,14.81,14.089701999999999,4400
2017-06-08,14.81,14.81,14.81,14.81,14.089701999999999,0
2017-06-09,15.25,15.25,14.87,14.87,14.146784,5100
2017-06-12,15.45,15.45,15.45,15.45,14.698573999999999,100
2017-06-13,15.45,15.45,15.45,15.45,14.698573999999999,0
2017-06-14,14.75,14.75,14.75,14.75,14.032620000000001,8000
2017-06-15,14.51,14.51,14.51,14.51,13.804293,2600
2017-06-16,14.74,14.74,14.74,14.74,14.023106,100
2017-06-19,14.74,14.74,14.74,14.74,14.023106,0
2017-06-20,14.74,14.74,14.74,14.74,14.023106,0
2017-06-21,14.74,14.74,14.74,14.74,14.023106,0
2017-06-22,14.74,14.74,14.74,14.74,14.023106,0
2017-06-23,14.83,14.83,14.83,14.83,14.108728,100
2017-06-26,14.8,14.8,14.8,14.8,14.080189,1500
2017-06-27,14.69,14.69,14.69,14.69,13.975537,600
2017-06-28,14.8,14.85,14.79,14.85,14.127757,500
2017-06-29,14.99,14.99,14.97,14.97,14.24192,800
2017-06-30,14.97,15.04,14.84,14.95,14.222893,4300
2017-07-03,14.99,15.03,14.99,15.03,14.299002,1300
2017-07-05,14.94,14.94,14.9,14.9,14.175324,3100
2017-07-06,15.15,15.15,14.72,14.72,14.004079999999998,4500
2017-07-07,14.95,15.11,14.95,15.1,14.365598,600
2017-07-10,15.01,15.01,14.92,14.98,14.251432999999999,400
2017-07-11,14.8,14.8,14.8,14.8,14.080189,1000
2017-07-12,14.8,14.8,14.8,14.8,14.080189,0
2017-07-13,14.73,14.75,14.73,14.75,14.032620000000001,2000
2017-07-14,14.75,14.79,14.75,14.79,14.070673999999999,500
2017-07-17,14.9,14.9,14.9,14.9,14.175324,100
2017-07-18,14.82,14.82,14.79,14.79,14.070673999999999,400
2017-07-19,14.65,14.65,14.63,14.63,13.918455999999999,800
