Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.870001000000002,22.51,21.870001000000002,22.459999,16.345123,4400
2010-01-05,22.379998999999998,22.379998999999998,21.42,21.700001,15.792041000000001,11400
2010-01-06,21.629998999999998,21.67,20.99,21.01,15.289895000000001,8800
2010-01-07,21.08,21.34,20.629998999999998,20.889999,15.202569,14600
2010-01-08,21.290001,21.299999,20.549999,21.01,15.289895000000001,5200
2010-01-11,21.1,21.1,20.610001,20.76,15.107966000000001,6700
2010-01-12,20.629998999999998,20.85,20.389999,20.389999,14.838697,3800
2010-01-13,20.51,20.91,20.51,20.549999,14.955139,6500
2010-01-14,20.5,20.74,20.280001000000002,20.549999,14.955139,12900
2010-01-15,20.67,20.67,20.129998999999998,20.24,14.729539,19300
2010-01-19,20.469998999999998,21.82,20.469998999999998,21.360001,15.544609,72500
2010-01-20,21.25,21.549999,20.76,20.82,15.151628,16200
2010-01-21,20.709999,20.75,19.450001,19.49,14.183729000000001,20800
2010-01-22,19.700001,20.0,19.35,19.41,14.125509,11200
2010-01-25,19.540001,19.67,19.32,19.639999,14.292891000000001,3200
2010-01-26,19.559998999999998,20.4,19.35,19.67,14.314723999999998,24600
2010-01-27,19.719998999999998,20.370001000000002,19.719998999999998,19.77,14.387497,12500
2010-01-28,19.780001000000002,20.620001000000002,19.16,19.16,13.943570000000001,9300
2010-01-29,19.68,19.68,18.879998999999998,18.889999,13.747079999999999,10200
2010-02-01,18.99,19.209999,18.629998999999998,18.809998999999998,13.688863000000001,11200
2010-02-02,18.700001,18.940001000000002,18.139999,18.209999,13.252218,12200
2010-02-03,18.209999,18.34,17.66,17.700001,12.881066,13700
2010-02-04,17.690001000000002,17.700001,17.200001,17.219998999999998,12.531747,16100
2010-02-05,17.040001,17.610001,17.040001,17.42,12.6773,2400
2010-02-08,17.469998999999998,17.93,17.18,17.25,12.553581,9800
2010-02-09,17.48,18.49,17.08,18.07,13.150332999999998,12000
2010-02-10,18.0,18.08,17.9,18.08,13.157607999999998,3400
2010-02-11,18.01,18.93,18.01,18.790001,13.674307999999998,7400
2010-02-12,18.67,18.790001,18.610001,18.690001000000002,13.601535,5300
2010-02-16,18.82,19.85,18.82,19.75,14.37294,3400
2010-02-17,19.82,20.049999,18.98,19.9,14.482107000000001,12700
2010-02-18,19.950001,19.950001,19.41,19.530001000000002,14.212833999999999,13700
2010-02-19,19.5,19.65,19.389999,19.540001,14.220118,6900
2010-02-22,19.93,20.139999,19.68,20.049999,14.591266000000001,3300
2010-02-23,20.4,20.959999,20.049999,20.049999,14.591266000000001,6200
2010-02-24,20.129998999999998,20.4,19.700001,20.0,14.554877,7600
2010-02-25,19.75,20.1,19.75,20.030001000000002,14.576704999999999,5100
2010-02-26,19.74,20.139999,19.51,20.01,14.562157999999998,4600
2010-03-01,20.059998999999998,20.51,19.91,20.450001,14.88236,4000
2010-03-02,20.030001000000002,20.42,19.9,20.120001000000002,14.642204999999999,9500
2010-03-03,20.129998999999998,20.24,19.93,20.219998999999998,14.885138000000001,4000
2010-03-04,19.700001,19.700001,19.26,19.610001,14.436081,8200
2010-03-05,19.67,19.84,19.67,19.73,14.524419,7200
2010-03-08,19.42,19.58,19.0,19.26,14.178429999999999,14400
2010-03-09,19.16,19.5,18.940001000000002,19.5,14.355104,2400
2010-03-10,19.43,19.610001,19.41,19.59,14.42136,4900
2010-03-11,19.48,19.5,19.48,19.5,14.355104,1300
2010-03-12,19.5,19.5,19.26,19.27,14.185788,1000
2010-03-15,19.33,19.98,19.25,19.629998999999998,14.450804000000002,3900
2010-03-16,19.709999,20.040001,19.700001,20.040001,14.752629,1900
2010-03-17,20.26,20.540001,19.610001,19.98,14.708459,5700
2010-03-18,19.92,20.4,19.92,20.08,14.782076000000002,11800
2010-03-19,20.34,20.35,19.48,19.889999,14.642204999999999,26400
2010-03-22,19.77,20.01,19.58,20.01,14.730548,25700
2010-03-23,20.0,21.450001,19.91,21.35,15.716996,12800
2010-03-24,21.01,21.77,21.01,21.030001000000002,15.481428,15400
2010-03-25,21.18,21.299999,20.5,20.68,15.223771,4400
2010-03-26,20.200001,21.299999,20.1,20.959999,15.429893,6900
2010-03-29,20.440001000000002,20.6,20.379998999999998,20.48,15.076539000000002,900
2010-03-30,20.16,20.16,19.790001,20.09,14.789434,4200
2010-03-31,19.91,20.77,19.719998999999998,20.15,14.833611,13800
2010-04-01,20.27,20.27,19.52,19.620001000000002,14.443442999999998,7600
2010-04-05,19.709999,20.18,19.51,19.969998999999998,14.701101000000001,12500
2010-04-06,19.9,19.9,19.76,19.85,14.61276,600
2010-04-07,19.76,20.59,19.76,20.01,14.730548,3700
2010-04-08,20.0,20.280001000000002,19.809998999999998,19.84,14.605398000000001,3700
2010-04-09,19.6,20.049999,19.49,19.709999,14.5097,14800
2010-04-12,19.639999,20.02,19.639999,19.98,14.708459,6700
2010-04-13,20.18,20.540001,20.18,20.540001,15.12071,17800
2010-04-14,20.91,20.91,20.65,20.75,15.275303,5100
2010-04-15,20.4,20.99,19.82,20.879998999999998,15.371004999999998,16700
2010-04-16,20.85,20.9,20.610001,20.780001000000002,15.297391000000001,8100
2010-04-19,20.91,20.91,20.75,20.75,15.275303,3400
2010-04-20,20.84,20.870001000000002,20.709999,20.77,15.290026000000001,1400
2010-04-21,20.9,20.93,20.4,20.93,15.407813,2800
2010-04-22,21.0,21.67,21.0,21.469998999999998,15.805337,11800
2010-04-23,21.469998999999998,21.5,21.0,21.360001,15.724357999999999,3800
2010-04-26,21.51,21.67,21.34,21.67,15.952573999999998,5400
2010-04-27,21.620001000000002,21.91,21.51,21.51,15.834783999999999,7600
2010-04-28,21.639999,21.9,21.6,21.610001,15.9084,6100
2010-04-29,21.719998999999998,22.0,21.57,21.92,16.136614,5000
2010-04-30,21.65,21.91,21.5,21.709999,15.982018,10900
2010-05-03,21.73,21.940001000000002,21.57,21.91,16.129248,2500
2010-05-04,21.67,21.9,21.58,21.799999,16.048265,7300
2010-05-05,21.780001000000002,21.780001000000002,21.389999,21.389999,15.746445000000001,3900
2010-05-06,21.040001,21.200001,19.65,19.65,14.465527999999999,8600
2010-05-07,19.68,20.280001000000002,19.530001000000002,19.59,14.42136,6500
2010-05-10,20.35,21.67,19.66,20.66,15.209048999999998,15800
2010-05-11,20.450001,21.66,20.450001,21.57,15.878953,12900
2010-05-12,21.530001000000002,21.889999,21.530001000000002,21.75,16.011465,17600
2010-05-13,21.75,21.790001,21.549999,21.639999,15.930485000000001,2900
2010-05-14,21.5,21.5,20.870001000000002,21.1,15.532959,3600
2010-05-17,21.27,21.309998999999998,20.610001,20.93,15.407813,4700
2010-05-18,21.17,21.17,20.0,20.379998999999998,15.002920999999999,8800
2010-05-19,20.43,20.5,20.33,20.360001,14.988202,7600
2010-05-20,20.049999,20.299999,19.5,19.51,14.362467,5200
2010-05-21,19.35,20.09,19.35,19.950001,14.686379,12000
2010-05-24,20.0,20.530001000000002,19.52,19.709999,14.5097,4600
2010-05-25,19.33,19.610001,19.08,19.209999,14.141618,10300
2010-05-26,19.809998999999998,20.030001000000002,19.049999,19.059998999999998,14.031195,6300
2010-05-27,19.440001000000002,19.440001000000002,19.02,19.27,14.185788,11700
2010-05-28,19.280001000000002,20.209999,19.280001000000002,20.139999,14.826248999999999,7100
2010-06-01,20.0,20.040001,19.16,19.16,14.10481,8800
2010-06-02,18.129998999999998,19.879998999999998,18.110001,19.879998999999998,14.812657000000002,5500
2010-06-03,19.790001,20.200001,19.35,20.0,14.902072,4300
2010-06-04,19.59,19.799999,19.219998999999998,19.23,14.328341,9300
2010-06-07,19.33,20.43,19.299999,19.51,14.536972,20300
