Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.55,2.61,2.52,2.52,2.38342,1200
2010-01-05,2.43,2.6,2.32,2.6,2.459083,1600
2010-01-06,2.59,2.91,2.59,2.76,2.610411,3000
2010-01-07,2.75,2.75,2.75,2.75,2.600953,100
2010-01-08,2.75,2.75,2.63,2.74,2.591495,4300
2010-01-11,2.7,2.75,2.7,2.7,2.553664,1700
2010-01-12,2.7,2.75,2.7,2.75,2.600953,300
2010-01-13,2.7,2.73,2.7,2.72,2.57258,6500
2010-01-14,2.75,2.75,2.71,2.73,2.5820380000000003,2700
2010-01-15,2.72,2.73,2.72,2.73,2.5820380000000003,4900
2010-01-19,2.5,2.78,2.5,2.61,2.468541,4500
2010-01-20,2.62,2.63,2.62,2.63,2.487457,400
2010-01-21,2.54,2.61,2.54,2.61,2.468541,2400
2010-01-22,2.64,2.67,2.64,2.67,2.525289,1800
2010-01-25,2.65,2.65,2.65,2.65,2.506373,1200
2010-01-26,2.65,2.65,2.65,2.65,2.506373,0
2010-01-27,2.74,2.74,2.66,2.66,2.515831,800
2010-01-28,2.7,2.73,2.7,2.73,2.5820380000000003,1700
2010-01-29,2.7,2.7,2.7,2.7,2.553664,300
2010-02-01,2.56,2.65,2.55,2.65,2.506373,6400
2010-02-02,2.6,2.6,2.6,2.6,2.459083,300
2010-02-03,2.73,2.98,2.73,2.85,2.695534,5100
2010-02-04,2.81,2.82,2.8,2.81,2.657701,1900
2010-02-05,2.82,2.82,2.78,2.78,2.6293279999999997,1100
2010-02-08,2.78,2.78,2.78,2.78,2.6293279999999997,0
2010-02-09,2.77,2.77,2.77,2.77,2.619869,200
2010-02-10,2.64,2.64,2.64,2.64,2.496915,200
2010-02-11,2.64,2.64,2.64,2.64,2.496915,0
2010-02-12,2.64,2.64,2.64,2.64,2.496915,0
2010-02-16,2.65,2.65,2.65,2.65,2.506373,200
2010-02-17,2.85,2.85,2.85,2.85,2.695534,100
2010-02-18,2.85,2.85,2.85,2.85,2.695534,0
2010-02-19,2.85,2.85,2.85,2.85,2.695534,0
2010-02-22,2.8,2.8,2.76,2.76,2.610411,1600
2010-02-23,2.75,2.88,2.75,2.8,2.648243,4500
2010-02-24,2.8,2.92,2.8,2.92,2.761739,1900
2010-02-25,2.92,3.23,2.92,3.13,2.9603580000000003,3500
2010-02-26,3.18,3.5,3.18,3.44,3.253556,5000
2010-03-01,3.74,3.74,3.18,3.24,3.064396,8500
2010-03-02,3.3,3.5,3.21,3.5,3.3103050000000005,26700
2010-03-03,3.54,3.54,3.5,3.5,3.3103050000000005,13500
2010-03-04,3.5,3.5,3.2,3.26,3.083312,13300
2010-03-05,3.26,3.26,3.21,3.26,3.083312,2100
2010-03-08,3.24,3.26,3.2,3.2,3.026565,8900
2010-03-09,3.25,3.47,3.21,3.46,3.272472,3400
2010-03-10,3.47,3.47,3.47,3.47,3.2819300000000005,300
2010-03-11,3.31,3.31,3.3,3.3,3.1211439999999997,1100
2010-03-12,3.43,3.43,3.39,3.41,3.2251819999999998,600
2010-03-15,3.36,3.45,3.24,3.43,3.244098,4600
2010-03-16,3.49,3.54,3.25,3.54,3.3481360000000002,2500
2010-03-17,3.35,3.54,3.25,3.33,3.149518,7300
2010-03-18,3.52,3.53,3.33,3.4,3.2157240000000002,3200
2010-03-19,3.51,3.53,3.29,3.41,3.2251819999999998,6500
2010-03-22,3.37,3.5,3.31,3.31,3.130602,5600
2010-03-23,3.33,3.7,3.32,3.63,3.4332580000000004,19600
2010-03-24,3.47,3.55,3.34,3.35,3.168434,23500
2010-03-25,3.59,3.66,3.5,3.5,3.3103050000000005,7400
2010-03-26,3.43,3.43,3.43,3.43,3.244098,800
2010-03-29,3.49,3.5,3.37,3.37,3.18735,4900
2010-03-30,3.34,3.48,3.34,3.35,3.168434,6400
2010-03-31,3.42,3.78,3.4,3.6,3.4048849999999997,35000
2010-04-01,3.6,4.22,3.45,4.19,3.962907,65700
2010-04-05,4.15,4.22,3.47,3.6,3.4048849999999997,43400
2010-04-06,3.82,4.09,3.72,4.03,3.811579,14000
2010-04-07,3.97,4.12,3.96,4.02,3.802121,6300
2010-04-08,3.95,4.2,3.95,4.02,3.802121,2200
2010-04-09,4.15,4.15,3.95,4.14,3.9156160000000004,3300
2010-04-12,4.14,4.25,3.99,4.07,3.849411,15000
2010-04-13,4.13,4.25,4.01,4.09,3.868327,3900
2010-04-14,4.14,4.2,4.0,4.1,3.8777839999999997,4200
2010-04-15,3.97,4.15,3.95,4.15,3.925075,3700
2010-04-16,4.17,4.17,4.02,4.1,3.8777839999999997,2200
2010-04-19,3.96,4.13,3.93,3.98,3.7642889999999998,22800
2010-04-20,3.96,4.12,3.94,4.12,3.896702,30600
2010-04-21,3.97,4.36,3.94,4.21,3.9818230000000003,36100
2010-04-22,4.23,5.1,4.23,4.98,4.710089,50600
2010-04-23,5.05,5.05,4.36,4.44,4.199357,47800
2010-04-26,4.45,4.8,4.45,4.68,4.42635,13900
2010-04-27,4.59,4.6,4.01,4.2,3.972365,24400
2010-04-28,4.2,4.57,4.2,4.49,4.246646,28800
2010-04-29,4.37,4.7,4.29,4.46,4.218275,18000
2010-04-30,4.23,4.37,3.64,4.03,3.811579,30800
2010-05-03,4.13,4.3,4.07,4.2,3.972365,12100
2010-05-04,4.07,4.07,3.66,3.81,3.603503,8100
2010-05-05,3.8,4.27,3.8,4.27,4.038571,12000
2010-05-06,3.73,4.2,3.73,4.1,3.8777839999999997,5300
2010-05-07,4.29,4.29,3.75,4.2,3.972365,2200
2010-05-10,4.17,4.22,3.95,4.12,3.896702,4400
2010-05-11,3.97,4.26,3.97,4.13,3.9061589999999997,2000
2010-05-12,4.13,4.13,3.81,4.05,3.830496,4200
2010-05-13,4.05,4.05,4.05,4.05,3.830496,0
2010-05-14,4.15,4.61,4.15,4.55,4.303397,124500
2010-05-17,4.55,4.6,4.55,4.6,4.350687000000001,1700
2010-05-18,4.4,4.44,4.4,4.44,4.199357,700
2010-05-19,4.31,4.5,4.14,4.5,4.256106,3400
2010-05-20,4.29,4.57,4.17,4.51,4.265564,2800
2010-05-21,4.14,4.36,4.14,4.23,4.000739,2200
2010-05-24,4.37,4.43,4.29,4.31,4.076403,3000
2010-05-25,4.31,4.54,4.3,4.3,4.066947,2900
2010-05-26,4.31,4.32,4.12,4.22,3.991282,9700
2010-05-27,4.41,4.94,4.3,4.8,4.539845,18000
2010-05-28,4.84,4.84,4.39,4.71,4.454725,27900
2010-06-01,4.66,4.9,4.28,4.76,4.502015,13400
2010-06-02,4.74,4.83,4.41,4.72,4.464182,19600
2010-06-03,4.8,4.8,4.3,4.41,4.1709830000000006,25700
2010-06-04,4.6,4.86,4.55,4.79,4.530387,24800
2010-06-07,4.78,4.78,4.35,4.61,4.360144,5100
2010-06-08,4.44,4.6,4.4,4.4,4.161524,4900
2010-06-09,4.45,4.45,4.22,4.27,4.038571,2900
2010-06-10,4.5,4.52,4.05,4.09,3.868327,7900
2010-06-11,4.38,4.38,4.33,4.33,4.095318,1000
2010-06-14,4.26,4.31,4.26,4.3,4.066947,18000
2010-06-15,4.4,4.4,4.34,4.37,4.133151,23900
2010-06-16,4.28,4.36,4.28,4.36,4.123694,1200
2010-06-17,4.32,4.4,4.31,4.4,4.161524,2200
2010-06-18,4.24,4.3,4.11,4.19,3.962907,7400
2010-06-21,4.25,4.3,4.16,4.23,4.000739,11100
2010-06-22,4.29,4.36,4.29,4.36,4.123694,3400
2010-06-23,4.28,4.4,4.25,4.32,4.085861,4200
2010-06-24,4.36,4.54,4.26,4.5,4.256106,13100
2010-06-25,4.5,4.7,4.45,4.66,4.407433999999999,36900
