Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,140.0,145.0,135.0,140.0,140.0,267
2010-01-05,130.0,140.050003,127.550003,140.0,140.0,378
2010-01-06,140.0,155.0,131.0,150.0,150.0,492
2010-01-07,135.0,150.0,125.0,137.5,137.5,376
2010-01-08,147.5,159.5,137.5,154.5,154.5,833
2010-01-11,165.0,170.0,145.0,160.0,160.0,905
2010-01-12,162.5,162.5,147.0,159.949997,159.949997,230
2010-01-13,95.050003,119.400002,90.0,105.0,105.0,6963
2010-01-14,105.650002,115.0,92.5,92.5,92.5,2134
2010-01-15,95.599998,100.0,85.0,94.5,94.5,1330
2010-01-19,80.0,99.5,76.599998,83.0,83.0,961
2010-01-20,80.099998,90.0,77.599998,88.0,88.0,1138
2010-01-21,75.5,95.0,75.0,80.0,80.0,1522
2010-01-22,80.0,85.0,77.5,82.550003,82.550003,562
2010-01-25,85.0,87.5,75.0,77.5,77.5,354
2010-01-26,77.5,90.0,75.050003,75.050003,75.050003,489
2010-01-27,75.050003,85.0,75.050003,80.0,80.0,333
2010-01-28,80.0,87.449997,77.5,87.449997,87.449997,288
2010-01-29,87.449997,87.449997,75.0,80.0,80.0,243
2010-02-01,75.0,95.0,75.0,90.0,90.0,417
2010-02-02,85.0,90.0,77.550003,80.0,80.0,185
2010-02-03,80.0,85.0,75.0,80.0,80.0,360
2010-02-04,77.550003,79.949997,65.0,79.949997,79.949997,266
2010-02-05,75.5,80.0,75.5,75.550003,75.550003,123
2010-02-08,77.5,80.0,77.5,80.0,80.0,35
2010-02-09,84.949997,97.5,84.949997,97.5,97.5,996
2010-02-10,97.5,100.0,93.75,100.0,100.0,380
2010-02-11,99.5,99.5,94.0,94.5,94.5,189
2010-02-12,94.5,95.0,92.5,92.5,92.5,54
2010-02-16,100.0,100.0,86.25,86.25,86.25,10
2010-02-17,86.25,100.0,65.0,80.0,80.0,177
2010-02-18,90.0,90.0,76.0,89.949997,89.949997,135
2010-02-19,89.949997,89.949997,70.0,75.0,75.0,809
2010-02-22,75.5,95.0,75.0,87.0,87.0,206
2010-02-23,87.0,87.0,86.5,86.5,86.5,23
2010-02-24,75.5,86.5,75.300003,86.5,86.5,73
2010-02-25,80.0,90.0,80.0,90.0,90.0,68
2010-02-26,90.0,93.849998,81.0,93.849998,93.849998,30
2010-03-01,87.5,93.849998,87.5,92.0,92.0,187
2010-03-02,88.75,95.0,87.5,92.0,92.0,115
2010-03-03,90.0,92.0,90.0,90.0,90.0,65
2010-03-04,90.0,93.75,90.0,93.5,93.5,83
2010-03-05,97.5,97.5,90.0,95.0,95.0,69
2010-03-08,95.0,97.5,90.0,90.0,90.0,106
2010-03-09,97.5,97.5,87.5,90.0,90.0,44
2010-03-10,85.0,96.5,85.0,95.0,95.0,111
2010-03-11,95.0,96.5,85.0,96.5,96.5,51
2010-03-12,95.0,97.5,87.5,87.5,87.5,60
2010-03-15,87.5,97.5,87.5,97.5,97.5,38
2010-03-16,97.5,97.5,87.5,97.5,97.5,36
2010-03-17,97.5,100.0,87.5,100.0,100.0,296
2010-03-18,87.650002,100.0,87.650002,100.0,100.0,87
2010-03-19,100.0,107.5,97.5,102.5,102.5,201
2010-03-22,100.0,115.0,100.0,114.0,114.0,154
2010-03-23,110.0,115.0,90.0,110.0,110.0,180
2010-03-24,105.0,115.0,105.0,110.0,110.0,62
2010-03-25,110.0,115.0,105.0,112.5,112.5,36
2010-03-26,115.0,117.0,100.5,115.0,115.0,169
2010-03-29,115.0,120.0,105.0,115.0,115.0,224
2010-03-30,105.0,112.5,105.0,110.0,110.0,121
2010-03-31,110.0,110.0,110.0,110.0,110.0,38
2010-04-01,110.0,120.0,110.0,120.0,120.0,179
2010-04-05,125.0,125.0,110.050003,120.0,120.0,77
2010-04-06,112.5,120.0,112.5,112.5,112.5,38
2010-04-07,112.5,120.0,112.5,120.0,120.0,31
2010-04-08,112.5,120.0,110.0,112.5,112.5,71
2010-04-09,115.0,145.0,115.0,139.5,139.5,461
2010-04-12,125.0,137.5,125.0,137.5,137.5,89
2010-04-13,125.0,125.0,101.0,105.0,105.0,197
2010-04-14,105.5,115.0,100.0,115.0,115.0,251
2010-04-15,110.0,115.0,110.0,115.0,115.0,62
2010-04-16,115.0,115.0,106.5,110.0,110.0,42
2010-04-19,125.0,125.0,105.0,115.0,115.0,92
2010-04-20,125.0,125.0,102.5,110.0,110.0,199
2010-04-21,110.0,115.0,110.0,110.0,110.0,35
2010-04-22,110.0,110.0,100.0,105.0,105.0,20
2010-04-23,110.0,135.0,110.0,124.0,124.0,440
