Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.29,14.48,14.12,14.25,12.495202,167900
2010-01-05,14.24,14.8,14.0,14.44,12.661804,617000
2010-01-06,14.4,14.62,14.07,14.2,12.451361,205600
2010-01-07,14.19,14.44,14.1,14.16,12.416286,215400
2010-01-08,14.15,14.52,14.1,14.52,12.731955000000001,170800
2010-01-11,14.65,14.65,14.17,14.34,12.574121,188200
2010-01-12,14.2,14.63,14.14,14.58,12.784566,389600
2010-01-13,14.7,15.26,14.7,15.21,13.336986999999999,403700
2010-01-14,15.11,15.57,15.01,15.35,13.459745999999999,545900
2010-01-15,15.47,15.65,15.16,15.54,13.626347,392000
2010-01-19,15.53,16.35,15.41,16.32,14.310294,404800
2010-01-20,16.129998999999998,16.129998999999998,15.35,15.49,13.582504,314100
2010-01-21,15.48,15.57,14.91,15.08,13.222995000000001,235200
2010-01-22,14.9,15.25,14.54,14.6,12.802105000000001,244600
2010-01-25,14.78,14.81,14.45,14.56,12.767031,174500
2010-01-26,14.56,14.72,14.35,14.41,12.635502,178500
2010-01-27,14.4,14.43,14.05,14.34,12.574121,229200
2010-01-28,14.33,14.33,13.85,14.02,12.293527000000001,242600
2010-01-29,14.12,14.26,13.74,13.76,12.065544000000001,248800
2010-02-01,13.9,14.1,13.74,13.95,12.232144,183400
2010-02-02,13.99,14.1,13.72,14.05,12.319828999999999,211700
2010-02-03,13.99,14.16,13.84,13.94,12.22338,137300
2010-02-04,13.84,14.02,13.34,13.35,11.706033999999999,175600
2010-02-05,13.35,13.49,13.08,13.39,11.813666,246400
2010-02-08,13.44,13.5,13.21,13.23,11.672506,136900
2010-02-09,13.44,13.44,12.91,13.41,11.831315,243200
2010-02-10,13.36,13.44,13.05,13.33,11.760733,171800
2010-02-11,13.25,13.65,13.04,13.63,12.025414999999999,259800
2010-02-12,13.53,13.83,13.46,13.82,12.193047,125000
2010-02-16,13.95,14.05,13.72,14.05,12.395972,70600
2010-02-17,14.95,14.95,14.11,14.26,12.581252000000001,131100
2010-02-18,14.29,14.43,14.1,14.42,12.722415,78200
2010-02-19,14.42,14.49,14.11,14.44,12.740058,145200
2010-02-22,14.45,14.74,14.39,14.55,12.837109,78600
2010-02-23,14.57,14.64,14.12,14.27,12.590073,123600
2010-02-24,14.35,14.43,14.1,14.3,12.616539999999999,130700
2010-02-25,14.18,14.34,13.88,14.34,12.651833,119700
2010-02-26,14.39,14.57,14.1,14.29,12.607717999999998,119900
2010-03-01,14.41,14.89,14.2,14.86,13.110614000000002,140500
2010-03-02,14.84,15.1,14.74,15.04,13.269426000000001,137000
2010-03-03,15.09,15.2,14.92,15.01,13.242954999999998,185400
2010-03-04,14.98,15.16,14.78,14.97,13.207664999999999,94900
2010-03-05,15.01,15.55,14.97,15.5,13.675270000000001,170600
2010-03-08,15.43,15.7,15.4,15.49,13.666448999999998,92200
2010-03-09,15.43,15.53,15.32,15.48,13.657623999999998,140700
2010-03-10,15.53,15.74,15.26,15.65,13.807611999999999,134100
2010-03-11,15.5,15.5,15.14,15.26,13.463527,120500
2010-03-12,15.38,15.38,15.07,15.21,13.419412,68000
2010-03-15,15.14,15.35,14.72,15.09,13.313537,175600
2010-03-16,15.1,15.18,15.01,15.08,13.304715,132700
2010-03-17,15.16,15.42,15.09,15.3,13.498814000000001,155700
2010-03-18,15.34,15.75,15.15,15.52,13.692917999999999,129000
2010-03-19,15.64,15.7,15.3,15.47,13.648805,254000
2010-03-22,15.46,15.96,15.22,15.91,14.037004999999999,159300
2010-03-23,15.92,16.559998999999998,15.79,16.5,14.557548,162700
2010-03-24,16.35,16.49,16.09,16.1,14.204639000000002,131900
2010-03-25,16.26,16.67,16.129998999999998,16.219998999999998,14.31051,157100
2010-03-26,16.33,16.42,15.78,15.79,13.931132,149600
2010-03-29,15.88,16.07,15.74,15.95,14.072296,166900
2010-03-30,16.0,16.4,15.67,16.27,14.354624,99400
2010-03-31,16.16,16.549999,15.8,15.81,13.948777999999999,172100
2010-04-01,15.97,16.190001000000002,15.61,15.93,14.054653,121100
2010-04-05,15.92,16.42,15.82,16.25,14.336981,140300
2010-04-06,16.17,16.809998999999998,15.97,16.76,14.786942000000002,182700
2010-04-07,16.690001000000002,16.889999,16.299999,16.57,14.619307999999998,210400
2010-04-08,14.03,15.21,14.0,14.35,12.660654,1142800
2010-04-09,14.27,14.3,13.59,13.76,12.140114,617200
2010-04-12,13.81,14.07,13.65,13.89,12.254805000000001,269700
2010-04-13,13.81,14.03,13.62,13.85,12.219517999999999,581300
2010-04-14,13.98,14.1,13.21,13.43,11.848962,462800
2010-04-15,13.45,13.5,12.7,12.88,11.363710000000001,552800
2010-04-16,12.85,13.26,12.77,13.05,11.513695,484400
2010-04-19,12.94,13.2,12.75,13.16,11.610746,408500
2010-04-20,13.23,13.25,12.73,13.05,11.513695,359100
2010-04-21,13.02,13.32,13.02,13.28,11.716619,330800
2010-04-22,12.93,13.38,12.93,13.29,11.725444,299900
2010-04-23,13.34,13.83,13.22,13.6,11.998948,399900
2010-04-26,13.62,13.85,13.52,13.57,11.972476,231200
2010-04-27,13.46,13.81,13.25,13.55,11.954832000000001,539200
2010-04-28,13.6,13.68,13.47,13.64,12.034239999999999,609800
2010-04-29,13.73,14.21,13.6,14.21,12.537137,336700
2010-04-30,14.23,14.31,13.74,13.74,12.122466000000001,353600
2010-05-03,13.69,14.18,13.6,14.13,12.466555,347200
2010-05-04,13.88,13.97,13.71,13.85,12.219517999999999,397100
2010-05-05,13.83,14.5,13.55,14.25,12.572426,563100
2010-05-06,14.12,14.63,13.52,14.15,12.4842,461200
2010-05-07,14.11,14.36,13.66,13.74,12.122466000000001,522600
2010-05-10,14.14,14.5,13.91,14.48,12.775349,235600
2010-05-11,14.24,14.5,14.13,14.42,12.722415,221200
2010-05-12,14.4,15.09,14.39,15.01,13.242954999999998,245000
2010-05-13,14.91,15.0,14.65,14.9,13.145906,301100
2010-05-14,14.71,14.71,14.16,14.59,12.943635,272200
2010-05-17,14.61,14.96,14.03,14.51,12.872662,369400
2010-05-18,14.74,14.74,14.0,14.29,12.677489,248400
2010-05-19,14.24,14.44,13.78,14.02,12.437954,311900
2010-05-20,13.75,13.87,13.17,13.23,11.737098,200200
2010-05-21,13.03,13.78,12.82,13.7,12.154066,316600
2010-05-24,13.64,13.77,13.29,13.32,11.816942,167000
2010-05-25,13.1,13.11,12.57,12.98,11.515307,234700
2010-05-26,13.02,13.52,12.92,12.97,11.506438000000001,173400
2010-05-27,13.31,13.8,13.21,13.75,12.198421000000002,124200
2010-05-28,13.67,13.89,13.41,13.66,12.118577,176400
2010-06-01,13.39,13.67,12.85,13.27,11.772586,398700
2010-06-02,13.37,13.89,13.14,13.71,12.162935000000001,447400
2010-06-03,13.7,13.84,13.24,13.49,11.967761,217800
2010-06-04,13.11,13.19,12.8,12.86,11.408852,281200
2010-06-07,12.88,13.25,12.74,12.76,11.320134,148700
2010-06-08,12.76,13.0,12.4,12.48,11.07173,255700
2010-06-09,12.65,13.05,12.57,12.64,11.213678,210700
2010-06-10,12.87,12.91,12.53,12.78,11.337881,167900
2010-06-11,12.65,13.08,12.57,13.06,11.586283,296700
2010-06-14,13.16,13.2,12.68,12.73,11.293521,234100
2010-06-15,12.89,13.34,12.69,13.24,11.745972,250800
2010-06-16,13.11,13.35,12.98,13.13,11.64838,303400
2010-06-17,13.15,13.24,13.0,13.07,11.595155,164000
2010-06-18,13.14,13.26,12.96,13.05,11.577413,271300
2010-06-21,13.29,13.51,13.05,13.15,11.666125,248900
2010-06-22,13.14,13.48,12.62,12.74,11.302392,318200
2010-06-23,11.83,12.25,11.08,11.72,10.397492,1149700
2010-06-24,11.8,12.3,11.75,11.82,10.486203999999999,435700
2010-06-25,11.9,11.98,11.49,11.83,10.495076,499900
2010-06-28,11.7,11.71,11.45,11.46,10.166830000000001,357500
2010-06-29,11.25,11.35,10.98,11.12,9.865197,403500
2010-06-30,11.12,11.23,10.78,10.83,9.607922,366100
2010-07-01,10.91,10.91,10.39,10.7,9.49259,508500
2010-07-02,10.86,11.06,10.59,10.87,9.643407,344500
2010-07-06,11.06,11.25,10.5,10.61,9.412746,392700
2010-07-07,10.7,11.01,10.69,10.97,9.732124,268800
2010-07-08,11.16,11.44,11.0,11.19,9.927299,171300
2010-07-09,11.11,11.21,10.88,11.19,10.000581,161000
2010-07-12,11.19,11.52,11.0,11.15,9.964833,140300
2010-07-13,11.3,11.53,11.09,11.48,10.259754,192500
2010-07-14,11.48,11.69,11.18,11.6,10.367002000000001,245400
2010-07-15,11.63,11.63,11.01,11.22,10.027391999999999,138100
2010-07-16,11.1,11.24,10.75,10.79,9.643097000000001,226900
2010-07-19,10.83,11.01,10.6,10.7,9.562667,115400
2010-07-20,10.56,11.32,10.49,11.25,10.054203,155000
2010-07-21,11.36,11.58,11.04,11.04,9.866525,116600
2010-07-22,11.24,11.74,11.21,11.52,10.295506,220800
2010-07-23,11.43,11.72,11.3,11.59,10.358065,327400
2010-07-26,11.68,11.72,11.36,11.69,10.447436,219400
2010-07-27,11.75,11.75,11.24,11.25,10.054203,209100
2010-07-28,11.26,11.28,11.06,11.12,9.938023,171400
2010-07-29,11.19,11.43,10.97,11.28,10.081012,134900
2010-07-30,11.08,11.47,11.03,11.26,10.063142,59600
2010-08-02,11.47,11.86,11.11,11.12,9.938023,360500
2010-08-03,11.12,11.28,10.83,10.89,9.73247,295900
2010-08-04,10.98,11.12,10.82,10.97,9.803966,126400
2010-08-05,10.91,11.05,10.62,10.62,9.491166999999999,78400
2010-08-06,10.5,10.78,10.31,10.48,9.366047,134300
2010-08-09,10.66,10.94,10.48,10.92,9.759281,225800
2010-08-10,10.75,10.8,10.5,10.54,9.419672,110300
2010-08-11,10.29,10.5,10.04,10.12,9.044313,173900
2010-08-12,10.01,10.29,9.91,10.04,8.972819,158600
2010-08-13,9.97,10.09,9.66,9.81,8.767266000000001,189300
2010-08-16,9.73,9.89,9.6,9.73,8.695769,201300
