Date,Open,High,Low,Close,Adj Close,Volume
2011-04-01,10.0,10.0,9.19,9.85,6.955244,149200
2011-04-04,9.9,10.05,9.86,9.95,7.025856,163500
2011-04-05,10.0,10.0,9.9,9.91,6.997611,17700
2011-04-06,9.91,10.0,9.9,10.0,7.0611619999999995,37700
2011-04-07,9.75,10.0,9.75,10.0,7.0611619999999995,81000
2011-04-08,10.0,10.0,9.91,9.91,6.997611,9400
2011-04-11,10.0,10.0,9.97,10.0,7.0611619999999995,10100
2011-04-12,10.0,10.0,9.92,9.93,7.011735000000001,8300
2011-04-13,10.0,10.0,9.93,9.98,7.047039999999999,9400
2011-04-14,9.98,9.98,9.9,9.92,7.004672,5300
2011-04-15,9.95,10.0,9.82,9.82,6.934061,33600
2011-04-18,9.77,9.87,9.77,9.83,6.941122999999999,8300
2011-04-19,9.93,9.98,9.82,9.85,6.955244,7600
2011-04-20,9.8,9.82,9.8,9.8,6.919938,3500
2011-04-21,9.82,9.85,9.75,9.76,6.8916949999999995,7700
2011-04-25,9.76,9.86,9.76,9.86,6.962307000000001,1200
2011-04-26,9.96,9.96,9.82,9.85,6.955244,6300
2011-04-27,9.75,9.86,9.55,9.8,6.919938,13100
2011-04-28,9.9,9.9,9.8,9.8,6.919938,4200
2011-04-29,9.7,9.8,9.68,9.68,6.835205,6000
2011-05-02,9.95,9.95,9.65,9.65,6.814021,17000
2011-05-03,9.65,9.65,9.41,9.51,6.715166,10600
2011-05-04,9.44,9.54,9.38,9.54,6.736348,5400
2011-05-05,9.48,9.5,9.16,9.45,6.6728,14600
2011-05-06,9.35,9.35,9.16,9.16,6.468025,13800
2011-05-09,9.26,9.32,9.17,9.22,6.5103919999999995,8000
2011-05-10,9.26,9.33,9.21,9.21,6.503331,6700
2011-05-11,9.25,9.33,9.03,9.09,6.418597,23700
2011-05-12,9.11,9.25,9.11,9.16,6.468025,11800
2011-05-13,10.39,10.39,9.14,9.14,6.453901999999999,21800
2011-05-16,9.19,9.48,9.17,9.18,6.482147,12000
2011-05-17,9.38,9.39,9.17,9.23,6.517452,12500
2011-05-18,9.3,9.44,9.25,9.4,6.637492999999999,5000
2011-05-19,9.45,9.55,9.2,9.37,6.61631,7600
2011-05-20,9.37,9.38,9.28,9.32,6.581003,1300
2011-05-23,9.29,9.32,9.2,9.27,6.545699,5700
2011-05-24,9.35,9.47,9.12,9.3,6.5668820000000006,15000
2011-05-25,9.2,9.22,9.08,9.19,6.489207,29300
2011-05-26,9.19,9.19,8.94,9.05,6.390352,13400
2011-05-27,9.09,9.3,9.09,9.24,6.524514,6600
2011-05-31,9.14,9.39,9.1,9.29,6.559819999999999,8900
2011-06-01,9.15,9.15,8.85,9.1,6.425659,33200
2011-06-02,9.1,9.1,8.89,8.95,6.3197410000000005,18500
2011-06-03,8.86,9.02,8.76,8.8,6.2138230000000005,8700
2011-06-06,8.86,8.92,8.67,8.67,6.122028,17000
2011-06-07,8.73,8.73,8.37,8.37,5.910193,20200
2011-06-08,8.17,8.57,8.17,8.57,6.051416000000001,23600
2011-06-09,8.6,8.97,8.6,8.96,6.326801000000001,14000
2011-06-10,8.87,8.96,8.71,8.77,6.192639,5500
2011-06-13,8.86,8.94,8.5,8.67,6.122028,11300
2011-06-14,8.76,8.8,8.54,8.62,6.086722,6900
2011-06-15,8.56,8.68,8.55,8.61,6.079661,800
2011-06-16,8.67,8.77,8.57,8.74,6.171455,3600
2011-06-17,8.87,8.99,8.61,8.61,6.079661,7600
2011-06-20,8.6,8.8,8.6,8.69,6.136148,2700
2011-06-21,8.69,8.69,8.5,8.56,6.044356,10200
2011-06-22,8.64,8.64,8.6,8.6,6.0726,300
2011-06-23,8.6,8.6,8.5,8.6,6.0726,3800
2011-06-24,8.6,8.79,8.6,8.72,6.157334,15500
2011-06-27,8.8,9.01,8.7,9.0,6.355045,13700
2011-06-28,8.95,9.07,8.95,9.07,6.4946779999999995,9700
2011-06-29,9.1,9.21,9.0,9.06,6.487516,14200
2011-06-30,9.21,9.21,8.8,9.09,6.508999,28500
2011-07-01,9.01,9.01,9.01,9.01,6.451714,200
2011-07-05,8.91,9.01,8.78,8.82,6.315663,800
2011-07-06,8.74,8.86,8.66,8.66,6.201094,3000
2011-07-07,8.66,8.85,8.66,8.85,6.337143,3000
2011-07-08,8.85,8.85,8.85,8.85,6.337143,0
2011-07-11,8.72,8.72,8.7,8.7,6.229735,5500
2011-07-12,8.62,8.63,8.5,8.56,6.129487,9500
2011-07-13,8.56,8.62,8.5,8.5,6.086524,2900
2011-07-14,8.5,8.6,8.5,8.6,6.158129,5900
2011-07-15,8.75,8.75,8.5,8.5,6.086524,6100
2011-07-18,8.5,8.51,8.44,8.44,6.043558999999999,3800
2011-07-19,8.34,8.43,8.31,8.31,5.950471,2100
2011-07-20,8.41,8.45,8.3,8.35,5.979114,1900
2011-07-21,8.4,8.4,8.3,8.34,5.971953,8700
2011-07-22,8.3,8.35,8.07,8.34,5.971953,5600
2011-07-25,8.25,8.34,8.14,8.15,5.835902,13000
2011-07-26,8.15,8.29,8.1,8.16,5.843061,9700
2011-07-27,8.12,8.2,7.94,8.07,5.778616,9700
2011-07-28,7.92,8.0,7.78,7.95,5.692689,3300
2011-07-29,7.9,8.08,7.87,8.08,5.7857769999999995,2400
2011-08-01,8.17,8.27,7.75,8.01,5.735653,4900
2011-08-02,8.1,8.1,7.79,7.79,5.578119,2500
2011-08-03,7.88,8.14,7.88,8.06,5.7714550000000004,3500
2011-08-04,7.99,7.99,6.91,7.02,5.026751,30400
