Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,5.8,5.8,5.11,5.31,5.31,418200
2017-10-17,5.31,5.33,5.02,5.28,5.28,395300
2017-10-18,5.3,5.42,5.07,5.13,5.13,206700
2017-10-19,5.0,5.18,4.51,5.1,5.1,453100
2017-10-20,5.16,5.51,5.055,5.37,5.37,208000
2017-10-23,5.39,5.4,4.36,4.41,4.41,647400
2017-10-24,4.43,4.559,3.94,4.01,4.01,734800
2017-10-25,4.0,4.194,3.8,3.99,3.99,372100
2017-10-26,3.98,4.03,3.72,3.97,3.97,486500
2017-10-27,3.97,3.98,3.7,3.77,3.77,241300
2017-10-30,3.72,3.789,3.53,3.65,3.65,327700
2017-10-31,3.64,4.13,3.62,3.98,3.98,351000
2017-11-01,4.11,4.11,3.8,3.83,3.83,204800
