Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.71,13.15,12.55,13.08,6.148239,1743800
2010-01-05,13.1,13.46,13.07,13.36,6.27985,1448100
2010-01-06,13.38,13.55,13.1,13.16,6.185841,1429900
2010-01-07,13.26,13.46,13.01,13.29,6.2469470000000005,959800
2010-01-08,13.3,13.45,13.05,13.41,6.303351999999999,1163500
2010-01-11,13.61,13.85,13.4,13.82,6.496074,1404900
2010-01-12,13.82,13.84,13.43,13.6,6.3926620000000005,1237300
2010-01-13,13.62,13.86,13.26,13.77,6.472569999999999,1194500
2010-01-14,13.67,13.85,13.65,13.78,6.477271,755100
2010-01-15,13.85,13.87,13.5,13.59,6.38796,1009100
2010-01-19,13.79,14.25,13.5,14.19,6.669989999999999,1575300
2010-01-20,14.09,14.32,13.81,14.18,6.665289,3381800
2010-01-21,14.18,14.22,13.23,13.52,6.3550580000000005,2096000
2010-01-22,13.52,13.57,12.71,12.77,6.002523,2134100
2010-01-25,12.96,13.41,12.95,13.15,6.181139,1139700
2010-01-26,12.59,13.19,12.55,12.9,6.063626999999999,4048400
2010-01-27,12.7,12.87,12.65,12.76,5.997821,15169200
2010-01-28,12.75,12.77,12.58,12.59,5.917914,3361400
2010-01-29,12.68,12.71,12.22,12.3,5.781598000000001,3136700
2010-02-01,12.4,12.64,12.23,12.42,5.838003,1851700
2010-02-02,12.43,12.71,12.36,12.67,5.955515,1801400
2010-02-03,12.59,12.75,12.41,12.56,5.903811,1636300
2010-02-04,12.41,12.53,11.75,11.75,5.523071,2666400
2010-02-05,11.7,12.03,11.11,12.02,5.649985,4208800
2010-02-08,12.05,12.16,11.72,11.83,5.560675,1394900
2010-02-09,11.96,12.03,11.67,11.76,5.527772,2279100
2010-02-10,11.72,11.88,11.53,11.85,5.570076,1577900
2010-02-11,11.83,12.09,11.76,12.05,5.664087,1357500
2010-02-12,11.93,12.13,11.85,12.1,5.687589,809000
2010-02-16,12.23,12.41,12.0,12.4,5.828603,1265900
2010-02-17,12.47,12.52,12.26,12.52,5.885011,1128600
2010-02-18,12.5,12.65,12.38,12.6,5.922614,1339100
2010-02-19,12.58,12.72,12.43,12.69,5.964915,1288800
2010-02-22,12.74,12.76,12.65,12.74,5.98842,1349400
2010-02-23,12.68,12.74,12.44,12.62,5.932014,1305300
2010-02-24,12.68,12.89,12.63,12.8,6.016622,1853300
2010-02-25,12.8,13.02,12.51,12.94,6.082428,2955200
2010-02-26,13.01,13.23,12.83,13.07,6.143535,4812600
2010-03-01,13.2,13.48,13.1,13.44,6.317455000000001,2193500
2010-03-02,13.51,13.55,13.33,13.54,6.364458,1926200
2010-03-03,13.6,13.74,13.5,13.6,6.3926620000000005,2032900
2010-03-04,13.6,13.88,13.6,13.88,6.524274,2094700
2010-03-05,13.92,14.19,13.89,14.03,6.5947830000000005,2849900
2010-03-08,14.0,14.19,13.67,14.16,6.655888,1753100
2010-03-09,14.14,14.2,14.0,14.08,6.618285,1605400
2010-03-10,14.14,14.2,14.0,14.17,6.660588000000001,1961700
2010-03-11,13.86,13.9,13.6,13.83,6.6654100000000005,1623800
2010-03-12,13.87,13.98,13.72,13.83,6.6654100000000005,1213300
2010-03-15,13.76,13.95,13.5,13.62,6.564199,1223500
2010-03-16,13.65,13.9,13.57,13.82,6.660588000000001,1130800
2010-03-17,13.89,14.0,13.85,13.92,6.708785000000001,875800
2010-03-18,13.96,14.0,13.87,13.87,6.684686999999999,989800
2010-03-19,13.51,13.95,13.46,13.51,6.511184,1492700
2010-03-22,13.51,13.94,13.41,13.91,6.703963000000001,1090400
2010-03-23,13.95,14.43,13.74,14.42,6.949761,2213300
2010-03-24,14.3,14.47,14.17,14.37,6.925663,1268800
2010-03-25,14.45,14.53,14.15,14.15,6.8196330000000005,1717500
2010-03-26,14.23,14.68,14.15,14.68,7.075069999999999,2548300
2010-03-29,14.72,15.03,14.72,14.79,7.128083,1858100
2010-03-30,14.77,14.88,14.63,14.76,7.113625,1520700
2010-03-31,14.7,15.04,14.63,14.82,7.1425410000000005,2189000
2010-04-01,14.9,15.28,14.84,14.92,7.1907380000000005,2504500
2010-04-05,15.0,15.27,14.95,15.2,7.325683000000001,1516000
2010-04-06,15.16,15.19,14.8,15.07,7.263031,1836600
2010-04-07,15.0,15.05,14.81,14.99,7.224474000000001,1842700
2010-04-08,14.97,15.25,14.86,15.19,7.320864,1585100
2010-04-09,15.15,15.23,15.0,15.1,7.277489999999999,1313400
2010-04-12,15.18,15.39,15.12,15.27,7.359421,1623600
2010-04-13,15.19,15.75,15.19,15.68,7.557022999999999,1752400
2010-04-14,15.75,16.07,15.72,16.059998999999998,7.740164,1696600
2010-04-15,15.98,16.190001000000002,15.97,16.030001000000002,7.7257050000000005,1585400
2010-04-16,15.96,15.99,15.41,15.75,7.590758,1916500
2010-04-19,15.84,16.450001,15.54,15.79,7.610035000000001,1891700
2010-04-20,15.87,16.0,15.61,15.76,7.595578,1178900
2010-04-21,15.75,15.79,15.37,15.62,7.528103,1028700
2010-04-22,15.46,15.94,15.31,15.87,7.648592,1438900
2010-04-23,15.94,16.309998999999998,15.83,16.27,7.841373,1169700
2010-04-26,16.299999,16.549999,16.27,16.27,7.841373,1339000
2010-04-27,16.139999,16.48,15.63,15.66,7.547382000000001,1498300
2010-04-28,15.85,16.0,15.66,15.93,7.677511999999999,1337000
2010-04-29,16.190001000000002,16.450001,16.0,16.4,7.904028,1413400
2010-04-30,16.35,16.360001,15.85,15.86,7.643771000000001,1172800
2010-05-03,15.99,16.34,15.93,16.23,7.822094,1054000
2010-05-04,15.97,16.0,15.31,15.52,7.479908999999999,1627600
2010-05-05,15.13,15.25,13.75,15.01,7.234114999999999,2528100
2010-05-06,14.94,15.03,12.7,14.27,6.8774690000000005,3546500
