Date,Open,High,Low,Close,Adj Close,Volume
2017-03-31,3.99,4.02,3.99,4.004,3.972524,1051000
2017-04-03,4.004,4.004,4.004,4.004,3.972524,125000
2017-04-04,4.0,4.0,4.0,4.0,3.9685550000000003,1000000
2017-04-05,4.002,4.002,4.002,4.002,3.97054,50000
2017-04-06,4.002,4.002,4.002,4.002,3.97054,52500
2017-04-07,4.0,4.0,4.0,4.0,3.9685550000000003,1000000
2017-04-10,4.0,4.0,4.0,4.0,3.9685550000000003,50000
2017-04-11,4.0,4.0,4.0,4.0,3.9685550000000003,75000
2017-04-12,4.0,4.0,4.0,4.0,3.9685550000000003,75000
2017-04-13,4.0074,4.0076,4.0074,4.0076,3.976096,2000
2017-04-17,4.0,4.0,4.0,4.0,3.9685550000000003,75000
2017-04-18,4.0,4.0,4.0,4.0,3.9685550000000003,100000
2017-04-19,4.0,4.0,4.0,4.0,3.9685550000000003,100000
2017-04-20,4.0,4.0,4.0,4.0,3.9685550000000003,5000000
2017-04-21,4.012,4.012,4.012,4.012,3.980461,101000
2017-04-24,4.0,4.0,4.0,4.0,3.9685550000000003,86000
2017-04-25,4.0,4.0,4.0,4.0,3.9685550000000003,87500
2017-04-26,4.0,4.0,4.0,4.0,3.9685550000000003,87500
2017-04-27,4.0,4.0,4.0,4.0,3.9685550000000003,6000
2017-04-28,4.0,4.0,4.0,4.0,3.9685550000000003,5000
2017-05-01,4.0,4.0,4.0,4.0,3.9685550000000003,100000
2017-05-02,4.002,4.002,4.002,4.002,3.97054,100000
2017-05-03,4.0,4.0,4.0,4.0,3.9685550000000003,100000
2017-05-04,4.0,4.0,4.0,4.0,3.9685550000000003,75000
2017-05-05,4.0,4.0,4.0,4.0,3.9685550000000003,50000
2017-05-08,4.0,4.0,4.0,4.0,3.9685550000000003,100000
2017-05-09,4.002,4.002,4.002,4.002,3.97054,50000
2017-05-10,4.002,4.002,4.002,4.002,3.97054,500
2017-05-11,4.0,4.0,4.0,4.0,3.9685550000000003,50000
2017-05-12,4.003,4.003,4.003,4.003,3.971532,4250000
2017-05-15,4.002,4.002,4.002,4.002,3.97054,50000
2017-05-16,4.002,4.002,4.002,4.002,3.97054,50000
2017-05-17,4.002,4.002,4.002,4.002,3.97054,5000
2017-05-18,4.002,4.002,4.002,4.002,3.97054,5000
2017-05-19,4.002,4.002,4.002,4.002,3.97054,5000
2017-05-22,4.002,4.002,4.002,4.002,3.97054,5000
2017-05-23,4.002,4.002,4.002,4.002,3.97054,5000
2017-05-24,4.002,4.002,4.002,4.002,3.97054,500
2017-05-25,4.004,4.004,4.004,4.004,3.972524,5000
2017-05-26,4.004,4.004,4.004,4.004,3.972524,5000
2017-05-30,4.004,4.004,4.004,4.004,3.972524,500
2017-05-31,4.002,4.002,4.002,4.002,3.97054,50000
2017-06-01,4.0,4.0,4.0,4.0,3.9685550000000003,50000
2017-06-02,4.002,4.002,4.002,4.002,3.97054,125000
2017-06-05,4.002,4.002,4.002,4.002,3.97054,500
2017-06-06,4.007,4.007,4.007,4.007,3.9755,1000
2017-06-07,4.002,4.002,4.002,4.002,3.97054,50000
2017-06-08,4.007,4.007,4.002,4.002,3.97054,51000
2017-06-09,4.002,4.002,4.002,4.002,3.97054,500
2017-06-12,4.002,4.002,4.002,4.002,3.97054,500
2017-06-13,4.0098,4.0098,4.0098,4.0098,3.978278,1000
2017-06-14,4.042,4.042,4.042,4.042,4.010225,1000
2017-06-15,4.0098,4.0098,4.0098,4.0098,3.978278,1000
2017-06-16,4.0098,4.0098,4.0098,4.0098,3.978278,500
2017-06-19,4.0098,4.0098,4.0098,4.0098,3.978278,500
2017-06-20,4.012,4.014,4.012,4.014,3.982445,1500
2017-06-21,4.016,4.016,4.016,4.016,3.984429,500
2017-06-22,4.016,4.016,4.016,4.016,3.984429,1000
