Date,Open,High,Low,Close,Adj Close,Volume
2012-11-28,19.75,20.0,19.75,20.0,13.172645000000001,1077300
2012-11-29,19.950001,20.0,19.91,20.0,13.172645000000001,219900
2012-11-30,20.0,20.01,19.950001,20.0,13.172645000000001,106000
2012-12-03,20.01,20.01,20.0,20.0,13.172645000000001,24700
2012-12-04,20.0,20.01,19.950001,20.0,13.172645000000001,135900
2012-12-05,19.98,20.0,19.98,20.0,13.172645000000001,97700
2012-12-06,20.35,20.4,20.0,20.0,13.172645000000001,23800
2012-12-07,20.0,20.1,20.0,20.030001000000002,13.192409,33400
2012-12-10,20.0,20.25,20.0,20.190001000000002,13.297785999999999,62200
2012-12-11,20.0,20.15,20.0,20.059998999999998,13.212168,15300
2012-12-12,20.1,20.1,20.030001000000002,20.09,13.231925,11600
2012-12-13,20.030001000000002,20.1,20.0,20.0,13.172645000000001,49100
2012-12-14,20.0,20.030001000000002,19.950001,20.0,13.172645000000001,40100
2012-12-17,20.1,20.1,20.049999,20.1,13.238513000000001,4800
2012-12-18,20.290001,20.290001,19.530001000000002,20.0,13.172645000000001,9800
2012-12-19,20.0,20.01,19.959999,20.0,13.172645000000001,28200
2012-12-20,20.15,20.15,20.0,20.01,13.179229999999999,14000
2012-12-21,20.0,20.01,20.0,20.0,13.172645000000001,38900
2012-12-24,20.040001,20.040001,20.0,20.0,13.172645000000001,1300
2012-12-26,20.02,20.049999,20.02,20.049999,13.205582000000001,3300
2012-12-27,20.049999,20.049999,19.950001,20.0,13.172645000000001,21400
2012-12-28,20.01,20.07,20.01,20.01,13.179229999999999,10900
2012-12-31,20.0,20.120001000000002,20.0,20.01,13.179229999999999,10100
2013-01-02,20.0,20.07,20.0,20.01,13.179229999999999,28500
2013-01-03,20.01,20.08,20.0,20.01,13.179229999999999,14000
2013-01-04,20.0,20.0,20.0,20.0,13.172645000000001,17800
2013-01-07,20.0,20.290001,19.959999,20.16,13.278027999999999,53300
2013-01-08,19.9,19.9,19.780001000000002,19.809998999999998,13.047506,255000
2013-01-09,19.799999,20.02,19.799999,20.02,13.185818,86200
2013-01-10,20.0,20.049999,19.85,19.950001,13.139712,143800
2013-01-11,19.9,19.99,19.700001,19.99,13.166061,68000
2013-01-14,19.9,19.959999,19.68,19.75,13.007986,39900
2013-01-15,19.889999,19.889999,19.4,19.42,12.790638000000001,80300
2013-01-16,19.74,19.75,19.24,19.34,12.73795,88600
2013-01-17,19.34,19.59,19.34,19.4,12.777464,19700
2013-01-18,19.42,19.6,19.42,19.6,12.909189,19800
2013-01-22,19.65,19.65,19.299999,19.57,12.889433,51900
2013-01-23,19.6,19.6,19.370001000000002,19.4,12.854315,4000
2013-01-24,19.35,19.5,19.33,19.35,12.821186,63000
2013-01-25,19.34,19.52,19.15,19.200001,12.721801,100000
2013-01-28,19.459999,19.459999,19.08,19.15,12.688668,107900
2013-01-29,19.120001000000002,19.27,19.09,19.25,12.754927,81600
2013-01-30,19.23,19.6,19.18,19.41,12.860942,51300
2013-01-31,19.5,19.5,19.1,19.219998999999998,12.73505,98300
2013-02-01,19.290001,19.309998999999998,19.110001,19.299999,12.788053999999999,24300
2013-02-04,19.27,19.27,19.08,19.219998999999998,12.73505,53300
2013-02-05,19.25,19.25,19.110001,19.200001,12.721801,48500
2013-02-06,19.17,19.24,19.139999,19.23,12.741676,55600
2013-02-07,19.139999,19.25,19.110001,19.25,12.754927,55700
2013-02-08,19.25,19.309998999999998,19.120001000000002,19.209999,12.72842,58200
2013-02-11,19.25,19.27,19.120001000000002,19.27,12.768177,21400
2013-02-12,19.209999,19.41,19.209999,19.32,12.801308,21100
2013-02-13,19.309998999999998,19.49,19.200001,19.41,12.860942,30400
2013-02-14,19.389999,19.4,19.280001000000002,19.389999,12.925606,6800
2013-02-15,19.43,19.450001,19.27,19.309998999999998,12.872272,18000
2013-02-19,19.43,20.0,19.42,19.48,12.985594,43400
2013-02-20,19.700001,19.73,19.48,19.58,13.052259,99200
2013-02-21,19.68,19.82,19.51,19.709999,13.138917000000001,60900
2013-02-22,19.780001000000002,19.85,19.48,19.57,13.045591,61800
2013-02-25,19.58,19.65,19.450001,19.5,12.998930999999999,99900
