Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.19,11.4,10.81,11.11,9.343414,41800
2010-01-05,11.11,11.35,11.11,11.26,9.469563,49400
2010-01-06,11.24,11.37,10.86,10.87,9.141575999999999,40500
2010-01-07,10.89,11.14,10.52,11.12,9.351823,40900
2010-01-08,11.1,11.38,11.09,11.13,9.360235000000001,42400
2010-01-11,11.2,12.04,11.1,11.42,9.60412,53500
2010-01-12,11.37,11.38,10.64,10.71,9.007017,33200
2010-01-13,10.79,11.12,10.69,10.84,9.116348,40400
2010-01-14,10.83,10.96,10.78,10.78,9.065886,19900
2010-01-15,10.83,11.01,10.45,10.59,8.906098,63100
2010-01-19,10.59,11.18,10.59,11.01,9.259316,36100
2010-01-20,10.94,11.04,10.76,10.88,9.149986,36200
2010-01-21,10.94,10.94,10.55,10.55,8.872459,34900
2010-01-22,10.52,10.56,9.92,9.95,8.367863,56700
2010-01-25,10.07,10.32,9.98,10.09,8.485602,21600
2010-01-26,10.09,10.51,9.85,10.0,8.409912,39600
2010-01-27,9.92,10.31,9.9,10.27,8.636981,15800
2010-01-28,10.32,10.34,9.86,9.88,8.308992,36300
2010-01-29,9.9,10.32,9.78,9.91,8.334224,33300
2010-02-01,9.97,10.05,9.89,9.98,8.393092,22500
2010-02-02,10.02,10.31,9.8,9.85,8.283764,32300
2010-02-03,9.84,10.27,9.48,9.59,8.065107000000001,49200
2010-02-04,9.54,9.59,9.0,9.08,7.636201,81700
2010-02-05,9.09,9.16,8.76,9.13,7.6782509999999995,43900
2010-02-08,8.93,9.05,8.9,8.9,7.484824000000001,26400
2010-02-09,9.04,9.19,8.91,9.12,7.66984,26600
2010-02-10,9.06,9.06,8.88,9.02,7.585744,27800
2010-02-11,9.03,9.25,8.89,9.2,7.737121000000001,28700
2010-02-12,9.08,9.17,8.94,9.02,7.585744,22500
2010-02-16,9.12,9.26,8.85,8.93,7.510055,36700
2010-02-17,9.0,9.09,8.95,9.05,7.610971000000001,37300
2010-02-18,8.96,9.14,8.96,9.14,7.686661,15000
2010-02-19,9.14,9.3,9.12,9.26,7.78758,68300
2010-02-22,9.26,9.39,9.21,9.39,7.8969059999999995,18700
2010-02-23,9.4,9.58,9.25,9.5,7.989416,44900
2010-02-24,9.51,9.58,9.36,9.46,7.95578,17700
2010-02-25,9.35,9.6,9.27,9.57,8.048286000000001,36000
2010-02-26,9.61,9.65,9.39,9.45,7.947367999999999,16300
2010-03-01,9.5,9.59,9.38,9.55,8.031467999999998,25000
2010-03-02,9.59,9.9,9.47,9.89,8.317405,45000
2010-03-03,10.09,10.12,9.93,9.93,8.351044,63600
2010-03-04,10.03,10.4,9.87,10.13,8.519242,136000
2010-03-05,10.23,10.23,10.1,10.19,8.569699,44200
2010-03-08,10.22,10.22,10.0,10.13,8.519242,32000
2010-03-09,10.1,10.27,10.06,10.23,8.603342,60700
2010-03-10,10.26,10.38,10.06,10.33,8.687439,69100
2010-03-11,10.3,10.39,10.12,10.37,8.721078,19700
2010-03-12,10.39,10.39,10.11,10.29,8.6538,28100
2010-03-15,10.72,11.99,10.69,11.95,10.049846,291800
2010-03-16,11.95,12.42,11.43,11.69,9.831187,156800
2010-03-17,11.68,12.55,11.68,12.19,10.251683,73300
2010-03-18,12.26,12.26,11.6,11.76,9.890057,88500
2010-03-19,11.83,11.91,11.46,11.83,9.948927000000001,95000
2010-03-22,11.91,12.41,11.83,12.25,10.302144,126500
2010-03-23,12.24,12.25,12.01,12.16,10.226453,83100
2010-03-24,11.98,12.28,11.98,12.04,10.125536,48300
2010-03-25,12.13,12.34,12.02,12.06,10.142356,45900
2010-03-26,12.1,12.24,11.94,12.13,10.201226,19500
2010-03-29,12.15,12.25,12.01,12.15,10.218045,17800
2010-03-30,12.13,12.49,12.04,12.38,10.411472999999999,61500
2010-03-31,12.3,12.44,12.09,12.16,10.226453,61000
2010-04-01,12.4,12.5,12.4,12.46,10.478750999999999,45000
2010-04-05,12.45,12.61,12.16,12.26,10.310554,44500
2010-04-06,12.13,12.34,11.96,12.06,10.142356,44800
2010-04-07,12.01,13.09,11.99,12.96,10.899248,129500
2010-04-08,12.97,14.35,12.79,14.28,12.009356,126600
2010-04-09,14.21,15.25,14.06,14.34,12.059814999999999,111200
2010-04-12,14.34,15.22,14.2,15.03,12.640099000000001,156400
2010-04-13,14.91,15.81,14.91,15.63,13.144695,187400
2010-04-14,15.66,17.809998999999998,15.6,17.719998999999998,14.902364000000002,461100
2010-04-15,17.73,18.59,16.879998999999998,18.27,15.364914,356000
2010-04-16,18.26,18.85,17.940001000000002,18.799999,15.810638,259500
2010-04-19,18.67,18.860001,17.610001,17.950001,15.095798,179500
2010-04-20,18.15,18.15,17.450001,18.0,15.137844,122600
2010-04-21,18.030001000000002,18.34,17.889999,18.33,15.415370999999999,87600
2010-04-22,18.15,18.610001,17.860001,18.610001,15.650847,45000
2010-04-23,18.559998999999998,19.139999,18.440001000000002,19.030001000000002,16.004063000000002,82300
2010-04-26,18.950001,19.49,18.709999,18.879998999999998,15.877913000000001,71700
2010-04-27,18.75,19.43,18.33,18.360001,15.440603,102600
2010-04-28,18.24,18.549999,18.059998999999998,18.16,15.272403,58900
2010-04-29,16.700001,18.370001000000002,16.040001,17.389999,14.624837,333600
2010-04-30,17.34,17.549999,16.33,16.35,13.750209,241400
2010-05-03,16.25,17.059998999999998,16.25,16.790001,14.120247,139000
2010-05-04,16.639999,16.66,16.01,16.139999,13.573598,166500
2010-05-05,15.82,16.040001,13.58,13.89,11.681369,312200
2010-05-06,13.9,14.66,13.2,14.28,12.009356,286400
2010-05-07,14.08,14.27,12.75,12.76,10.731048,184000
2010-05-10,13.59,14.27,13.55,14.18,11.925257,143400
2010-05-11,14.03,14.66,13.67,14.13,11.883206,129100
2010-05-12,14.32,14.98,14.08,14.66,12.328933000000001,98200
2010-05-13,14.69,15.03,14.6,14.74,12.39621,73800
2010-05-14,14.67,14.68,13.85,14.12,11.874797000000001,59100
2010-05-17,14.11,14.35,14.03,14.15,11.900025,92200
2010-05-18,14.36,14.77,14.26,14.35,12.068226,118100
2010-05-19,14.34,14.42,13.13,13.28,11.168367,95000
2010-05-20,13.09,13.09,12.56,12.59,10.588080999999999,145600
2010-05-21,12.44,12.84,12.25,12.32,10.361011,160600
2010-05-24,12.27,13.01,12.07,12.97,10.907658999999999,152000
2010-05-25,13.22,13.81,12.8,13.44,11.302923,161100
2010-05-26,13.57,14.52,13.46,13.51,11.361794,133700
2010-05-27,13.85,15.02,13.83,15.0,12.614868,142300
2010-05-28,14.92,15.38,13.98,14.17,11.916846000000001,138500
2010-06-01,14.01,14.51,13.36,13.43,11.294514,126800
2010-06-02,13.59,14.03,13.01,13.74,11.555222,243600
2010-06-03,13.82,14.78,13.81,14.71,12.370983,100500
2010-06-04,14.27,14.48,13.22,13.29,11.176777000000001,155400
2010-06-07,13.34,13.34,12.52,12.56,10.562849,96000
2010-06-08,12.69,12.9,12.29,12.57,10.571259,94400
2010-06-09,12.76,13.11,12.05,12.29,10.335783000000001,81500
2010-06-10,12.51,13.4,12.33,13.37,11.244054,106200
2010-06-11,13.1,13.81,13.1,13.77,11.580451,111000
2010-06-14,14.0,14.38,13.78,13.83,11.630911,86500
2010-06-15,13.92,14.86,13.92,14.76,12.413031,89800
2010-06-16,14.64,14.94,13.55,14.52,12.211193,61500
2010-06-17,14.54,14.85,14.21,14.45,12.152324,29600
2010-06-18,14.56,14.97,14.41,14.76,12.413031,77900
2010-06-21,15.02,15.43,14.49,14.55,12.236423,31300
2010-06-22,14.66,15.05,13.77,13.88,11.67296,36400
2010-06-23,13.82,13.91,13.36,13.62,11.454303999999999,58600
2010-06-24,13.46,13.76,13.15,13.34,11.218825,84100
2010-06-25,13.44,13.94,13.22,13.83,11.630911,236300
2010-06-28,13.66,13.95,13.38,13.38,11.252464999999999,66000
2010-06-29,13.15,13.38,12.4,12.47,10.487163,105900
2010-06-30,12.52,12.68,12.04,12.08,10.159174,73100
2010-07-01,12.17,12.42,11.79,11.92,10.024614999999999,107800
2010-07-02,11.98,12.18,11.48,11.75,9.881647000000001,47400
2010-07-06,11.99,11.99,10.38,10.46,8.796771000000001,116200
2010-07-07,10.49,11.03,10.29,10.99,9.242496000000001,113700
2010-07-08,11.13,11.73,11.12,11.65,9.797547999999999,88100
2010-07-09,11.66,11.82,11.46,11.78,9.906877,57200
2010-07-12,11.65,11.98,11.46,11.61,9.763907000000001,35700
2010-07-13,11.86,13.56,11.86,13.55,11.395433,105400
2010-07-14,13.54,13.54,12.93,13.11,11.025396,67800
2010-07-15,13.58,13.58,12.61,13.45,11.311333,49600
2010-07-16,13.27,13.62,12.19,12.42,10.445111,79800
2010-07-19,12.39,12.72,11.85,12.69,10.672179,71500
2010-07-20,12.44,13.54,12.44,13.54,11.387022,61800
2010-07-21,13.69,14.03,13.19,13.68,11.504764,90700
2010-07-22,14.01,14.58,13.96,14.4,12.110275,75400
2010-07-23,14.27,15.24,14.12,15.17,12.757839,91200
2010-07-26,15.19,15.29,14.64,15.23,12.808297999999999,70500
2010-07-27,15.44,15.8,14.8,14.85,12.488722000000001,73300
2010-07-28,14.78,15.1,13.92,14.13,11.883206,81700
2010-07-29,14.35,14.67,13.29,14.07,11.832749,74400
2010-07-30,13.75,14.04,13.43,13.65,11.479532,68100
2010-08-02,14.02,14.1,13.31,13.88,11.67296,72900
2010-08-03,13.76,13.83,12.88,12.91,10.857198,73700
2010-08-04,12.93,13.52,12.65,13.19,11.092674,58100
2010-08-05,13.0,13.32,12.6,12.63,10.621719,51900
2010-08-06,12.6,13.05,12.41,12.88,10.831967,86000
2010-08-09,12.98,13.19,12.75,13.02,10.949709,38200
2010-08-10,12.76,12.8,12.28,12.59,10.588080999999999,106800
2010-08-11,12.03,12.3,11.28,11.33,9.528433999999999,118400
2010-08-12,11.02,11.47,11.02,11.26,9.469563,96200
2010-08-13,11.17,11.6,11.05,11.09,9.326594,47500
2010-08-16,11.0,11.67,11.0,11.27,9.477971,46400
2010-08-17,11.46,11.68,11.23,11.5,9.6714,59500
2010-08-18,11.51,11.95,11.25,11.8,9.923698,53600
2010-08-19,11.7,11.82,11.05,11.05,9.292955000000001,76700
2010-08-20,11.02,11.17,10.8,11.1,9.335006,79600
2010-08-23,11.21,11.41,10.71,10.73,9.023836,44800
2010-08-24,10.59,10.95,10.3,10.39,8.737899,784000
2010-08-25,10.32,11.0,10.22,10.95,9.208857,122500
2010-08-26,10.98,11.33,10.98,11.19,9.410692,101400
2010-08-27,11.4,12.03,11.0,12.03,10.117125999999999,62900
2010-08-30,11.91,11.91,10.86,10.92,9.183624,68300
2010-08-31,10.9,11.81,10.77,11.55,9.71345,89700
2010-09-01,11.85,12.4,11.74,12.35,10.386244,75400
2010-09-02,12.26,12.83,11.98,12.72,10.697411,69200
2010-09-03,12.99,13.15,12.52,12.91,10.857198,43300
2010-09-07,12.79,12.83,12.44,12.62,10.61331,39100
2010-09-08,12.93,12.95,12.59,12.79,10.75628,32700
2010-09-09,13.0,13.12,12.55,12.65,10.638539,41000
2010-09-10,12.78,12.78,12.5,12.56,10.562849,24800
2010-09-13,12.67,13.15,12.67,13.04,10.966529,51500
2010-09-14,13.04,13.3,12.88,13.21,11.109494,37800
2010-09-15,13.09,14.58,13.09,14.3,12.026175,83000
2010-09-16,14.35,14.75,14.23,14.66,12.328933000000001,89500
2010-09-17,14.75,14.75,13.78,14.1,11.857977,75000
2010-09-20,14.14,14.47,13.9,14.24,11.975717,54400
2010-09-21,13.77,14.29,13.77,13.84,11.63932,29200
2010-09-22,13.75,13.96,12.97,13.31,11.193594000000001,60300
2010-09-23,13.13,13.44,12.93,12.95,10.890838,57700
2010-09-24,13.25,13.87,13.06,13.73,11.546811,44400
2010-09-27,12.77,15.38,12.77,15.35,12.90922,122900
2010-09-28,15.5,16.18,14.82,16.129998999999998,13.565187,131300
2010-09-29,16.200001,16.200001,15.68,15.87,13.346531,81600
2010-09-30,16.08,16.139999,15.52,15.68,13.186745000000002,90100
2010-10-01,15.92,16.030001000000002,15.63,15.94,13.405401000000001,43700
2010-10-04,15.91,16.16,15.48,15.57,13.094235000000001,61600
2010-10-05,15.9,16.540001,15.04,16.51,13.884767000000002,60700
2010-10-06,16.309998999999998,17.120001000000002,16.27,16.93,14.237982,64200
2010-10-07,17.200001,17.23,16.75,16.76,14.095015,63800
2010-10-08,16.82,17.51,16.66,17.389999,14.624837,60600
2010-10-11,17.309998999999998,17.879998999999998,17.139999,17.65,14.843499,68100
2010-10-12,17.51,17.700001,17.18,17.35,14.591197,45400
2010-10-13,17.629998999999998,18.5,17.43,18.33,15.415370999999999,88900
2010-10-14,18.35,18.49,17.469998999999998,17.93,15.078976999999998,53500
2010-10-15,18.299999,18.299999,17.32,17.469998999999998,14.692116,69100
2010-10-18,17.59,17.959999,17.42,17.530001000000002,14.742576999999999,32700
2010-10-19,17.07,17.42,16.690001000000002,17.07,14.355720999999999,41400
2010-10-20,17.139999,18.17,16.940001000000002,17.77,14.944417999999999,27300
2010-10-21,17.860001,18.16,16.959999,17.549999,14.759397,57000
2010-10-22,17.610001,18.059998999999998,17.25,17.92,15.070568,59800
2010-10-25,18.09,18.389999,17.959999,18.040001,15.171489000000001,56300
2010-10-26,17.92,18.030001000000002,17.700001,17.709999,14.893958999999999,35600
2010-10-27,17.51,17.52,16.49,17.07,14.355720999999999,42100
2010-10-28,17.0,17.0,14.93,15.86,13.338121,119200
2010-10-29,15.7,15.71,14.8,15.41,12.959678,107800
2010-11-01,15.49,15.78,15.11,15.55,13.077414,55300
2010-11-02,15.89,16.559998999999998,15.57,16.469998999999998,13.851123999999999,66300
2010-11-03,16.440001000000002,16.48,15.9,16.15,13.582009,40000
2010-11-04,16.620001000000002,16.9,16.370001000000002,16.67,14.019328,75100
2010-11-05,16.77,16.77,16.040001,16.129998999999998,13.565187,61800
2010-11-08,16.02,16.200001,15.63,15.79,13.279253,58900
2010-11-09,15.77,16.15,15.52,15.65,13.161513000000001,47200
2010-11-10,15.98,16.35,15.3,16.18,13.607241,38100
2010-11-11,15.87,16.700001,15.87,16.530001000000002,13.901585,40300
2010-11-12,16.24,16.43,15.78,15.99,13.447453,42800
2010-11-15,16.26,16.57,16.07,16.110001,13.548370000000002,57700
2010-11-16,16.01,16.01,15.29,15.66,13.169923999999998,38700
2010-11-17,15.66,15.82,15.29,15.31,12.875577,42400
2010-11-18,15.61,16.32,15.61,15.86,13.338121,62700
2010-11-19,15.87,16.209999,15.71,15.84,13.321303,37500
2010-11-22,15.8,16.01,15.44,15.97,13.430632000000001,32300
2010-11-23,15.68,15.92,15.22,15.46,13.001726,101300
2010-11-24,15.67,15.84,15.29,15.51,13.043777,58100
2010-11-26,15.38,15.66,15.24,15.24,12.816709,8000
2010-11-29,15.12,15.39,14.64,15.35,12.90922,19600
2010-11-30,15.04,15.4,14.78,15.01,12.623281,48100
2010-12-01,15.43,15.98,15.17,15.84,13.321303,55000
2010-12-02,16.040001,16.76,15.73,16.65,14.002502,52200
2010-12-03,16.809998999999998,17.540001,16.57,17.48,14.700527,93300
2010-12-06,18.1,19.4,18.049999,19.040001,16.012476,272800
2010-12-07,19.4,21.33,19.059998999999998,20.780001000000002,17.475798,217600
2010-12-08,20.77,21.01,20.139999,20.459999,17.206684,127000
2010-12-09,20.790001,20.790001,20.41,20.59,17.316011,73900
2010-12-10,20.59,21.67,20.440001000000002,21.549999,18.123362,57900
2010-12-13,21.74,21.91,21.26,21.370001000000002,17.971982999999998,43100
2010-12-14,21.08,21.629998999999998,20.860001,21.5,18.081316,79900
2010-12-15,21.379998999999998,21.719998999999998,20.35,20.73,17.43375,75000
2010-12-16,20.700001,21.23,20.219998999999998,20.809998999999998,17.501032000000002,43700
2010-12-17,20.790001,21.030001000000002,20.27,20.66,17.374878,103600
2010-12-20,20.690001000000002,20.690001000000002,19.73,20.27,17.046894,89200
2010-12-21,20.4,20.99,20.09,20.799999,17.492617000000003,75000
2010-12-22,20.799999,21.66,20.639999,21.549999,18.123362,55800
2010-12-23,21.620001000000002,22.0,21.620001000000002,21.940001000000002,18.451349,59200
2010-12-27,21.790001,22.43,21.51,22.059998999999998,18.552269,60800
2010-12-28,22.16,22.16,21.58,21.67,18.224283,26300
2010-12-29,21.66,22.469998999999998,21.52,22.309998999999998,18.762524,31000
2010-12-30,22.389999,22.459999,21.99,22.02,18.518632999999998,25300
2010-12-31,22.01,22.48,21.91,22.129998999999998,18.611135,22000
2011-01-03,22.4,22.870001000000002,22.15,22.540001,18.955942,29300
2011-01-04,22.620001000000002,22.620001000000002,19.9,20.02,16.836647,145600
2011-01-05,20.0,20.809998999999998,19.75,20.59,17.316011,69300
2011-01-06,20.52,20.860001,19.940001000000002,20.290001,17.063713,61100
