Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.82,14.35,13.79,13.8,9.111672,15600
2010-01-05,14.07,14.07,13.74,13.88,9.164491,8800
2010-01-06,13.66,14.27,13.65,13.75,9.078656,15700
2010-01-07,13.75,13.9,13.75,13.88,9.164491,1300
2010-01-08,13.7,13.98,13.7,13.9,9.177697,5600
2010-01-11,14.27,14.27,13.95,14.2,9.375776,6700
2010-01-12,14.19,14.9,14.17,14.27,9.421994,18500
2010-01-13,14.2,14.54,13.91,14.1,9.30975,22600
2010-01-14,14.05,14.16,14.0,14.14,9.336164,12500
2010-01-15,14.01,14.12,13.8,13.82,9.124875999999999,7000
2010-01-19,13.9,14.05,13.77,13.87,9.157888999999999,3200
2010-01-20,13.74,13.9,13.72,13.8,9.111672,5400
2010-01-21,13.83,13.85,13.61,13.66,9.019233999999999,7100
2010-01-22,13.76,13.77,13.6,13.65,9.01263,2100
2010-01-25,13.72,13.9,13.57,13.9,9.177697,2500
2010-01-26,13.75,13.9,13.66,13.66,9.019233999999999,3600
2010-01-27,13.61,13.9,13.58,13.88,9.164491,8600
2010-01-28,13.76,14.22,13.7,13.7,9.045646000000001,10300
2010-01-29,13.7,13.8,13.7,13.73,9.065453999999999,2900
2010-02-01,13.71,13.75,13.58,13.6,8.979616,3100
2010-02-02,13.6,13.73,13.5,13.5,8.91359,10400
2010-02-03,13.6,13.6,13.6,13.6,8.979616,2700
2010-02-04,13.61,13.76,13.45,13.48,8.900385,6500
2010-02-05,13.79,13.8,13.48,13.63,8.999426,7500
2010-02-08,13.63,13.63,13.63,13.63,8.999426,100
2010-02-09,13.51,13.8,13.49,13.5,8.91359,900
2010-02-10,13.5,13.5,13.5,13.5,8.91359,200
2010-02-11,13.63,13.99,13.63,13.9,9.177697,6200
2010-02-12,13.66,13.9,13.66,13.9,9.177697,1300
2010-02-16,13.55,13.72,13.41,13.53,8.933398,25300
2010-02-17,13.5,13.5,13.33,13.4,8.847564,6200
2010-02-18,13.46,13.5,13.4,13.4,8.847564,2800
2010-02-19,13.5,13.5,13.41,13.41,8.854166000000001,1900
2010-02-22,13.5,13.5,13.26,13.34,8.807949,6400
2010-02-23,13.1,13.5,13.1,13.5,8.91359,15700
2010-02-24,13.5,13.75,13.44,13.5,8.91359,1500
2010-02-25,13.4,13.48,13.4,13.48,8.900385,1300
2010-02-26,13.32,13.48,13.3,13.48,8.900385,2700
2010-03-01,13.36,13.88,13.36,13.48,8.900385,2400
2010-03-02,13.41,13.72,13.41,13.65,9.01263,1600
2010-03-03,13.6,13.83,13.25,13.25,8.748525,18400
2010-03-04,13.28,13.3,13.1,13.21,8.722113,9200
2010-03-05,13.27,13.8,13.24,13.42,8.860767999999998,28700
2010-03-08,13.35,13.55,13.32,13.5,8.91359,5300
2010-03-09,13.47,13.78,13.47,13.74,9.072055,6300
2010-03-10,13.65,13.8,13.65,13.74,9.072055,4300
2010-03-11,13.62,13.62,13.28,13.5,9.07878,2200
2010-03-12,13.5,13.5,13.25,13.49,9.072055,20900
2010-03-15,13.53,13.64,13.27,13.39,9.004807000000001,8800
2010-03-16,13.35,13.59,13.35,13.5,9.07878,2400
2010-03-17,13.4,13.75,13.36,13.63,9.166203999999999,7700
2010-03-18,13.63,13.63,13.63,13.63,9.166203999999999,500
2010-03-19,13.6,13.75,13.38,13.75,9.246908,6200
2010-03-22,13.46,13.65,13.46,13.56,9.119131,4000
2010-03-23,13.5,13.71,13.4,13.5,9.07878,10700
2010-03-24,13.48,13.55,13.4,13.4,9.011531,2600
2010-03-25,13.4,13.75,13.4,13.59,9.139304,5900
2010-03-26,13.5,13.7,13.4,13.5,9.07878,3500
2010-03-29,13.46,13.68,13.4,13.43,9.031707,3300
2010-03-30,13.38,13.64,13.27,13.38,8.99808,13000
2010-03-31,13.64,13.85,13.38,13.45,9.045154,1000
2010-04-01,13.33,13.45,13.33,13.35,8.977903,12400
2010-04-05,13.35,13.35,13.26,13.35,8.977903,5500
2010-04-06,13.26,13.38,13.26,13.35,8.977903,15100
2010-04-07,13.49,13.65,13.48,13.49,9.072055,10100
2010-04-08,13.6,13.75,13.51,13.73,9.233457000000001,25900
2010-04-09,13.65,13.72,13.6,13.64,9.172930000000001,11800
2010-04-12,13.86,13.92,13.6,13.88,9.334331,13900
2010-04-13,13.77,14.37,13.77,14.14,9.509181,9600
2010-04-14,14.23,14.4,14.11,14.3,9.616783,2600
2010-04-15,14.44,14.8,14.44,14.68,9.872332,4900
2010-04-16,14.58,14.58,14.1,14.11,9.489007,6900
2010-04-19,13.92,14.49,13.86,14.18,9.536082,8200
2010-04-20,14.12,14.37,14.12,14.27,9.596607,2900
2010-04-21,14.26,14.34,13.98,14.15,9.515905,4600
2010-04-22,14.06,14.11,14.0,14.11,9.489007,1400
2010-04-23,14.0,14.95,14.0,14.93,10.040458000000001,2700
2010-04-26,14.53,14.9,14.53,14.87,10.000111,2300
2010-04-27,14.7,14.92,14.53,14.63,9.838708,3900
2010-04-28,14.35,14.36,14.35,14.36,9.657132,800
2010-04-29,14.4,14.49,14.21,14.33,9.636956,4300
2010-04-30,14.21,14.46,13.92,14.05,9.448654,5500
2010-05-03,13.93,14.8,13.93,14.5,9.751282000000002,8700
2010-05-04,13.77,14.25,13.77,14.25,9.583157,700
2010-05-05,13.79,14.12,13.7,13.7,9.213281,8200
2010-05-06,13.88,14.18,13.36,13.51,9.085504,6600
2010-05-07,13.3,14.05,13.2,13.79,9.273805,3100
2010-05-10,13.51,13.89,13.47,13.6,9.146030999999999,2500
2010-05-11,13.66,14.27,13.66,13.8,9.280531,1900
2010-05-12,13.8,13.8,13.8,13.8,9.280531,0
2010-05-13,13.75,13.79,13.61,13.79,9.273805,4000
2010-05-14,13.85,13.86,13.79,13.84,9.307428999999999,3200
2010-05-17,13.7,13.88,13.6,13.88,9.334331,5300
2010-05-18,14.48,14.5,13.75,13.98,9.401581,6700
2010-05-19,13.98,14.25,13.95,13.95,9.381405,1700
2010-05-20,13.7,13.96,13.7,13.76,9.253631,12100
2010-05-21,13.7,13.86,13.66,13.74,9.240181,2700
2010-05-24,13.62,14.35,13.62,14.11,9.489007,3900
2010-05-25,13.71,14.39,13.61,13.78,9.26708,7400
2010-05-26,13.83,14.15,13.82,13.88,9.334331,2700
2010-05-27,14.1,14.24,14.1,14.24,9.576431,2000
2010-05-28,14.28,14.55,14.28,14.29,9.610057000000001,15800
2010-06-01,14.39,14.5,14.0,14.47,9.731107000000002,8100
2010-06-02,14.5,14.5,14.1,14.12,9.495731,10700
2010-06-03,14.11,14.5,14.0,14.0,9.41503,4000
2010-06-04,14.01,14.03,13.76,13.86,9.320881,10000
2010-06-07,13.75,13.81,13.6,13.66,9.186382,11200
2010-06-08,13.67,13.7,13.65,13.65,9.179656,1100
2010-06-09,13.64,13.8,13.3,13.36,8.984629,15300
2010-06-10,13.48,13.68,13.44,13.54,9.10568,3500
2010-06-11,13.3,13.8,13.3,13.57,9.297522,2500
2010-06-14,13.53,13.78,13.5,13.78,9.441405,2800
