Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.04,6.11,6.0,6.07,4.969223,66300
2010-01-05,6.07,6.12,5.88,6.1,4.9937830000000005,117900
2010-01-06,6.08,6.39,6.08,6.15,5.034715,99900
2010-01-07,6.16,6.29,6.04,6.2,5.075648,77600
2010-01-08,6.16,6.34,6.1,6.27,5.132954,45300
2010-01-11,6.29,6.29,6.21,6.28,5.14114,47000
2010-01-12,6.22,6.26,6.07,6.2,5.075648,74300
2010-01-13,6.21,6.4,6.13,6.36,5.206632,61100
2010-01-14,6.34,6.58,6.27,6.54,5.3539900000000005,70600
2010-01-15,6.57,6.76,6.3,6.33,5.182073,74700
2010-01-19,6.33,6.62,6.33,6.6,5.403109,86400
2010-01-20,6.53,6.76,6.37,6.74,5.51772,116700
2010-01-21,6.76,6.76,6.32,6.33,5.182073,85300
2010-01-22,6.35,6.46,6.24,6.33,5.182073,92200
2010-01-25,6.37,6.38,6.19,6.19,5.067461,58300
2010-01-26,6.17,6.19,5.9,5.92,4.846425,116400
2010-01-27,5.89,6.02,5.89,5.99,4.90373,55500
2010-01-28,5.98,6.07,5.9,5.98,4.895544,94500
2010-01-29,5.98,5.99,5.84,5.88,4.8136790000000005,95500
2010-02-01,5.89,6.01,5.67,5.85,4.789119,70300
2010-02-02,5.84,6.09,5.81,6.05,4.95285,84800
2010-02-03,6.01,6.08,5.82,5.87,4.805492,51000
2010-02-04,5.84,5.97,5.58,5.6,4.584455999999999,88800
2010-02-05,5.76,5.85,5.45,5.84,4.780933,88000
2010-02-08,5.82,5.89,5.58,5.58,4.568083000000001,40800
2010-02-09,5.66,5.79,5.63,5.74,4.699066999999999,41100
2010-02-10,5.71,5.8,5.52,5.62,4.600829,27400
2010-02-11,5.61,5.75,5.51,5.75,4.707254,44900
2010-02-12,5.67,5.82,5.56,5.76,4.715441,112400
2010-02-16,5.79,6.18,5.76,6.15,5.034715,76100
2010-02-17,6.19,6.26,6.07,6.17,5.051088,57700
2010-02-18,6.18,6.25,6.16,6.25,5.11658,29600
2010-02-19,6.25,6.25,6.1,6.14,5.026528,49700
2010-02-22,6.14,6.19,6.07,6.1,4.9937830000000005,53800
2010-02-23,6.11,6.24,5.91,6.1,4.9937830000000005,75500
2010-02-24,6.1,6.14,6.02,6.07,4.969223,36500
2010-02-25,5.97,6.01,5.76,6.0,4.911917,28100
2010-02-26,6.0,6.1,5.88,6.01,4.920104,40100
2010-03-01,6.04,6.15,6.02,6.14,5.026528,74100
2010-03-02,6.13,6.55,6.1,6.38,5.223005000000001,140900
2010-03-03,6.41,6.55,6.23,6.28,5.14114,98400
2010-03-04,6.32,6.55,6.16,6.54,5.3539900000000005,122100
2010-03-05,6.59,6.83,6.53,6.83,5.591399,134600
2010-03-08,6.83,7.07,6.76,6.98,5.714197,153000
2010-03-09,6.98,7.08,6.85,6.93,5.673264,169300
2010-03-10,6.91,7.1,6.87,7.03,5.75513,138900
2010-03-11,6.97,6.97,6.82,6.86,5.615958999999999,56300
2010-03-12,6.91,6.91,6.68,6.71,5.493161,55900
2010-03-15,6.73,6.73,6.47,6.5,5.321244,101500
2010-03-16,6.54,6.98,6.48,6.97,5.70601,115800
2010-03-17,6.96,7.04,6.87,6.97,5.70601,56600
