Date,Open,High,Low,Close,Adj Close,Volume
2011-02-17,15.14,15.19,15.14,15.19,12.749708,38600
2011-02-18,15.31,15.31,15.21,15.27,12.816856,27100
2011-02-22,15.13,15.15,14.89,14.92,12.523083999999999,12300
2011-02-23,14.97,14.97,14.78,14.86,12.472722000000001,15100
2011-02-24,15.04,15.04,14.8,14.86,12.472722000000001,6400
2011-02-25,15.22,15.22,15.02,15.06,12.640594,14100
2011-02-28,15.28,15.28,15.04,15.04,12.623806,14800
2011-03-01,15.39,15.39,15.03,15.03,12.615412,5500
2011-03-02,15.2,15.24,15.12,15.21,12.766494,4900
2011-03-03,15.22,15.35,15.21,15.35,12.884005,49700
2011-03-04,15.28,15.33,15.16,15.29,12.833642999999999,5800
2011-03-07,15.53,15.58,15.23,15.25,12.800068,4700
2011-03-08,15.48,15.6,15.48,15.56,13.060267,1000
2011-03-09,15.63,15.63,15.54,15.54,13.04348,600
2011-03-10,15.45,15.54,15.26,15.3,12.842035000000001,4400
2011-03-11,15.26,15.33,15.25,15.3,12.842035000000001,11000
2011-03-14,15.43,15.43,15.22,15.31,12.850430000000001,2700
2011-03-15,14.82,14.95,14.7,14.95,12.548264,14100
2011-03-16,14.85,14.85,14.7,14.75,12.380393,3000
2011-03-17,14.92,14.98,14.88,14.88,12.489511,2400
2011-03-18,15.04,15.04,14.98,14.98,12.573443,1700
2011-03-21,15.34,15.34,15.33,15.33,12.867216,700
2011-03-22,15.36,15.36,15.36,15.36,12.892397,300
2011-03-23,15.44,15.52,15.39,15.52,13.026693,1900
2011-03-24,15.69,15.72,15.51,15.71,13.186169,4300
2011-03-25,15.67,15.67,15.62,15.66,13.144201,800
2011-03-28,15.61,15.61,15.58,15.59,13.085447,5400
2011-03-29,15.56,15.66,15.56,15.66,13.144201,1300
2011-03-30,15.82,15.89,15.82,15.82,13.278497,11900
2011-03-31,15.8,15.97,15.8,15.97,13.404401000000002,6200
2011-04-01,16.129998999999998,16.16,16.08,16.08,13.496729,1500
2011-04-04,16.120001000000002,16.16,16.1,16.16,13.563876,5300
2011-04-05,16.17,16.18,16.129998999999998,16.18,13.580663000000001,3400
2011-04-06,16.299999,16.299999,16.219998999999998,16.25,13.639417000000002,9100
2011-04-07,16.34,16.34,16.26,16.27,13.656204999999998,7400
2011-04-08,16.389999,16.389999,16.209999,16.25,13.639417000000002,9400
2011-04-11,16.18,16.200001,16.139999,16.139999,13.547088,4900
2011-04-12,16.049999,16.049999,15.91,16.02,13.446367,6000
2011-04-13,16.15,16.18,16.15,16.16,13.563876,1300
2011-04-14,16.110001,16.15,16.09,16.15,13.555482000000001,3300
2011-04-15,16.219998999999998,16.309998999999998,16.18,16.290001,13.672993,2900
2011-04-18,16.059998999999998,16.059998999999998,15.9,15.9,13.345645999999999,4000
2011-04-19,16.17,16.190001000000002,16.120001000000002,16.190001000000002,13.589057999999998,3000
2011-04-20,16.43,16.530001000000002,16.43,16.48,13.832467000000001,5200
2011-04-21,16.52,16.59,16.5,16.52,13.866041000000001,4200
2011-04-25,16.530001000000002,16.530001000000002,16.48,16.48,13.832467000000001,5900
2011-04-26,16.57,16.57,16.540001,16.540001,13.882829999999998,1700
2011-04-27,16.549999,16.66,16.549999,16.66,13.98355,2600
2011-04-28,16.66,16.719998999999998,16.620001000000002,16.709999,14.025517,14900
2011-04-29,16.68,16.76,16.540001,16.73,14.042304000000001,12000
2011-05-02,16.82,16.85,16.709999,16.719998999999998,14.033910999999998,70000
2011-05-03,16.5,16.559998999999998,16.4,16.459999,13.815681,3500
2011-05-04,16.309998999999998,16.309998999999998,16.059998999999998,16.290001,13.672993,4800
2011-05-05,16.030001000000002,16.1,15.99,15.99,13.421185999999999,6400
2011-05-06,16.370001000000002,16.370001000000002,15.98,15.98,13.412792999999999,2300
2011-05-09,16.09,16.370001000000002,16.09,16.370001000000002,13.740141,7400
2011-05-10,16.49,16.49,16.4,16.43,13.790501999999998,2400
2011-05-11,16.5,16.530001000000002,16.41,16.450001,13.807286999999999,8000
2011-05-12,16.35,16.51,16.190001000000002,16.51,13.857648000000001,2700
2011-05-13,16.4,16.4,16.110001,16.110001,13.521907999999998,2600
2011-05-16,16.110001,16.290001,16.059998999999998,16.08,13.496729,10300
2011-05-17,16.09,16.24,16.09,16.24,13.631023999999998,900
2011-05-18,16.4,16.450001,16.379998999999998,16.450001,13.807286999999999,4900
2011-05-19,16.549999,16.6,16.469998999999998,16.49,13.840860999999999,5700
2011-05-20,16.469998999999998,16.49,16.370001000000002,16.469998999999998,13.824075,17400
2011-05-23,15.93,16.120001000000002,15.8,16.08,13.496729,22100
2011-05-24,16.18,16.18,16.030001000000002,16.08,13.496729,9300
