Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.35,3.43,3.35,3.42,1.893303,127200
2010-01-05,3.42,3.46,3.41,3.46,1.9154470000000001,187000
2010-01-06,3.44,3.48,3.42,3.47,1.920983,99900
2010-01-07,3.46,3.49,3.42,3.48,1.9265189999999999,78100
2010-01-08,3.45,3.48,3.44,3.48,1.9265189999999999,129100
2010-01-11,3.5,3.5,3.48,3.49,1.9320549999999999,88400
2010-01-12,3.44,3.47,3.43,3.46,1.9154470000000001,74600
2010-01-13,3.47,3.49,3.43,3.48,1.9265189999999999,51700
2010-01-14,3.49,3.5,3.47,3.49,1.9320549999999999,26500
2010-01-15,3.45,3.49,3.4,3.46,1.9154470000000001,88700
2010-01-19,3.47,3.52,3.45,3.49,1.9320549999999999,96900
2010-01-20,3.46,3.46,3.43,3.45,1.9099110000000001,53100
2010-01-21,3.44,3.46,3.4,3.41,1.8877669999999998,76600
2010-01-22,3.4,3.4,3.33,3.33,1.843479,81600
2010-01-25,3.36,3.52,3.33,3.35,1.8545509999999998,245500
2010-01-26,3.34,3.37,3.33,3.35,1.8545509999999998,46100
2010-01-27,3.32,3.34,3.29,3.34,1.849015,87000
2010-01-28,3.34,3.35,3.28,3.32,1.837943,114400
2010-01-29,3.33,3.35,3.27,3.27,1.8102639999999999,75100
2010-02-01,3.29,3.32,3.27,3.31,1.832407,54500
2010-02-02,3.32,3.37,3.32,3.36,1.8600869999999998,13700
2010-02-03,3.37,3.37,3.32,3.33,1.843479,45000
2010-02-04,3.3,3.3,3.23,3.24,1.7936560000000001,88600
2010-02-05,3.24,3.24,3.1,3.2,1.771511,109300
2010-02-08,3.22,3.26,3.2,3.22,1.782584,42700
2010-02-09,3.41,3.41,3.21,3.25,1.799191,98900
2010-02-10,3.23,3.29,3.2,3.27,1.8102639999999999,145100
2010-02-11,3.27,3.33,3.23,3.32,1.837943,148400
2010-02-12,3.29,3.31,3.25,3.27,1.8102639999999999,94300
2010-02-16,3.28,3.39,3.28,3.36,1.8600869999999998,138800
2010-02-17,3.35,3.49,3.35,3.46,1.9154470000000001,186400
2010-02-18,3.44,3.5,3.43,3.5,1.937591,93800
2010-02-19,3.46,3.52,3.44,3.51,1.943127,200600
2010-02-22,3.48,3.52,3.48,3.49,1.9320549999999999,176600
2010-02-23,3.48,3.49,3.45,3.47,1.920983,70400
2010-02-24,3.41,3.47,3.41,3.47,1.9547830000000002,150700
2010-02-25,3.42,3.47,3.4,3.44,1.9378830000000002,90800
2010-02-26,3.44,3.48,3.44,3.46,1.94915,155700
2010-03-01,3.43,3.52,3.43,3.5,1.971683,106800
2010-03-02,3.5,3.55,3.5,3.51,1.9773169999999998,129900
2010-03-03,3.49,3.58,3.49,3.55,1.9998509999999998,140400
2010-03-04,3.56,3.61,3.55,3.55,1.9998509999999998,39700
2010-03-05,3.59,3.61,3.57,3.6,2.0280169999999997,79700
2010-03-08,3.62,3.67,3.6,3.67,2.0674509999999997,38400
2010-03-09,3.66,3.71,3.63,3.71,2.089984,61200
2010-03-10,3.38,3.77,3.36,3.74,2.106884,329800
2010-03-11,3.73,3.74,3.68,3.69,2.078718,144800
2010-03-12,3.68,3.71,3.64,3.69,2.078718,293700
2010-03-15,3.69,3.74,3.67,3.69,2.078718,133100
2010-03-16,3.72,3.76,3.71,3.73,2.101251,83400
2010-03-17,3.75,3.83,3.73,3.79,2.135051,163700
2010-03-18,3.79,3.82,3.72,3.75,2.112518,157800
2010-03-19,3.71,3.78,3.69,3.71,2.089984,53800
2010-03-22,3.7,3.73,3.69,3.71,2.089984,94400
2010-03-23,3.71,3.74,3.71,3.73,2.101251,205100
2010-03-24,3.72,3.74,3.71,3.72,2.095617,170200
2010-03-25,3.71,3.77,3.71,3.71,2.089984,109000
2010-03-26,3.72,3.73,3.69,3.73,2.101251,117300
2010-03-29,3.79,3.79,3.72,3.72,2.095617,180300
2010-03-30,3.73,3.75,3.71,3.75,2.112518,146600
2010-03-31,3.75,3.76,3.71,3.74,2.106884,163900
2010-04-01,3.73,3.78,3.73,3.75,2.112518,86900
2010-04-05,3.79,3.79,3.76,3.77,2.123785,70400
2010-04-06,3.78,3.82,3.76,3.79,2.135051,73200
2010-04-07,3.8,3.81,3.78,3.78,2.129418,80500
2010-04-08,3.8,3.81,3.76,3.79,2.135051,63300
2010-04-09,3.8,3.82,3.78,3.82,2.151951,39600
2010-04-12,3.83,3.84,3.82,3.82,2.151951,45200
2010-04-13,3.87,3.92,3.85,3.89,2.191385,261400
2010-04-14,3.95,4.0,3.92,3.96,2.230819,108300
2010-04-15,3.99,4.0,3.96,4.0,2.253352,152700
2010-04-16,3.98,3.98,3.91,3.96,2.230819,203800
2010-04-19,3.95,4.02,3.93,3.98,2.242085,215400
2010-04-20,3.97,3.98,3.94,3.94,2.219552,163200
2010-04-21,3.94,3.97,3.83,3.95,2.2251849999999997,218500
2010-04-22,3.91,3.99,3.9,3.99,2.247719,115200
2010-04-23,3.95,4.0,3.95,3.99,2.247719,67800
2010-04-26,3.98,4.03,3.98,4.02,2.2646189999999997,68900
2010-04-27,3.98,4.0,3.93,3.93,2.2139189999999997,120400
2010-04-28,3.93,3.99,3.92,3.94,2.219552,101800
2010-04-29,3.97,4.0,3.94,4.0,2.253352,159200
2010-04-30,3.99,4.0,3.96,3.97,2.236452,78500
2010-05-03,3.96,4.0,3.96,3.97,2.236452,53600
2010-05-04,3.94,3.94,3.87,3.87,2.1801180000000002,94400
2010-05-05,3.83,3.87,3.77,3.85,2.1688509999999996,108600
2010-05-06,3.8,3.87,2.95,3.72,2.095617,298300
2010-05-07,3.72,3.83,3.6,3.65,2.056184,236100
2010-05-10,3.78,3.84,3.7,3.74,2.106884,95800
2010-05-11,3.74,3.78,3.7,3.75,2.112518,70600
2010-05-12,3.76,3.81,3.76,3.81,2.146318,53100
2010-05-13,3.81,3.86,3.8,3.8,2.140685,51600
2010-05-14,3.79,3.79,3.69,3.69,2.078718,77600
2010-05-17,3.69,3.71,3.58,3.67,2.0674509999999997,67600
2010-05-18,3.69,3.74,3.65,3.67,2.0674509999999997,57300
2010-05-19,3.65,3.66,3.6,3.64,2.05055,63100
2010-05-20,3.6,3.6,3.47,3.47,1.9547830000000002,160400
2010-05-21,3.4,3.52,3.39,3.48,1.960416,48000
2010-05-24,3.53,3.55,3.5,3.51,1.9773169999999998,37500
2010-05-25,3.34,3.49,3.34,3.47,1.9547830000000002,125900
2010-05-26,3.5,3.55,3.43,3.43,1.966248,69200
2010-05-27,3.49,3.55,3.49,3.51,2.012108,98300
2010-05-28,3.55,3.6,3.49,3.49,2.000643,61800
2010-06-01,3.43,3.5,3.43,3.47,1.989178,64000
2010-06-02,3.52,3.56,3.46,3.56,2.04077,23000
2010-06-03,3.59,3.7,3.51,3.56,2.04077,67600
2010-06-04,3.53,3.55,3.43,3.51,2.012108,93100
2010-06-07,3.53,3.56,3.45,3.47,1.989178,124500
2010-06-08,3.46,3.47,3.43,3.43,1.966248,24100
2010-06-09,3.45,3.52,3.44,3.48,1.994911,48900
2010-06-10,3.5,3.54,3.48,3.52,2.0178409999999998,35500
2010-06-11,3.51,3.54,3.5,3.52,2.0178409999999998,84000
2010-06-14,3.56,3.6,3.53,3.59,2.0579680000000002,77200
2010-06-15,3.6,3.66,3.58,3.63,2.080898,89700
2010-06-16,3.62,3.7,3.61,3.68,2.1095599999999997,53700
2010-06-17,3.68,3.68,3.62,3.66,2.098096,45400
2010-06-18,3.67,3.67,3.62,3.62,2.075166,23200
2010-06-21,3.65,3.66,3.63,3.64,2.086631,82000
2010-06-22,3.64,3.65,3.6,3.6,2.063701,53500
2010-06-23,3.6,3.63,3.57,3.6,2.063701,57600
2010-06-24,3.57,3.65,3.53,3.57,2.046503,77100
2010-06-25,3.56,3.75,3.54,3.65,2.092363,107300
2010-06-28,3.67,3.67,3.61,3.64,2.086631,107500
2010-06-29,3.58,3.58,3.45,3.5,2.006376,65000
2010-06-30,3.5,3.5,3.4,3.41,1.9547830000000002,45000
2010-07-01,3.4,3.4,3.25,3.37,1.9318529999999998,76500
2010-07-02,3.38,3.38,3.3,3.38,1.937586,43700
2010-07-06,3.49,3.55,3.34,3.39,1.9433189999999998,97000
2010-07-07,3.48,3.55,3.41,3.47,1.989178,84300
2010-07-08,3.53,3.58,3.46,3.48,1.994911,30300
2010-07-09,3.47,3.56,3.47,3.56,2.04077,26800
2010-07-12,3.57,3.62,3.53,3.53,2.023573,52400
2010-07-13,3.57,3.62,3.53,3.57,2.046503,61700
2010-07-14,3.6,3.61,3.55,3.58,2.052236,45200
2010-07-15,3.61,3.62,3.5,3.53,2.023573,103700
2010-07-16,3.54,3.57,3.47,3.47,1.989178,33000
2010-07-19,3.5,3.5,3.43,3.5,2.006376,99400
2010-07-20,3.46,3.52,3.43,3.51,2.012108,32000
2010-07-21,3.57,3.57,3.5,3.5,2.006376,43600
2010-07-22,3.59,3.6,3.56,3.59,2.0579680000000002,45700
2010-07-23,3.61,3.62,3.54,3.61,2.069433,80900
2010-07-26,3.65,3.68,3.62,3.65,2.092363,44300
2010-07-27,3.71,3.71,3.66,3.66,2.098096,47100
2010-07-28,3.66,3.66,3.61,3.61,2.069433,39800
2010-07-29,3.66,3.67,3.58,3.61,2.069433,59000
2010-07-30,3.61,3.61,3.56,3.58,2.052236,85500
2010-08-02,3.63,3.67,3.63,3.65,2.092363,68300
2010-08-03,3.67,3.67,3.6,3.65,2.092363,20900
2010-08-04,3.7,3.7,3.65,3.68,2.1095599999999997,55400
2010-08-05,3.68,3.7,3.66,3.68,2.1095599999999997,39600
2010-08-06,3.66,3.76,3.65,3.75,2.1496880000000003,67300
2010-08-09,3.8,3.8,3.72,3.75,2.1496880000000003,41100
2010-08-10,3.68,3.73,3.66,3.73,2.138223,45000
2010-08-11,3.7,3.7,3.6,3.61,2.069433,32000
2010-08-12,3.59,3.59,3.56,3.57,2.046503,22000
2010-08-13,3.59,3.59,3.52,3.56,2.04077,41500
2010-08-16,3.57,3.57,3.5,3.51,2.012108,45200
2010-08-17,3.55,3.58,3.53,3.58,2.052236,42800
2010-08-18,3.6,3.74,3.54,3.61,2.069433,102600
2010-08-19,3.62,3.64,3.55,3.58,2.052236,30300
2010-08-20,3.6,3.64,3.5,3.51,2.012108,61600
2010-08-23,3.56,3.61,3.52,3.54,2.029306,34100
2010-08-24,3.55,3.55,3.48,3.48,1.994911,160600
2010-08-25,3.44,3.46,3.39,3.43,2.000744,70800
2010-08-26,3.41,3.52,3.41,3.43,2.000744,53700
2010-08-27,3.46,3.48,3.39,3.48,2.029909,42600
2010-08-30,3.46,3.5,3.43,3.5,2.041575,75800
2010-08-31,3.47,3.53,3.46,3.49,2.035742,57500
2010-09-01,3.53,3.57,3.5,3.55,2.0707400000000002,81800
2010-09-02,3.57,3.6,3.55,3.56,2.076573,32600
2010-09-03,3.58,3.64,3.57,3.6,2.099905,79900
2010-09-07,3.62,3.62,3.57,3.59,2.094073,26200
2010-09-08,3.78,3.8,3.57,3.6,2.099905,66700
2010-09-09,3.64,3.67,3.61,3.63,2.1174049999999998,39500
2010-09-10,3.65,3.65,3.6,3.64,2.123238,43600
2010-09-13,3.72,3.75,3.69,3.71,2.16407,77600
2010-09-14,3.67,3.75,3.67,3.72,2.1699029999999997,87600
2010-09-15,3.71,3.72,3.69,3.72,2.1699029999999997,61000
2010-09-16,3.7,3.75,3.69,3.75,2.187402,69900
2010-09-17,3.77,3.78,3.72,3.74,2.1815689999999996,40100
2010-09-20,3.76,3.8,3.75,3.78,2.204902,68400
2010-09-21,3.79,3.8,3.76,3.8,2.216568,43000
2010-09-22,3.78,3.79,3.71,3.78,2.204902,48400
2010-09-23,3.72,3.75,3.7,3.73,2.175736,64900
2010-09-24,3.77,3.79,3.75,3.78,2.204902,47500
2010-09-27,3.8,3.82,3.78,3.81,2.2224,58700
2010-09-28,3.82,3.82,3.75,3.8,2.216568,54400
2010-09-29,3.81,3.84,3.79,3.84,2.2398990000000003,31900
2010-09-30,3.85,3.85,3.81,3.81,2.2224,40200
2010-10-01,3.85,3.86,3.79,3.81,2.2224,37300
2010-10-04,3.83,3.83,3.75,3.8,2.216568,32200
2010-10-05,3.78,3.84,3.78,3.82,2.2282330000000004,60800
2010-10-06,3.83,3.86,3.8,3.83,2.234066,74400
2010-10-07,3.82,3.87,3.8,3.83,2.234066,47600
2010-10-08,3.81,3.85,3.81,3.84,2.2398990000000003,46600
2010-10-11,3.84,3.86,3.84,3.85,2.245733,9700
2010-10-12,3.84,3.87,3.81,3.86,2.251566,41200
2010-10-13,3.88,3.92,3.87,3.88,2.263232,65900
2010-10-14,3.86,3.91,3.83,3.85,2.245733,61600
2010-10-15,3.85,3.86,3.8,3.86,2.251566,32200
2010-10-18,3.86,3.89,3.84,3.89,2.2690650000000003,58200
2010-10-19,3.84,3.85,3.82,3.84,2.2398990000000003,44700
