Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.64,1.64,1.52,1.52,1.424658,1600
2010-01-05,1.51,1.57,1.5,1.5,1.405912,11500
2010-01-06,1.49,1.63,1.48,1.59,1.490267,65600
2010-01-07,1.5,1.52,1.49,1.5,1.405912,7100
2010-01-08,1.5,1.64,1.49,1.61,1.509013,9100
2010-01-11,1.61,1.65,1.57,1.62,1.518385,10400
2010-01-12,1.56,1.64,1.56,1.57,1.4715209999999999,3800
2010-01-13,1.57,1.65,1.57,1.6,1.4996399999999999,1100
2010-01-14,1.57,1.61,1.52,1.59,1.490267,11700
2010-01-15,1.52,1.54,1.52,1.54,1.443403,1000
2010-01-19,1.54,1.6,1.48,1.48,1.387167,15800
2010-01-20,1.5,1.5,1.49,1.5,1.405912,3700
2010-01-21,1.5,1.5,1.47,1.49,1.39654,2500
2010-01-22,1.49,1.49,1.45,1.47,1.377794,16200
2010-01-25,1.52,1.52,1.45,1.51,1.4152850000000001,6700
2010-01-26,1.6,1.61,1.52,1.6,1.4996399999999999,65500
2010-01-27,1.6,1.6,1.5,1.5,1.405912,16700
2010-01-28,1.5,1.55,1.5,1.55,1.452776,14300
2010-01-29,1.52,1.52,1.46,1.47,1.377794,4200
2010-02-01,1.46,1.52,1.46,1.52,1.424658,600
2010-02-02,1.45,1.49,1.45,1.49,1.39654,7500
2010-02-03,1.51,1.51,1.49,1.49,1.39654,1300
2010-02-04,1.47,1.5,1.41,1.5,1.405912,34900
2010-02-05,1.46,1.5,1.45,1.45,1.359048,1500
2010-02-08,1.4,1.48,1.4,1.42,1.33093,24800
2010-02-09,1.43,1.45,1.4,1.43,1.340303,53800
2010-02-10,1.4,1.42,1.4,1.42,1.33093,14000
2010-02-11,1.43,1.47,1.41,1.42,1.33093,19100
2010-02-12,1.4,1.46,1.4,1.46,1.3684209999999999,15000
2010-02-16,1.45,1.49,1.41,1.49,1.39654,8400
2010-02-17,1.42,1.5,1.42,1.5,1.405912,15800
2010-02-18,1.5,1.51,1.5,1.5,1.405912,9400
2010-02-19,1.51,1.62,1.5,1.53,1.43403,44100
2010-02-22,1.51,1.55,1.46,1.55,1.452776,5500
2010-02-23,1.55,1.56,1.53,1.53,1.43403,2400
2010-02-24,1.55,1.58,1.53,1.55,1.452776,23800
2010-02-25,1.51,1.55,1.51,1.51,1.4152850000000001,15800
2010-02-26,1.53,1.53,1.53,1.53,1.43403,400
2010-03-01,1.46,1.51,1.43,1.51,1.4152850000000001,19900
2010-03-02,1.51,1.59,1.5,1.55,1.452776,13400
2010-03-03,1.51,1.7,1.51,1.7,1.593367,26500
2010-03-04,1.67,1.67,1.58,1.6,1.4996399999999999,25000
2010-03-05,1.6,1.7,1.56,1.56,1.462149,9900
2010-03-08,1.6,1.87,1.6,1.87,1.752704,11000
2010-03-09,1.87,1.87,1.52,1.65,1.546503,14800
2010-03-10,1.66,1.69,1.62,1.65,1.546503,132000
2010-03-11,1.62,1.62,1.58,1.6,1.4996399999999999,6800
2010-03-12,1.61,1.7,1.58,1.7,1.593367,12300
2010-03-15,1.64,1.75,1.63,1.75,1.6402310000000002,35800
2010-03-16,1.72,1.72,1.67,1.68,1.5746209999999998,1600
2010-03-17,1.72,1.86,1.59,1.75,1.6402310000000002,34400
2010-03-18,1.67,1.87,1.67,1.8,1.687095,29600
2010-03-19,1.8,2.55,1.74,2.13,1.9963959999999998,8700
2010-03-22,2.11,2.11,1.84,1.89,1.77145,14500
2010-03-23,1.91,1.93,1.89,1.93,1.8089400000000002,1400
2010-03-24,1.95,1.95,1.77,1.85,1.733959,9900
2010-03-25,1.8,1.87,1.8,1.87,1.752704,6200
2010-03-26,1.9,1.95,1.9,1.9,1.7808220000000001,8800
2010-03-29,1.91,1.97,1.78,1.78,1.668349,6700
2010-03-30,1.75,1.75,1.73,1.73,1.621485,2900
2010-03-31,1.75,1.75,1.66,1.67,1.565249,14200
2010-04-01,1.75,2.3,1.75,2.23,2.090123,141400
2010-04-05,2.3,2.47,2.01,2.2,2.062005,185400
2010-04-06,2.3,2.33,2.11,2.13,1.9963959999999998,36800
2010-04-07,2.13,2.24,2.11,2.14,2.005768,70300
2010-04-08,2.29,2.31,2.13,2.18,2.043259,19100
2010-04-09,2.33,2.33,2.11,2.2,2.062005,35600
2010-04-12,2.19,2.2,1.96,1.96,1.837059,23700
2010-04-13,1.96,2.06,1.96,2.0,1.87455,11800
2010-04-14,2.16,2.16,2.0,2.1,1.968277,8700
2010-04-15,2.12,2.14,1.97,2.07,1.940159,4300
2010-04-16,2.0,2.37,1.96,2.35,2.202595,35300
2010-04-19,2.34,2.34,2.13,2.2,2.062005,5900
2010-04-20,2.13,2.14,1.97,2.0,1.87455,42400
2010-04-21,2.02,2.5,2.02,2.49,2.333814,111900
2010-04-22,2.4,2.4,2.25,2.34,2.193223,29200
2010-04-23,2.37,2.37,2.25,2.3,2.155732,24200
2010-04-26,2.49,2.49,2.12,2.2,2.062005,29600
2010-04-27,2.2,2.32,2.12,2.12,1.987023,16800
2010-04-28,2.13,2.35,2.13,2.19,2.052632,15600
2010-04-29,2.42,2.42,2.27,2.29,2.146359,2700
2010-04-30,2.39,2.39,2.21,2.24,2.099495,22200
2010-05-03,2.24,2.25,2.08,2.24,2.099495,34400
2010-05-04,2.21,2.4,2.19,2.4,2.24946,10000
2010-05-05,2.27,2.27,2.16,2.21,2.0713779999999997,20200
2010-05-06,2.19,2.25,2.18,2.25,2.108868,14200
2010-05-07,2.23,2.25,2.16,2.16,2.024514,1800
2010-05-10,2.2,2.21,2.16,2.16,2.024514,4300
2010-05-11,2.17,2.17,2.16,2.16,2.024514,1300
2010-05-12,2.13,2.15,2.06,2.1,1.968277,3200
2010-05-13,2.1,2.11,2.05,2.1,1.968277,3000
2010-05-14,2.05,2.06,1.98,2.03,1.902668,15400
2010-05-17,2.01,2.01,1.9,1.98,1.855804,4800
2010-05-18,1.95,1.96,1.85,1.87,1.752704,4200
2010-05-19,1.84,1.84,1.71,1.73,1.621485,15300
2010-05-20,1.73,1.73,1.73,1.73,1.621485,0
2010-05-21,1.72,1.75,1.71,1.72,1.612113,1300
2010-05-24,1.73,1.88,1.7,1.87,1.752704,15600
2010-05-25,1.94,1.96,1.71,1.81,1.6964669999999997,6100
2010-05-26,1.86,1.93,1.78,1.84,1.724586,3700
2010-05-27,1.84,1.84,1.7,1.84,1.724586,2800
2010-05-28,1.76,1.95,1.75,1.95,1.8276860000000001,1300
2010-06-01,1.81,1.85,1.8,1.8,1.687095,2400
2010-06-02,1.85,1.85,1.85,1.85,1.733959,500
2010-06-03,1.85,1.85,1.75,1.8,1.687095,2600
2010-06-04,1.8,1.8,1.8,1.8,1.687095,0
2010-06-07,1.8,1.8,1.8,1.8,1.687095,0
2010-06-08,1.69,1.8,1.69,1.73,1.621485,2500
2010-06-09,1.77,1.77,1.73,1.77,1.6589770000000001,5800
2010-06-10,1.76,1.77,1.71,1.77,1.6589770000000001,2500
2010-06-11,1.71,1.76,1.68,1.75,1.6402310000000002,14700
2010-06-14,1.77,1.77,1.7,1.7,1.593367,6600
2010-06-15,1.84,2.0,1.74,1.74,1.630858,3100
2010-06-16,1.71,1.72,1.69,1.72,1.612113,2000
2010-06-17,1.89,1.9,1.75,1.84,1.724586,2300
2010-06-18,1.72,1.87,1.71,1.87,1.752704,3800
2010-06-21,1.75,1.75,1.71,1.75,1.6402310000000002,2900
2010-06-22,1.7,1.74,1.7,1.73,1.621485,10200
2010-06-23,1.73,1.73,1.68,1.68,1.5746209999999998,4700
2010-06-24,1.68,1.71,1.68,1.68,1.5746209999999998,2600
2010-06-25,1.79,1.79,1.68,1.74,1.630858,3200
2010-06-28,1.68,1.71,1.68,1.68,1.5746209999999998,2300
2010-06-29,1.68,1.68,1.6,1.6,1.4996399999999999,11500
2010-06-30,1.54,1.61,1.54,1.61,1.509013,3800
2010-07-01,1.6,1.6,1.6,1.6,1.4996399999999999,200
2010-07-02,1.54,1.63,1.53,1.53,1.43403,3500
2010-07-06,1.52,1.54,1.5,1.53,1.43403,18100
2010-07-07,1.51,1.55,1.5,1.55,1.452776,3000
2010-07-08,1.54,1.88,1.45,1.6,1.4996399999999999,17200
2010-07-09,1.7,1.73,1.7,1.72,1.612113,3700
2010-07-12,1.71,1.71,1.67,1.67,1.565249,200
2010-07-13,1.59,1.62,1.59,1.61,1.509013,2400
2010-07-14,1.64,1.64,1.53,1.6,1.4996399999999999,1400
2010-07-15,1.56,1.74,1.55,1.74,1.630858,6800
2010-07-16,1.61,1.61,1.34,1.4,1.312185,17600
2010-07-19,1.5,1.69,1.46,1.69,1.583995,3400
2010-07-20,1.69,1.78,1.66,1.77,1.6589770000000001,14300
2010-07-21,1.77,1.77,1.77,1.77,1.6589770000000001,0
2010-07-22,1.8,1.8,1.78,1.78,1.668349,1900
2010-07-23,1.7,1.7,1.7,1.7,1.593367,200
2010-07-26,1.7,1.81,1.49,1.75,1.6402310000000002,29100
2010-07-27,1.72,1.8,1.6,1.67,1.565249,19000
2010-07-28,1.71,1.8,1.71,1.8,1.687095,14100
2010-07-29,1.8,1.8,1.7,1.7,1.593367,300
2010-07-30,1.7,1.89,1.68,1.89,1.77145,4200
2010-08-02,1.8,1.83,1.68,1.7,1.593367,16600
2010-08-03,1.79,1.83,1.66,1.83,1.715213,5600
2010-08-04,1.82,1.82,1.68,1.68,1.5746209999999998,4900
2010-08-05,1.78,1.88,1.68,1.83,1.715213,7200
2010-08-06,1.83,1.85,1.76,1.85,1.733959,11100
2010-08-09,1.81,1.81,1.72,1.72,1.612113,4700
2010-08-10,1.7,1.72,1.61,1.7,1.593367,9100
2010-08-11,1.79,1.79,1.61,1.76,1.649603,1200
2010-08-12,1.63,1.75,1.63,1.75,1.6402310000000002,4200
2010-08-13,1.65,1.71,1.63,1.7,1.593367,3500
2010-08-16,1.7,1.7,1.5,1.67,1.565249,32100
2010-08-17,1.65,1.67,1.65,1.65,1.546503,1400
2010-08-18,1.58,1.65,1.53,1.65,1.546503,800
2010-08-19,1.68,1.71,1.68,1.68,1.5746209999999998,3000
2010-08-20,1.7,1.86,1.67,1.78,1.668349,10500
2010-08-23,1.75,1.76,1.75,1.76,1.649603,3300
2010-08-24,1.72,1.72,1.69,1.71,1.60274,2100
2010-08-25,1.79,1.8,1.75,1.75,1.6402310000000002,5500
2010-08-26,1.8,1.82,1.75,1.82,1.7058400000000002,101600
2010-08-27,1.82,1.82,1.82,1.82,1.7058400000000002,0
2010-08-30,1.8,1.81,1.59,1.66,1.555876,15600
2010-08-31,1.65,1.81,1.56,1.81,1.6964669999999997,3700
2010-09-01,1.8,1.8,1.63,1.7,1.593367,14000
2010-09-02,1.69,1.7,1.68,1.7,1.593367,3100
2010-09-03,1.72,1.72,1.62,1.72,1.612113,7200
2010-09-07,1.72,1.72,1.72,1.72,1.612113,10400
2010-09-08,1.72,1.72,1.72,1.72,1.612113,0
2010-09-09,1.72,1.72,1.62,1.7,1.593367,2000
2010-09-10,1.68,1.68,1.68,1.68,1.5746209999999998,4800
2010-09-13,1.69,1.74,1.5,1.74,1.630858,17400
2010-09-14,1.62,1.71,1.62,1.71,1.60274,1200
2010-09-15,1.7,1.74,1.66,1.7,1.593367,3400
2010-09-16,1.64,1.75,1.61,1.74,1.630858,2500
2010-09-17,1.73,1.75,1.51,1.57,1.4715209999999999,16800
2010-09-20,1.57,1.66,1.55,1.66,1.555876,4200
2010-09-21,1.65,1.76,1.65,1.68,1.5746209999999998,3900
2010-09-22,1.66,1.71,1.62,1.7,1.593367,1100
2010-09-23,1.67,1.67,1.67,1.67,1.565249,100
2010-09-24,1.71,1.72,1.6,1.72,1.612113,7200
2010-09-27,1.64,1.68,1.64,1.68,1.5746209999999998,1400
2010-09-28,1.67,1.7,1.67,1.7,1.593367,9100
2010-09-29,1.67,1.69,1.64,1.65,1.546503,5600
2010-09-30,1.63,1.68,1.6,1.67,1.565249,2600
2010-10-01,1.68,1.69,1.61,1.68,1.5746209999999998,4400
2010-10-04,1.63,1.66,1.61,1.64,1.5371299999999999,8400
2010-10-05,1.66,1.8,1.63,1.75,1.6402310000000002,13200
2010-10-06,1.76,1.76,1.66,1.66,1.555876,2700
2010-10-07,1.63,1.66,1.63,1.66,1.555876,2100
2010-10-08,1.67,1.74,1.66,1.74,1.630858,1100
2010-10-11,1.8,1.8,1.66,1.66,1.555876,600
2010-10-12,1.68,1.69,1.66,1.66,1.555876,3800
2010-10-13,1.66,1.69,1.65,1.69,1.583995,2600
2010-10-14,1.68,1.73,1.63,1.63,1.527758,3100
2010-10-15,1.63,1.67,1.63,1.67,1.565249,1000
2010-10-18,1.71,1.75,1.63,1.7,1.593367,5700
2010-10-19,1.66,1.68,1.63,1.68,1.5746209999999998,15900
2010-10-20,1.68,1.74,1.6,1.74,1.630858,6300
2010-10-21,1.7,1.7,1.6,1.62,1.518385,2500
2010-10-22,1.63,1.69,1.63,1.63,1.527758,4300
2010-10-25,1.66,1.66,1.63,1.64,1.5371299999999999,4100
2010-10-26,1.51,1.66,1.51,1.66,1.555876,13700
2010-10-27,1.66,1.66,1.58,1.62,1.518385,13300
2010-10-28,1.55,1.56,1.54,1.56,1.462149,6900
2010-10-29,1.56,1.6,1.51,1.56,1.462149,36400
2010-11-01,1.56,1.56,1.55,1.55,1.452776,7400
2010-11-02,1.55,1.69,1.55,1.6,1.4996399999999999,8900
2010-11-03,1.6,1.61,1.55,1.56,1.462149,4300
2010-11-04,1.56,1.61,1.52,1.61,1.509013,12500
2010-11-05,1.6,1.65,1.53,1.65,1.546503,7000
2010-11-08,1.53,1.65,1.53,1.54,1.443403,4300
2010-11-09,1.63,1.75,1.55,1.69,1.583995,9600
2010-11-10,1.65,1.65,1.61,1.61,1.509013,2800
2010-11-11,1.63,1.65,1.63,1.63,1.527758,2000
2010-11-12,1.62,1.67,1.61,1.61,1.509013,6300
2010-11-15,1.65,1.65,1.55,1.59,1.490267,3500
2010-11-16,1.59,1.59,1.59,1.59,1.490267,400
2010-11-17,1.64,1.64,1.54,1.55,1.452776,1900
2010-11-18,1.55,1.65,1.55,1.65,1.546503,2300
2010-11-19,1.65,1.7,1.54,1.7,1.593367,9300
2010-11-22,1.68,1.68,1.52,1.52,1.424658,12500
2010-11-23,1.53,1.62,1.52,1.52,1.424658,6900
2010-11-24,1.53,1.56,1.52,1.56,1.462149,4200
2010-11-26,1.53,1.54,1.52,1.54,1.443403,500
2010-11-29,1.53,1.59,1.53,1.56,1.462149,5600
2010-11-30,1.53,1.58,1.52,1.54,1.443403,4300
2010-12-01,1.55,1.58,1.53,1.53,1.43403,8400
2010-12-02,1.53,1.61,1.53,1.53,1.43403,8800
2010-12-03,1.55,1.55,1.53,1.53,1.43403,1400
2010-12-06,1.53,1.63,1.52,1.59,1.490267,11500
2010-12-07,1.59,1.59,1.53,1.53,1.43403,15100
2010-12-08,1.53,1.63,1.53,1.63,1.527758,12400
2010-12-09,1.63,1.7,1.56,1.69,1.583995,24400
2010-12-10,1.69,1.75,1.58,1.7,1.593367,32100
2010-12-13,1.71,1.8,1.7,1.73,1.621485,12200
2010-12-14,1.69,1.7,1.67,1.69,1.583995,800
2010-12-15,1.57,1.58,1.57,1.58,1.4808940000000002,900
2010-12-16,1.58,1.76,1.55,1.55,1.452776,23900
2010-12-17,1.55,1.74,1.55,1.65,1.546503,1000
2010-12-20,1.53,1.61,1.51,1.51,1.4152850000000001,47200
2010-12-21,1.53,1.67,1.51,1.61,1.509013,36400
2010-12-22,1.54,1.78,1.54,1.68,1.5746209999999998,35200
2010-12-23,1.64,1.67,1.62,1.62,1.518385,4400
2010-12-27,1.62,1.66,1.55,1.6,1.4996399999999999,15800
2010-12-28,1.58,1.6,1.58,1.6,1.4996399999999999,5800
2010-12-29,1.6,1.65,1.57,1.64,1.5371299999999999,12200
