Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,8.29,8.812,7.73,7.93,7.93,19700
2017-10-17,7.99,8.002,7.93,7.93,7.93,1900
2017-10-18,7.95,8.06,7.95,8.06,8.06,6300
2017-10-19,8.0,8.01,7.95,8.0,8.0,4100
2017-10-20,8.07,8.07,7.999,8.03,8.03,5400
2017-10-23,7.95,8.25,7.941,8.03,8.03,12400
2017-10-24,8.21,8.24,8.0,8.0,8.0,3700
2017-10-25,8.12,8.17,8.0,8.17,8.17,12000
2017-10-26,8.09,8.49,8.0,8.2,8.2,7400
2017-10-27,8.18,8.2,8.09,8.15,8.15,5300
2017-10-30,8.06,8.1,8.06,8.1,8.1,500
2017-10-31,7.74,8.13,7.74,7.87,7.87,4500
2017-11-01,8.144,8.144,8.0,8.0,8.0,4200
