Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.43,4.67,4.43,4.65,3.3802980000000002,1544000
2010-01-05,4.79,4.79,4.7,4.77,3.4675309999999997,870400
2010-01-06,4.79,4.8,4.73,4.73,3.438453,567600
2010-01-07,4.97,5.23,4.94,5.07,3.6856150000000003,4271200
2010-01-08,5.03,5.03,4.98,4.98,3.62019,2570000
2010-01-11,5.04,5.04,4.88,4.9,3.562035,925300
2010-01-12,4.86,4.9,4.76,4.82,3.503879,607100
2010-01-13,4.83,4.84,4.74,4.83,3.5111470000000002,501000
2010-01-14,4.85,4.9,4.74,4.85,3.5256870000000005,506500
2010-01-15,4.89,4.89,4.65,4.7,3.4166449999999995,3068300
2010-01-19,4.66,4.71,4.65,4.69,3.4093760000000004,1627000
2010-01-20,4.58,4.58,4.48,4.5,3.271255,1046200
2010-01-21,4.48,4.52,4.37,4.43,3.22037,761700
2010-01-22,4.32,4.35,4.15,4.19,3.045903,891800
2010-01-25,4.27,4.3,4.23,4.29,3.118598,585300
2010-01-26,4.2,4.21,4.1,4.11,2.987747,780400
2010-01-27,4.01,4.11,3.98,4.1,2.9804779999999997,1280300
2010-01-28,4.16,4.19,4.03,4.06,2.9514,784000
2010-01-29,4.07,4.07,3.89,3.9,2.8350880000000003,797600
2010-02-01,3.89,3.91,3.83,3.84,2.791472,1364100
2010-02-02,3.83,3.92,3.79,3.88,2.820549,3529700
2010-02-03,4.07,4.13,4.02,4.04,2.936861,1245300
2010-02-04,4.19,4.19,3.91,3.93,2.856897,1192600
2010-02-05,3.89,4.05,3.84,4.03,2.929592,810400
2010-02-08,4.05,4.17,4.05,4.05,2.94413,735400
2010-02-09,4.12,4.19,4.1,4.18,3.0386330000000004,679400
2010-02-10,4.25,4.25,4.18,4.19,3.045903,767800
2010-02-11,4.19,4.34,4.17,4.32,3.140406,818000
2010-02-12,4.24,4.41,4.21,4.41,3.2058310000000003,2108700
2010-02-16,4.43,4.43,4.34,4.39,3.191292,1330300
2010-02-17,4.32,4.47,4.32,4.47,3.249447,901200
2010-02-18,4.36,4.4,4.18,4.35,3.162214,605700
2010-02-19,4.34,4.41,4.29,4.36,3.169483,652600
2010-02-22,4.36,4.45,4.36,4.43,3.22037,1169800
2010-02-23,4.34,4.37,4.27,4.29,3.118598,1818300
2010-02-24,4.33,4.33,4.25,4.27,3.104059,511600
2010-02-25,4.18,4.18,4.04,4.13,3.0022860000000002,1105500
2010-02-26,4.08,4.08,3.97,4.02,2.9223220000000003,1970500
2010-03-01,4.11,4.3,4.11,4.25,3.0895200000000003,1110900
2010-03-02,4.3,4.31,4.13,4.18,3.0386330000000004,1761200
2010-03-03,4.13,4.15,4.06,4.07,2.958669,1636900
2010-03-04,4.07,4.1,4.05,4.07,2.958669,897300
2010-03-05,4.1,4.24,4.1,4.23,3.074981,1185500
2010-03-08,4.28,4.3,4.26,4.29,3.118598,569500
2010-03-09,4.21,4.34,4.21,4.31,3.133136,662700
2010-03-10,4.34,4.4,4.33,4.33,3.147675,919200
2010-03-11,4.3,4.33,4.23,4.3,3.125867,2085500
2010-03-12,4.29,4.31,4.26,4.28,3.111328,307900
2010-03-15,4.18,4.22,4.17,4.19,3.045903,624200
2010-03-16,4.2,4.3,4.19,4.3,3.125867,700600
2010-03-17,4.32,4.36,4.31,4.35,3.162214,462700
2010-03-18,4.38,4.47,4.37,4.44,3.227639,2119800
2010-03-19,4.3,4.49,4.3,4.3,3.125867,2870000
2010-03-22,4.45,4.48,4.35,4.44,3.227639,847300
2010-03-23,4.41,4.48,4.35,4.48,3.2567169999999996,1368900
2010-03-24,4.4,4.46,4.35,4.45,3.234909,819000
2010-03-25,4.45,4.52,4.45,4.48,3.2567169999999996,583000
2010-03-26,4.5,4.51,4.38,4.41,3.2058310000000003,921700
2010-03-29,4.37,4.45,4.36,4.42,3.2131,636100
2010-03-30,4.46,4.56,4.44,4.49,3.263986,1076800
2010-03-31,4.49,4.57,4.49,4.53,3.2930639999999998,467800
2010-04-01,4.57,4.67,4.57,4.65,3.3802980000000002,1537400
2010-04-05,4.67,4.79,4.66,4.76,3.460262,705600
2010-04-06,4.76,4.77,4.69,4.75,3.4529919999999996,1448000
2010-04-07,4.9,4.9,4.74,4.79,3.4820699999999998,1694100
2010-04-08,4.69,4.69,4.55,4.67,3.394836,1607100
2010-04-09,4.78,4.79,4.73,4.79,3.4820699999999998,1218600
2010-04-12,4.79,4.88,4.79,4.85,3.5256870000000005,777400
2010-04-13,4.99,4.99,4.85,4.89,3.554765,672800
2010-04-14,4.99,5.02,4.93,5.02,3.649268,575100
2010-04-15,5.01,5.07,5.0,5.07,3.6856150000000003,509500
2010-04-16,4.93,4.93,4.77,4.8,3.4893389999999997,624800
2010-04-19,4.75,4.78,4.61,4.78,3.4748010000000003,2277600
2010-04-20,4.83,4.88,4.8,4.83,3.5111470000000002,328600
2010-04-21,4.83,4.86,4.78,4.82,3.503879,452800
2010-04-22,4.84,4.98,4.83,4.95,3.598381,399300
2010-04-23,5.02,5.12,5.01,5.12,3.7219620000000004,552800
2010-04-26,5.11,5.11,5.02,5.04,3.663807,367600
2010-04-27,4.98,5.09,4.85,4.92,3.5765730000000002,1730200
2010-04-28,4.97,5.0,4.87,4.92,3.5765730000000002,1819400
2010-04-29,4.89,4.99,4.87,4.97,3.612921,509900
2010-04-30,5.04,5.05,4.79,4.86,3.532956,769200
2010-05-03,4.8,4.89,4.79,4.89,3.554765,394100
2010-05-04,4.83,4.85,4.71,4.74,3.4457230000000005,620800
2010-05-05,4.52,4.56,4.43,4.48,3.2567169999999996,609800
2010-05-06,4.46,4.52,4.15,4.37,3.1767529999999997,705600
2010-05-07,4.56,4.64,4.31,4.51,3.2785260000000003,1347300
2010-05-10,4.89,4.92,4.8,4.87,3.540226,1373200
2010-05-11,4.68,4.72,4.59,4.65,3.3802980000000002,555400
2010-05-12,4.63,4.63,4.55,4.62,3.358489,663600
2010-05-13,4.62,4.7,4.53,4.57,3.322142,862600
2010-05-14,4.48,4.52,4.36,4.44,3.227639,572900
2010-05-17,4.34,4.39,4.28,4.39,3.191292,650900
2010-05-18,4.37,4.38,4.21,4.24,3.08225,861500
2010-05-19,4.17,4.21,4.11,4.14,3.0095549999999998,1552800
2010-05-20,4.06,4.14,3.96,4.0,2.9077830000000002,1929100
2010-05-21,4.02,4.19,3.94,4.17,3.031364,502900
2010-05-24,4.21,4.27,4.18,4.21,3.060441,367600
2010-05-25,4.0,4.13,3.96,4.11,2.987747,1087600
2010-05-26,4.11,4.21,4.11,4.19,3.045903,1159500
2010-05-27,4.22,4.31,4.21,4.31,3.133136,666000
2010-05-28,4.23,4.25,4.17,4.18,3.0386330000000004,650700
2010-06-01,4.19,4.2,4.12,4.16,3.024094,935600
2010-06-02,4.2,4.23,4.12,4.21,3.060441,1712400
2010-06-03,4.28,4.34,4.22,4.34,3.154945,851300
2010-06-04,4.18,4.27,4.12,4.12,2.995017,2184300
2010-06-07,4.08,4.1,3.96,3.97,2.885975,636500
2010-06-08,3.97,4.0,3.93,4.0,2.9077830000000002,958400
2010-06-09,3.95,3.96,3.86,3.89,2.827819,1315800
2010-06-10,3.9,4.06,3.9,4.04,2.936861,1657600
2010-06-11,4.02,4.13,4.02,4.12,2.995017,507800
2010-06-14,4.25,4.25,4.15,4.18,3.0386330000000004,281800
2010-06-15,4.16,4.36,4.16,4.34,3.154945,871500
2010-06-16,4.34,4.36,4.29,4.32,3.140406,277900
2010-06-17,4.37,4.37,4.23,4.29,3.118598,373000
2010-06-18,4.27,4.27,4.15,4.16,3.024094,1147200
2010-06-21,4.25,4.35,4.25,4.3,3.125867,718700
2010-06-22,4.21,4.27,4.2,4.23,3.074981,445700
2010-06-23,4.28,4.28,4.18,4.26,3.096789,356200
2010-06-24,4.21,4.26,4.17,4.21,3.060441,768900
2010-06-25,4.2,4.2,4.13,4.18,3.0386330000000004,489600
2010-06-28,4.16,4.22,4.14,4.21,3.060441,620200
2010-06-29,4.01,4.22,3.95,3.99,2.900513,1087300
2010-06-30,4.0,4.04,3.88,3.91,2.8423580000000004,2953800
2010-07-01,3.88,3.92,3.8,3.87,2.81328,1582700
2010-07-02,3.94,3.95,3.86,3.88,2.820549,688800
2010-07-06,4.0,4.09,3.98,4.04,2.936861,721600
2010-07-07,4.03,4.14,4.02,4.11,2.987747,674300
2010-07-08,4.11,4.13,4.04,4.13,3.0022860000000002,510900
2010-07-09,4.17,4.17,4.11,4.17,3.031364,349000
2010-07-12,4.11,4.16,4.11,4.14,3.0095549999999998,472800
2010-07-13,4.16,4.18,4.13,4.13,3.0022860000000002,423600
2010-07-14,4.18,4.24,4.16,4.17,3.031364,1207300
2010-07-15,4.24,4.24,4.1,4.18,3.0386330000000004,2509500
2010-07-16,4.13,4.13,4.06,4.07,2.958669,589800
2010-07-19,4.07,4.15,4.07,4.13,3.0022860000000002,210100
2010-07-20,4.11,4.17,4.1,4.13,3.0022860000000002,1206400
2010-07-21,4.13,4.17,4.05,4.06,2.9514,1858900
2010-07-22,4.1,4.17,4.1,4.14,3.0095549999999998,855500
2010-07-23,4.16,4.21,4.15,4.18,3.0386330000000004,708200
2010-07-26,4.22,4.25,4.17,4.23,3.074981,1632700
2010-07-27,3.99,3.99,3.88,3.93,2.891762,745800
2010-07-28,3.96,3.98,3.85,3.86,2.8402540000000003,399300
2010-07-29,3.88,3.98,3.84,3.87,2.847613,1081400
2010-07-30,3.85,3.92,3.78,3.79,2.788748,1360900
2010-08-02,3.89,4.06,3.89,4.04,2.972702,2033600
2010-08-03,4.07,4.11,4.04,4.11,3.024209,633200
2010-08-04,4.11,4.12,4.03,4.07,2.994776,486100
2010-08-05,4.01,4.04,3.98,4.01,2.950627,395800
2010-08-06,3.99,4.0,3.9,3.96,2.913837,466600
2010-08-09,3.93,3.96,3.9,3.95,2.906478,649700
2010-08-10,3.89,3.95,3.89,3.91,2.877046,339600
2010-08-11,3.87,3.88,3.79,3.79,2.788748,532300
2010-08-12,3.75,3.8,3.71,3.8,2.796106,372000
2010-08-13,3.75,3.78,3.72,3.72,2.7372400000000003,230000
2010-08-16,3.75,3.79,3.73,3.79,2.788748,398400
2010-08-17,3.79,3.8,3.73,3.73,2.744599,223600
2010-08-18,3.76,3.76,3.68,3.69,2.715166,477000
2010-08-19,3.71,3.81,3.71,3.78,2.781389,875200
2010-08-20,3.77,3.81,3.76,3.79,2.788748,226300
2010-08-23,3.8,3.86,3.8,3.83,2.81818,324300
2010-08-24,3.75,3.77,3.7,3.7,2.722524,315900
2010-08-25,3.66,3.68,3.58,3.68,2.707808,226600
2010-08-26,3.62,3.62,3.55,3.55,2.612151,285100
2010-08-27,3.64,3.66,3.56,3.63,2.671017,177400
2010-08-30,3.58,3.58,3.49,3.5,2.57536,301600
2010-08-31,3.48,3.48,3.33,3.39,2.494421,1068600
2010-09-01,3.34,3.5,3.34,3.5,2.57536,994000
2010-09-02,3.53,3.58,3.51,3.57,2.626868,344800
2010-09-03,3.64,3.71,3.63,3.67,2.70045,804300
2010-09-07,3.64,3.64,3.58,3.58,2.634226,342300
2010-09-08,3.61,3.64,3.6,3.62,2.6636580000000003,300100
2010-09-09,3.62,3.62,3.56,3.59,2.641584,280500
2010-09-10,3.63,3.64,3.59,3.62,2.6636580000000003,341800
2010-09-13,3.69,3.73,3.67,3.69,2.715166,708500
2010-09-14,3.78,3.85,3.78,3.81,2.803464,447200
2010-09-15,3.79,3.85,3.77,3.83,2.81818,784100
2010-09-16,3.8,3.87,3.79,3.86,2.8402540000000003,907000
2010-09-17,3.89,3.9,3.83,3.83,2.81818,620400
2010-09-20,3.85,3.89,3.84,3.84,2.825538,712500
2010-09-21,3.89,3.94,3.86,3.86,2.8402540000000003,654800
2010-09-22,3.88,3.91,3.87,3.91,2.877046,424100
2010-09-23,3.84,3.93,3.84,3.88,2.854971,353800
2010-09-24,3.9,3.96,3.89,3.96,2.913837,460800
2010-09-27,3.91,3.95,3.91,3.95,2.906478,566600
2010-09-28,3.93,4.03,3.92,4.03,2.965344,470700
2010-09-29,4.09,4.2,4.09,4.16,3.061,1540700
2010-09-30,4.16,4.18,4.05,4.11,3.024209,435900
2010-10-01,4.11,4.15,4.08,4.14,3.0462830000000003,603600
2010-10-04,4.1,4.13,4.04,4.09,3.009493,2209100
2010-10-05,4.14,4.22,4.13,4.2,3.090433,482800
2010-10-06,4.21,4.21,4.12,4.18,3.075716,454700
2010-10-07,4.15,4.17,4.1,4.11,3.024209,487000
2010-10-08,4.05,4.13,4.03,4.1,3.016851,679100
2010-10-11,4.04,4.06,4.01,4.02,2.957986,693800
2010-10-12,3.98,3.98,3.91,3.95,2.906478,843000
2010-10-13,4.02,4.11,4.02,4.08,3.002135,703400
2010-10-14,4.05,4.09,4.04,4.08,3.002135,501100
2010-10-15,4.07,4.07,3.99,4.01,2.950627,573400
2010-10-18,4.0,4.01,3.96,4.01,2.950627,517200
2010-10-19,3.94,4.01,3.94,3.96,2.913837,571200
2010-10-20,3.99,4.04,3.94,4.0,2.943269,377100
2010-10-21,4.04,4.06,3.98,4.04,2.972702,282400
2010-10-22,4.03,4.05,4.0,4.05,2.98006,437900
2010-10-25,4.22,4.29,4.22,4.29,3.1566560000000004,562300
2010-10-26,4.32,4.32,4.21,4.23,3.112507,537400
2010-10-27,4.26,4.26,4.19,4.24,3.1198650000000003,737200
2010-10-28,4.33,4.41,4.32,4.39,3.230237,463400
2010-10-29,4.44,4.48,4.39,4.42,3.252312,428100
2010-11-01,4.46,4.51,4.46,4.5,3.311178,538700
2010-11-02,4.5,4.63,4.5,4.61,3.392118,822500
2010-11-03,4.5,4.58,4.5,4.53,3.333252,401000
2010-11-04,4.63,4.71,4.62,4.68,3.443625,453500
2010-11-05,4.71,4.72,4.67,4.67,3.436267,427900
2010-11-08,4.58,4.61,4.51,4.51,3.318536,545100
2010-11-09,4.53,4.66,4.53,4.6,3.38476,608200
2010-11-10,4.64,4.67,4.6,4.66,3.4289089999999995,494400
2010-11-11,4.64,4.64,4.59,4.61,3.392118,286800
2010-11-12,4.55,4.55,4.47,4.51,3.318536,183900
2010-11-15,4.51,4.56,4.51,4.56,3.3553269999999995,187100
2010-11-16,4.57,4.58,4.5,4.51,3.318536,436400
2010-11-17,4.53,4.55,4.51,4.52,3.3258940000000004,212000
2010-11-18,4.59,4.63,4.58,4.6,3.38476,280800
2010-11-19,4.58,4.62,4.55,4.62,3.3994760000000004,208400
2010-11-22,4.7,4.79,4.7,4.77,3.5098480000000003,831300
2010-11-23,4.68,4.77,4.67,4.69,3.4509830000000004,1567000
2010-11-24,4.73,4.78,4.69,4.75,3.495132,565800
