Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.65,4.75,4.65,4.7,3.5223160000000004,1100
2010-01-05,4.74,4.74,4.65,4.65,3.484846,300
2010-01-06,4.51,4.51,4.51,4.51,3.379925,100
2010-01-07,4.52,4.52,4.52,4.52,3.3874190000000004,200
2010-01-08,4.74,4.75,4.53,4.75,3.5597879999999997,1700
2010-01-11,4.75,4.75,4.25,4.3,3.222545,8800
2010-01-12,4.3,4.3,4.3,4.3,3.222545,0
2010-01-13,4.52,4.52,4.49,4.49,3.3649370000000003,400
2010-01-14,4.32,4.32,4.32,4.32,3.237534,200
2010-01-15,4.42,4.5,4.42,4.45,3.3349589999999996,2800
2010-01-19,4.48,4.49,4.45,4.45,3.3349589999999996,2000
2010-01-20,4.5,4.51,4.23,4.24,3.177579,5600
2010-01-21,4.33,4.33,4.2,4.2,3.147602,1400
2010-01-22,4.29,4.29,3.63,3.86,2.8927959999999997,52300
2010-01-25,3.93,4.01,3.9,3.92,2.9377619999999998,11100
2010-01-26,4.0,4.02,3.86,3.95,2.960245,16300
2010-01-27,3.95,3.95,3.88,3.89,2.915279,6000
2010-01-28,3.91,3.91,3.67,3.67,2.7504049999999998,10700
2010-01-29,3.71,3.72,2.92,3.0,2.248287,123500
2010-02-01,3.08,3.49,3.0,3.4,2.548059,15700
2010-02-02,3.41,3.65,3.4,3.6,2.6979450000000003,17100
2010-02-03,3.42,3.63,3.3,3.53,2.645485,10100
2010-02-04,3.46,3.52,3.3,3.41,2.5555529999999997,21100
2010-02-05,3.36,3.58,3.36,3.49,2.615508,10700
2010-02-08,3.51,3.85,3.51,3.67,2.7504049999999998,10100
2010-02-09,3.7,3.91,3.55,3.65,2.735416,25900
2010-02-10,3.58,3.85,3.48,3.7,2.772888,13000
2010-02-11,3.7,3.7,3.5,3.52,2.6379900000000003,3300
2010-02-12,3.74,3.74,3.47,3.47,2.600519,23000
2010-02-16,3.57,3.69,3.49,3.5,2.623002,21200
2010-02-17,3.55,3.6,3.31,3.37,2.525576,25300
2010-02-18,3.3,3.68,3.17,3.45,2.585531,27100
2010-02-19,3.45,3.65,3.36,3.45,2.585531,13800
2010-02-22,3.4,3.55,3.32,3.5,2.623002,31000
2010-02-23,3.55,3.68,3.48,3.55,2.660473,14400
2010-02-24,3.6,3.89,3.5,3.8,2.8478310000000002,18900
2010-02-25,3.66,3.89,3.66,3.8,2.8478310000000002,9600
2010-02-26,3.8,3.88,3.79,3.8,2.8478310000000002,17500
2010-03-01,3.88,3.95,3.75,3.85,2.8853020000000003,28700
2010-03-02,3.94,3.97,3.65,3.78,2.832842,39500
2010-03-03,3.85,3.88,3.6,3.67,2.7504049999999998,60500
2010-03-04,3.73,3.74,3.64,3.64,2.727922,36600
2010-03-05,3.71,3.71,3.48,3.52,2.6379900000000003,95000
2010-03-08,3.58,3.72,3.45,3.69,2.765393,134200
2010-03-09,3.7,3.7,3.63,3.68,2.757899,133800
2010-03-10,3.73,4.1,3.66,3.72,2.787877,101000
2010-03-11,4.0,4.08,3.77,3.85,2.8853020000000003,328500
2010-03-12,3.99,4.59,3.75,4.53,3.394914,466400
2010-03-15,4.42,4.55,4.26,4.55,3.409903,34000
2010-03-16,4.56,4.56,4.13,4.21,3.155097,30500
