Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.95,5.96,5.77,5.87,2.990457,34900
2010-01-05,5.81,5.86,5.75,5.77,2.9395119999999997,87800
2010-01-06,5.82,5.87,5.6,5.68,2.8936610000000003,36800
2010-01-07,5.85,5.85,5.65,5.71,2.908945,48200
2010-01-08,5.61,5.8,5.61,5.8,2.9547950000000003,42400
2010-01-11,5.81,5.85,5.7,5.84,2.975173,62500
2010-01-12,5.85,6.12,5.65,5.85,2.980268,77500
2010-01-13,5.92,6.0,5.75,5.83,2.970078,83400
2010-01-14,5.88,5.9,5.8,5.82,2.964984,37500
2010-01-15,6.0,6.0,5.87,5.98,3.046496,130900
2010-01-19,6.0,6.0,5.88,5.95,3.031212,46100
2010-01-20,5.98,5.98,5.86,5.95,3.031212,53100
2010-01-21,5.93,5.93,5.82,5.83,2.970078,41400
2010-01-22,5.85,5.91,5.82,5.87,2.990457,40900
2010-01-25,5.9,5.98,5.72,5.81,2.959889,72800
2010-01-26,5.78,5.94,5.75,5.79,2.9497,32200
2010-01-27,5.85,5.95,5.79,5.95,3.031212,44900
2010-01-28,5.94,5.96,5.8,5.96,3.036306,24500
2010-01-29,6.0,6.0,5.81,5.95,3.031212,43400
2010-02-01,6.0,6.0,5.5,5.83,2.970078,180900
2010-02-02,5.8,5.86,5.68,5.79,2.9497,67400
2010-02-03,5.73,5.82,5.65,5.72,2.914039,53100
2010-02-04,5.84,5.84,5.65,5.75,2.929323,78500
2010-02-05,5.81,5.81,5.65,5.69,2.898756,45500
2010-02-08,5.7,5.8,5.68,5.79,2.9497,28400
2010-02-09,5.81,5.81,5.71,5.74,2.924228,31600
2010-02-10,5.8,5.8,5.69,5.7,2.90385,28200
2010-02-11,5.7,5.78,5.65,5.65,2.878378,38000
2010-02-12,5.69,5.77,5.65,5.74,2.924228,17000
2010-02-16,5.75,5.8,5.75,5.78,2.9446060000000003,23600
2010-02-17,5.88,5.88,5.72,5.78,2.9446060000000003,43100
2010-02-18,5.77,5.78,5.66,5.75,2.929323,52500
2010-02-19,5.75,5.78,5.64,5.64,2.8732830000000003,123700
2010-02-22,5.73,5.76,5.69,5.72,2.914039,30800
2010-02-23,5.77,5.79,5.67,5.77,2.9395119999999997,72700
2010-02-24,5.75,5.8,5.72,5.78,2.9446060000000003,35100
2010-02-25,5.8,5.8,5.75,5.78,2.9446060000000003,25400
2010-02-26,5.75,5.79,5.7,5.78,2.9446060000000003,12000
2010-03-01,5.76,5.88,5.75,5.75,2.929323,28100
2010-03-02,5.76,5.86,5.73,5.79,2.9497,68800
2010-03-03,5.81,5.86,5.77,5.83,2.970078,21900
2010-03-04,5.88,5.93,5.75,5.88,2.995551,52500
2010-03-05,5.95,5.95,5.73,5.8,2.9547950000000003,44100
2010-03-08,5.78,5.86,5.71,5.82,2.964984,46600
2010-03-09,5.78,5.86,5.75,5.75,2.929323,53400
2010-03-10,5.8,5.85,5.79,5.83,2.970078,37000
2010-03-11,5.83,5.92,5.76,5.81,2.959889,23900
2010-03-12,5.79,5.89,5.79,5.87,2.990457,15600
2010-03-15,5.9,5.9,5.8,5.83,2.970078,27000
