Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,2.25,2.25,2.25,2.25,2.25,100
2017-10-17,2.25,2.25,2.25,2.25,2.25,0
2017-10-18,2.2,2.31,2.2,2.3,2.3,3200
2017-10-19,2.41,2.41,2.23,2.29,2.29,5600
2017-10-20,2.25,2.33,2.2,2.31,2.31,3900
2017-10-23,2.31,2.31,2.31,2.31,2.31,0
2017-10-24,2.28,2.28,2.28,2.28,2.28,600
2017-10-25,2.3,2.38,2.3,2.37,2.37,2800
2017-10-26,2.28,2.29,2.26,2.26,2.26,1900
2017-10-27,2.3,2.42,2.3,2.42,2.42,1400
2017-10-30,2.3,2.4,2.25,2.28,2.28,43800
2017-10-31,2.27,2.3,2.27,2.3,2.3,1000
2017-11-01,2.27,2.32,2.26,2.32,2.32,14300
