Date,Open,High,Low,Close,Adj Close,Volume
2016-01-27,0.4625,0.4625,0.4625,0.4625,0.4625,0.0
2016-01-28,,,,,,
2016-01-29,,,,,,
2016-02-01,,,,,,
2016-02-02,,,,,,
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,,,,,,
2016-02-08,,,,,,
2016-02-09,,,,,,
2016-02-10,,,,,,
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,,,,,,
2016-02-19,,,,,,
2016-02-22,,,,,,
2016-02-23,,,,,,
2016-02-24,,,,,,
2016-02-25,,,,,,
2016-02-26,,,,,,
2016-02-29,,,,,,
2016-03-01,,,,,,
2016-03-02,,,,,,
2016-03-03,,,,,,
2016-03-04,,,,,,
2016-03-07,,,,,,
2016-03-08,,,,,,
2016-03-09,,,,,,
2016-03-10,,,,,,
2016-03-11,,,,,,
2016-03-14,,,,,,
2016-03-15,,,,,,
2016-03-16,,,,,,
2016-03-17,,,,,,
2016-03-18,,,,,,
2016-03-21,,,,,,
2016-03-22,,,,,,
2016-03-23,,,,,,
2016-03-24,,,,,,
2016-03-28,,,,,,
2016-03-29,,,,,,
2016-03-30,,,,,,
2016-03-31,,,,,,
2016-04-01,,,,,,
2016-04-04,,,,,,
2016-04-05,,,,,,
2016-04-06,,,,,,
2016-04-07,,,,,,
2016-04-08,,,,,,
2016-04-11,,,,,,
2016-04-12,,,,,,
2016-04-13,,,,,,
2016-04-14,,,,,,
2016-04-15,,,,,,
2016-04-18,,,,,,
2016-04-19,,,,,,
2016-04-20,,,,,,
2016-04-21,,,,,,
2016-04-22,,,,,,
2016-04-25,,,,,,
2016-04-26,,,,,,
2016-04-27,,,,,,
2016-04-28,,,,,,
2016-04-29,,,,,,
2016-05-02,,,,,,
2016-05-03,,,,,,
2016-05-04,,,,,,
2016-05-05,,,,,,
2016-05-06,,,,,,
2016-05-09,,,,,,
2016-05-10,,,,,,
2016-05-11,,,,,,
2016-05-12,,,,,,
2016-05-13,,,,,,
2016-05-16,,,,,,
2016-05-17,,,,,,
2016-05-18,,,,,,
2016-05-19,,,,,,
2016-05-20,,,,,,
2016-05-23,,,,,,
2016-05-24,,,,,,
2016-05-25,,,,,,
2016-05-26,,,,,,
2016-05-27,,,,,,
2016-05-31,,,,,,
2016-06-01,,,,,,
2016-06-02,,,,,,
2016-06-03,,,,,,
2016-06-06,,,,,,
2016-06-07,,,,,,
2016-06-08,,,,,,
2016-06-09,,,,,,
2016-06-10,,,,,,
2016-06-13,,,,,,
2016-06-14,,,,,,
2016-06-15,,,,,,
2016-06-16,,,,,,
2016-06-17,,,,,,
2016-06-20,,,,,,
2016-06-21,,,,,,
2016-06-22,,,,,,
2016-06-23,,,,,,
2016-06-24,,,,,,
2016-06-27,,,,,,
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30,,,,,,
2016-07-01,,,,,,
2016-07-05,,,,,,
2016-07-06,,,,,,
2016-07-07,,,,,,
2016-07-08,,,,,,
2016-07-11,,,,,,
2016-07-12,,,,,,
2016-07-13,,,,,,
2016-07-14,,,,,,
2016-07-15,,,,,,
2016-07-18,,,,,,
2016-07-19,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-20,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-21,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-22,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-25,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-26,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-27,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-28,1.48,1.48,1.48,1.48,1.48,0.0
2016-07-29,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-01,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-02,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-03,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-04,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-05,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-08,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-09,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-10,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-11,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-12,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-15,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-16,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-17,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-18,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-19,1.48,1.48,1.48,1.48,1.48,0.0
2016-08-22,3.41,3.43,2.92,3.17,3.17,303641.0
2016-08-23,3.1,3.28,3.1,3.25,3.25,164611.0
2016-08-24,3.09,3.2,2.85,2.91,2.91,142795.0
2016-08-25,2.95,3.16,2.89,3.16,3.16,125698.0
2016-08-26,3.2,3.4,3.19,3.26,3.26,189033.0
2016-08-29,3.4,3.4,3.27,3.29,3.29,101073.0
2016-08-30,3.33,3.33,3.04,3.04,3.04,101443.0
2016-08-31,3.08,3.09,2.92,2.92,2.92,81452.0
2016-09-01,3.01,3.05,2.92,3.0,3.0,98769.0
2016-09-02,3.1,3.23,3.08,3.09,3.09,236582.0
2016-09-06,3.09,3.2,3.09,3.19,3.19,86247.0
2016-09-07,3.23,3.35,3.23,3.26,3.26,77526.0
2016-09-08,3.35,3.5,3.35,3.5,3.5,198967.0
2016-09-09,3.5,3.52,3.36,3.36,3.36,93955.0
2016-09-12,3.53,3.53,3.35,3.36,3.36,133922.0
2016-09-13,3.33,3.4,3.1,3.13,3.13,119290.0
2016-09-14,3.14,3.28,3.14,3.19,3.19,69808.0
2016-09-15,3.25,3.25,3.07,3.07,3.07,65686.0
2016-09-16,3.13,3.14,2.96,3.0,3.0,156466.0
2016-09-19,3.07,3.09,3.01,3.03,3.03,187770.0
2016-09-20,3.05,3.08,3.0,3.08,3.08,170117.0
2016-09-21,3.2,3.21,3.1,3.16,3.16,240182.0
2016-09-22,3.2,3.22,3.12,3.16,3.16,77433.0
2016-09-23,3.16,3.21,3.11,3.12,3.12,97994.0
2016-09-26,3.11,3.15,3.09,3.09,3.09,80730.0
2016-09-27,3.13,3.15,3.07,3.11,3.11,121593.0
2016-09-28,3.14,3.14,3.02,3.02,3.02,91578.0
2016-09-29,3.07,3.07,2.97,3.01,3.01,115495.0
2016-09-30,3.03,3.05,2.97,2.97,2.97,66845.0
2016-10-03,2.95,2.99,2.57,2.74,2.74,278794.0
2016-10-04,2.6,2.65,2.32,2.65,2.65,349232.0
2016-10-05,2.67,2.8,2.6,2.79,2.79,212071.0
2016-10-06,2.75,2.75,2.64,2.7,2.7,308786.0
2016-10-07,2.77,2.95,2.71,2.88,2.88,309303.0
2016-10-10,2.88,2.88,2.88,2.88,2.88,0.0
2016-10-11,2.92,2.92,2.75,2.76,2.76,99987.0
2016-10-12,2.75,2.83,2.68,2.68,2.68,79364.0
2016-10-13,2.73,2.73,2.68,2.72,2.72,64947.0
2016-10-14,2.72,2.84,2.69,2.8,2.8,157864.0
2016-10-17,2.85,2.85,2.76,2.83,2.83,55137.0
2016-10-18,2.83,2.84,2.74,2.84,2.84,61012.0
2016-10-19,2.84,2.87,2.76,2.76,2.76,98347.0
2016-10-20,2.83,2.83,2.7,2.71,2.71,35491.0
2016-10-21,2.74,2.82,2.7,2.79,2.79,49451.0
2016-10-24,2.85,2.88,2.71,2.71,2.71,324696.0
2016-10-25,2.73,2.78,2.72,2.74,2.74,33624.0
