Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.43,12.91,12.43,12.88,11.509738,3935600
2010-01-05,12.6,12.8,12.6,12.78,11.420378,6568000
2010-01-06,13.14,13.26,13.05,13.19,11.786758,4198500
2010-01-07,12.95,13.19,12.86,13.12,11.724206,3316000
2010-01-08,13.07,13.3,12.96,13.25,11.840375,3069000
2010-01-11,13.07,13.17,12.96,13.06,11.670589,3820400
2010-01-12,12.8,13.04,12.78,12.84,11.473994,2339100
2010-01-13,12.59,12.7,12.48,12.57,11.232717999999998,3857700
2010-01-14,12.74,12.88,12.72,12.79,11.429314,3708700
2010-01-15,12.8,12.88,12.49,12.57,11.232717999999998,5787300
2010-01-19,12.44,12.44,12.12,12.34,11.027188,5618300
2010-01-20,12.19,12.25,12.01,12.15,10.857401,3805800
2010-01-21,11.98,12.1,11.78,11.83,10.571444999999999,4104900
2010-01-22,11.85,11.96,11.69,11.69,10.446339,3321900
2010-01-25,11.8,12.1,11.8,11.92,10.651869999999999,3683400
2010-01-26,11.68,11.68,11.41,11.47,10.249744,3859500
2010-01-27,11.55,11.56,11.35,11.54,10.312297000000001,1970800
2010-01-28,11.81,11.85,11.57,11.66,10.419531,3830100
2010-01-29,11.26,11.32,10.88,10.94,9.776128,5079200
2010-02-01,10.81,10.99,10.81,10.99,9.820808999999999,4443300
2010-02-02,10.96,11.04,10.8,11.0,9.829744999999999,2698700
2010-02-03,11.03,11.21,11.0,11.14,9.954852,2936000
2010-02-04,11.03,11.03,10.63,10.64,9.508045,3324600
2010-02-05,10.69,10.69,10.29,10.54,9.418683,2660100
2010-02-08,10.88,11.24,10.7,10.83,9.677832,2586400
2010-02-09,11.36,11.46,11.09,11.23,10.035276,4526800
2010-02-10,11.3,11.3,10.98,11.17,9.98166,1413200
2010-02-11,11.17,11.38,11.01,11.35,10.142511,2143100
2010-02-12,11.29,11.32,11.01,11.24,10.044212,2239200
2010-02-16,11.39,11.42,11.33,11.36,10.151446,1028800
2010-02-17,11.46,11.61,11.44,11.54,10.312297000000001,1239800
2010-02-18,11.51,11.55,11.41,11.51,10.285488,1278900
2010-02-19,11.46,11.58,11.27,11.5,10.276553,3100700
2010-02-22,11.23,11.25,10.91,11.0,9.829744999999999,3463800
2010-02-23,10.61,10.65,10.37,10.42,9.31145,6982200
2010-02-24,10.73,10.81,10.39,10.62,9.490172,3248900
2010-02-25,10.41,10.41,10.03,10.24,9.150599,5845900
2010-02-26,10.29,10.41,10.22,10.37,9.266767999999999,2724800
2010-03-01,10.63,10.72,10.4,10.7,9.561663000000001,2388300
2010-03-02,10.65,10.77,10.61,10.65,9.516981,2336100
2010-03-03,10.62,10.72,10.58,10.65,9.516981,2638200
2010-03-04,10.65,10.68,10.35,10.41,9.302514,2001600
2010-03-05,10.56,10.83,10.56,10.82,9.668895,1808000
2010-03-08,10.92,11.18,10.9,11.13,9.945916,2801300
2010-03-09,11.09,11.17,11.08,11.14,9.954852,1325800
2010-03-10,11.09,11.19,10.92,11.05,9.874426,1635900
2010-03-11,10.95,10.95,10.8,10.93,9.767192999999999,1847100
2010-03-12,10.93,11.1,10.93,11.03,9.856553,2417800
2010-03-15,10.95,11.07,10.87,10.94,9.776128,1809200
2010-03-16,11.1,11.47,11.1,11.47,10.249744,4848400
2010-03-17,11.56,11.96,11.56,11.75,10.499955,4856900
2010-03-18,11.69,11.69,11.49,11.65,10.410592999999999,3145600
2010-03-19,11.53,11.7,11.52,11.53,10.303361,4078800
2010-03-22,11.41,11.55,11.34,11.5,10.276553,3752800
2010-03-23,11.46,11.62,11.34,11.6,10.365913,2773700
2010-03-24,11.47,11.47,11.22,11.23,10.035276,1582300
2010-03-25,11.3,11.46,11.27,11.3,10.097831,3305600
2010-03-26,11.2,11.34,11.19,11.31,10.106766,2206800
2010-03-29,11.24,11.42,11.24,11.38,10.169319,1510700
