Date,Open,High,Low,Close,Adj Close,Volume
2014-09-23,13.5,13.76,13.49,13.58,11.718079,24245800
2014-09-24,13.62,13.72,13.56,13.65,11.77848,2734300
2014-09-25,13.74,13.85,13.65,13.71,11.830255000000001,4225700
2014-09-26,13.85,13.92,13.7,13.78,11.890656,4736300
2014-09-29,13.7,13.73,13.6,13.64,11.76985,1303900
2014-09-30,13.61,13.81,13.52,13.55,11.69219,1804900
2014-10-01,13.55,13.6,13.46,13.52,11.706911,1008700
2014-10-02,13.48,13.64,13.46,13.53,11.715568,315300
2014-10-03,13.83,13.83,13.56,13.59,11.767525,287400
2014-10-06,13.58,13.75,13.55,13.6,11.77618,281200
2014-10-07,13.55,13.69,13.52,13.61,11.784839999999999,267900
2014-10-08,13.7,13.7,13.42,13.55,11.732889,237900
2014-10-09,13.56,13.57,13.36,13.45,11.646295,199300
2014-10-10,13.37,13.44,13.27,13.38,11.585683,205900
2014-10-13,13.43,13.43,13.05,13.08,11.325915,104800
2014-10-14,13.2,13.39,12.98,13.0,11.256644999999999,741800
2014-10-15,13.0,13.17,12.62,12.68,10.979559,654200
2014-10-16,12.65,12.74,12.36,12.65,10.953584,1152300
2014-10-17,12.54,12.93,12.54,12.75,11.040169,538900
2014-10-20,12.65,12.85,12.63,12.74,11.031511,361800
2014-10-21,12.55,12.86,12.55,12.84,11.118101,470400
2014-10-22,12.7,12.92,12.7,12.88,11.15274,345800
2014-10-23,12.85,13.14,12.85,13.02,11.273962,345600
2014-10-24,12.99,13.13,12.94,13.01,11.265305999999999,356700
2014-10-27,13.0,13.13,12.85,13.11,11.351894999999999,623000
2014-10-28,13.15,13.34,13.1,13.25,11.473121,123300
2014-10-29,13.31,13.48,13.23,13.39,11.594346,319800
2014-10-30,13.39,13.45,13.3,13.43,11.670816,61500
2014-10-31,13.5,13.53,13.29,13.48,11.714269999999999,370300
2014-11-03,13.47,13.49,13.23,13.42,11.662125999999999,197100
2014-11-04,13.46,13.59,13.42,13.55,11.7751,314100
2014-11-05,13.6,13.6,13.38,13.48,11.714269999999999,692000
2014-11-06,13.49,13.49,13.2,13.3,11.557848,1043400
2014-11-07,13.36,13.43,13.27,13.39,11.636059,70900
2014-11-10,13.47,13.6,13.31,13.48,11.714269999999999,618100
2014-11-11,13.53,13.53,13.34,13.47,11.705575999999999,82500
2014-11-12,13.49,13.64,13.41,13.59,11.80986,269600
2014-11-13,13.56,13.56,13.25,13.25,11.514397,91800
2014-11-14,13.29,13.5,13.2,13.38,11.627365,110200
2014-11-17,13.38,13.67,13.24,13.4,11.644744000000001,102400
2014-11-18,13.47,13.49,13.3,13.33,11.583914,167100
2014-11-19,13.3,13.46,13.278,13.36,11.609985,215800
2014-11-20,13.31,13.48,13.11,13.14,11.418805,655400
2014-11-21,13.33,13.44,13.055,13.15,11.427491999999999,662900
2014-11-24,13.22,13.22,12.89,13.08,11.366664,214400
2014-11-25,13.14,13.15,12.78,12.86,11.215783,534300
2014-11-26,12.85,13.08,12.82,13.0,11.337883,663200
2014-11-28,13.05,13.05,12.38,12.42,10.832037,392300
2014-12-01,12.46,12.71,11.96,12.14,10.587837,1881100
2014-12-02,12.12,12.13,11.68,11.87,10.352357000000001,449000
2014-12-03,11.81,12.09,11.78,11.94,10.413408,2938400
2014-12-04,12.18,12.18,11.75,11.98,10.448294,467300
2014-12-05,12.0,12.015,11.64,11.82,10.308752,1942100
2014-12-08,11.87,12.19,11.76,11.82,10.308752,128400
2014-12-09,11.84,11.84,11.44,11.48,10.012222999999999,444200
2014-12-10,11.53,11.53,10.79,10.79,9.410439,313500
2014-12-11,10.51,10.86,10.42,10.46,9.122636,577000
2014-12-12,10.47,10.56,9.86,9.97,8.695286,661100
2014-12-15,10.06,10.13,9.2,9.46,8.250491,801900
2014-12-16,9.38,9.86,9.1,9.63,8.398756,921300
2014-12-17,9.61,10.25,9.56,10.09,8.799942999999999,1103500
