Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.23,8.3,8.07,8.19,7.815288000000001,80700
2010-01-05,8.15,8.29,7.87,7.92,7.557641,45100
2010-01-06,7.94,8.05,7.75,7.79,7.433589,123500
2010-01-07,7.9,8.18,7.9,8.01,7.643522999999999,115000
2010-01-08,7.96,8.21,7.94,8.09,7.719863,85400
2010-01-11,8.1,8.13,7.95,8.08,7.710321,56100
2010-01-12,8.15,8.33,8.15,8.17,7.796203,95900
2010-01-13,8.22,8.4,8.21,8.27,7.891628,44300
2010-01-14,8.35,8.71,8.35,8.68,8.282866,77400
2010-01-15,8.72,8.72,8.18,8.35,7.9679660000000005,99900
2010-01-19,8.34,8.34,8.0,8.2,7.82483,92800
2010-01-20,8.19,8.35,8.07,8.24,7.862999,80600
2010-01-21,8.23,8.36,7.96,7.96,7.595811,76000
2010-01-22,7.95,8.07,7.9,7.95,7.586266999999999,126500
2010-01-25,8.0,8.06,7.73,7.77,7.414503999999999,61600
2010-01-26,7.77,7.82,7.56,7.56,7.214111999999999,54700
2010-01-27,7.52,7.73,7.52,7.67,7.319078,54600
2010-01-28,7.71,7.84,7.47,7.55,7.2045699999999995,75200
2010-01-29,7.55,7.7,7.31,7.59,7.242739,96500
2010-02-01,7.62,7.7,7.39,7.53,7.185484,64300
2010-02-02,7.51,7.61,7.25,7.25,6.918295,105800
2010-02-03,7.25,7.3,7.01,7.11,6.7847,95800
2010-02-04,7.06,7.17,7.0,7.04,6.717903,66500
2010-02-05,7.07,7.15,6.96,7.15,6.82287,57900
2010-02-08,7.15,7.19,6.79,6.82,6.507968,108000
2010-02-09,6.87,6.87,6.6,6.68,6.3743739999999995,81000
2010-02-10,6.64,6.65,6.45,6.5,6.202609,116800
2010-02-11,6.46,6.98,6.46,6.89,6.574764999999999,161300
2010-02-12,6.85,7.08,6.75,7.05,6.7274449999999995,101800
2010-02-16,7.17,7.22,7.04,7.22,6.8896679999999995,58300
2010-02-17,7.25,7.25,7.02,7.18,6.851497999999999,34400
2010-02-18,7.19,7.2,7.01,7.19,6.861039,43200
2010-02-19,7.16,7.2,6.99,7.01,6.6892759999999996,104900
2010-02-22,6.89,7.05,6.62,6.9,6.584308999999999,74600
2010-02-23,6.89,6.96,6.74,6.78,6.469799,47200
2010-02-24,6.82,6.99,6.7,6.87,6.555680000000001,104000
2010-02-25,6.83,6.96,6.43,6.95,6.63202,126800
2010-02-26,6.96,6.97,6.28,6.45,6.154897,167800
2010-03-01,6.49,7.15,6.44,7.15,6.82287,273700
2010-03-02,7.15,7.15,7.0,7.07,6.74653,173100
2010-03-03,7.06,7.17,7.0,7.14,6.813325999999999,87100
2010-03-04,7.15,7.19,7.0,7.16,6.832413000000001,80700
2010-03-05,7.17,7.23,7.01,7.19,6.861039,115800
2010-03-08,7.21,7.25,7.0,7.06,6.736988,122900
2010-03-09,7.06,7.47,7.04,7.3,6.966007,224900
2010-03-10,7.32,7.53,7.19,7.52,7.175941000000001,174600
2010-03-11,7.5,7.63,7.32,7.62,7.271366,136700
2010-03-12,7.61,7.7,7.6,7.68,7.328621000000001,140600
2010-03-15,7.67,7.9,7.65,7.9,7.538555000000001,134100
2010-03-16,7.94,8.02,7.85,8.01,7.643522999999999,67500
