Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,15.62,15.87,15.62,15.86,8.594759,108700
2010-01-05,15.82,16.0,15.82,15.97,8.65437,59500
2010-01-06,15.94,16.1,15.94,16.08,8.713980000000001,74000
2010-01-07,16.01,16.200001,16.01,16.18,8.768172,92800
2010-01-08,16.17,16.32,16.129998999999998,16.32,8.844035,151000
2010-01-11,16.33,16.42,16.290001,16.42,8.898232,75000
2010-01-12,16.299999,16.370001000000002,16.209999,16.32,8.844035,83700
2010-01-13,16.299999,16.299999,16.139999,16.24,8.851666,92400
2010-01-14,16.129998999999998,16.27,16.120001000000002,16.25,8.857121000000001,81700
2010-01-15,16.139999,16.219998999999998,16.040001,16.120001000000002,8.78626,62600
2010-01-19,16.049999,16.26,16.049999,16.26,8.86257,63900
2010-01-20,16.120001000000002,16.190001000000002,16.030001000000002,16.120001000000002,8.78626,105100
2010-01-21,16.07,16.200001,15.9,15.96,8.699058,93200
2010-01-22,15.83,16.0,15.67,15.67,8.540985000000001,108000
2010-01-25,15.72,15.75,15.61,15.7,8.557339,88900
2010-01-26,15.62,15.72,15.55,15.58,8.491936,99000
2010-01-27,15.56,15.64,15.38,15.64,8.524638000000001,74500
2010-01-28,15.72,15.72,15.17,15.38,8.382921000000001,134700
2010-01-29,15.58,15.58,15.18,15.19,8.279361999999999,60900
2010-02-01,15.25,15.44,15.25,15.38,8.382921000000001,92500
2010-02-02,15.4,15.6,15.4,15.56,8.48103,79600
2010-02-03,15.42,15.6,15.42,15.52,8.45923,62900
2010-02-04,15.46,15.46,15.1,15.1,8.230308,93600
2010-02-05,15.08,15.1,14.65,14.92,8.132197,184100
2010-02-08,14.84,15.03,14.79,14.82,8.077689999999999,74300
2010-02-09,14.92,15.06,14.87,15.01,8.18125,83000
2010-02-10,14.94,15.02,14.87,15.02,8.238294999999999,78300
2010-02-11,15.05,15.11,14.95,15.07,8.265722,57100
2010-02-12,14.97,15.14,14.95,15.13,8.298627,63600
2010-02-16,15.18,15.34,15.16,15.34,8.413811,60800
2010-02-17,15.39,15.42,15.27,15.39,8.441236,65600
2010-02-18,15.32,15.54,15.32,15.54,8.523507,48400
2010-02-19,15.53,15.6,15.43,15.54,8.523507,41700
2010-02-22,15.63,15.63,15.48,15.55,8.528996000000001,47600
2010-02-23,15.49,15.6,15.44,15.47,8.485114999999999,84100
2010-02-24,15.52,15.62,15.51,15.61,8.561905,96600
2010-02-25,15.53,15.7,15.33,15.7,8.611269,76700
2010-02-26,15.79,15.8,15.66,15.8,8.666117999999999,61600
2010-03-01,15.86,15.96,15.85,15.9,8.720966,85800
2010-03-02,15.94,16.1,15.94,15.98,8.764842999999999,55900
2010-03-03,15.96,16.129998999999998,15.96,16.030001000000002,8.792268,66200
2010-03-04,16.02,16.110001,16.02,16.08,8.819694,64500
2010-03-05,16.1,16.389999,16.1,16.389999,8.989722,56100
