Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.82,13.02,12.78,12.98,10.602160000000001,141800
2010-01-05,13.04,13.04,12.76,12.79,10.44697,153900
2010-01-06,12.77,12.87,12.72,12.79,10.44697,114900
2010-01-07,12.74,12.95,12.58,12.9,10.536817,138800
2010-01-08,12.84,12.98,12.73,12.77,10.430634,156600
2010-01-11,12.82,12.87,12.65,12.83,10.479642,91200
2010-01-12,12.73,12.81,12.6,12.68,10.35712,110000
2010-01-13,12.67,12.77,12.59,12.73,10.397959,67800
2010-01-14,12.68,12.8,12.68,12.8,10.455138,68500
2010-01-15,12.73,12.8,12.49,12.59,10.283605999999999,271600
2010-01-19,12.65,12.73,12.57,12.69,10.365285,145300
2010-01-20,12.61,12.65,12.39,12.6,10.291773,126200
2010-01-21,12.64,12.75,12.35,12.53,10.2346,235400
2010-01-22,12.58,12.58,11.9,11.98,9.785357000000001,289500
2010-01-25,12.23,12.56,12.11,12.2,9.965052,298500
2010-01-26,12.2,12.2,12.01,12.06,9.850698,388200
2010-01-27,12.0,12.16,12.0,12.11,9.891539999999999,353700
2010-01-28,12.12,12.18,11.9,11.97,9.777186,394600
2010-01-29,12.03,12.07,11.85,11.88,9.703674000000001,226600
2010-02-01,11.91,12.07,11.86,12.07,9.858866,183700
2010-02-02,12.09,12.12,11.99,12.05,9.842532,156500
2010-02-03,12.03,12.12,11.94,12.03,9.826195,196400
2010-02-04,11.99,12.01,11.74,11.75,9.597491,434500
2010-02-05,11.72,11.82,11.66,11.8,9.63833,301500
2010-02-08,11.85,11.9,11.75,11.82,9.654664,216300
2010-02-09,11.9,12.2,11.88,12.1,9.883372,450000
2010-02-10,12.14,12.14,11.91,12.02,9.818028,341000
2010-02-11,12.04,12.19,12.0,12.09,9.875202999999999,475200
2010-02-12,12.01,12.2,12.01,12.18,9.948716000000001,336900
2010-02-16,12.2,12.26,12.05,12.25,10.005892999999999,647000
2010-02-17,12.25,12.51,12.23,12.49,10.235352,321800
2010-02-18,12.48,12.71,12.44,12.63,10.350076,360600
2010-02-19,12.57,12.61,12.45,12.47,10.218956,370900
2010-02-22,12.46,12.52,12.37,12.48,10.227151,209600
2010-02-23,12.5,12.5,12.21,12.23,10.022281,360200
2010-02-24,12.22,12.33,12.18,12.29,10.071452,460200
2010-02-25,12.23,12.4,12.15,12.39,10.153399,338500
2010-02-26,12.46,12.49,12.27,12.3,10.079647,515900
2010-03-01,12.31,12.49,12.28,12.45,10.202568,221800
2010-03-02,12.44,12.74,12.44,12.74,10.440216,545000
2010-03-03,12.73,12.87,12.71,12.75,10.448414,166200
2010-03-04,12.72,12.84,12.64,12.79,10.481192,227400
2010-03-05,12.82,12.91,12.7,12.74,10.440216,211600
2010-03-08,12.78,12.97,12.74,12.94,10.604115,638700
2010-03-09,12.98,13.58,12.95,13.5,11.063027,1468900
2010-03-10,13.53,13.53,13.34,13.45,11.022052,1238700
2010-03-11,13.4,13.69,13.31,13.58,11.128586,987900
2010-03-12,13.55,13.59,13.45,13.49,11.054832000000001,247500
2010-03-15,13.5,13.52,13.37,13.5,11.063027,460200
2010-03-16,13.61,13.77,13.56,13.71,11.235117,375000
2010-03-17,13.82,14.03,13.76,13.96,11.439988,418000
2010-03-18,14.0,14.12,13.88,14.11,11.562911,546800
2010-03-19,14.03,14.2,13.92,14.03,11.497353,315800
2010-03-22,14.01,14.27,13.91,14.25,11.67764,337500
2010-03-23,14.27,14.32,14.14,14.3,11.718615,194800
2010-03-24,14.3,14.39,14.14,14.19,11.628469,220100
2010-03-25,14.31,14.38,14.14,14.15,11.595691,300000
2010-03-26,14.25,14.28,14.11,14.17,11.612081,219700
2010-03-29,14.18,14.3,14.18,14.29,11.710417,174000
2010-03-30,14.33,14.42,14.25,14.34,11.751392999999998,192400
2010-03-31,14.18,14.35,14.18,14.2,11.636664,314000
2010-04-01,14.33,14.39,14.06,14.14,11.587494,198800
2010-04-05,14.24,14.7,14.24,14.7,12.046403999999999,341800
2010-04-06,14.74,14.74,14.38,14.4,11.800561,291400
2010-04-07,14.44,14.63,14.36,14.63,11.989041,353600
2010-04-08,14.61,14.69,14.46,14.6,11.964458,408900
2010-04-09,14.66,14.76,14.52,14.7,12.046403999999999,242400
2010-04-12,14.72,14.85,14.69,14.74,12.079187,283600
2010-04-13,14.77,14.79,14.53,14.69,12.038211,272300
2010-04-14,14.69,14.92,14.69,14.92,12.226691,257200
2010-04-15,14.95,15.0,14.92,14.95,12.251274,244700
2010-04-16,14.95,15.04,14.7,14.81,12.136549,311100
2010-04-19,14.88,14.99,14.59,14.61,11.972653999999999,349300
2010-04-20,14.72,15.0,14.72,14.97,12.267667999999999,204600
2010-04-21,15.05,15.05,14.75,14.82,12.144745,478400
2010-04-22,14.76,15.07,14.61,15.05,12.333225,207600
2010-04-23,15.09,15.12,14.98,15.04,12.325028999999999,239200
2010-04-26,15.27,15.45,15.17,15.32,12.554486,562200
2010-04-27,15.56,15.56,15.04,15.07,12.349613,334800
2010-04-28,15.23,15.39,15.12,15.39,12.611849000000001,338900
2010-04-29,15.51,15.6,15.44,15.5,12.701995,216000
2010-04-30,15.56,15.69,15.35,15.45,12.661019,419600
2010-05-03,15.56,15.72,15.34,15.56,12.751164,281200
2010-05-04,15.47,15.48,14.88,14.91,12.218496,421700
2010-05-05,14.8,14.9,14.58,14.68,12.030014999999999,330800
2010-05-06,14.67,14.75,13.29,14.4,11.800561,580700
2010-05-07,14.3,14.41,13.85,14.02,11.489156,431500
2010-05-10,14.47,14.62,14.19,14.35,11.759589,356600
2010-05-11,14.16,14.62,14.1,14.49,11.874315,223300
2010-05-12,14.55,14.98,14.51,14.93,12.234886999999999,271200
2010-05-13,14.93,15.19,14.87,15.04,12.325028999999999,297100
2010-05-14,15.01,15.05,14.63,14.86,12.177522999999999,607300
2010-05-17,14.87,15.06,14.6,14.84,12.161135,400700
2010-05-18,14.88,14.95,14.24,14.27,11.69403,400800
2010-05-19,14.17,14.33,13.88,13.99,11.464575,601800
2010-05-20,13.79,13.8,13.5,13.5,11.063027,362800
2010-05-21,13.43,13.76,13.27,13.75,11.267897999999999,613600
