Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.36,13.43,13.17,13.34,6.379318,303400
2010-01-05,13.37,13.46,13.36,13.44,6.4271400000000005,259500
2010-01-06,13.49,13.56,13.4,13.55,6.479743,228100
2010-01-07,13.5,13.62,13.49,13.6,6.503655999999999,214300
2010-01-08,13.64,13.74,13.57,13.74,6.570601,211300
2010-01-11,13.75,13.93,13.71,13.9,6.647114999999999,260200
2010-01-12,13.8,13.85,13.65,13.78,6.637481,307700
2010-01-13,13.77,13.81,13.71,13.77,6.632666,232600
2010-01-14,13.75,13.88,13.75,13.88,6.685648,261000
2010-01-15,13.9,13.92,13.77,13.8,6.647114999999999,241900
2010-01-19,13.85,13.92,13.8,13.87,6.680828999999999,349600
2010-01-20,13.9,13.93,13.76,13.84,6.666384,241100
2010-01-21,13.85,13.85,13.75,13.82,6.6567490000000005,232100
2010-01-22,13.84,13.87,13.72,13.79,6.642297999999999,302700
2010-01-25,13.79,13.94,13.78,13.88,6.685648,339800
2010-01-26,13.84,13.92,13.8,13.9,6.695282000000001,270700
2010-01-27,13.92,13.95,13.8,13.89,6.690467999999999,291100
2010-01-28,13.85,13.87,13.75,13.75,6.623032000000001,247900
2010-01-29,13.81,13.85,13.58,13.59,6.545961,265200
2010-02-01,13.65,13.75,13.44,13.75,6.623032000000001,236500
2010-02-02,13.76,13.98,13.76,13.98,6.733814999999999,279900
2010-02-03,13.84,13.88,13.78,13.87,6.728967999999999,164800
2010-02-04,13.76,13.86,13.02,13.04,6.326297,704600
2010-02-05,13.01,13.08,12.1,12.72,6.171048000000001,1968000
2010-02-08,12.74,12.74,12.44,12.46,6.044914,574700
2010-02-09,12.57,12.82,12.57,12.82,6.219567,472800
2010-02-10,12.76,12.88,12.67,12.83,6.224419,271000
2010-02-11,12.8,12.94,12.8,12.92,6.268077,296400
2010-02-12,12.87,12.96,12.74,12.96,6.287486,255600
2010-02-16,12.99,13.13,12.94,13.12,6.365107,377400
2010-02-17,13.15,13.19,13.09,13.14,6.37481,241800
2010-02-18,13.11,13.26,13.11,13.23,6.418471,295600
2010-02-19,13.21,13.31,13.19,13.27,6.437876999999999,308400
2010-02-22,13.3,13.34,13.13,13.19,6.399067,370800
2010-02-23,13.23,13.23,13.07,13.21,6.408771,279100
2010-02-24,13.23,13.39,13.23,13.39,6.496096,239400
2010-02-25,13.33,13.43,13.23,13.42,6.510651,212400
2010-02-26,13.41,13.65,13.41,13.5,6.54946,271800
2010-03-01,13.56,13.68,13.56,13.67,6.631935,242200
2010-03-02,13.69,13.8,13.66,13.8,6.695003999999999,290400
2010-03-03,13.75,13.78,13.61,13.67,6.680345,255800
2010-03-04,13.66,13.69,13.59,13.59,6.641247,174100
2010-03-05,13.61,13.79,13.52,13.67,6.680345,259300
