Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.35,6.37,6.25,6.32,3.132873,514400
2010-01-05,6.33,6.4,6.29,6.4,3.172529,736300
2010-01-06,6.41,6.62,6.36,6.54,3.24193,1051300
2010-01-07,6.55,6.63,6.55,6.63,3.286541,612700
2010-01-08,6.62,6.75,6.62,6.75,3.3460300000000003,535300
2010-01-11,6.76,6.87,6.76,6.82,3.380727,593300
2010-01-12,6.81,6.86,6.48,6.59,3.266714,490700
2010-01-13,6.65,6.78,6.65,6.78,3.360898,881500
2010-01-14,6.81,6.85,6.65,6.68,3.311328,595500
2010-01-15,6.75,6.77,6.51,6.54,3.24193,433800
2010-01-19,6.56,6.6,6.53,6.56,3.251842,573300
2010-01-20,6.52,6.53,6.45,6.49,3.217145,330000
2010-01-21,6.47,6.53,6.29,6.3,3.137461,340000
2010-01-22,6.31,6.31,6.19,6.21,3.092641,446300
2010-01-25,6.55,6.6,6.21,6.28,3.1275020000000002,339300
2010-01-26,6.19,6.24,6.06,6.21,3.092641,390000
2010-01-27,6.23,6.25,6.08,6.14,3.0577810000000003,333400
2010-01-28,6.22,6.22,6.03,6.18,3.077701,315800
2010-01-29,6.23,6.28,5.99,6.0,2.98806,308500
2010-02-01,6.09,6.16,6.01,6.13,3.0528020000000002,354400
2010-02-02,6.17,6.26,6.16,6.25,3.112563,379400
2010-02-03,6.23,6.3,6.17,6.3,3.137461,235600
2010-02-04,6.21,6.21,6.03,6.06,3.0179400000000003,293400
2010-02-05,6.03,6.05,5.82,5.9,2.9382580000000003,498900
2010-02-08,5.89,6.0,5.84,5.89,2.933278,301800
2010-02-09,5.96,6.01,5.89,5.95,2.963159,276500
2010-02-10,5.94,6.0,5.88,5.93,2.953199,228100
2010-02-11,5.96,6.08,5.92,5.99,2.983078,344000
2010-02-12,5.94,6.03,5.91,5.98,2.9780990000000003,206600
2010-02-16,5.98,6.11,5.98,6.05,3.0129599999999996,278600
2010-02-17,6.1,6.16,6.1,6.12,3.04782,202700
2010-02-18,6.1,6.13,5.99,6.04,3.022798,278200
2010-02-19,6.02,6.06,6.01,6.01,3.007784,277900
2010-02-22,6.1,6.1,6.02,6.05,3.0278,278100
2010-02-23,6.06,6.07,5.99,6.03,3.017794,281700
2010-02-24,6.09,6.12,6.03,6.06,3.0328060000000003,266400
2010-02-25,6.0,6.05,5.97,6.03,3.017794,355200
2010-02-26,6.07,6.19,6.07,6.12,3.062834,198400
2010-03-01,6.14,6.29,6.14,6.28,3.1429080000000003,427100
2010-03-02,6.31,6.4,6.29,6.36,3.182945,392000
2010-03-03,6.4,6.43,6.31,6.38,3.192955,388100
2010-03-04,6.38,6.39,6.32,6.34,3.172936,268600
2010-03-05,6.42,6.42,6.33,6.35,3.177942,305600
2010-03-08,6.39,6.41,6.35,6.39,3.197959,172200
2010-03-09,6.4,6.44,6.36,6.42,3.212974,229100
2010-03-10,6.44,6.5,6.38,6.5,3.2530099999999997,438000
2010-03-11,6.48,6.53,6.41,6.48,3.243002,227000
2010-03-12,6.47,6.54,6.47,6.5,3.2530099999999997,251400
2010-03-15,6.52,6.55,6.42,6.48,3.243002,215800
2010-03-16,6.53,6.57,6.49,6.53,3.268026,246000
2010-03-17,6.57,6.63,6.55,6.59,3.298054,310500
2010-03-18,6.61,6.63,6.49,6.54,3.273029,231200
2010-03-19,6.49,6.57,6.46,6.49,3.248005,320000
2010-03-22,6.46,6.58,6.43,6.53,3.268026,228700
2010-03-23,6.55,6.59,6.53,6.59,3.314804,266100
2010-03-24,6.58,6.59,6.48,6.52,3.279593,358700
2010-03-25,6.58,6.59,6.36,6.46,3.249412,389600
2010-03-26,6.47,6.51,6.42,6.46,3.249412,314100
2010-03-29,6.51,6.59,6.5,6.56,3.299714,320400
2010-03-30,6.59,6.62,6.52,6.56,3.299714,197800
2010-03-31,6.57,6.6,6.53,6.57,3.3047419999999996,288300
2010-04-01,6.64,6.72,6.55,6.58,3.3097730000000003,386200
2010-04-05,6.58,6.67,6.58,6.66,3.350014,169800
2010-04-06,6.63,6.74,6.63,6.69,3.3651050000000002,271600
2010-04-07,6.73,6.73,6.6,6.64,3.339954,300600
2010-04-08,6.67,6.67,6.58,6.63,3.334924,314500
2010-04-09,6.7,6.7,6.54,6.61,3.3248620000000004,752300
2010-04-12,6.64,6.64,6.5,6.54,3.289654,808700
2010-04-13,6.57,6.62,6.51,6.62,3.3298940000000004,379300
2010-04-14,6.64,6.66,6.58,6.64,3.339954,363400
2010-04-15,6.66,6.66,6.57,6.64,3.339954,325600
2010-04-16,6.65,6.65,6.48,6.58,3.3097730000000003,550500
2010-04-19,6.53,6.58,6.48,6.54,3.289654,344000
2010-04-20,6.6,6.63,6.58,6.6,3.3198339999999997,232800
2010-04-21,6.62,6.7,6.59,6.62,3.3298940000000004,282100
2010-04-22,6.56,6.7,6.55,6.7,3.3870190000000004,277100
2010-04-23,6.71,6.71,6.63,6.67,3.3718529999999998,217700
2010-04-26,6.69,6.71,6.63,6.66,3.366796,261200
2010-04-27,6.53,6.66,6.51,6.51,3.290968,255600
2010-04-28,6.59,6.6,6.48,6.5,3.285914,313200
2010-04-29,6.57,6.64,6.54,6.64,3.356689,260800
2010-04-30,6.66,6.66,6.5,6.5,3.285914,242100
2010-05-03,6.57,6.6,6.54,6.57,3.321301,257300
2010-05-04,6.52,6.52,6.41,6.42,3.2454709999999998,373600
2010-05-05,6.37,6.37,6.16,6.24,3.154476,372600
2010-05-06,6.2,6.22,4.5,5.76,2.911824,950800
2010-05-07,5.8,5.88,5.66,5.74,2.9017150000000003,502600
2010-05-10,6.08,6.12,5.96,6.05,3.0584279999999997,299200
2010-05-11,5.86,6.22,5.86,6.07,3.068537,424900
2010-05-12,6.11,6.19,6.11,6.16,3.114034,359600
2010-05-13,6.13,6.19,6.1,6.11,3.088759,272800
2010-05-14,6.06,6.09,5.88,5.96,3.01293,341500
2010-05-17,6.02,6.03,5.8,5.94,3.0028189999999997,188900
2010-05-18,6.02,6.02,5.79,5.81,2.9371009999999997,215000
2010-05-19,5.81,5.81,5.65,5.74,2.9017150000000003,392100
2010-05-20,5.57,5.57,5.32,5.37,2.7303669999999998,563400
2010-05-21,5.23,5.35,5.11,5.25,2.669353,1113200
2010-05-24,5.27,5.45,5.26,5.36,2.7252810000000003,289700
2010-05-25,5.18,5.35,5.07,5.35,2.720198,499500
2010-05-26,5.44,5.54,5.42,5.44,2.7659599999999998,363600
2010-05-27,5.61,5.65,5.55,5.65,2.872733,299700
2010-05-28,5.69,5.69,5.6,5.66,2.877816,241900
2010-06-01,5.57,5.67,5.54,5.54,2.8168029999999997,237100
2010-06-02,5.55,5.6,5.52,5.56,2.826972,417800
2010-06-03,5.68,5.69,5.54,5.67,2.882902,453300
2010-06-04,5.59,5.6,5.46,5.49,2.7913799999999998,413400
2010-06-07,5.51,5.52,5.34,5.35,2.720198,271400
2010-06-08,5.4,5.42,5.3,5.42,2.755791,207000
2010-06-09,5.49,5.55,5.43,5.44,2.7659599999999998,152000
2010-06-10,5.56,5.65,5.52,5.64,2.8676470000000003,210400
2010-06-11,5.61,5.66,5.56,5.63,2.862563,218000
2010-06-14,5.74,5.76,5.61,5.66,2.877816,277700
2010-06-15,5.73,5.83,5.7,5.83,2.964253,287400
2010-06-16,5.8,5.88,5.76,5.84,2.969338,126700
2010-06-17,5.89,5.89,5.74,5.84,2.969338,214200
2010-06-18,5.87,5.88,5.8,5.86,2.979506,264300
2010-06-21,5.92,5.95,5.89,5.89,2.994759,248200
2010-06-22,5.83,5.87,5.71,5.76,2.945162,263400
2010-06-23,5.74,5.78,5.68,5.69,2.9093709999999997,242800
2010-06-24,5.69,5.71,5.56,5.61,2.868465,328000
2010-06-25,5.6,5.69,5.56,5.69,2.9093709999999997,332100
2010-06-28,5.7,5.7,5.63,5.65,2.888918,264800
2010-06-29,5.51,5.55,5.45,5.49,2.8071099999999998,363700
2010-06-30,5.52,5.52,5.39,5.4,2.7610900000000003,265800
2010-07-01,5.41,5.43,5.32,5.43,2.7764290000000003,355700
2010-07-02,5.41,5.48,5.36,5.4,2.7610900000000003,287200
2010-07-06,5.56,5.59,5.37,5.38,2.7508619999999997,443000
2010-07-07,5.38,5.61,5.38,5.6,2.863352,292700
2010-07-08,5.66,5.74,5.61,5.73,2.929824,346800
2010-07-09,5.73,5.75,5.7,5.74,2.934935,216300
2010-07-12,5.75,5.82,5.7,5.74,2.934935,281500
2010-07-13,5.74,5.87,5.74,5.81,2.970729,353800
2010-07-14,5.79,5.83,5.77,5.82,2.9758430000000002,228400
2010-07-15,5.87,5.87,5.71,5.83,2.980953,216100
2010-07-16,5.8,5.8,5.68,5.68,2.904257,288900
2010-07-19,5.75,5.78,5.7,5.76,2.945162,412200
2010-07-20,5.7,5.81,5.68,5.8,2.965614,551500
2010-07-21,5.84,5.9,5.77,5.82,2.9758430000000002,500100
2010-07-22,5.82,6.05,5.82,6.01,3.090516,660000
2010-07-23,6.03,6.1,5.98,6.07,3.121368,266400
2010-07-26,6.09,6.2,6.08,6.18,3.1779330000000003,285300
2010-07-27,6.2,6.21,6.11,6.11,3.141936,290000
2010-07-28,6.09,6.15,6.09,6.13,3.152221,242100
2010-07-29,6.15,6.15,6.06,6.11,3.141936,281300
2010-07-30,6.11,6.19,6.04,6.18,3.1779330000000003,168400
2010-08-02,6.2,6.37,6.2,6.36,3.270495,286800
2010-08-03,6.34,6.35,6.29,6.33,3.255067,246000
2010-08-04,6.37,6.38,6.3,6.37,3.2756369999999997,228600
2010-08-05,6.32,6.34,6.27,6.31,3.244784,198900
2010-08-06,6.26,6.33,6.24,6.32,3.249926,282800
2010-08-09,6.34,6.37,6.32,6.33,3.255067,220900
2010-08-10,6.3,6.3,6.22,6.28,3.2293580000000004,224900
2010-08-11,6.21,6.21,5.92,5.97,3.069945,671600
2010-08-12,5.91,6.0,5.89,5.92,3.044235,411000
2010-08-13,5.95,6.01,5.95,6.0,3.085372,219000
2010-08-16,5.97,6.05,5.95,6.0,3.085372,222600
2010-08-17,6.03,6.19,6.03,6.19,3.183075,329400
2010-08-18,6.21,6.27,6.13,6.25,3.21393,275600
2010-08-19,6.23,6.25,6.1,6.15,3.162507,277800
2010-08-20,6.09,6.14,6.03,6.06,3.1162259999999997,425800
2010-08-23,6.12,6.12,6.04,6.06,3.1332880000000003,288800
2010-08-24,5.97,6.03,5.93,6.02,3.1126080000000003,184500
2010-08-25,6.0,6.02,5.92,6.0,3.102266,197300
2010-08-26,6.01,6.05,5.94,5.97,3.086755,229600
2010-08-27,6.0,6.06,5.93,6.02,3.1126080000000003,210300
2010-08-30,6.02,6.07,5.97,5.99,3.097097,229700
2010-08-31,6.01,6.05,5.96,6.03,3.1177770000000002,283900
2010-09-01,6.06,6.19,6.06,6.15,3.179823,485200
2010-09-02,6.15,6.29,6.13,6.29,3.252208,435000
2010-09-03,6.38,6.38,6.27,6.33,3.2728919999999997,287700
2010-09-07,6.29,6.29,6.22,6.22,3.2160159999999998,232700
2010-09-08,6.29,6.31,6.21,6.27,3.241866,273700
2010-09-09,6.31,6.35,6.28,6.32,3.26772,214100
2010-09-10,6.32,6.36,6.3,6.32,3.26772,141700
2010-09-13,6.38,6.43,6.37,6.39,3.3039129999999997,271200
2010-09-14,6.4,6.47,6.38,6.46,3.3401059999999996,230300
2010-09-15,6.48,6.49,6.43,6.47,3.345277,223500
2010-09-16,6.43,6.47,6.42,6.46,3.3401059999999996,200200
2010-09-17,6.48,6.48,6.4,6.44,3.329765,216400
2010-09-20,6.43,6.55,6.43,6.55,3.3866410000000005,334000
2010-09-21,6.54,6.6,6.53,6.57,3.39698,245900
2010-09-22,6.55,6.56,6.45,6.5,3.377754,238200
2010-09-23,6.48,6.5,6.4,6.45,3.3517699999999997,285400
2010-09-24,6.51,6.58,6.51,6.58,3.4193269999999996,228000
2010-09-27,6.58,6.58,6.51,6.57,3.414129,339500
2010-09-28,6.61,6.63,6.53,6.62,3.4401129999999998,324200
2010-09-29,6.61,6.65,6.57,6.63,3.4453089999999995,298700
2010-09-30,6.65,6.7,6.56,6.61,3.434915,397800
2010-10-01,6.66,6.7,6.63,6.69,3.476487,366100
2010-10-04,6.71,6.71,6.63,6.63,3.4453089999999995,296100
2010-10-05,6.68,6.85,6.67,6.85,3.5596330000000003,483200
2010-10-06,6.84,6.91,6.83,6.87,3.5700260000000004,554700
2010-10-07,6.9,6.94,6.85,6.91,3.590813,329500
2010-10-08,6.9,6.97,6.84,6.97,3.6219900000000003,511900
2010-10-11,6.95,6.98,6.9,6.95,3.6115980000000003,343700
2010-10-12,6.91,6.98,6.91,6.98,3.627188,295200
2010-10-13,6.99,7.12,6.99,7.06,3.668762,489800
2010-10-14,7.06,7.16,7.06,7.12,3.6999400000000002,473500
2010-10-15,7.14,7.18,7.07,7.09,3.68435,307300
2010-10-18,7.08,7.12,7.02,7.09,3.68435,343600
2010-10-19,7.02,7.04,6.91,6.97,3.6219900000000003,573800
2010-10-20,6.97,7.06,6.95,7.0,3.637582,534400
2010-10-21,7.0,7.02,6.93,6.99,3.6495900000000003,254300
2010-10-22,7.02,7.02,6.94,6.98,3.644369,216500
2010-10-25,7.0,7.04,6.97,7.01,3.660032,247900
2010-10-26,6.99,7.01,6.95,7.01,3.660032,241100
2010-10-27,6.99,6.99,6.9,6.96,3.633926,250700
2010-10-28,6.98,7.06,6.96,7.06,3.6861370000000004,831100
2010-10-29,7.08,7.08,7.01,7.04,3.6756949999999997,427900
2010-11-01,7.08,7.16,7.08,7.13,3.722687,458500
2010-11-02,7.19,7.22,7.1,7.18,3.748792,370800
2010-11-03,7.21,7.29,7.16,7.29,3.806226,483900
2010-11-04,7.35,7.49,7.31,7.47,3.900206,545300
2010-11-05,7.45,7.56,7.45,7.55,3.941975,345100
2010-11-08,7.52,7.53,7.44,7.48,3.9054269999999995,290100
2010-11-09,7.43,7.48,7.31,7.35,3.8375519999999996,354800
2010-11-10,7.4,7.42,7.3,7.38,3.853214,477800
2010-11-11,7.28,7.4,7.28,7.38,3.853214,385300
2010-11-12,7.34,7.37,7.18,7.22,3.7696769999999997,397500
2010-11-15,7.28,7.28,7.15,7.17,3.7435709999999998,378600
2010-11-16,7.11,7.12,6.85,6.96,3.633926,469200
2010-11-17,6.98,7.25,6.93,7.22,3.7696769999999997,740600
2010-11-18,7.28,7.33,7.2,7.23,3.774896,315400
2010-11-19,7.19,7.2,7.09,7.19,3.771225,259000
2010-11-22,7.12,7.19,7.08,7.14,3.7450010000000002,286400
2010-11-23,7.09,7.11,7.03,7.1,3.72402,351600
2010-11-24,7.13,7.19,7.09,7.19,3.771225,285700
2010-11-26,7.1,7.17,7.09,7.15,3.7502459999999997,119200
2010-11-29,7.14,7.14,7.05,7.14,3.7450010000000002,280300
2010-11-30,7.09,7.1,6.97,7.02,3.68206,623100
2010-12-01,7.13,7.2,7.13,7.17,3.760736,493900
2010-12-02,7.15,7.26,7.09,7.23,3.7922059999999997,320800
2010-12-03,7.22,7.27,7.2,7.25,3.802696,265000
2010-12-06,7.24,7.3,7.21,7.29,3.8236779999999997,358500
2010-12-07,7.35,7.39,7.23,7.27,3.813189,373800
2010-12-08,7.31,7.31,7.14,7.19,3.771225,285200
2010-12-09,7.19,7.2,7.08,7.2,3.776471,349700
2010-12-10,7.15,7.18,7.11,7.12,3.7345089999999996,249400
2010-12-13,7.12,7.17,7.12,7.15,3.7502459999999997,278800
2010-12-14,7.17,7.23,7.07,7.09,3.718774,307800
2010-12-15,7.11,7.17,7.1,7.11,3.7292650000000003,365200
2010-12-16,7.1,7.17,7.08,7.15,3.7502459999999997,281100
2010-12-17,7.16,7.16,7.08,7.14,3.7450010000000002,252800
2010-12-20,7.11,7.13,7.07,7.13,3.739756,262000
2010-12-21,7.17,7.23,7.11,7.12,3.7345089999999996,382500
2010-12-22,7.14,7.22,7.13,7.18,3.783519,328500
2010-12-23,7.2,7.2,7.14,7.15,3.767707,259200
2010-12-27,7.14,7.2,7.13,7.18,3.783519,271800
2010-12-28,7.18,7.2,7.12,7.15,3.767707,355300
2010-12-29,6.91,7.12,6.91,7.01,3.7095,537400
2010-12-30,7.04,7.08,6.98,7.08,3.7465410000000006,387800
2010-12-31,7.1,7.12,7.01,7.09,3.751833,367200
2011-01-03,7.09,7.13,7.06,7.13,3.7730019999999995,500700
2011-01-04,7.1,7.11,7.01,7.07,3.741249,342100
2011-01-05,6.97,7.11,6.97,7.11,3.7624160000000004,370700
2011-01-06,7.11,7.12,7.02,7.02,3.7147919999999996,258800
2011-01-07,7.04,7.06,6.96,7.01,3.7095,286100
2011-01-10,6.98,6.99,6.94,6.99,3.698915,274900
2011-01-11,6.99,7.0,6.92,6.98,3.693624,281300
2011-01-12,7.0,7.08,6.97,7.03,3.720081,418000
2011-01-13,7.02,7.14,7.01,7.14,3.778293,363800
2011-01-14,7.1,7.23,7.07,7.21,3.8153330000000003,390200
2011-01-18,7.2,7.2,7.09,7.11,3.7624160000000004,283400
2011-01-19,7.14,7.14,7.04,7.05,3.730667,269900
2011-01-20,7.09,7.09,6.99,7.02,3.7147919999999996,265400
2011-01-21,6.99,7.04,6.98,7.03,3.737653,229700
2011-01-24,7.02,7.09,6.99,7.09,3.7695540000000003,241000
2011-01-25,7.08,7.1,7.01,7.1,3.7748690000000003,232500
2011-01-26,7.19,7.19,7.06,7.08,3.764236,430100
2011-01-27,7.11,7.13,7.06,7.09,3.7695540000000003,211300
2011-01-28,7.1,7.1,6.93,6.97,3.705753,253000
2011-01-31,7.01,7.03,6.92,6.97,3.705753,513300
2011-02-01,6.98,7.02,6.97,7.01,3.7270190000000003,258500
2011-02-02,7.01,7.05,6.99,7.02,3.732338,438000
2011-02-03,7.02,7.03,6.94,6.98,3.711068,286400
2011-02-04,7.01,7.02,6.95,7.0,3.7217019999999996,218600
2011-02-07,7.0,7.0,6.94,6.96,3.7004370000000004,287600
2011-02-08,6.95,7.01,6.94,7.0,3.7217019999999996,274500
2011-02-09,6.98,7.0,6.92,6.97,3.705753,386100
2011-02-10,6.92,6.96,6.86,6.89,3.6632190000000002,749500
2011-02-11,6.85,6.96,6.82,6.94,3.689803,325300
2011-02-14,6.95,6.96,6.92,6.94,3.689803,355200
2011-02-15,6.94,6.96,6.88,6.91,3.6738510000000004,468500
2011-02-16,6.96,6.97,6.92,6.97,3.705753,600200
2011-02-17,6.93,7.03,6.93,7.0,3.739408,443000
2011-02-18,7.01,7.05,7.0,7.05,3.766118,478600
2011-02-22,6.95,7.0,6.9,6.96,3.718038,411800
2011-02-23,6.95,6.96,6.84,6.91,3.691329,294900
2011-02-24,6.91,6.93,6.82,6.89,3.680646,205500
2011-02-25,6.92,6.96,6.89,6.93,3.702014,212400
2011-02-28,6.99,7.02,6.97,7.01,3.7447480000000004,298000
2011-03-01,7.02,7.03,6.91,6.93,3.702014,312300
