Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.04,10.58,10.01,10.41,7.270612,536400
2010-01-05,10.42,10.43,9.91,10.1,7.054099000000001,394400
2010-01-06,10.05,10.12,9.95,9.96,6.95632,297500
2010-01-07,9.98,10.41,9.9,10.38,7.24966,323400
2010-01-08,10.37,10.63,10.24,10.49,7.326486999999999,264000
2010-01-11,10.59,11.05,10.55,11.01,7.689667999999999,464300
2010-01-12,10.91,10.99,10.78,10.87,7.591888000000001,257300
2010-01-13,10.9,11.35,10.8,11.32,7.906178,301500
2010-01-14,11.33,11.41,11.15,11.21,7.829352,327400
2010-01-15,10.92,10.94,10.3,10.57,7.38236,958100
2010-01-19,10.65,10.76,10.09,10.36,7.235689999999999,545800
2010-01-20,10.2,10.22,9.81,10.01,6.991242999999999,372400
2010-01-21,10.06,10.15,9.81,9.85,6.879492,349600
2010-01-22,9.85,10.04,9.7,9.72,6.788699,312300
2010-01-25,9.86,9.86,9.62,9.77,6.823618,285800
2010-01-26,9.7,9.78,9.61,9.62,6.718857000000001,244300
2010-01-27,9.57,9.66,9.39,9.63,6.725842,248300
2010-01-28,9.68,9.78,9.27,9.44,6.593138000000001,203400
2010-01-29,9.52,9.69,9.37,9.51,6.64203,273400
2010-02-01,9.55,9.71,9.47,9.65,6.739808,193700
2010-02-02,9.62,9.74,9.51,9.58,6.690917999999999,214500
2010-02-03,9.51,9.66,9.31,9.39,6.558217999999999,200000
2010-02-04,9.33,9.39,8.85,8.89,6.209004,271500
2010-02-05,8.89,8.96,8.5,8.88,6.202022,262300
2010-02-08,8.89,8.9,8.62,8.62,6.020430999999999,148900
2010-02-09,8.83,9.21,8.76,9.13,6.376625,265600
2010-02-10,9.15,9.2,9.0,9.14,6.383612,216400
2010-02-11,9.14,9.33,9.01,9.31,6.502344,148600
2010-02-12,9.16,9.37,9.07,9.37,6.544247,236000
2010-02-16,9.47,9.82,9.35,9.82,6.858541000000001,260400
2010-02-17,9.9,9.97,9.72,9.82,6.858541000000001,137200
2010-02-18,9.85,10.09,9.81,10.07,7.033148,188700
2010-02-19,10.05,10.3,9.98,10.23,7.144895,255800
2010-02-22,10.28,10.28,9.95,10.23,7.144895,302000
2010-02-23,10.24,10.28,10.06,10.13,7.075053,202400
2010-02-24,10.2,10.39,10.1,10.16,7.096004,295100
2010-02-25,9.96,10.0,9.69,9.91,6.921399000000001,438100
2010-02-26,9.9,10.04,9.61,9.73,6.795683,429800
2010-03-01,9.85,9.94,9.64,9.68,6.760762,614800
2010-03-02,9.74,9.82,9.48,9.59,6.697901,773500
2010-03-03,9.59,9.73,9.48,9.51,6.64203,409800
2010-03-04,9.57,9.74,9.57,9.66,6.746792,453300
2010-03-05,9.52,9.77,9.05,9.6,6.704889,833500
2010-03-08,9.57,9.57,9.31,9.41,6.572186,620600
2010-03-09,9.44,9.74,9.36,9.64,6.732823,355900
2010-03-10,9.61,9.81,9.61,9.74,6.802667,286300
2010-03-11,9.95,10.44,9.95,10.42,7.277596000000001,1192700
2010-03-12,9.85,10.14,9.71,9.73,6.795683,1398000
2010-03-15,9.76,9.84,9.68,9.8,6.844573,569700
2010-03-16,9.81,9.87,9.71,9.8,6.844573,550900
2010-03-17,9.81,10.0,9.44,9.77,6.823618,816900
2010-03-18,9.8,10.0,9.75,9.9,6.914414999999999,352600
2010-03-19,9.55,9.99,9.55,9.55,6.6699649999999995,530400
2010-03-22,9.43,10.0,9.43,9.86,6.886479,372600
2010-03-23,9.89,9.97,9.78,9.94,6.9423520000000005,250400
2010-03-24,9.93,9.93,9.71,9.74,6.802667,340400
2010-03-25,9.79,9.81,9.51,9.53,6.655997,341600
2010-03-26,9.55,9.68,9.29,9.3,6.495359,542100
2010-03-29,9.3,9.52,9.24,9.47,6.6859850000000005,278900
2010-03-30,9.46,9.65,9.45,9.6,6.777765,257400
2010-03-31,9.52,9.61,9.47,9.47,6.6859850000000005,283000
2010-04-01,9.64,9.76,9.49,9.62,6.791886,447900
2010-04-05,9.64,9.92,9.57,9.89,6.982511,615500
2010-04-06,9.81,10.65,9.8,10.57,7.462600999999999,1496400
2010-04-07,10.52,10.96,10.38,10.86,7.667348,924000
2010-04-08,10.83,10.94,10.6,10.69,7.547325999999999,391300
2010-04-09,10.65,10.94,10.55,10.92,7.709708999999999,350000
2010-04-12,10.95,10.95,10.72,10.8,7.624988,396300
2010-04-13,10.77,10.94,10.61,10.91,7.702649000000001,355500
2010-04-14,10.99,11.48,10.97,11.44,8.076837,896000
2010-04-15,11.37,11.64,11.34,11.59,8.182739,632900
2010-04-16,11.52,11.53,10.92,11.03,7.787373,671500
2010-04-19,10.99,11.0,10.56,10.87,7.674411,657200
2010-04-20,10.9,11.08,10.9,11.06,7.808553,315700
2010-04-21,11.1,11.2,10.93,11.12,7.8509139999999995,319500
2010-04-22,11.1,11.95,11.0,11.89,8.394544,683700
2010-04-23,11.93,12.19,11.87,11.9,8.401608,745400
2010-04-26,11.79,12.29,11.79,12.15,8.578111,674300
2010-04-27,12.02,12.36,11.88,12.01,8.47927,802600
2010-04-28,12.15,12.17,11.98,12.09,8.535749000000001,710600
2010-04-29,12.18,12.38,11.94,12.31,8.691075,551500
2010-04-30,12.35,12.38,12.01,12.01,8.47927,685200
2010-05-03,12.05,12.34,12.03,12.33,8.705193,752100
2010-05-04,12.11,12.11,11.56,11.64,8.218042,773700
2010-05-05,10.01,11.08,9.0,10.34,7.300217,1757400
2010-05-06,10.29,10.29,8.75,9.38,6.6224419999999995,1821100
2010-05-07,9.74,10.37,9.68,9.72,6.862488000000001,1730200
2010-05-10,10.31,11.03,10.31,11.03,7.787373,1467700
2010-05-11,10.83,11.2,10.7,11.0,7.7661880000000005,692600
2010-05-12,11.05,11.22,10.97,11.18,7.893274000000001,918200
2010-05-13,11.18,11.56,11.1,11.3,7.977994,760000
2010-05-14,11.16,11.19,10.72,10.9,7.695588000000001,443700
2010-05-17,10.95,11.16,10.56,10.98,7.752071000000001,330800
2010-05-18,11.2,11.3,10.61,10.66,7.526146000000001,298600
2010-05-19,10.6,10.75,10.25,10.41,7.349641,459300
2010-05-20,10.04,10.11,9.69,9.69,6.841308000000001,887500
2010-05-21,9.5,10.05,9.42,9.68,6.834249000000001,783900
2010-05-24,9.64,9.83,9.37,9.37,6.615382,468200
2010-05-25,9.05,9.11,8.79,9.04,6.382397,1321500
2010-05-26,9.17,9.64,9.17,9.33,6.587141,451800
2010-05-27,9.65,10.03,9.49,10.03,7.081353999999999,478300
2010-05-28,10.0,10.08,9.68,9.85,6.954271,395300
2010-06-01,9.72,9.96,9.31,9.32,6.580083,431000
2010-06-02,9.47,9.5,9.17,9.41,6.643623,374900
2010-06-03,9.55,9.96,9.46,9.86,6.96133,590200
2010-06-04,9.46,9.5,8.92,8.97,6.332975,708900
2010-06-07,9.01,9.12,8.45,8.46,5.972907,658700
2010-06-08,8.49,8.55,8.03,8.24,5.817583,619200
2010-06-09,8.34,8.53,8.21,8.43,5.951726,637500
2010-06-10,8.68,8.7,8.37,8.59,6.064687999999999,548300
2010-06-11,8.58,9.0,8.54,9.0,6.354156,576000
2010-06-14,9.11,9.27,8.97,9.04,6.382397,387100
2010-06-15,9.15,9.6,9.02,9.55,6.742464999999999,487000
2010-06-16,9.45,9.7,9.3,9.63,6.798947,462400
2010-06-17,9.73,9.75,9.39,9.62,6.791886,347800
2010-06-18,9.67,9.93,9.58,9.86,6.96133,873800
2010-06-21,10.06,10.29,9.73,9.79,6.911909,408400
2010-06-22,9.88,10.01,9.19,9.21,6.50242,714900
2010-06-23,9.16,9.32,9.01,9.14,6.452999,269000
2010-06-24,9.07,9.2,8.81,8.85,6.248254,450600
2010-06-25,8.71,9.26,8.71,9.08,6.410636,1115500
2010-06-28,9.07,9.07,8.78,8.85,6.317833,439200
2010-06-29,8.65,8.68,8.1,8.15,5.818115,768600
2010-06-30,8.08,8.37,7.83,7.85,5.603953,583100
2010-07-01,7.85,7.93,7.45,7.71,5.504011,553900
2010-07-02,7.77,7.83,7.6,7.75,5.532566,654000
2010-07-06,7.9,8.07,7.61,7.68,5.482594000000001,951700
2010-07-07,7.75,8.03,7.64,8.02,5.725312000000001,420800
2010-07-08,8.11,8.2,7.76,7.93,5.661064,446300
2010-07-09,7.94,8.31,7.9,8.29,5.918061,328000
2010-07-12,8.27,8.44,8.04,8.13,5.80384,345400
2010-07-13,8.3,8.58,8.2,8.55,6.103671,517700
2010-07-14,8.52,8.67,8.47,8.61,6.146502,318700
2010-07-15,8.65,8.65,8.37,8.54,6.096529,381900
2010-07-16,8.45,8.45,8.12,8.14,5.8109779999999995,504500
2010-07-19,8.15,8.47,7.98,8.47,6.046558,430300
2010-07-20,8.28,8.66,8.12,8.65,6.175057,573700
2010-07-21,8.73,8.76,8.51,8.51,6.075114,505600
