Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.87,12.87,12.79,12.86,7.831009,9700
2010-01-05,12.84,12.93,12.81,12.93,7.8736369999999996,6600
2010-01-06,12.91,12.91,12.78,12.87,7.837097999999999,39000
2010-01-07,12.81,12.9,12.81,12.9,7.855366,6400
2010-01-08,12.9,12.95,12.9,12.95,7.885814999999999,2900
2010-01-11,13.03,13.07,12.95,13.03,7.934531,21500
2010-01-12,13.05,13.05,13.0,13.04,7.940617,8400
2010-01-13,12.93,12.95,12.85,12.93,7.919187,11200
2010-01-14,12.99,12.99,12.87,12.94,7.925307000000001,8300
2010-01-15,12.92,12.95,12.92,12.95,7.931431,300
2010-01-19,12.99,12.99,12.98,12.99,7.955934,5900
2010-01-20,12.99,13.08,12.93,13.06,7.998803,10300
2010-01-21,13.03,13.05,12.97,13.05,7.992681,3700
2010-01-22,13.06,13.06,13.06,13.06,7.998803,1300
2010-01-25,13.02,13.09,13.02,13.09,8.017178,5700
2010-01-26,13.03,13.1,13.03,13.09,8.017178,4600
2010-01-27,13.12,13.14,13.06,13.09,8.017178,21000
2010-01-28,13.13,13.14,13.02,13.08,8.011052000000001,12800
2010-01-29,13.1,13.13,13.05,13.1,8.023303,6900
2010-02-01,13.11,13.13,13.0,13.1,8.023303,31100
2010-02-02,13.1,13.16,13.1,13.16,8.060051,19400
2010-02-03,13.13,13.19,13.08,13.19,8.078426,7700
2010-02-04,13.14,13.18,13.13,13.16,8.060051,12000
2010-02-05,13.15,13.24,13.1,13.22,8.096799,13600
2010-02-08,13.24,13.27,13.2,13.27,8.127424000000001,6000
2010-02-09,13.08,13.21,13.08,13.21,8.090672,20500
2010-02-10,13.15,13.19,13.15,13.19,8.124552,6100
2010-02-11,13.17,13.25,13.1,13.25,8.16151,12300
2010-02-12,13.22,13.22,13.18,13.2,8.130711999999999,2900
2010-02-16,13.14,13.25,13.11,13.19,8.124552,11500
2010-02-17,13.21,13.28,13.17,13.22,8.143028,7400
2010-02-18,13.17,13.17,13.01,13.15,8.099912,18500
2010-02-19,13.13,13.22,13.08,13.14,8.093757,10100
2010-02-22,13.15,13.15,13.04,13.06,8.044478999999999,8300
2010-02-23,13.09,13.09,12.91,12.93,7.964401,10600
2010-02-24,12.99,13.01,12.91,12.91,7.952086,13500
2010-02-25,12.95,13.06,12.95,13.05,8.038319,11900
2010-02-26,13.01,13.06,13.01,13.06,8.044478999999999,6600
2010-03-01,13.1,13.11,13.0,13.05,8.038319,18600
2010-03-02,13.06,13.11,12.97,13.11,8.075275,18300
2010-03-03,13.1,13.18,13.1,13.12,8.081436,10800
