Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.56,3.6,3.5,3.5,3.1512279999999997,300
2010-01-05,3.5,3.5,3.4,3.4,3.061193,500
2010-01-06,3.31,3.42,3.11,3.11,2.800091,7100
2010-01-07,3.12,3.4,3.12,3.4,3.061193,2900
2010-01-08,3.4,3.59,3.33,3.5,3.1512279999999997,9600
2010-01-11,3.37,3.51,3.22,3.22,2.8991290000000003,5500
2010-01-12,3.28,3.59,3.28,3.59,3.232259,700
2010-01-13,3.52,3.63,3.39,3.39,3.05219,5300
2010-01-14,3.39,3.39,3.39,3.39,3.05219,0
2010-01-15,3.41,3.51,3.41,3.46,3.115214,6000
2010-01-19,3.46,3.46,3.25,3.4,3.061193,4300
2010-01-20,3.39,3.42,3.39,3.42,3.0792,2400
2010-01-21,3.29,3.43,3.26,3.36,3.025179,3300
2010-01-22,3.25,3.28,3.25,3.28,2.95315,200
2010-01-25,3.32,3.32,3.29,3.32,2.9891650000000003,300
2010-01-26,3.28,3.54,3.24,3.45,3.106211,8200
2010-01-27,3.45,3.45,3.45,3.45,3.106211,0
2010-01-28,3.64,3.65,3.64,3.65,3.286281,700
2010-01-29,3.68,3.68,3.37,3.59,3.232259,2900
2010-02-01,3.59,3.59,3.45,3.45,3.106211,500
2010-02-02,3.45,3.45,3.45,3.45,3.106211,0
2010-02-03,3.31,3.6,3.31,3.6,3.241263,1600
2010-02-04,3.6,3.6,3.6,3.6,3.241263,1800
2010-02-05,3.43,3.54,3.4,3.51,3.160232,1800
2010-02-08,3.65,3.66,3.48,3.58,3.223256,4600
2010-02-09,3.4,3.44,3.4,3.43,3.088203,2300
2010-02-10,3.73,3.73,3.44,3.44,3.097207,200
2010-02-11,3.45,3.68,3.45,3.68,3.3132910000000004,600
2010-02-12,3.43,3.75,3.41,3.75,3.3763160000000005,1600
2010-02-16,3.75,3.75,3.55,3.55,3.1962450000000002,3400
2010-02-17,3.61,3.75,3.61,3.75,3.3763160000000005,400
2010-02-18,3.73,3.88,3.73,3.88,3.493361,2100
2010-02-19,3.9,4.01,3.9,4.01,3.610407,200
2010-02-22,3.9,4.0,3.63,3.8,3.421333,2500
2010-02-23,3.81,4.06,3.81,4.06,3.655424,700
2010-02-24,4.06,4.06,4.06,4.06,3.655424,0
2010-02-25,4.06,4.06,4.06,4.06,3.655424,0
2010-02-26,3.59,3.72,3.59,3.7,3.3312980000000003,2700
2010-03-01,3.74,3.97,3.74,3.95,3.5563860000000003,800
2010-03-02,4.14,4.14,3.99,3.99,3.5924,6700
2010-03-03,3.97,4.0,3.65,3.65,3.286281,1100
2010-03-04,3.71,4.0,3.6,4.0,3.601403,3400
2010-03-05,3.98,4.41,3.82,3.96,3.565389,28400
2010-03-08,3.68,4.05,3.68,4.0,3.601403,18700
2010-03-09,4.0,4.0,3.99,3.99,3.5924,1100
2010-03-10,3.82,4.0,3.82,3.96,3.565389,6600
2010-03-11,3.81,4.0,3.81,3.99,3.5924,3000
2010-03-12,4.0,4.0,3.96,3.96,3.565389,5800
2010-03-15,3.6,3.77,3.6,3.77,3.3943230000000004,500
2010-03-16,3.76,4.0,3.76,3.91,3.520372,11900
2010-03-17,3.94,4.05,3.94,4.05,3.646421,7500
2010-03-18,4.05,4.05,4.05,4.05,3.646421,0
2010-03-19,4.35,4.35,4.35,4.35,3.916525,200
2010-03-22,4.2,4.2,3.83,4.06,3.655424,600
2010-03-23,4.06,4.06,4.06,4.06,3.655424,0
2010-03-24,3.57,4.06,3.57,3.75,3.3763160000000005,3800
2010-03-25,3.75,4.01,3.75,4.01,3.610407,1100
2010-03-26,3.99,3.99,3.8,3.8,3.421333,1600
2010-03-29,3.88,4.03,3.88,4.03,3.628414,2400
2010-03-30,4.18,4.2,4.17,4.18,3.763466,2000
2010-03-31,4.16,4.2,4.15,4.15,3.7364559999999996,3100
2010-04-01,4.14,4.14,4.0,4.0,3.601403,600
2010-04-05,4.05,4.35,4.01,4.35,3.916525,4000
2010-04-06,4.32,4.32,3.82,3.83,3.448344,12000
2010-04-07,3.87,4.12,3.85,4.12,3.7094449999999997,3000
2010-04-08,4.11,4.22,3.81,4.22,3.7994800000000004,8600
2010-04-09,3.99,3.99,3.96,3.97,3.574393,800
2010-04-12,4.02,4.25,3.98,4.25,3.826492,7400
2010-04-13,4.22,4.28,4.12,4.28,3.8535019999999998,15300
2010-04-14,4.11,4.35,4.11,4.35,3.916525,5400
2010-04-15,4.43,4.64,4.21,4.54,4.087593,7500
2010-04-16,4.51,4.51,4.34,4.36,3.92553,1800
2010-04-19,4.51,4.79,4.51,4.79,4.3126809999999995,3800
2010-04-20,4.76,4.9,4.58,4.58,4.123607,9700
2010-04-21,4.82,4.82,4.61,4.61,4.150618,2300
2010-04-22,4.62,5.0,4.61,5.0,4.501754,16900
2010-04-23,4.93,5.64,4.9,5.25,4.7268419999999995,14200
2010-04-26,5.32,5.85,5.15,5.31,4.780863,8000
2010-04-27,5.34,5.75,5.2,5.54,4.987945,7600
2010-04-28,5.55,5.7,5.5,5.5,4.95193,4100
2010-04-29,5.86,6.66,5.75,6.35,5.7172279999999995,9000
2010-04-30,6.35,6.51,5.88,5.88,5.294064,5400
2010-05-03,5.71,6.01,5.56,5.76,5.186021,7300
2010-05-04,5.78,6.01,5.39,5.61,5.050967,1900
2010-05-05,5.25,5.5,5.16,5.2,4.681825,14700
2010-05-06,5.16,5.42,5.16,5.25,4.7268419999999995,4100
2010-05-07,5.3,5.55,5.0,5.2,4.681825,2500
2010-05-10,6.24,6.24,5.3,6.05,5.447124,12100
2010-05-11,6.0,6.35,5.62,6.35,5.7172279999999995,6400
2010-05-12,6.28,6.4,6.16,6.18,5.5641680000000004,8700
2010-05-13,6.21,6.38,5.74,6.06,5.456126,4400
2010-05-14,6.01,6.05,5.86,5.93,5.339079,3100
2010-05-17,5.88,6.35,5.88,6.31,5.681214,24600
2010-05-18,6.35,6.35,6.2,6.35,5.7172279999999995,9900
2010-05-19,6.35,6.5,5.81,6.17,5.555165000000001,14400
2010-05-20,5.95,6.12,5.84,6.1,5.49214,4500
2010-05-21,6.06,6.2,5.96,5.96,5.366091,1500
