Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.86,13.92,13.83,13.87,8.185739,27400
2010-01-05,13.92,13.92,13.8,13.87,8.185739,44200
2010-01-06,13.87,14.02,13.84,14.02,8.274264,29500
2010-01-07,14.0,14.12,14.0,14.07,8.303771000000001,31100
2010-01-08,14.09,14.13,14.05,14.12,8.333282,34000
2010-01-11,14.15,14.17,14.13,14.14,8.345086,45300
2010-01-12,14.18,14.24,14.15,14.2,8.380496,22600
2010-01-13,14.12,14.16,14.11,14.14,8.395338,18700
2010-01-14,14.14,14.19,14.13,14.19,8.425022,22100
2010-01-15,14.14,14.19,14.14,14.16,8.407208,31900
2010-01-19,14.16,14.19,14.16,14.17,8.413149,40500
2010-01-20,14.25,14.29,14.23,14.25,8.460649,16400
2010-01-21,14.22,14.39,14.22,14.35,8.520021,9900
2010-01-22,14.4,14.52,14.38,14.4,8.549709,12000
2010-01-25,14.36,14.47,14.25,14.25,8.460649,21300
2010-01-26,14.33,14.33,14.13,14.28,8.47846,23600
2010-01-27,14.35,14.35,14.19,14.33,8.508146,15200
2010-01-28,14.36,14.41,14.25,14.32,8.50221,15800
2010-01-29,14.4,14.48,14.35,14.4,8.549709,15700
2010-02-01,14.56,14.56,14.44,14.56,8.644703999999999,21400
2010-02-02,14.56,14.69,14.53,14.58,8.656578,25900
2010-02-03,14.64,14.7,14.5,14.65,8.698141,17900
2010-02-04,14.63,14.65,14.37,14.37,8.531896000000001,35400
2010-02-05,14.37,14.43,14.23,14.42,8.561577999999999,27100
2010-02-08,14.46,14.55,14.46,14.5,8.609078,9100
2010-02-09,14.58,14.58,14.5,14.54,8.632827,12400
2010-02-10,14.5,14.53,14.45,14.52,8.671649,15600
2010-02-11,14.6,14.62,14.51,14.51,8.665678,21500
2010-02-12,14.59,14.71,14.55,14.64,8.743316,15600
2010-02-16,14.6,14.7,14.55,14.7,8.779148,20800
2010-02-17,14.7,14.79,14.5,14.53,8.677619,29700
2010-02-18,15.26,15.26,14.5,14.5,8.659706,10100
2010-02-19,14.56,14.56,14.35,14.35,8.570121,25700
2010-02-22,14.3,14.46,14.04,14.11,8.426789999999999,39100
2010-02-23,14.14,14.3,14.12,14.25,8.5104,20700
2010-02-24,14.32,14.4,14.22,14.23,8.498451,10700
2010-02-25,14.27,14.44,14.14,14.44,8.623874,28500
2010-02-26,14.4,14.46,14.31,14.38,8.588037,24900
2010-03-01,14.53,14.53,14.32,14.37,8.582067,11300
2010-03-02,14.44,14.56,14.44,14.54,8.683596000000001,23400
2010-03-03,14.57,14.68,14.57,14.68,8.767208,11600
2010-03-04,14.68,14.7,14.54,14.57,8.701514,17900
2010-03-05,14.57,14.7,14.47,14.47,8.641786,20700
2010-03-08,14.55,14.56,14.48,14.55,8.689568,13700
2010-03-09,14.5,14.52,14.42,14.49,8.653731,37500
2010-03-10,14.53,14.57,14.53,14.56,8.695541,16800
2010-03-11,14.53,14.53,14.35,14.35,8.620448,19700
2010-03-12,14.36,14.36,14.25,14.3,8.590408,17900
2010-03-15,14.33,14.33,14.26,14.27,8.572389999999999,14100
2010-03-16,14.26,14.49,14.26,14.44,8.674511,28900
2010-03-17,14.54,14.7,14.54,14.67,8.812677,17000
2010-03-18,14.67,14.8,14.67,14.78,8.878762,20300
2010-03-19,14.69,14.86,14.65,14.69,8.824697,27900
2010-03-22,14.74,14.79,14.67,14.68,8.818686999999999,20900
2010-03-23,14.77,14.84,14.63,14.65,8.800666,13500
2010-03-24,14.71,14.75,14.6,14.6,8.770629,31900
2010-03-25,14.66,14.7,14.6,14.65,8.800666,12600
2010-03-26,14.68,14.69,14.6,14.6,8.770629,17400
2010-03-29,14.6,14.69,14.6,14.69,8.824697,10300
2010-03-30,14.7,14.7,14.55,14.55,8.740592,15100
2010-03-31,14.63,14.63,14.55,14.55,8.740592,11700
2010-04-01,14.73,14.74,14.63,14.68,8.818686999999999,13000
2010-04-05,14.78,14.85,14.78,14.83,8.908797999999999,13800
2010-04-06,14.78,14.94,14.78,14.89,8.944842,10500
2010-04-07,14.93,14.93,14.79,14.79,8.884768,9700
2010-04-08,14.85,14.85,14.72,14.73,8.848723,2800
2010-04-09,14.83,14.83,14.7,14.78,8.878762,20100
2010-04-12,14.73,14.95,14.73,14.77,8.872753999999999,21200
2010-04-13,14.75,14.77,14.71,14.72,8.893901,11400
2010-04-14,14.69,14.72,14.62,14.7,8.881817,11900
2010-04-15,14.72,14.74,14.64,14.68,8.869734,10900
2010-04-16,14.64,14.64,14.52,14.61,8.827437,13700
2010-04-19,14.61,14.87,14.56,14.6,8.821391,12700
2010-04-20,14.6,14.76,14.6,14.66,8.85765,18000
2010-04-21,14.64,14.71,14.64,14.7,8.881817,11400
2010-04-22,14.72,14.72,14.65,14.7,8.881817,13700
2010-04-23,14.71,14.74,14.68,14.7,8.881817,14400
2010-04-26,14.66,14.82,14.66,14.82,8.954325,11400
2010-04-27,14.88,14.9,14.83,14.83,8.960359,19500
2010-04-28,14.82,14.91,14.8,14.88,8.990575999999999,16100
2010-04-29,14.91,14.91,14.81,14.84,8.966407,35000
2010-04-30,14.84,14.88,14.78,14.78,8.930152,13800
2010-05-03,14.91,14.91,14.8,14.88,8.990575999999999,12900
2010-05-04,14.83,14.88,14.79,14.87,8.984534,25400
2010-05-05,14.92,14.92,14.82,14.85,8.972447,4000
2010-05-06,14.84,14.89,14.63,14.75,8.912025,23900
2010-05-07,14.66,14.83,14.6,14.66,8.85765,18300
2010-05-10,14.72,14.88,14.72,14.77,8.924113,11700
2010-05-11,14.79,14.84,14.7,14.8,8.942235,14300
2010-05-12,14.71,14.82,14.66,14.7,8.933125,22400
2010-05-13,14.69,14.7,14.62,14.68,8.920967,11500
2010-05-14,14.64,14.64,14.5,14.58,8.860201,19800
2010-05-17,14.52,14.57,14.5,14.53,8.829811,7700
2010-05-18,14.51,14.61,14.51,14.55,8.841967,28100
2010-05-19,14.53,14.58,14.51,14.57,8.854121000000001,8500
2010-05-20,14.5,14.53,14.25,14.36,8.726506,13400
2010-05-21,14.2,14.65,13.84,14.37,8.732583,37600
2010-05-24,14.29,14.44,14.29,14.37,8.732583,18700
2010-05-25,14.31,14.36,14.22,14.35,8.720428,7200
2010-05-26,14.36,14.49,14.36,14.45,8.781196000000001,31900
2010-05-27,14.43,14.55,14.43,14.52,8.823736,17900
2010-05-28,14.48,14.6,14.41,14.47,8.793353,22300
2010-06-01,14.52,14.57,14.44,14.44,8.775122,21400
2010-06-02,14.43,14.55,14.42,14.55,8.841967,14400
2010-06-03,14.58,14.59,14.55,14.57,8.854121000000001,9400
2010-06-04,14.64,14.67,14.5,14.58,8.860201,24300
2010-06-07,14.56,14.66,14.56,14.65,8.90274,11900
2010-06-08,14.62,14.67,14.55,14.57,8.854121000000001,32000
2010-06-09,14.6,14.69,14.58,14.68,8.920967,8200
2010-06-10,14.91,14.91,14.63,14.7,8.933125,22500
2010-06-11,14.6,14.77,14.6,14.77,9.027861,11600
2010-06-14,14.75,14.75,14.66,14.75,9.015633,6800
2010-06-15,14.67,14.85,14.67,14.85,9.076759,14500
2010-06-16,14.8,14.88,14.74,14.74,9.009527,8800
2010-06-17,14.71,14.88,14.69,14.8,9.046196,19900
2010-06-18,14.89,14.91,14.8,14.83,9.064537,13400
2010-06-21,14.86,14.86,14.73,14.82,9.05842,8500
2010-06-22,14.75,14.81,14.7,14.7,8.985078999999999,15700
2010-06-23,14.75,14.75,14.7,14.73,9.003414,7100
2010-06-24,14.7,14.89,14.7,14.89,9.101208999999999,16700
2010-06-25,14.83,14.94,14.83,14.94,9.13177,12600
2010-06-28,14.92,15.0,14.91,14.96,9.143997,10000
2010-06-29,14.94,14.94,14.89,14.94,9.13177,8900
2010-06-30,14.86,14.99,14.86,14.99,9.162331,3700
2010-07-01,14.99,14.99,14.92,14.98,9.156219,11700
2010-07-02,14.98,15.08,14.96,15.08,9.21734,10800
2010-07-06,15.06,15.06,14.99,15.06,9.205119999999999,8500
2010-07-07,15.09,15.1,15.04,15.1,9.229571,17000
2010-07-08,15.07,15.17,15.07,15.13,9.247908,10900
2010-07-09,15.1,15.2,15.1,15.2,9.290693,12600
2010-07-12,15.09,15.4,15.09,15.3,9.351814,57200
2010-07-13,15.29,15.29,15.13,15.14,9.305715,6000
2010-07-14,15.13,15.23,15.13,15.19,9.336446,18900
2010-07-15,15.17,15.21,15.14,15.18,9.330302,10900
2010-07-16,15.18,15.29,14.86,15.24,9.367181,25500
2010-07-19,15.23,15.23,15.15,15.2,9.342592,23800
2010-07-20,15.13,15.25,15.07,15.19,9.336446,13600
2010-07-21,15.26,15.27,15.18,15.27,9.385618,12700
2010-07-22,15.25,15.29,15.23,15.23,9.361035000000001,12600
2010-07-23,15.19,15.3,15.19,15.26,9.379472,8800
2010-07-26,15.23,15.32,15.23,15.29,9.397908000000001,20100
2010-07-27,15.26,15.39,15.12,15.36,9.440930999999999,20200
2010-07-28,15.34,15.36,15.29,15.34,9.428647,16300
2010-07-29,15.44,15.44,15.27,15.34,9.428647,25500
2010-07-30,15.37,15.41,15.33,15.34,9.428647,6300
2010-08-02,15.47,15.49,15.35,15.48,9.514691000000001,15600
2010-08-03,15.45,15.55,15.45,15.55,9.55772,17900
2010-08-04,15.5,15.6,15.5,15.54,9.551575999999999,19900
2010-08-05,15.48,15.65,15.48,15.63,9.606889,24400
2010-08-06,15.6,15.67,15.58,15.64,9.613039,10600
2010-08-09,15.69,15.69,15.61,15.66,9.625333,8900
2010-08-10,15.66,15.77,15.62,15.74,9.674499,18700
2010-08-11,15.7,15.76,15.63,15.68,9.637627,7200
2010-08-12,15.66,15.69,15.64,15.69,9.696333000000001,8400
2010-08-13,15.64,15.68,15.56,15.63,9.659252,30600
2010-08-16,15.57,15.7,15.57,15.64,9.665434,22200
2010-08-17,15.61,15.75,15.61,15.75,9.733409,17900
2010-08-18,15.7,15.77,15.68,15.76,9.739591,16100
2010-08-19,15.72,15.77,15.67,15.72,9.714872999999999,17600
2010-08-20,15.73,15.75,15.68,15.74,9.727231,15300
2010-08-23,15.74,15.77,15.74,15.77,9.745777,6300
2010-08-24,15.75,15.77,15.74,15.77,9.745777,7900
2010-08-25,15.77,15.77,15.73,15.75,9.733409,6000
2010-08-26,15.74,15.79,15.7,15.75,9.733409,23300
2010-08-27,15.72,15.8,15.72,15.8,9.76431,10500
2010-08-30,15.76,15.83,15.75,15.79,9.758131,7300
2010-08-31,15.73,15.8,15.69,15.79,9.758131,28500
2010-09-01,15.97,15.97,15.79,15.88,9.813754,23200
2010-09-02,15.83,15.94,15.83,15.87,9.807569,9400
2010-09-03,15.85,15.88,15.77,15.83,9.782853,7700
2010-09-07,15.8,15.9,15.78,15.9,9.826115,11300
2010-09-08,15.88,15.95,15.86,15.92,9.83847,11500
2010-09-09,15.98,15.98,15.89,15.92,9.83847,19100
2010-09-10,15.9,16.0,15.86,15.98,9.875551,20000
2010-09-13,15.93,15.96,15.9,15.9,9.879283000000001,8400
2010-09-14,15.91,15.97,15.91,15.95,9.910344,12500
2010-09-15,15.96,15.96,15.61,15.62,9.705303,19100
2010-09-16,15.6,15.69,15.51,15.66,9.730161,12500
2010-09-17,15.62,15.65,15.61,15.62,9.705303,17800
2010-09-20,15.6,15.63,15.6,15.61,9.699089,11900
2010-09-21,15.61,15.65,15.53,15.53,9.649383,19000
2010-09-22,15.53,15.64,15.52,15.64,9.717731,13800
2010-09-23,15.65,15.86,15.64,15.76,9.792292,25200
2010-09-24,15.76,15.9,15.76,15.87,9.86064,24800
2010-09-27,15.89,15.94,15.87,15.93,9.897923,21400
2010-09-28,15.89,15.96,15.84,15.96,9.916559,6900
2010-09-29,15.89,16.0,15.73,15.79,9.81093,18000
2010-09-30,15.81,15.96,15.78,15.87,9.86064,17200
2010-10-01,16.0,16.0,15.84,15.96,9.916559,17000
2010-10-04,15.96,15.96,15.95,15.95,9.910344,9100
2010-10-05,15.95,15.95,15.62,15.68,9.742586,14300
2010-10-06,15.64,15.73,15.6,15.6,9.692877000000001,13500
2010-10-07,15.68,15.68,15.52,15.55,9.661813,17800
2010-10-08,15.62,15.62,15.53,15.6,9.692877000000001,11700
2010-10-11,15.56,15.67,15.55,15.63,9.711514,9100
2010-10-12,15.55,15.69,15.55,15.64,9.717731,12700
2010-10-13,15.56,15.66,15.52,15.52,9.696489,18400
2010-10-14,15.51,15.56,15.41,15.41,9.627761,17400
2010-10-15,15.41,15.47,15.37,15.42,9.63401,18600
2010-10-18,15.35,15.4,15.31,15.31,9.565285000000001,17000
2010-10-19,15.26,15.38,15.24,15.24,9.52155,18500
2010-10-20,15.37,15.41,15.16,15.16,9.471571,21000
2010-10-21,15.16,15.29,15.16,15.2,9.496561,16000
2010-10-22,15.2,15.33,15.2,15.22,9.509058999999999,19700
2010-10-25,15.23,15.3,15.22,15.25,9.527805,14100
2010-10-26,15.26,15.41,15.26,15.41,9.627761,26300
2010-10-27,15.43,15.45,15.36,15.45,9.652753,15200
2010-10-28,15.41,15.52,15.41,15.52,9.696489,11000
2010-10-29,15.53,15.58,15.52,15.58,9.73398,12600
2010-11-01,15.67,15.69,15.6,15.62,9.758965,31900
2010-11-02,15.66,15.74,15.65,15.71,9.815196,14700
2010-11-03,15.72,15.72,15.62,15.62,9.758965,20700
2010-11-04,15.62,15.69,15.44,15.5,9.683993,23800
2010-11-05,15.45,15.65,15.45,15.63,9.765215,12200
2010-11-08,15.54,15.59,15.48,15.5,9.683993,19300
2010-11-09,15.45,15.54,15.2,15.25,9.527805,24000
2010-11-10,15.23,15.23,14.69,14.83,9.317944,43300
2010-11-11,14.59,14.61,14.26,14.35,9.016349,63100
2010-11-12,14.32,14.55,14.26,14.47,9.091749,34300
2010-11-15,14.43,14.43,13.48,13.65,8.576526,164900
2010-11-16,13.34,13.89,13.02,13.72,8.620509,122600
2010-11-17,13.81,14.19,13.67,13.86,8.708472,61000
2010-11-18,13.86,13.87,13.44,13.69,8.601657000000001,56900
2010-11-19,13.75,14.02,13.75,14.02,8.809006,31100
2010-11-22,14.08,14.28,14.06,14.26,8.959800999999999,23200
2010-11-23,14.29,14.4,14.28,14.35,9.016349,37900
2010-11-24,14.35,14.46,14.34,14.37,9.028917999999999,26500
2010-11-26,14.33,14.48,14.33,14.48,9.09803,12700
2010-11-29,14.5,14.55,14.4,14.4,9.047765,14700
2010-11-30,14.49,14.51,14.39,14.4,9.047765,35000
2010-12-01,14.5,14.5,14.26,14.26,8.959800999999999,22000
2010-12-02,14.26,14.4,14.26,14.35,9.016349,27300
2010-12-03,14.33,14.46,14.25,14.25,8.953517,21500
2010-12-06,14.25,14.32,14.08,14.18,8.909533,30200
2010-12-07,14.2,14.24,13.87,13.87,8.714755,15700
2010-12-08,13.81,13.93,13.58,13.66,8.58281,20300
2010-12-09,13.65,13.65,13.56,13.65,8.576526,30600
2010-12-10,13.6,14.14,13.6,13.83,8.689625999999999,37400
2010-12-13,13.85,13.85,13.57,13.57,8.580864,43800
2010-12-14,13.51,13.61,13.25,13.39,8.467039,53600
2010-12-15,13.34,13.44,13.16,13.25,8.378511999999999,87700
2010-12-16,13.25,13.8,13.25,13.8,8.7263,80800
2010-12-17,13.77,13.96,13.74,13.96,8.827474,47000
2010-12-20,13.9,13.93,13.25,13.35,8.441749,74500
2010-12-21,13.25,13.34,13.17,13.21,8.353218,59700
2010-12-22,13.12,13.29,13.12,13.23,8.365866,28200
2010-12-23,13.28,13.54,13.14,13.44,8.498655,46900
2010-12-27,13.34,13.53,13.26,13.44,8.498655,40500
2010-12-28,13.46,13.46,13.18,13.26,8.384835,21600
2010-12-29,13.14,13.33,13.11,13.29,8.403806,52200
2010-12-30,13.34,13.4,13.19,13.34,8.435424000000001,61100
2010-12-31,13.42,13.73,13.32,13.73,8.682035,30700
2011-01-03,13.7,13.85,13.63,13.85,8.757918,34900
2011-01-04,13.84,13.93,13.69,13.76,8.701005,33600
2011-01-05,13.77,13.79,13.57,13.58,8.587182,16800
2011-01-06,13.68,13.7,13.51,13.57,8.580864,26300
2011-01-07,13.5,13.66,13.4,13.6,8.599833,28600
2011-01-10,13.55,13.66,13.53,13.59,8.593513,27800
2011-01-11,13.59,13.6,13.43,13.48,8.523954,15900
2011-01-12,13.47,13.47,13.02,13.03,8.2923,74500
2011-01-13,13.08,13.08,12.63,12.72,8.095019,77400
