Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.02,9.05,9.0,9.05,6.2172849999999995,500
2010-01-05,9.04,9.04,9.0,9.0,6.182936,400
2010-01-06,9.0,9.0,9.0,9.0,6.182936,0
2010-01-07,9.0,9.0,9.0,9.0,6.182936,0
2010-01-08,9.0,9.0,9.0,9.0,6.182936,0
2010-01-11,9.89,9.89,9.5,9.5,6.526432,3200
2010-01-12,9.5,9.5,9.45,9.45,6.492082,200
2010-01-13,9.0,9.97,9.0,9.1,6.251636,800
2010-01-14,9.1,9.1,9.1,9.1,6.251636,0
2010-01-15,9.05,9.08,8.75,8.75,6.0111870000000005,1300
2010-01-19,8.75,8.75,8.75,8.75,6.0111870000000005,0
2010-01-20,8.75,8.75,8.75,8.75,6.0111870000000005,0
2010-01-21,9.25,9.25,9.25,9.25,6.3546830000000005,100
2010-01-22,9.25,9.25,9.25,9.25,6.3546830000000005,0
2010-01-25,9.25,9.25,9.25,9.25,6.3546830000000005,0
2010-01-26,8.84,9.0,8.75,8.75,6.0111870000000005,1300
2010-01-27,8.75,8.75,8.75,8.75,6.094772,0
2010-01-28,9.52,9.52,9.52,9.52,6.631114999999999,100
2010-01-29,9.52,9.52,9.52,9.52,6.631114999999999,0
2010-02-01,9.75,9.75,9.44,9.44,6.57539,1400
2010-02-02,8.68,9.66,8.68,9.66,6.728631,200
2010-02-03,9.01,9.01,9.01,9.01,6.275876,100
2010-02-04,9.66,9.66,9.35,9.35,6.512702,200
2010-02-05,10.54,10.54,8.87,9.47,6.596286,1800
2010-02-08,9.62,9.62,9.18,9.18,6.394289,200
2010-02-09,9.18,9.18,9.18,9.18,6.394289,0
2010-02-10,8.93,9.6,8.82,9.4,6.547527,2300
2010-02-11,9.5,9.5,8.9,8.9,6.199255,200
2010-02-12,8.9,8.9,8.9,8.9,6.199255,0
2010-02-16,9.38,9.79,9.38,9.79,6.8191820000000005,1900
2010-02-17,9.84,9.85,8.9,8.9,6.199255,1000
2010-02-18,8.9,8.9,8.9,8.9,6.199255,0
2010-02-19,8.91,8.92,8.91,8.91,6.206218,500
2010-02-22,8.8,9.5,8.7,9.29,6.4709080000000005,2600
2010-02-23,9.76,9.76,9.1,9.1,6.338565,900
2010-02-24,9.39,9.44,9.39,9.44,6.57539,200
2010-02-25,9.44,9.44,9.44,9.44,6.57539,0
2010-02-26,9.44,9.44,9.44,9.44,6.57539,0
2010-03-01,9.44,9.44,9.44,9.44,6.57539,0
2010-03-02,8.87,9.26,8.75,9.26,6.450012,2200
2010-03-03,9.26,9.26,9.26,9.26,6.450012,0
2010-03-04,9.3,9.3,9.3,9.3,6.477873000000001,100
2010-03-05,9.29,9.29,9.29,9.29,6.4709080000000005,400
2010-03-08,9.29,9.29,9.0,9.0,6.26891,1200
2010-03-09,9.1,9.1,9.1,9.1,6.338565,100
2010-03-10,9.0,9.0,9.0,9.0,6.26891,200
2010-03-11,9.0,9.0,9.0,9.0,6.26891,1100
2010-03-12,9.2,9.2,8.95,8.95,6.234082,1300
2010-03-15,8.95,9.0,8.78,9.0,6.26891,5700
2010-03-16,9.1,9.1,8.94,9.1,6.338565,7900
2010-03-17,9.08,9.08,8.93,9.05,6.303737,1500
2010-03-18,9.05,9.05,8.87,9.05,6.303737,2600
2010-03-19,9.02,9.02,8.66,9.02,6.282841,1600
2010-03-22,9.0,9.05,8.99,9.05,6.303737,4100
2010-03-23,9.05,9.05,9.05,9.05,6.303737,0
2010-03-24,9.05,9.05,8.76,9.05,6.303737,300
2010-03-25,9.05,9.05,8.88,9.0,6.26891,1200
2010-03-26,9.05,9.05,8.93,8.93,6.220151,500
2010-03-29,8.89,9.01,8.89,9.01,6.275876,600
2010-03-30,9.05,9.05,8.9,9.03,6.289805,4300
2010-03-31,8.9,9.04,8.89,9.04,6.296771,2300
2010-04-01,9.1,9.1,9.1,9.1,6.338565,300
2010-04-05,8.86,8.9,8.8,8.8,6.129601,1100
2010-04-06,8.85,8.85,8.8,8.8,6.129601,1100
2010-04-07,8.83,8.83,8.76,8.76,6.10174,400
2010-04-08,8.76,8.76,8.75,8.75,6.094772,1000
2010-04-09,8.75,8.75,8.75,8.75,6.094772,0
2010-04-12,9.0,9.05,8.8,8.87,6.178358,6500
2010-04-13,8.87,8.87,8.87,8.87,6.178358,0
2010-04-14,8.8,9.01,8.8,8.81,6.136566,400
2010-04-15,8.81,9.05,8.81,9.05,6.303737,3000
2010-04-16,9.27,9.27,8.99,9.05,6.303737,900
2010-04-19,9.24,9.24,9.13,9.13,6.3594610000000005,600
2010-04-20,9.1,9.1,9.1,9.1,6.338565,200
2010-04-21,9.28,9.28,8.95,8.95,6.234082,1100
2010-04-22,8.97,9.05,8.95,9.0,6.26891,3000
2010-04-23,9.0,9.03,9.0,9.02,6.282841,2500
2010-04-26,9.29,9.4,9.27,9.3,6.477873000000001,10100
2010-04-27,9.38,9.38,9.21,9.21,6.415184,1500
2010-04-28,9.13,9.13,9.13,9.13,6.443414,200
2010-04-29,9.14,9.14,9.11,9.14,6.45047,1400
2010-04-30,9.48,9.6,9.48,9.6,6.775114,1800
2010-05-03,9.58,9.58,9.58,9.58,6.760997,300
2010-05-04,9.29,9.59,9.26,9.59,6.768055,1400
2010-05-05,9.1,9.26,8.81,9.26,6.535158999999999,300
2010-05-06,8.75,8.75,8.37,8.5,5.998796,4000
2010-05-07,8.5,8.51,8.17,8.17,5.765901,1100
2010-05-10,8.69,9.23,8.32,8.86,6.252863,1100
2010-05-11,8.99,9.25,8.85,8.85,6.245806,800
2010-05-12,9.1,9.56,9.1,9.49,6.697481,500
2010-05-13,9.6,9.6,9.3,9.43,6.655136,1600
2010-05-14,9.36,9.5,9.29,9.49,6.697481,3900
2010-05-17,9.53,9.53,9.42,9.42,6.64808,1600
2010-05-18,9.39,9.39,9.18,9.18,6.478701,200
2010-05-19,9.18,9.18,9.18,9.18,6.478701,0
2010-05-20,9.18,9.18,9.18,9.18,6.478701,0
2010-05-21,8.62,9.47,8.23,9.14,6.45047,3700
2010-05-24,9.14,9.14,9.14,9.14,6.45047,0
2010-05-25,8.32,8.84,8.1,8.75,6.175233,1700
2010-05-26,9.03,9.03,9.03,9.03,6.372839,100
2010-05-27,8.97,8.97,8.97,8.97,6.330496,100
2010-05-28,8.7,9.04,8.7,9.04,6.379898000000001,300
2010-06-01,8.33,8.5,8.3,8.3,5.857648999999999,2700
2010-06-02,8.21,8.54,8.1,8.54,6.027026,4600
2010-06-03,8.71,8.95,8.59,8.89,6.274036,1500
2010-06-04,8.89,8.89,8.89,8.89,6.274036,0
2010-06-07,8.87,8.88,8.24,8.7,6.139946,1600
2010-06-08,8.7,8.7,8.7,8.7,6.139946,0
2010-06-09,8.14,8.58,8.1,8.1,5.716501999999999,600
2010-06-10,8.5,8.65,8.5,8.65,6.104657,200
2010-06-11,8.65,8.65,8.65,8.65,6.104657,0
2010-06-14,8.65,8.88,8.5,8.88,6.26698,1000
2010-06-15,8.81,8.81,8.76,8.76,6.182291,300
2010-06-16,8.76,8.89,8.31,8.32,5.871765,2300
2010-06-17,8.5,8.5,7.85,7.85,5.540064,10300
2010-06-18,8.15,8.4,7.8,7.8,5.504779,2900
2010-06-21,7.8,7.99,7.8,7.99,5.63887,400
2010-06-22,7.99,7.99,7.99,7.99,5.63887,0
2010-06-23,7.98,8.04,7.97,7.97,5.624756,700
2010-06-24,8.34,8.34,8.18,8.18,5.7729610000000005,300
2010-06-25,8.18,8.18,8.18,8.18,5.7729610000000005,0
2010-06-28,8.18,8.18,8.18,8.18,5.7729610000000005,300
2010-06-29,7.91,7.97,7.91,7.97,5.624756,900
2010-06-30,7.9,7.9,7.89,7.89,5.568294,800
2010-07-01,7.91,7.94,7.5,7.94,5.603582,4000
2010-07-02,7.8,7.87,7.69,7.87,5.554180000000001,500
2010-07-06,7.9,7.9,7.83,7.83,5.525951999999999,400
2010-07-07,7.9,8.3,7.9,8.3,5.857648999999999,2200
2010-07-08,8.06,8.1,7.31,7.86,5.547122,15300
2010-07-09,7.86,7.99,7.0,7.0,4.940187,30600
2010-07-12,7.45,7.49,7.06,7.49,5.285998,5700
2010-07-13,7.52,7.75,7.49,7.71,5.441262,8200
2010-07-14,7.62,7.71,7.49,7.5,5.293056,2900
2010-07-15,7.5,7.91,7.49,7.49,5.285998,2500
2010-07-16,7.49,7.98,7.14,7.3,5.151908000000001,34900
2010-07-19,7.2,7.2,7.05,7.06,4.982532,15400
2010-07-20,7.86,7.86,7.39,7.5,5.293056,21600
2010-07-21,7.85,7.85,7.5,7.73,5.4553769999999995,2100
2010-07-22,7.65,12.85,7.65,7.85,5.540064,90100
2010-07-23,7.94,8.25,7.91,8.2,5.787075,21500
2010-07-26,7.91,8.4,7.91,8.2,5.787075,8100
2010-07-27,8.49,9.35,8.32,8.97,6.330496,5700
2010-07-28,8.52,8.52,8.4,8.43,6.030066000000001,7500
2010-07-29,8.4,8.45,7.95,8.22,5.87985,7900
2010-07-30,8.39,8.39,8.22,8.3,5.937074,4700
2010-08-02,8.3,8.43,8.0,8.14,5.8226260000000005,12600
2010-08-03,8.61,8.61,8.35,8.35,5.972841000000001,600
2010-08-04,8.5,8.84,8.36,8.51,6.08729,6100
2010-08-05,8.75,8.75,8.59,8.74,6.251812,2600
2010-08-06,8.57,8.81,8.57,8.79,6.287577,4000
2010-08-09,8.58,8.84,8.56,8.56,6.123056,8000
2010-08-10,8.56,8.64,8.56,8.6,6.151667,3900
2010-08-11,8.56,8.64,8.56,8.64,6.180280000000001,2800
2010-08-12,8.55,8.64,8.54,8.6,6.151667,11700
2010-08-13,8.57,8.6,8.56,8.6,6.151667,4200
2010-08-16,8.72,8.95,8.56,8.73,6.244657,5000
2010-08-17,8.7,8.9,8.65,8.9,6.36626,6900
2010-08-18,8.58,8.62,8.58,8.61,6.1588199999999995,400
2010-08-19,8.61,8.61,8.61,8.61,6.1588199999999995,0
2010-08-20,8.62,8.99,8.62,8.93,6.387721,5000
2010-08-23,9.0,9.0,8.76,8.87,6.344801,2000
2010-08-24,8.75,8.76,8.61,8.72,6.2375050000000005,4500
2010-08-25,8.62,8.72,8.61,8.65,6.187433,5100
2010-08-26,8.62,8.75,8.61,8.7,6.223198,14200
2010-08-27,8.92,8.92,8.92,8.92,6.380568,200
2010-08-30,8.7,8.7,8.7,8.7,6.223198,300
2010-08-31,8.7,8.72,8.23,8.57,6.130209,4200
2010-09-01,8.7,8.7,8.5,8.61,6.1588199999999995,4600
2010-09-02,8.7,8.7,8.6,8.64,6.180280000000001,600
2010-09-03,8.41,8.69,8.41,8.69,6.216044999999999,800
2010-09-07,8.69,8.69,8.69,8.69,6.216044999999999,0
2010-09-08,8.55,8.55,8.26,8.32,5.95138,900
2010-09-09,8.69,8.7,8.6,8.6,6.151667,800
2010-09-10,8.6,8.6,8.6,8.6,6.151667,1600
2010-09-13,8.74,8.76,8.7,8.7,6.223198,11500
2010-09-14,8.66,9.0,8.66,8.93,6.387721,6800
2010-09-15,8.93,8.93,8.93,8.93,6.387721,0
2010-09-16,8.94,9.4,8.94,9.26,6.623772,8300
2010-09-17,9.15,9.15,9.15,9.15,6.545089,1600
2010-09-20,8.9,9.1,8.9,9.1,6.509323,3900
2010-09-21,8.9,8.91,8.9,8.9,6.36626,400
2010-09-22,8.9,8.9,8.42,8.5,6.080136,8300
2010-09-23,8.6,8.6,8.5,8.56,6.123056,5700
2010-09-24,8.5,8.6,8.5,8.6,6.151667,600
2010-09-27,8.93,9.05,8.6,9.05,6.473557,6500
2010-09-28,8.64,8.98,8.61,8.98,6.4234849999999994,1400
2010-09-29,8.85,9.05,8.85,9.05,6.473557,16300
2010-09-30,9.08,9.1,8.85,9.07,6.487864,13600
2010-10-01,8.87,8.91,8.8,8.8,6.29473,4100
2010-10-04,8.87,8.95,8.85,8.95,6.4020269999999995,5900
2010-10-05,9.0,9.0,8.85,9.0,6.437791000000001,12100
2010-10-06,8.99,8.99,8.75,8.86,6.337648000000001,33400
2010-10-07,8.9,8.91,8.86,8.86,6.337648000000001,3300
2010-10-08,8.93,8.94,8.87,8.92,6.380568,4800
2010-10-11,8.94,8.94,8.75,8.75,6.258964,17900
2010-10-12,8.77,8.94,8.68,8.94,6.3948730000000005,3200
2010-10-13,9.07,9.07,8.9,8.9,6.36626,600
2010-10-14,8.95,9.1,8.55,9.0,6.437791000000001,17300
2010-10-15,9.1,9.1,8.9,8.9,6.36626,500
2010-10-18,9.05,9.05,9.0,9.0,6.437791000000001,1700
2010-10-19,8.85,9.04,8.7,8.9,6.36626,7600
2010-10-20,8.9,8.9,8.9,8.9,6.36626,0
2010-10-21,8.9,9.1,8.8,8.97,6.416332,3200
2010-10-22,9.0,9.0,9.0,9.0,6.437791000000001,400
2010-10-25,8.81,9.1,8.77,8.81,6.301883,5300
2010-10-26,8.8,8.89,8.77,8.77,6.27327,5600
2010-10-27,8.77,8.86,8.77,8.86,6.337648000000001,800
2010-10-28,8.82,8.82,8.82,8.82,6.309036,2000
2010-10-29,8.76,9.1,8.72,8.72,6.2375050000000005,3400
2010-11-01,8.71,8.71,8.65,8.7,6.223198,4400
2010-11-02,8.7,8.8,8.58,8.8,6.29473,1500
2010-11-03,8.32,8.74,8.32,8.72,6.323739,3100
2010-11-04,8.37,8.75,8.34,8.75,6.345493,2300
2010-11-05,8.39,9.11,8.36,9.02,6.541298,21000
2010-11-08,9.3,9.5,9.0,9.35,6.780613000000001,25000
2010-11-09,9.06,9.38,9.06,9.17,6.650078999999999,8100
2010-11-10,9.17,9.17,9.1,9.12,6.613817,4500
2010-11-11,9.1,9.12,9.1,9.12,6.613817,1600
2010-11-12,9.14,9.31,9.14,9.15,6.635574,1700
2010-11-15,9.15,9.29,9.15,9.25,6.708094,8500
2010-11-16,9.29,9.29,9.25,9.25,6.708094,6500
2010-11-17,9.38,9.4,9.14,9.25,6.708094,7900
2010-11-18,9.3,9.3,9.1,9.25,6.708094,8600
2010-11-19,9.26,9.35,9.25,9.35,6.780613000000001,15000
2010-11-22,9.31,9.31,9.15,9.3,6.7443550000000005,2500
2010-11-23,9.11,9.34,9.08,9.34,6.773362,15600
2010-11-24,9.25,9.25,9.19,9.19,6.664581,8300
2010-11-26,9.1,9.2,9.1,9.19,6.664581,1100
2010-11-29,9.2,9.43,9.16,9.37,6.795114999999999,9700
2010-11-30,9.27,9.27,9.2,9.2,6.671834,17600
2010-12-01,9.22,9.29,9.22,9.24,6.7008410000000005,7600
2010-12-02,9.29,9.45,9.13,9.35,6.780613000000001,12700
2010-12-03,9.12,9.35,9.11,9.11,6.606565,3100
2010-12-06,9.2,9.27,9.2,9.25,6.708094,28800
2010-12-07,9.33,9.45,9.3,9.45,6.853134,26900
2010-12-08,9.45,9.45,9.19,9.19,6.664581,3900
2010-12-09,9.2,9.26,9.19,9.25,6.708094,6200
2010-12-10,9.45,9.45,9.3,9.45,6.853134,700
2010-12-13,9.42,9.43,9.11,9.26,6.715346,3200
2010-12-14,9.23,9.69,9.23,9.49,6.882141000000001,21900
2010-12-15,9.6,9.6,9.48,9.48,6.87489,1500
2010-12-16,9.58,9.59,9.4,9.59,6.954661,7300
2010-12-17,9.45,9.5,9.4,9.5,6.889394,15600
2010-12-20,9.4,9.59,9.4,9.4,6.816872999999999,5100
2010-12-21,9.45,9.91,9.45,9.79,7.099701,10300
2010-12-22,10.0,10.2,9.31,9.69,7.027182000000001,26100
2010-12-23,10.0,10.05,9.85,10.0,7.2519919999999995,13900
2010-12-27,10.0,10.15,10.0,10.08,7.310009,4900
2010-12-28,10.04,10.04,9.77,9.8,7.106952000000001,4300
2010-12-29,9.41,9.9,9.41,9.86,7.150465,12800
2010-12-30,9.99,10.0,9.9,9.93,7.2012279999999995,6700
2010-12-31,9.95,9.95,9.8,9.8,7.106952000000001,5500
2011-01-03,10.0,10.04,9.9,10.0,7.2519919999999995,14200
2011-01-04,10.05,10.1,10.0,10.1,7.3245130000000005,5600
2011-01-05,10.15,10.71,10.15,10.33,7.491308999999999,5500
2011-01-06,10.36,10.36,10.36,10.36,7.513064999999999,100
2011-01-07,10.73,10.73,10.35,10.35,7.505813000000001,5400
2011-01-10,10.26,10.68,10.26,10.37,7.520316,10300
2011-01-11,10.56,10.57,10.4,10.4,7.542072999999999,3700
2011-01-12,10.49,10.68,10.49,10.5,7.614592999999999,3700
2011-01-13,10.51,10.52,10.3,10.3,7.469552999999999,4800
2011-01-14,10.32,10.5,10.3,10.4,7.542072999999999,4000
2011-01-18,10.45,10.45,10.27,10.35,7.505813000000001,4800
2011-01-19,10.35,10.45,10.27,10.45,7.578333,3200
2011-01-20,10.45,10.6,10.45,10.6,7.687112,3300
2011-01-21,10.61,10.64,10.6,10.6,7.687112,3100
2011-01-24,10.45,10.63,10.45,10.6,7.687112,3500
2011-01-25,10.62,10.63,10.5,10.5,7.614592999999999,2000
2011-01-26,10.55,10.68,10.55,10.68,7.745131,3700
2011-01-27,10.68,10.99,10.6,10.75,7.795891,7900
2011-01-28,10.84,10.92,10.66,10.92,7.919177,2900
2011-01-31,10.83,10.9,10.82,10.83,7.853909,3800
2011-02-01,10.81,10.85,10.38,10.85,7.868411,4400
2011-02-02,10.62,10.97,10.62,10.97,7.955436,4000
2011-02-03,10.9,10.9,10.89,10.9,7.9920979999999995,1000
2011-02-04,10.88,11.5,10.88,11.2,8.212063,7600
2011-02-07,11.15,11.45,11.15,11.39,8.351374,2100
2011-02-08,11.44,12.0,11.44,11.66,8.549347000000001,6400
2011-02-09,11.8,11.94,11.56,11.94,8.754645,700
