Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.37,11.44,11.05,11.24,7.8670279999999995,1843700
2010-01-05,11.2,11.55,10.95,11.35,7.944017999999999,2809200
2010-01-06,11.32,11.63,11.32,11.49,8.042009,1802400
2010-01-07,11.38,11.73,11.36,11.6,8.118998,2460300
2010-01-08,11.61,11.68,11.46,11.55,8.084002,2256900
2010-01-11,11.63,11.77,11.5,11.55,8.084002,2425200
2010-01-12,11.5,11.65,11.34,11.42,7.993014,3056800
2010-01-13,11.53,11.7,11.41,11.67,8.167994,2034400
2010-01-14,11.58,11.72,11.48,11.48,8.035009,911700
2010-01-15,11.51,11.61,11.4,11.44,8.007011,1592600
2010-01-19,11.39,11.74,11.39,11.73,8.209988000000001,1510300
2010-01-20,11.62,11.62,11.4,11.52,8.063006,1187900
2010-01-21,11.62,11.64,11.16,11.22,7.853031,1739100
2010-01-22,11.48,11.7,11.08,11.11,7.776041,2525700
2010-01-25,11.28,11.47,11.11,11.39,7.972019,1281500
2010-01-26,11.28,11.54,11.23,11.3,7.909027,2040000
2010-01-27,11.32,11.66,11.17,11.55,8.084002,1959800
2010-01-28,11.69,11.69,11.22,11.34,7.9370210000000005,2765500
2010-01-29,11.43,11.49,11.02,11.23,7.860030999999999,2092800
2010-02-01,11.32,11.57,11.24,11.49,8.042009,1297500
2010-02-02,11.29,11.55,11.16,11.46,8.021011,2236300
2010-02-03,11.28,11.36,11.12,11.24,7.8670279999999995,1666500
2010-02-04,11.13,11.17,10.56,10.66,7.461079,1848100
2010-02-05,10.7,10.95,10.42,10.88,7.615061,1564600
2010-02-08,10.8,10.98,10.48,10.52,7.363091000000001,1235500
2010-02-09,10.76,10.76,10.24,10.29,7.202112,1992900
2010-02-10,10.31,10.45,10.11,10.29,7.202112,1077400
2010-02-11,10.24,10.38,10.03,10.38,7.265105,1523100
2010-02-12,10.25,10.68,10.15,10.67,7.4680800000000005,1235400
2010-02-16,10.81,10.94,10.73,10.87,7.608060000000001,1168900
2010-02-17,10.95,10.96,10.78,10.83,7.580064999999999,1371900
2010-02-18,10.84,11.05,10.66,11.04,7.727047,1093800
2010-02-19,10.96,11.28,10.9,11.1,7.7690410000000005,1700500
2010-02-22,11.18,11.25,11.0,11.16,7.811037,941700
2010-02-23,11.09,11.25,11.01,11.09,7.762042999999999,1240100
2010-02-24,11.13,11.29,10.93,11.21,7.846031,1499700
2010-02-25,11.25,11.25,10.94,11.23,7.860030999999999,1668800
2010-02-26,11.23,11.42,11.1,11.21,7.846031,1618100
2010-03-01,11.34,11.35,11.03,11.11,7.776041,1123000
2010-03-02,11.12,11.34,11.08,11.28,7.895026,930200
2010-03-03,11.35,11.43,11.23,11.29,7.902027,737300
2010-03-04,11.24,11.38,11.1,11.31,7.916025,977100
2010-03-05,11.33,11.46,11.25,11.43,8.000014,1500900
2010-03-08,11.45,11.7,11.36,11.64,8.146995,1089500
2010-03-09,11.57,12.05,11.43,11.74,8.216986,1898000
2010-03-10,11.8,11.96,11.54,11.6,8.118998,1210600
2010-03-11,11.5,11.85,11.44,11.78,8.244983,1174800
2010-03-12,11.88,11.97,11.64,11.7,8.188991,1167900
2010-03-15,11.61,11.82,11.48,11.66,8.160995,1139700
