Date,Open,High,Low,Close,Adj Close,Volume
2017-05-18,11.0,14.03,10.55,13.4,13.4,5471200
2017-05-19,13.84,14.0,12.151,12.72,12.72,679100
2017-05-22,12.69,13.39,12.69,13.1,13.1,244200
2017-05-23,13.09,13.31,12.5,12.5,12.5,211100
2017-05-24,12.46,12.59,11.5,11.57,11.57,509300
2017-05-25,11.65,11.98,10.79,11.2,11.2,619900
2017-05-26,11.45,11.45,11.14,11.32,11.32,252800
2017-05-30,11.4,11.9,11.215,11.55,11.55,199800
2017-05-31,11.66,11.915,11.56,11.76,11.76,110200
2017-06-01,11.98,12.44,11.85,12.39,12.39,156700
2017-06-02,12.5,12.68,12.218,12.4,12.4,73000
2017-06-05,12.5,12.85,12.09,12.11,12.11,135500
2017-06-06,12.12,12.362,12.07,12.07,12.07,120300
2017-06-07,12.17,12.68,12.13,12.34,12.34,132800
2017-06-08,12.35,13.05,12.35,12.9,12.9,170400
2017-06-09,13.12,13.2,12.65,12.9,12.9,185800
2017-06-12,12.72,12.72,12.25,12.37,12.37,136400
2017-06-13,12.41,12.89,12.41,12.68,12.68,81000
2017-06-14,12.6,13.0,12.5,12.6,12.6,99900
2017-06-15,12.4,12.55,12.18,12.21,12.21,101300
2017-06-16,12.21,12.231,12.0,12.0,12.0,114800
2017-06-19,12.05,12.18,12.0,12.0,12.0,180700
2017-06-20,12.05,12.248,12.05,12.16,12.16,37000
2017-06-21,12.05,12.45,12.05,12.32,12.32,60000
2017-06-22,12.35,12.482,12.35,12.46,12.46,22900
2017-06-23,12.5,12.56,12.5,12.54,12.54,78700
2017-06-26,12.49,12.7,12.22,12.25,12.25,196400
2017-06-27,12.25,12.282,12.12,12.25,12.25,40800
2017-06-28,12.25,12.6,12.02,12.25,12.25,97500
2017-06-29,12.25,12.25,11.96,12.0,12.0,445000
2017-06-30,12.05,12.25,11.9,11.9,11.9,176700
2017-07-03,12.0,12.09,11.81,11.95,11.95,189200
2017-07-05,12.0,12.05,11.8,11.81,11.81,151800
2017-07-06,11.8,12.05,11.59,12.0,12.0,376600
2017-07-07,12.0,12.08,11.871,11.96,11.96,104400
2017-07-10,12.0,12.07,11.8,11.9,11.9,121800
2017-07-11,11.9,12.02,11.8,11.99,11.99,132300
2017-07-12,12.0,12.01,11.8,11.9,11.9,158400
2017-07-13,11.92,12.1,11.8,11.97,11.97,382400
2017-07-14,12.09,13.7,11.895,13.66,13.66,118500
2017-07-17,13.46,13.65,12.845,12.99,12.99,103500
2017-07-18,12.94,13.6,12.94,13.31,13.31,53600
2017-07-19,13.36,13.48,12.69,13.2,13.2,70600
2017-07-20,13.11,13.98,13.11,13.83,13.83,156000
2017-07-21,13.93,14.96,13.61,14.59,14.59,205300
2017-07-24,14.52,15.78,14.52,15.25,15.25,192800
2017-07-25,15.4,15.42,14.1,14.55,14.55,209100
2017-07-26,14.65,15.62,14.63,14.8,14.8,229300
2017-07-27,16.48,16.98,15.05,15.07,15.07,380900
2017-07-28,15.13,15.87,15.13,15.52,15.52,181600
2017-07-31,15.4,16.5,15.4,15.77,15.77,150700
2017-08-01,15.74,16.6,15.6,16.379998999999998,16.379998999999998,305900
2017-08-02,16.59,16.59,15.7,15.98,15.98,150100
2017-08-03,15.84,15.97,15.74,15.85,15.85,44400
2017-08-04,15.95,15.95,15.0,15.7,15.7,146500
2017-08-07,15.7,16.09,15.5,15.56,15.56,104100
2017-08-08,15.7,16.299999,15.6,15.68,15.68,166700
2017-08-09,15.5,15.99,15.5,15.68,15.68,51000
2017-08-10,15.69,16.610001,15.68,16.299999,16.299999,157600
2017-08-11,16.030001000000002,16.49,15.6,15.67,15.67,104600
2017-08-14,15.7,16.58,15.7,16.52,16.52,225800
2017-08-15,16.83,16.85,15.85,15.88,15.88,247100
2017-08-16,15.83,16.68,15.83,16.549999,16.549999,90500
2017-08-17,16.34,16.790001,16.01,16.1,16.1,89400
2017-08-18,16.309998999999998,16.93,16.02,16.9,16.9,131000
2017-08-21,17.120001000000002,18.85,16.799999,17.299999,17.299999,319900
2017-08-22,17.299999,17.6,17.200001,17.299999,17.299999,154500
2017-08-23,17.25,17.370001000000002,17.190001000000002,17.23,17.23,62900
2017-08-24,17.209999,17.360001,17.200001,17.27,17.27,61200
2017-08-25,17.530001000000002,18.77,17.320999,18.0,18.0,361900
2017-08-28,18.0,18.049999,16.809998999999998,17.5,17.5,176100
2017-08-29,17.299999,18.370001000000002,17.122,18.059998999999998,18.059998999999998,248100
2017-08-30,18.209999,19.049999,18.120001000000002,18.5,18.5,309300
2017-08-31,18.5,18.709999,18.15,18.360001,18.360001,86600
2017-09-01,18.49,18.9,18.200001,18.620001000000002,18.620001000000002,102400
2017-09-05,18.35,18.870001000000002,18.0,18.09,18.09,177700
2017-09-06,18.09,18.6,17.951,18.299999,18.299999,65400
2017-09-07,18.35,19.35,18.35,19.26,19.26,378200
