Date,Open,High,Low,Close,Adj Close,Volume
2016-05-10,15.24,15.28,15.24,15.28,14.778306,400
2016-05-11,15.16,15.16,15.16,15.16,14.662247,100
2016-05-12,15.16,15.16,15.16,15.16,14.662247,0
2016-05-13,15.16,15.16,15.16,15.16,14.662247,0
2016-05-16,14.87,14.87,14.87,14.87,14.381768,300
2016-05-17,14.93,14.93,14.84,14.84,14.352754000000001,600
2016-05-18,14.84,14.84,14.84,14.84,14.352754000000001,0
2016-05-19,14.84,14.84,14.84,14.84,14.352754000000001,0
2016-05-20,14.84,14.84,14.84,14.84,14.352754000000001,0
2016-05-23,14.9,14.9,14.9,14.9,14.410782999999999,1000
2016-05-24,14.9,14.9,14.9,14.9,14.410782999999999,0
2016-05-25,14.9,14.9,14.9,14.9,14.410782999999999,0
2016-05-26,14.9,14.9,14.9,14.9,14.410782999999999,0
2016-05-27,14.9,14.9,14.9,14.9,14.410782999999999,0
2016-05-31,14.9,14.9,14.9,14.9,14.410782999999999,0
2016-06-01,14.9,14.9,14.9,14.9,14.410782999999999,0
2016-06-02,15.04,15.04,15.04,15.04,14.546185999999999,200
2016-06-03,15.04,15.04,15.04,15.04,14.546185999999999,0
2016-06-06,15.04,15.04,15.04,15.04,14.546185999999999,0
2016-06-07,15.04,15.04,15.04,15.04,14.546185999999999,0
2016-06-08,15.355,15.355,15.355,15.355,14.850843,100
2016-06-09,15.355,15.355,15.355,15.355,14.850843,0
2016-06-10,15.355,15.355,15.355,15.355,14.850843,0
2016-06-13,15.09,15.1,15.09,15.1,14.604218,1000
2016-06-14,15.1,15.1,15.1,15.1,14.604218,0
2016-06-15,15.1,15.1,15.1,15.1,14.604218,0
2016-06-16,15.1,15.1,15.1,15.1,14.604218,0
2016-06-17,15.1,15.1,15.1,15.1,14.604218,0
2016-06-20,15.154,15.154,15.154,15.154,14.656445000000001,200
2016-06-21,15.154,15.154,15.154,15.154,14.656445000000001,0
2016-06-22,15.154,15.154,15.154,15.154,14.656445000000001,0
2016-06-23,15.154,15.154,15.154,15.154,14.656445000000001,0
2016-06-24,15.154,15.154,15.154,15.154,14.656445000000001,0
2016-06-27,15.154,15.154,15.154,15.154,14.656445000000001,0
2016-06-28,15.154,15.154,15.154,15.154,14.656445000000001,0
2016-06-29,15.154,15.154,15.154,15.154,14.656445000000001,0
2016-06-30,15.15,15.15,15.15,15.15,14.652575,700
2016-07-01,15.15,15.15,15.15,15.15,14.652575,0
2016-07-05,15.15,15.15,15.15,15.15,14.652575,0
2016-07-06,15.01,15.03,15.01,15.03,14.536514000000002,200
2016-07-07,15.03,15.03,15.03,15.03,14.536514000000002,0
2016-07-08,15.29,15.46,15.29,15.46,14.952397,2100
2016-07-11,15.46,15.46,15.46,15.46,14.952397,0
