Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.75,12.84,12.71,12.81,7.637892999999999,46300
2010-01-05,12.73,12.84,12.73,12.83,7.649816,43600
2010-01-06,12.86,12.92,12.76,12.88,7.67963,53000
2010-01-07,12.9,12.98,12.83,12.98,7.739257,49600
2010-01-08,12.98,13.13,12.97,13.13,7.828691,47900
2010-01-11,13.15,13.15,13.02,13.11,7.816766,58800
2010-01-12,13.14,13.15,13.05,13.09,7.804842,70000
2010-01-13,13.04,13.05,12.92,12.97,7.780247999999999,57800
2010-01-14,12.92,13.09,12.88,13.09,7.852231,51000
2010-01-15,13.05,13.22,12.98,13.16,7.894224,95000
2010-01-19,13.1,13.26,13.09,13.25,7.948208999999999,78500
2010-01-20,13.32,13.39,13.25,13.39,8.032191000000001,74000
2010-01-21,13.41,13.43,13.33,13.4,8.038186999999999,73000
2010-01-22,13.4,13.41,13.34,13.35,8.008194,62600
2010-01-25,13.27,13.31,13.07,13.07,7.840236,124500
2010-01-26,13.11,13.13,13.04,13.08,7.8462309999999995,45800
2010-01-27,13.05,13.27,13.05,13.26,7.954209,67600
2010-01-28,13.25,13.31,12.94,13.04,7.822235000000001,118800
2010-01-29,13.03,13.12,13.01,13.09,7.852231,52300
2010-02-01,13.19,13.19,13.03,13.13,7.876227,80600
2010-02-02,13.15,13.38,13.15,13.38,8.026192,60700
2010-02-03,13.22,13.44,13.22,13.34,8.002193,70000
2010-02-04,13.32,13.48,13.29,13.29,7.9722,93900
2010-02-05,13.27,13.29,13.03,13.18,7.906217999999999,86600
2010-02-08,13.19,13.33,13.17,13.31,7.984199,64000
2010-02-09,13.31,13.36,13.26,13.28,7.966208999999999,59200
2010-02-10,13.28,13.28,13.14,13.22,7.977672,60500
2010-02-11,13.25,13.31,13.21,13.21,7.9716309999999995,59100
2010-02-12,13.22,13.22,13.11,13.14,7.9293949999999995,63900
2010-02-16,13.18,13.18,13.07,13.11,7.9112919999999995,85400
2010-02-17,13.11,13.15,13.06,13.08,7.893186,77700
2010-02-18,13.15,13.16,13.08,13.1,7.905257000000001,71600
2010-02-19,13.07,13.1,12.9,12.9,7.784567,83400
2010-02-22,12.87,12.96,12.6,12.68,7.651805,145500
2010-02-23,12.64,12.86,12.64,12.84,7.748357,47700
2010-02-24,12.9,13.09,12.89,13.03,7.863011,80000
2010-02-25,13.02,13.17,12.99,13.17,7.947497,65100
2010-02-26,13.11,13.26,13.09,13.26,8.001806,60100
2010-03-01,13.45,13.45,13.25,13.35,8.056121000000001,59300
2010-03-02,13.4,13.44,13.37,13.42,8.098362,94400
2010-03-03,13.43,13.45,13.4,13.45,8.116465,127200
2010-03-04,13.43,13.6,13.42,13.6,8.206978999999999,82600
2010-03-05,13.62,13.79,13.5,13.79,8.321641,99700
2010-03-08,13.52,13.59,13.47,13.53,8.164744,133500
2010-03-09,13.58,13.59,13.5,13.55,8.176811,43000
2010-03-10,13.54,13.55,13.5,13.55,8.176811,64100
2010-03-11,13.47,13.52,13.43,13.45,8.164063,46500
2010-03-12,13.51,13.51,13.06,13.4,8.133716999999999,128300
2010-03-15,13.4,13.41,13.24,13.27,8.054808,97400
2010-03-16,13.19,13.27,13.19,13.25,8.042663000000001,50900
2010-03-17,13.26,13.44,13.25,13.42,8.145853,88100
2010-03-18,13.4,13.47,13.39,13.41,8.139787,57300
2010-03-19,13.47,13.47,13.39,13.47,8.176202,58500
2010-03-22,13.51,13.68,13.5,13.59,8.249041,194100
2010-03-23,13.62,13.63,13.54,13.57,8.236906,83800
2010-03-24,13.58,13.63,13.54,13.6,8.255113,51300
2010-03-25,13.59,13.6,13.53,13.59,8.249041,72800
2010-03-26,13.53,13.58,13.46,13.5,8.194411,81600
2010-03-29,13.48,13.55,13.4,13.42,8.145853,74300
2010-03-30,13.46,13.46,13.34,13.44,8.157995,54400
2010-03-31,13.45,13.57,13.44,13.5,8.194411,52000
2010-04-01,13.59,13.72,13.5,13.51,8.200488,55900
2010-04-05,13.46,13.68,13.46,13.62,8.26725,83900
2010-04-06,13.62,13.64,13.51,13.59,8.249041,71200
2010-04-07,13.6,13.62,13.45,13.49,8.188341000000001,49600
2010-04-08,13.53,13.58,13.48,13.55,8.224763000000001,37700
2010-04-09,13.57,13.57,13.52,13.54,8.218691999999999,49800
2010-04-12,13.56,13.56,13.5,13.54,8.218691999999999,34400
2010-04-13,13.45,13.53,13.45,13.47,8.224192,47800
2010-04-14,13.47,13.55,13.47,13.5,8.242500999999999,47700
2010-04-15,13.52,13.53,13.36,13.4,8.181448,78300
2010-04-16,13.39,13.41,13.36,13.36,8.157022999999999,31200
2010-04-19,13.39,13.43,13.33,13.43,8.19977,47400
2010-04-20,13.41,13.43,13.38,13.43,8.19977,46900
2010-04-21,13.42,13.43,13.38,13.43,8.19977,58500
2010-04-22,13.35,13.4,13.33,13.39,8.175341,81500
2010-04-23,13.35,13.42,13.35,13.39,8.175341,71400
2010-04-26,13.42,13.53,13.41,13.51,8.248608,78500
2010-04-27,13.5,13.56,13.5,13.53,8.260819999999999,48700
2010-04-28,13.48,13.58,13.48,13.58,8.291349,51000
2010-04-29,13.58,13.6,13.51,13.51,8.248608,33000
2010-04-30,13.54,13.58,13.44,13.44,8.205869999999999,47500
2010-05-03,13.58,13.58,13.39,13.57,8.285243,53600
2010-05-04,13.5,13.72,13.5,13.7,8.364614,106700
2010-05-05,13.66,13.72,13.65,13.66,8.340193,74700
2010-05-06,13.63,13.68,13.35,13.6,8.303559,109000
2010-05-07,13.32,13.61,13.32,13.37,8.163135,89300
2010-05-10,13.58,13.64,13.44,13.53,8.260819999999999,90100
2010-05-11,13.5,13.64,13.49,13.64,8.327979,41100
2010-05-12,13.6,13.62,13.53,13.61,8.358073,54200
2010-05-13,13.59,13.66,13.54,13.62,8.364215,50400
2010-05-14,13.62,13.7,13.56,13.65,8.382638,57500
2010-05-17,13.66,13.69,13.5,13.55,8.321227,55600
2010-05-18,13.56,13.62,13.5,13.5,8.290521,53200
2010-05-19,13.37,13.49,13.36,13.41,8.235251,65200
2010-05-20,13.32,13.38,13.15,13.28,8.155417,71000
2010-05-21,13.2,13.36,13.16,13.33,8.186122,60400
2010-05-24,13.35,13.39,13.31,13.38,8.21683,36400
2010-05-25,13.23,13.54,13.23,13.54,8.315083999999999,65300
2010-05-26,13.58,13.7,13.58,13.6,8.351933,43100
2010-05-27,13.62,13.7,13.6,13.6,8.351933,34300
2010-05-28,13.58,13.67,13.56,13.63,8.370357,43000
2010-06-01,13.73,13.73,13.46,13.54,8.315083999999999,71000
2010-06-02,13.61,13.65,13.55,13.61,8.358073,61600
2010-06-03,13.6,13.66,13.59,13.63,8.370357,57000
2010-06-04,13.54,13.65,13.54,13.55,8.321227,31900
2010-06-07,13.6,13.61,13.56,13.58,8.339648,65300
2010-06-08,13.62,13.7,13.61,13.7,8.413343,49800
2010-06-09,13.67,13.79,13.67,13.79,8.468616,43800
2010-06-10,13.8,13.85,13.69,13.69,8.407200999999999,49000
2010-06-11,13.61,13.68,13.57,13.67,8.443649,63500
2010-06-14,13.63,13.68,13.51,13.53,8.357171000000001,74100
2010-06-15,13.54,13.58,13.48,13.54,8.363348,47500
2010-06-16,13.56,13.56,13.42,13.44,8.30158,82400
2010-06-17,13.49,13.52,13.45,13.49,8.332466,40800
2010-06-18,13.5,13.54,13.45,13.46,8.313934,35400
2010-06-21,13.5,13.53,13.45,13.49,8.332466,33200
2010-06-22,13.47,13.48,13.37,13.45,8.307755,59100
2010-06-23,13.45,13.49,13.4,13.49,8.332466,20500
2010-06-24,13.49,13.59,13.47,13.59,8.394229,33100
2010-06-25,13.59,13.66,13.58,13.62,8.412763,47800
2010-06-28,13.55,13.65,13.51,13.57,8.381874,68100
2010-06-29,13.53,13.6,13.5,13.53,8.357171000000001,64900
2010-06-30,13.46,13.56,13.43,13.56,8.375705,77300
2010-07-01,13.61,13.62,13.54,13.6,8.400409,71200
2010-07-02,13.6,13.63,13.59,13.63,8.418938,30800
2010-07-06,13.6,13.7,13.58,13.66,8.437469,69600
2010-07-07,13.63,13.66,13.58,13.6,8.400409,38600
2010-07-08,13.65,13.7,13.63,13.7,8.462177,46700
2010-07-09,13.69,13.75,13.67,13.72,8.47453,45600
2010-07-12,13.75,13.78,13.74,13.75,8.493064,24500
2010-07-13,13.72,13.72,13.62,13.63,8.46759,35400
2010-07-14,13.62,13.67,13.58,13.59,8.442741999999999,55800
2010-07-15,13.59,13.59,13.51,13.53,8.405465,41800
2010-07-16,13.5,13.56,13.41,13.41,8.330914,81500
2010-07-19,13.42,13.56,13.41,13.56,8.424097999999999,77700
2010-07-20,13.49,13.59,13.49,13.53,8.405465,46000
2010-07-21,13.59,13.59,13.51,13.51,8.393038,42700
