Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,15.04,15.06,15.02,15.06,15.002448000000001,5600
2017-10-17,15.05,15.06,15.01,15.04,14.982524,3600
2017-10-18,15.04,15.07,15.04,15.06,15.002448000000001,5800
2017-10-19,15.05,15.07,15.05,15.06,15.002448000000001,5600
2017-10-20,15.03,15.05,15.02,15.02,14.962601000000001,4600
2017-10-23,15.06,15.06,15.04,15.06,15.002448000000001,1700
2017-10-24,15.03,15.03,15.02,15.02,14.962601000000001,4300
2017-10-25,15.03,15.03,15.01,15.01,14.952639000000001,11800
2017-10-26,15.01,15.02,15.0,15.01,14.952639000000001,17500
2017-10-27,15.03,15.03,15.0,15.0,14.942677,700
2017-10-30,15.02,15.02,15.01,15.02,14.962601000000001,1400
2017-10-31,15.03,15.03,15.03,15.03,14.972562,1000
2017-11-01,15.06,15.06,14.99,15.01,14.952639000000001,5000
