Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.24,6.5,6.24,6.28,4.873632,62200
2010-01-05,6.34,6.96,6.34,6.78,5.261661,142700
2010-01-06,6.86,6.89,6.53,6.71,5.207336,178800
2010-01-07,6.67,6.85,6.54,6.8,5.277182,84700
2010-01-08,6.8,6.9,6.75,6.87,5.331505,309000
2010-01-11,6.91,6.91,6.66,6.78,5.261661,113800
2010-01-12,6.82,6.92,6.69,6.81,5.284942,203300
2010-01-13,6.82,6.85,6.8,6.84,5.308224,62500
2010-01-14,6.83,7.08,6.63,7.04,5.463435,50500
2010-01-15,7.03,7.03,6.78,6.86,5.323745,34800
2010-01-19,6.78,7.08,6.57,7.04,5.463435,55300
2010-01-20,7.0,7.0,6.76,6.93,5.378068,37300
2010-01-21,6.98,6.98,6.66,6.8,5.277182,77000
2010-01-22,6.7,6.93,6.57,6.87,5.331505,62500
2010-01-25,6.8,6.92,6.8,6.8,5.277182,78100
2010-01-26,6.85,6.87,6.8,6.8,5.277182,47600
2010-01-27,6.8,6.9,6.6,6.85,5.3159849999999995,114100
2010-01-28,6.89,6.93,6.74,6.85,5.3159849999999995,45400
2010-01-29,6.94,6.94,6.29,6.35,4.927956,274800
2010-02-01,6.36,6.54,6.32,6.54,5.075407,15600
2010-02-02,6.42,6.66,6.4,6.52,5.059886,48900
2010-02-03,6.56,6.65,6.41,6.41,4.97452,31200
2010-02-04,6.39,6.43,5.92,6.09,4.726182,95500
2010-02-05,6.05,6.12,5.76,5.99,4.648576,45200
2010-02-08,5.93,5.96,5.8,5.87,4.555448999999999,19200
2010-02-09,5.92,5.99,5.58,5.87,4.555448999999999,53000
2010-02-10,5.83,5.87,5.58,5.87,4.555448999999999,16200
2010-02-11,5.92,6.0,5.75,5.93,4.6020129999999995,21600
2010-02-12,5.71,6.08,5.69,6.03,4.679619000000001,25900
2010-02-16,5.98,6.18,5.9,6.06,4.7029,27100
2010-02-17,6.15,6.25,5.93,6.16,4.780505000000001,28700
2010-02-18,6.09,6.22,6.01,6.12,4.7494629999999995,34700
2010-02-19,6.15,6.15,5.91,6.14,4.764985,18000
2010-02-22,6.21,6.36,6.05,6.22,4.827068,32800
2010-02-23,6.13,6.2,6.0,6.07,4.71066,24700
2010-02-24,6.14,6.14,5.97,6.07,4.71066,22100
2010-02-25,5.89,5.94,5.81,5.89,4.57097,7900
2010-02-26,5.85,6.12,5.79,6.08,4.718421,20000
2010-03-01,6.11,6.19,6.08,6.19,4.803788,33000
2010-03-02,6.28,6.4,6.12,6.28,4.873632,39800
2010-03-03,6.26,6.27,6.02,6.1,4.733942,36200
2010-03-04,5.98,6.2,5.86,6.2,4.811548,50300
2010-03-05,6.26,6.83,5.99,6.2,4.811548,26400
2010-03-08,6.2,6.39,6.19,6.35,4.927956,118900
2010-03-09,6.39,6.54,6.25,6.43,4.9900400000000005,111200
2010-03-10,6.5,6.7,6.48,6.61,5.129731,36800
