Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.24,14.29,14.11,14.17,8.816881,9300
2010-01-05,14.12,14.28,14.1,14.28,8.885324,11200
2010-01-06,14.25,14.38,14.1,14.3,8.897774,9300
2010-01-07,14.24,14.25,14.15,14.15,8.804436,5800
2010-01-08,14.15,14.19,14.05,14.05,8.742213000000001,4800
2010-01-11,14.06,14.2,14.0,14.2,8.835550999999999,9800
2010-01-12,14.14,14.16,14.05,14.07,8.754662,7400
2010-01-13,13.97,14.1,13.97,14.1,8.823499,8600
2010-01-14,14.08,14.17,14.08,14.17,8.867302,4400
2010-01-15,14.2,14.4,14.13,14.21,8.892333,11000
2010-01-19,14.26,14.58,14.21,14.58,9.123873,8200
2010-01-20,14.6,14.6,14.4,14.5,9.073812,3800
2010-01-21,14.38,14.5,14.38,14.4,9.011234,2300
2010-01-22,14.45,14.45,14.27,14.37,8.992457,5200
2010-01-25,14.37,14.37,14.27,14.29,8.942391,2200
2010-01-26,14.3,14.38,14.27,14.34,8.973682,4900
2010-01-27,14.4,14.5,14.4,14.42,9.023746000000001,17400
2010-01-28,14.49,14.54,14.45,14.46,9.048775,6400
2010-01-29,14.45,14.64,14.45,14.49,9.067549,9500
2010-02-01,14.55,14.6,14.45,14.6,9.136387,3600
2010-02-02,14.65,14.65,14.45,14.55,9.105099000000001,4400
2010-02-03,14.55,14.55,14.45,14.5,9.073812,3800
2010-02-04,14.55,14.6,14.5,14.56,9.111355999999999,2100
2010-02-05,14.49,14.65,14.39,14.5,9.073812,13000
2010-02-08,14.55,14.59,14.54,14.59,9.130129,4300
2010-02-09,14.52,14.6,14.44,14.59,9.130129,9600
2010-02-10,14.4,14.48,14.36,14.45,9.092377,8100
2010-02-11,14.45,14.45,14.36,14.38,9.048327,2000
2010-02-12,14.42,14.42,14.35,14.35,9.029452000000001,3800
2010-02-16,14.35,14.46,14.28,14.46,9.098666999999999,5500
2010-02-17,14.46,14.72,14.3,14.65,9.218222,18800
2010-02-18,14.62,14.75,14.51,14.75,9.281144,7100
2010-02-19,14.6,14.65,14.41,14.55,9.155301,16200
2010-02-22,14.55,14.55,14.5,14.55,9.155301,5200
2010-02-23,14.63,14.65,14.55,14.64,9.211926,8700
2010-02-24,14.7,14.75,14.65,14.68,9.237101,7900
2010-02-25,14.74,14.74,14.4,14.42,9.073501,9400
2010-02-26,14.4,14.6,14.4,14.4,9.060914,10200
2010-03-01,14.5,14.51,14.45,14.45,9.092377,4500
2010-03-02,14.51,14.7,14.47,14.57,9.167878,13000
2010-03-03,14.46,14.65,14.41,14.45,9.092377,17400
2010-03-04,14.42,14.64,14.42,14.64,9.211926,5800
2010-03-05,14.6,14.61,14.5,14.61,9.193050999999999,3300
2010-03-08,14.61,14.64,14.53,14.56,9.161591,9600
2010-03-09,14.45,14.68,14.45,14.68,9.237101,4500
2010-03-10,14.79,14.81,14.65,14.65,9.218222,12700
2010-03-11,14.53,14.69,14.47,14.69,9.294146000000001,7400
2010-03-12,14.7,14.7,14.62,14.62,9.249858,10200
2010-03-15,14.62,14.65,14.34,14.6,9.2372,29300
2010-03-16,14.58,14.64,14.5,14.64,9.262506,2100
2010-03-17,14.62,14.76,14.62,14.7,9.300469,6900
2010-03-18,14.74,14.74,14.55,14.6,9.2372,8000
2010-03-19,14.58,14.68,14.58,14.58,9.224544999999999,6000
2010-03-22,14.67,14.67,14.54,14.67,9.281487,5500
2010-03-23,14.58,14.7,14.58,14.65,9.268831,8000
2010-03-24,14.72,14.72,14.63,14.71,9.306797,12700
2010-03-25,14.66,14.76,14.61,14.71,9.306797,5400
2010-03-26,14.7,14.76,14.68,14.68,9.287814,7300
2010-03-29,14.7,14.85,14.7,14.84,9.38904,7800
2010-03-30,14.82,14.82,14.58,14.58,9.224544999999999,14800
2010-03-31,14.58,14.64,14.54,14.64,9.262506,3500
2010-04-01,14.65,14.77,14.6,14.6,9.2372,6900
2010-04-05,14.6,14.62,14.55,14.6,9.2372,1000
2010-04-06,14.64,14.64,14.55,14.56,9.211894000000001,10700
2010-04-07,14.63,14.73,14.57,14.58,9.224544999999999,13800
