Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.15,13.33,13.14,13.14,8.155199,42200
2010-01-05,13.16,13.18,13.06,13.13,8.148999,33400
2010-01-06,13.13,13.21,13.13,13.18,8.18003,12000
2010-01-07,13.14,13.2,13.13,13.19,8.18623,39400
2010-01-08,13.09,13.19,13.09,13.18,8.18003,24400
2010-01-11,13.12,13.2,13.12,13.15,8.161402,18300
2010-01-12,13.15,13.18,13.15,13.16,8.167611,3900
2010-01-13,13.11,13.18,13.1,13.16,8.215053999999999,8700
2010-01-14,13.16,13.16,13.11,13.14,8.202568,13800
2010-01-15,13.15,13.2,13.11,13.17,8.221297999999999,13900
2010-01-19,13.21,13.21,13.16,13.21,8.246267999999999,8500
2010-01-20,13.15,13.21,13.15,13.15,8.208807,14800
2010-01-21,13.15,13.18,13.1,13.1,8.177597,12800
2010-01-22,13.1,13.18,13.1,13.14,8.202568,9700
2010-01-25,13.12,13.17,13.08,13.17,8.221297999999999,8600
2010-01-26,13.18,13.18,13.11,13.18,8.227539,23200
2010-01-27,13.16,13.17,13.15,13.16,8.215053999999999,17500
2010-01-28,13.15,13.17,13.15,13.17,8.221297999999999,12300
2010-01-29,13.16,13.16,13.12,13.13,8.196326,13600
2010-02-01,13.17,13.18,13.07,13.08,8.165116000000001,36400
2010-02-02,13.09,13.17,13.09,13.16,8.215053999999999,31700
2010-02-03,13.09,13.14,13.04,13.06,8.15263,82400
2010-02-04,13.04,13.04,12.99,13.0,8.115176,37400
2010-02-05,12.96,13.0,12.92,12.92,8.065232,76900
2010-02-08,12.9,13.04,12.89,12.99,8.108932000000001,112600
2010-02-09,13.03,13.1,13.02,13.1,8.177597,71400
2010-02-10,13.11,13.11,13.0,13.03,8.181365,57400
2010-02-11,12.99,13.04,12.94,12.99,8.156249,87300
2010-02-12,12.97,13.01,12.96,13.0,8.162527,34000
2010-02-16,12.97,13.01,12.95,12.99,8.156249,60400
2010-02-17,13.0,13.02,12.9,12.94,8.124857,77400
2010-02-18,12.98,13.0,12.92,12.96,8.137414,55200
2010-02-19,12.92,12.96,12.85,12.95,8.131134,64600
2010-02-22,12.86,12.96,12.83,12.86,8.074622,53100
2010-02-23,12.87,12.9,12.72,12.84,8.062068,110100
2010-02-24,12.8,12.96,12.8,12.94,8.124857,83400
2010-02-25,12.95,12.99,12.87,12.91,8.106016,65500
2010-02-26,12.95,12.97,12.89,12.93,8.118578999999999,30500
2010-03-01,12.99,13.0,12.96,12.99,8.156249,51200
2010-03-02,13.01,13.02,12.95,12.95,8.131134,52400
2010-03-03,12.97,12.99,12.93,12.94,8.124857,52200
2010-03-04,12.93,12.98,12.92,12.98,8.14997,67500
2010-03-05,12.98,12.99,12.91,12.97,8.143696,83500
2010-03-08,13.01,13.01,12.87,12.99,8.156249,66500
2010-03-09,12.91,12.99,12.91,12.95,8.131134,56400
2010-03-10,12.98,13.1,12.97,13.08,8.212759,124900
2010-03-11,13.07,13.07,12.98,13.02,8.222866999999999,50700
2010-03-12,12.96,13.01,12.9,12.92,8.159711999999999,80500
2010-03-15,12.97,12.97,12.79,12.79,8.077607,142100
2010-03-16,12.83,12.93,12.77,12.93,8.166025,72300
2010-03-17,12.8,12.9,12.77,12.88,8.134449,136100
2010-03-18,12.88,12.9,12.84,12.86,8.121819,45000
2010-03-19,12.88,12.88,12.81,12.88,8.134449,34700
2010-03-22,12.91,13.01,12.91,13.0,8.210236,128000
2010-03-23,13.02,13.08,13.01,13.05,8.241809,108900
2010-03-24,13.04,13.06,13.01,13.01,8.216550999999999,81200
2010-03-25,13.02,13.05,12.99,13.0,8.210236,29700
2010-03-26,13.0,13.03,12.96,12.98,8.197599,96200
2010-03-29,13.05,13.06,13.02,13.05,8.241809,61500
