Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.69,4.86,4.65,4.84,2.6190189999999998,275700
2010-01-05,4.85,5.0,4.84,4.86,2.62984,262800
2010-01-06,4.87,4.95,4.67,4.71,2.5486720000000003,140700
2010-01-07,4.71,4.84,4.56,4.81,2.602784,176400
2010-01-08,4.81,4.91,4.68,4.81,2.602784,130400
2010-01-11,4.82,4.91,4.73,4.77,2.58114,230100
2010-01-12,4.73,4.79,4.6,4.62,2.499973,163500
2010-01-13,4.64,4.72,4.58,4.67,2.527028,223600
2010-01-14,4.64,4.72,4.57,4.63,2.505383,94200
2010-01-15,4.64,4.68,4.42,4.49,2.429626,160000
2010-01-19,4.49,4.68,3.97,4.61,2.49456,389100
2010-01-20,4.57,4.57,3.76,4.34,2.3484580000000004,368400
2010-01-21,4.34,4.46,4.22,4.34,2.3484580000000004,430200
2010-01-22,4.34,4.44,4.24,4.27,2.31058,252300
2010-01-25,4.3,4.44,4.2,4.26,2.305169,227200
2010-01-26,4.26,4.31,4.19,4.3,2.326814,274900
2010-01-27,4.26,4.38,4.13,4.19,2.267291,188900
2010-01-28,4.21,4.34,4.05,4.09,2.213178,152200
2010-01-29,4.12,4.25,4.05,4.07,2.202356,168900
2010-02-01,4.1,4.25,4.04,4.06,2.196945,312100
2010-02-02,4.05,4.07,3.97,3.99,2.159066,447200
2010-02-03,3.98,4.02,3.92,3.93,2.1266,477600
2010-02-04,3.93,3.96,3.72,3.73,2.018375,263900
2010-02-05,3.76,4.03,3.72,3.82,2.067077,165100
2010-02-08,3.83,3.99,3.81,3.82,2.067077,147300
2010-02-09,3.87,4.02,3.8,3.87,2.094131,185000
2010-02-10,3.86,3.89,3.8,3.88,2.099543,131500
2010-02-11,3.87,4.08,3.85,4.07,2.202356,135800
2010-02-12,4.02,4.18,3.94,4.15,2.245646,188000
2010-02-16,4.19,4.19,3.98,4.01,2.169889,156900
2010-02-17,4.04,4.15,4.03,4.12,2.229412,202200
2010-02-18,4.13,4.16,4.01,4.12,2.229412,157600
2010-02-19,4.12,4.24,3.94,4.22,2.2835229999999997,245000
2010-02-22,4.27,4.3,4.05,4.15,2.245646,310900
2010-02-23,4.15,4.32,4.12,4.27,2.31058,157600
2010-02-24,4.5,5.1,4.5,5.03,2.7218299999999997,882300
2010-02-25,4.9,5.0,4.75,4.99,2.700186,529400
2010-02-26,5.0,5.01,4.85,4.96,2.683952,347100
2010-03-01,5.0,5.25,4.85,5.25,2.840877,493200
2010-03-02,5.25,5.27,5.06,5.2,2.813821,256800
2010-03-03,5.24,5.48,5.2,5.37,2.905811,723600
2010-03-04,5.34,5.5,5.3,5.45,2.982424,596400
2010-03-05,5.5,5.65,5.45,5.63,3.080925,463800
2010-03-08,5.66,5.78,5.5,5.74,3.141121,803800
2010-03-09,5.71,5.8,5.59,5.78,3.163011,331100
2010-03-10,5.78,5.93,5.72,5.89,3.223207,632000
2010-03-11,5.86,5.93,5.63,5.92,3.239624,294400
2010-03-12,5.95,6.01,5.88,5.98,3.272457,280000
2010-03-15,5.99,6.03,5.88,6.01,3.288875,349400
2010-03-16,6.04,6.08,5.98,6.07,3.321708,287700
2010-03-17,6.07,6.17,6.0,6.11,3.3435980000000005,276300
2010-03-18,6.14,6.14,5.83,5.91,3.2341509999999998,622900
2010-03-19,5.92,5.99,5.66,5.7,3.119232,662100
2010-03-22,5.7,6.04,5.68,6.03,3.2998199999999995,425800
2010-03-23,6.08,6.2,6.0,6.18,3.381905,420000
2010-03-24,6.12,6.3,6.0,6.12,3.349071,457100
2010-03-25,6.41,6.44,6.22,6.37,3.485879,641200
2010-03-26,6.43,6.47,6.34,6.36,3.480407,330400
2010-03-29,6.37,6.37,6.05,6.07,3.321708,462000
2010-03-30,6.09,6.18,6.08,6.15,3.3654879999999996,206100
2010-03-31,6.12,6.28,6.06,6.11,3.3435980000000005,295300
2010-04-01,6.18,6.19,6.0,6.06,3.316236,156500
2010-04-05,6.06,6.29,6.03,6.29,3.4421,284700
2010-04-06,6.26,6.41,6.25,6.39,3.4968230000000005,217200
2010-04-07,6.4,6.47,6.26,6.33,3.4639889999999998,301200
2010-04-08,6.33,6.33,6.07,6.27,3.4311559999999997,256400
2010-04-09,6.29,6.32,6.16,6.19,3.387377,164000
2010-04-12,6.17,6.21,6.13,6.19,3.387377,170500
2010-04-13,6.14,6.47,6.14,6.45,3.529657,273900
2010-04-14,6.47,6.57,6.45,6.56,3.5898529999999997,286700
2010-04-15,6.57,6.71,6.48,6.63,3.6281589999999997,295200
2010-04-16,6.63,6.68,6.39,6.41,3.507768,372800
2010-04-19,6.35,6.52,6.19,6.32,3.458518,425900
2010-04-20,6.34,6.55,6.29,6.51,3.5624919999999998,333200
2010-04-21,6.53,6.57,6.47,6.49,3.5515470000000002,459800
2010-04-22,6.43,6.64,6.43,6.59,3.60627,577300
2010-04-23,6.62,6.65,6.53,6.58,3.600797,326100
2010-04-26,6.6,6.83,6.6,6.66,3.644578,283000
2010-04-27,6.65,6.76,6.59,6.68,3.655521,384800
2010-04-28,6.76,6.82,6.66,6.81,3.726662,239400
2010-04-29,6.85,6.89,6.68,6.74,3.6883550000000005,265200
2010-04-30,6.75,6.84,6.5,6.51,3.5624919999999998,235200
2010-05-03,6.55,6.97,6.53,6.96,3.8087480000000005,244100
2010-05-04,6.86,6.9,6.48,6.58,3.600797,569600
2010-05-05,6.53,6.63,6.21,6.25,3.420211,383900
2010-05-06,6.22,6.81,5.84,6.37,3.485879,1025200
2010-05-07,6.35,6.37,5.78,5.81,3.1794290000000003,667100
2010-05-10,6.23,6.75,6.09,6.41,3.507768,715000
2010-05-11,6.33,6.62,6.24,6.42,3.5132410000000003,489900
2010-05-12,6.4,6.58,6.37,6.53,3.6530980000000004,283300
2010-05-13,6.48,6.77,6.48,6.69,3.742608,312700
2010-05-14,6.6,6.6,6.28,6.37,3.56359,262400
2010-05-17,6.39,6.48,6.27,6.38,3.569185,265200
2010-05-18,6.41,6.48,6.16,6.23,3.485268,365000
2010-05-19,6.18,6.26,5.86,5.89,3.295062,413200
2010-05-20,5.96,6.13,5.71,5.73,3.205552,575100
2010-05-21,5.61,6.04,5.58,5.86,3.278278,597800
2010-05-24,5.85,5.9,5.75,5.75,3.216742,249000
2010-05-25,5.72,5.95,5.59,5.89,3.295062,491700
2010-05-26,5.96,6.02,5.78,5.83,3.2614959999999997,331900
2010-05-27,5.99,6.49,5.93,6.48,3.6251269999999995,542900
2010-05-28,6.47,6.5,6.19,6.23,3.485268,335800
2010-06-01,6.15,6.28,6.03,6.18,3.457297,645200
2010-06-02,6.25,6.36,6.0,6.28,3.5132410000000003,697100
2010-06-03,6.27,6.4,6.17,6.33,3.5412120000000002,633500
2010-06-04,6.18,6.26,5.9,5.91,3.30625,347400
2010-06-07,5.96,6.07,5.49,5.51,3.082477,344300
2010-06-08,5.59,5.67,5.44,5.55,3.104855,536100
2010-06-09,5.63,5.76,5.4,5.45,3.048911,318900
2010-06-10,5.54,5.59,5.37,5.49,3.071289,466100
2010-06-11,5.45,5.57,5.45,5.56,3.110449,408100
2010-06-14,5.65,5.85,5.6,5.65,3.1607979999999998,698000
2010-06-15,5.72,5.81,5.63,5.72,3.199958,605500
2010-06-16,5.66,5.7,5.52,5.55,3.104855,591100
2010-06-17,5.6,5.68,5.56,5.61,3.138421,397800
2010-06-18,5.65,5.7,5.58,5.58,3.1216369999999998,471600
2010-06-21,5.75,5.85,5.55,5.55,3.104855,570900
2010-06-22,5.59,5.7,5.55,5.59,3.127231,519700
2010-06-23,5.6,5.67,5.51,5.58,3.1216369999999998,289000
2010-06-24,5.52,5.59,5.35,5.35,2.992968,421100
2010-06-25,5.4,5.47,5.32,5.35,2.992968,3328800
2010-06-28,5.35,5.5,5.35,5.42,3.0321279999999997,581100
2010-06-29,5.31,5.35,5.16,5.2,2.909052,543100
2010-06-30,5.22,5.27,5.05,5.11,2.858704,367800
2010-07-01,5.09,5.18,4.9,5.08,2.8419209999999997,438900
2010-07-02,4.97,5.14,4.93,4.98,2.785977,261000
2010-07-06,5.08,5.12,4.81,4.86,2.718846,383400
2010-07-07,4.9,5.0,4.69,4.85,2.7132509999999996,838600
2010-07-08,4.93,5.02,4.82,5.02,2.8083549999999997,542800
2010-07-09,5.02,5.2,5.02,5.16,2.886676,785500
2010-07-12,5.15,5.15,5.01,5.08,2.8419209999999997,393700
2010-07-13,5.14,5.24,5.07,5.2,2.909052,466800
2010-07-14,5.16,5.3,5.11,5.28,2.953808,539100
2010-07-15,5.3,5.3,5.04,5.14,2.875486,208600
2010-07-16,5.05,5.14,5.05,5.08,2.8419209999999997,513900
2010-07-19,5.08,5.14,4.93,4.94,2.7636,213800
2010-07-20,4.88,4.93,4.7,4.93,2.758006,426800
2010-07-21,4.95,5.06,4.76,4.79,2.6796849999999997,353900
2010-07-22,4.88,4.88,4.76,4.84,2.7076569999999998,786600
2010-07-23,4.84,5.21,4.82,5.16,2.886676,449000
2010-07-26,5.2,5.56,5.17,5.53,3.093667,680100
2010-07-27,5.58,5.72,5.54,5.56,3.110449,459800
2010-07-28,5.58,5.63,5.4,5.43,3.037722,339000
2010-07-29,5.47,5.58,5.32,5.35,2.992968,364600
2010-07-30,5.27,5.42,5.27,5.42,3.0321279999999997,320400
2010-08-02,5.51,5.54,5.34,5.46,3.054505,993400
2010-08-03,5.46,5.51,5.35,5.39,3.015345,444500
2010-08-04,5.46,5.5,5.37,5.48,3.0656939999999997,446900
2010-08-05,5.47,5.57,5.38,5.42,3.0321279999999997,704400
2010-08-06,5.38,5.51,5.38,5.45,3.048911,588500
2010-08-09,5.51,5.7,5.37,5.55,3.104855,678300
2010-08-10,5.49,5.64,5.48,5.54,3.0992599999999997,586700
2010-08-11,5.49,5.56,5.46,5.46,3.054505,612400
2010-08-12,5.32,5.39,5.27,5.29,3.037281,802800
2010-08-13,5.27,5.31,5.13,5.13,2.945416,416800
2010-08-16,5.12,5.31,5.12,5.26,3.0200560000000003,548300
2010-08-17,5.31,5.35,5.15,5.16,2.962641,384900
2010-08-18,5.17,5.28,5.17,5.2,2.985607,424700
2010-08-19,5.18,5.24,5.12,5.14,2.9511580000000004,567600
2010-08-20,5.12,5.18,5.11,5.13,2.945416,472200
2010-08-23,5.18,5.23,5.07,5.07,2.910967,389500
2010-08-24,5.05,5.12,4.95,4.99,2.865034,498500
2010-08-25,4.98,5.08,4.91,5.08,2.9167080000000003,515500
2010-08-26,5.12,5.45,5.0,5.28,3.031539,905000
2010-08-27,5.34,5.46,5.1,5.46,3.134887,405400
2010-08-30,5.45,5.45,5.15,5.15,2.9569,414700
2010-08-31,5.15,5.45,5.15,5.15,2.9569,464600
