Date,Open,High,Low,Close,Adj Close,Volume
2017-02-24,10.0,10.03,10.0,10.0,9.558788,2121700
2017-02-27,10.01,10.07,10.0,10.03,9.587464,215600
2017-02-28,10.07,10.08,10.02,10.02,9.577907000000002,32800
2017-03-01,10.035,10.07,10.035,10.04,9.597024000000001,18300
2017-03-02,10.037,10.05,10.01,10.02,9.577907000000002,37100
2017-03-03,10.03,10.12,10.03,10.05,9.606583,55700
2017-03-06,10.045,10.08,10.045,10.071,9.626657000000002,6500
2017-03-07,10.03,10.1,10.03,10.08,9.63526,35800
2017-03-08,10.086,10.09,10.07,10.07,9.6257,18300
2017-03-09,10.03,10.05,10.0,10.0,9.558788,50500
2017-03-10,10.02,10.03,10.0,10.01,9.568348,38900
2017-03-13,10.02,10.059,10.02,10.031,9.58842,14100
2017-03-14,10.07,10.07,10.021,10.04,9.597024000000001,4600
2017-03-15,10.03,10.048,10.0,10.02,9.577907000000002,51400
2017-03-16,10.037,10.037,10.02,10.03,9.587464,11900
2017-03-17,10.03,10.04,10.02,10.02,9.577907000000002,4700
2017-03-20,10.04,10.04,10.01,10.02,9.577907000000002,19700
2017-03-21,10.03,10.03,10.0,10.03,9.587464,48500
2017-03-22,10.04,10.06,10.0,10.0,9.558788,50900
2017-03-23,10.0,10.02,10.0,10.01,9.568348,88100
2017-03-24,10.01,10.01,10.0,10.0,9.558788,23900
2017-03-27,10.01,10.03,10.0,10.0,9.558788,28600
2017-03-28,10.0,10.01,10.0,10.0,9.558788,172400
2017-03-29,10.0,10.009,10.0,10.0,9.558788,27600
2017-03-30,10.0,10.05,10.0,10.05,9.606583,26500
2017-03-31,10.04,10.04,10.01,10.01,9.568348,17300
2017-04-03,10.018,10.018,10.0,10.01,9.568348,3000
2017-04-04,10.011,10.03,10.0,10.01,9.568348,53800
2017-04-05,10.02,10.02,10.01,10.01,9.568348,4800
2017-04-06,10.03,10.03,10.02,10.02,9.577907000000002,11700
2017-04-07,10.03,10.054,10.01,10.05,9.606583,26000
2017-04-10,10.03,10.06,10.03,10.06,9.616142,48000
2017-04-11,10.06,10.06,10.02,10.03,9.635353,88200
2017-04-12,10.03,10.041,10.01,10.01,9.616142,32700
2017-04-13,10.01,10.014,9.98,9.98,9.58732,14600
2017-04-17,10.0,10.01,9.99,10.01,9.616142,49200
2017-04-18,10.023,10.03,9.99,10.029,9.634394,46700
2017-04-19,10.03,10.043,9.99,9.99,9.596927,56000
2017-04-20,9.99,10.037,9.99,10.0,9.606534,48800
2017-04-21,10.0,10.01,9.99,10.01,9.616142,12700
2017-04-24,10.01,10.07,9.98,10.06,9.664174000000001,29300
2017-04-25,10.04,10.05,10.02,10.04,9.644960000000001,89200
2017-04-26,10.03,10.04,10.01,10.03,9.635353,76700
2017-04-27,10.03,10.08,10.024,10.05,9.654569,46400
2017-04-28,10.04,10.06,10.02,10.039,9.644001,67800
2017-05-01,10.03,10.07,10.03,10.05,9.654569,36900
2017-05-02,10.06,10.06,10.01,10.02,9.625749,36400
2017-05-03,10.02,10.03,10.01,10.025,9.630550999999999,17700
2017-05-04,10.05,10.058,10.01,10.03,9.635353,27900
2017-05-05,10.04,10.06,10.024,10.04,9.644960000000001,15300
2017-05-08,10.064,10.07,10.03,10.04,9.644960000000001,24500
2017-05-09,10.07,10.07,10.01,10.01,9.616142,58500
2017-05-10,10.029,10.058,10.029,10.04,9.644960000000001,23400
2017-05-11,10.06,10.06,10.02,10.04,9.693233,30600
2017-05-12,10.05,10.09,10.03,10.08,9.731852,55700
2017-05-15,10.053,10.07,10.05,10.05,9.702889,41300
2017-05-16,10.03,10.1,10.03,10.08,9.731852,46300
2017-05-17,10.07,10.1,10.06,10.06,9.712543,20800
2017-05-18,10.09,10.1,10.07,10.09,9.741508,9500
2017-05-19,10.06,10.108,10.06,10.06,9.712543,43200
2017-05-22,10.09,10.09,9.99,9.99,9.644960000000001,71500
2017-05-23,10.0,10.03,9.98,9.98,9.635305,133300
2017-05-24,10.011,10.02,9.98,9.996,9.650753,92700
2017-05-25,10.0,10.01,9.97,10.01,9.66427,69300
2017-05-26,10.0,10.04,9.95,10.01,9.66427,157500
2017-05-30,10.01,10.03,9.99,10.02,9.673924000000001,100900
2017-05-31,10.02,10.02,9.96,9.96,9.615996,60700
2017-06-01,9.99,10.02,9.974,9.99,9.644960000000001,40400
2017-06-02,10.01,10.04,9.99,10.0,9.654615,50300
2017-06-05,10.02,10.03,9.95,9.98,9.635305,163500
2017-06-06,10.0,10.02,9.98,9.99,9.644960000000001,58400
2017-06-07,10.01,10.06,9.99,10.05,9.702889,68000
2017-06-08,10.05,10.08,10.02,10.08,9.731852,55900
2017-06-09,10.08,10.08,10.065,10.08,9.731852,20100
2017-06-12,10.08,10.08,10.03,10.03,9.683578,40900
2017-06-13,10.02,10.02,9.97,9.99,9.693283000000001,53200
2017-06-14,10.01,10.04,10.0,10.04,9.741796,20000
2017-06-15,10.04,10.05,9.99,10.0,9.702985,9000
2017-06-16,10.03,10.03,9.99,9.99,9.693283000000001,37500
