Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.13,9.34,9.1,9.26,6.550694,249600
2010-01-05,9.23,9.84,9.23,9.48,6.706326,486200
2010-01-06,9.44,9.95,9.42,9.59,6.784142999999999,351300
2010-01-07,9.55,9.67,9.45,9.54,6.748774000000001,147100
2010-01-08,9.54,9.58,9.21,9.34,6.607289,279300
2010-01-11,9.37,9.4,8.83,9.26,6.550694,437500
2010-01-12,9.19,9.38,9.0,9.3,6.578993,224200
2010-01-13,9.3,9.48,9.29,9.46,6.692178,153200
2010-01-14,9.49,9.65,9.46,9.53,6.7416979999999995,232400
2010-01-15,9.55,9.6,9.46,9.49,6.713402,308000
2010-01-19,9.48,9.72,9.48,9.61,6.798292999999999,282300
2010-01-20,9.58,9.61,9.47,9.47,6.699253999999999,242100
2010-01-21,9.48,9.5,9.29,9.3,6.578993,283200
2010-01-22,9.27,9.38,9.11,9.16,6.479955,203700
2010-01-25,9.25,9.28,9.1,9.18,6.494104,195200
2010-01-26,9.13,9.2,9.0,9.1,6.4375089999999995,230600
2010-01-27,9.09,9.15,9.0,9.13,6.458730999999999,178300
2010-01-28,9.09,9.19,8.94,9.11,6.4445809999999994,202100
2010-01-29,9.13,9.13,8.95,8.98,6.352618,176200
2010-02-01,9.0,9.12,8.97,9.06,6.409211,162400
2010-02-02,9.05,9.11,8.99,9.03,6.387989,269200
2010-02-03,9.0,9.05,8.91,8.97,6.3455449999999995,223400
2010-02-04,8.94,9.04,8.77,8.9,6.296024,319400
2010-02-05,8.85,8.86,8.56,8.69,6.147465,312900
2010-02-08,8.67,8.93,8.63,8.82,6.239431,238500
2010-02-09,8.87,9.04,8.82,8.99,6.359693,153800
2010-02-10,8.98,9.13,8.86,9.11,6.4445809999999994,305600
2010-02-11,9.12,9.15,8.97,9.13,6.458730999999999,162000
2010-02-12,9.04,9.43,9.04,9.41,6.656809,253900
2010-02-16,9.44,9.5,9.41,9.48,6.706326,208100
2010-02-17,9.52,9.64,9.48,9.62,6.8053669999999995,169900
2010-02-18,9.64,9.67,9.49,9.59,6.784142999999999,144700
2010-02-19,9.55,9.71,9.51,9.63,6.812441000000001,158700
2010-02-22,9.63,9.69,9.56,9.59,6.784142999999999,217800
2010-02-23,9.63,9.7,9.45,9.69,6.854883999999999,224600
2010-02-24,9.73,9.73,9.58,9.65,6.826588,115000
2010-02-25,9.55,9.57,9.31,9.37,6.6285110000000005,211100
2010-02-26,9.4,9.48,9.28,9.31,6.586069,224200
2010-03-01,9.31,9.46,9.25,9.29,6.571919,175700
2010-03-02,9.01,9.49,9.01,9.49,6.713402,379500
2010-03-03,9.53,9.72,9.45,9.59,6.784142999999999,259700
2010-03-04,9.64,9.75,9.62,9.75,6.897330999999999,179500
2010-03-05,9.75,9.79,9.63,9.69,6.854883999999999,252300
2010-03-08,9.74,9.82,9.54,9.79,6.925625,267800
2010-03-09,9.78,9.85,9.65,9.83,6.953924000000001,247400
2010-03-10,9.84,9.92,9.71,9.78,6.9185550000000005,172000
2010-03-11,9.7,9.8,9.63,9.68,6.847811,183100
2010-03-12,9.68,9.93,9.62,9.92,7.017592999999999,334400
2010-03-15,9.91,10.1,9.9,9.94,7.031739,235100
2010-03-16,9.92,9.99,9.81,9.99,7.067112,223800
2010-03-17,10.02,10.15,9.96,10.11,7.152002,227100
2010-03-18,10.12,10.25,10.07,10.18,7.2015199999999995,175200
2010-03-19,9.71,10.25,9.64,9.71,6.869034,585100
2010-03-22,9.64,9.94,9.64,9.82,6.946849,320600
2010-03-23,9.88,10.1,9.81,10.06,7.116631,175600
2010-03-24,10.06,10.06,9.94,9.97,7.052964,154500
2010-03-25,10.05,10.07,9.92,9.95,7.038815,173100
2010-03-26,10.01,10.07,9.9,9.93,7.024665,166300
2010-03-29,9.89,9.9,9.71,9.82,7.067850999999999,165700
2010-03-30,9.9,10.4,9.85,10.39,7.478103999999999,821100
