Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.6,11.64,11.44,11.52,5.103739,476400
2010-01-05,11.48,11.59,11.47,11.54,5.112602,443200
2010-01-06,11.53,11.64,11.53,11.56,5.121462999999999,486800
2010-01-07,11.62,11.63,11.56,11.62,5.1480440000000005,461500
2010-01-08,11.63,11.75,11.6,11.75,5.20564,386100
2010-01-11,11.82,11.83,11.76,11.83,5.24108,335300
2010-01-12,11.77,11.87,11.75,11.78,5.2189309999999995,459900
2010-01-13,11.78,11.82,11.71,11.79,5.22336,377500
2010-01-14,11.8,11.83,11.76,11.81,5.232219000000001,373800
2010-01-15,11.77,11.81,11.62,11.7,5.183486,370200
2010-01-19,11.62,11.79,11.62,11.69,5.179056,433100
2010-01-20,11.65,11.66,11.51,11.65,5.161334,405200
2010-01-21,11.65,11.68,11.4,11.44,5.068298,471400
2010-01-22,11.41,11.44,11.06,11.14,4.935388,509600
2010-01-25,11.14,11.23,10.7,10.86,4.811338,1112400
2010-01-26,10.74,10.95,10.73,10.8,4.784758,650300
2010-01-27,10.75,10.79,10.41,10.61,4.700581,713900
2010-01-28,10.62,10.69,10.43,10.64,4.713873,501000
2010-01-29,10.66,10.74,10.53,10.63,4.709441,477100
2010-02-01,10.67,10.73,10.5,10.57,4.682859,446500
2010-02-02,10.58,10.71,10.52,10.68,4.731593,661400
2010-02-03,10.61,10.77,10.61,10.75,4.762606,521200
2010-02-04,10.64,10.69,10.58,10.6,4.696149,497300
2010-02-05,10.53,10.53,9.86,10.17,4.505644,965800
2010-02-08,10.25,10.39,9.94,10.28,4.554379,600900
2010-02-09,10.39,10.55,10.31,10.47,4.638557,413100
2010-02-10,10.43,10.54,10.34,10.47,4.638557,304000
2010-02-11,10.51,10.56,10.45,10.49,4.647417,382300
2010-02-12,10.47,10.58,10.35,10.56,4.678429,317900
2010-02-16,10.65,10.8,10.56,10.8,4.784758,428700
2010-02-17,10.94,10.99,10.85,10.86,4.811338,492500
2010-02-18,10.92,11.14,10.84,11.13,4.93096,448100
2010-02-19,11.08,11.17,10.97,11.09,4.913236,440700
2010-02-22,11.1,11.2,11.0,11.16,4.944247,446700
2010-02-23,11.18,11.29,11.02,11.23,4.975261,458600
2010-02-24,11.26,11.32,11.16,11.27,4.992983000000001,378600
2010-02-25,11.2,11.38,11.07,11.35,5.028424,350000
2010-02-26,11.33,11.54,11.25,11.43,5.063867,481200
2010-03-01,11.53,11.57,11.42,11.49,5.09045,428500
2010-03-02,11.52,11.81,11.52,11.73,5.196778,529300
2010-03-03,11.71,11.84,11.67,11.68,5.174625,551400
2010-03-04,11.63,11.77,11.58,11.76,5.210069,449300
2010-03-05,11.79,12.0,11.75,11.98,5.307536,741800
2010-03-08,11.93,12.09,11.92,12.02,5.325258,588300
2010-03-09,11.98,12.09,11.94,12.04,5.334118,653300
2010-03-10,12.0,12.08,11.97,11.97,5.303104,718700
2010-03-11,11.48,11.54,11.35,11.51,5.300804,619200
2010-03-12,11.62,11.62,11.23,11.28,5.194878,529400
2010-03-15,11.22,11.3,11.15,11.24,5.176457,326300
2010-03-16,11.29,11.44,11.27,11.36,5.231722,254500
2010-03-17,11.43,11.58,11.39,11.53,5.310014,327300
2010-03-18,11.49,11.56,11.37,11.42,5.259355,252000
2010-03-19,11.17,11.46,11.16,11.17,5.144221,336200
2010-03-22,11.03,11.16,10.72,11.07,5.098166,505700
2010-03-23,11.12,11.3,11.06,11.16,5.139614,358500
2010-03-24,11.07,11.19,11.05,11.19,5.153430999999999,356300
2010-03-25,11.26,11.3,11.16,11.18,5.148825,346500
2010-03-26,11.26,11.48,11.24,11.39,5.245538,411500
2010-03-29,11.4,11.59,11.37,11.5,5.296198,286300
2010-03-30,11.52,11.54,11.41,11.49,5.291592,212900
2010-03-31,11.49,11.6,11.45,11.48,5.286985,390300
2010-04-01,11.57,11.62,11.52,11.53,5.310014,213400
2010-04-05,11.55,11.62,11.47,11.51,5.300804,387300
2010-04-06,11.5,11.5,11.19,11.29,5.199484,883000
2010-04-07,11.22,11.32,11.1,11.17,5.144221,529900
2010-04-08,11.14,11.25,11.06,11.22,5.167248000000001,477000
2010-04-09,11.22,11.34,11.2,11.33,5.217905,258000
2010-04-12,11.35,11.5,11.32,11.48,5.286985,337300
2010-04-13,11.45,11.54,11.4,11.51,5.300804,326900
2010-04-14,11.51,11.7,11.5,11.69,5.3837,339800
2010-04-15,11.62,11.72,11.57,11.62,5.3514610000000005,323700
2010-04-16,11.51,11.61,11.34,11.39,5.245538,489900
2010-04-19,11.32,11.39,11.2,11.29,5.199484,285400
2010-04-20,11.32,11.41,11.26,11.32,5.213299,384400
2010-04-21,11.31,11.4,11.26,11.26,5.18567,397000
2010-04-22,11.22,11.31,11.15,11.31,5.208694,379500
2010-04-23,11.29,11.3,11.18,11.23,5.17185,407600
2010-04-26,11.25,11.29,11.22,11.27,5.190272,394100
2010-04-27,11.28,11.28,11.03,11.04,5.084349,572300
2010-04-28,11.07,11.16,11.07,11.08,5.10277,379100
2010-04-29,11.11,11.18,11.09,11.16,5.139614,361300
2010-04-30,11.12,11.17,11.0,11.04,5.084349,451100
2010-05-03,11.04,11.1,11.01,11.03,5.0797419999999995,287600
2010-05-04,10.95,10.96,10.77,10.87,5.006058,512100
2010-05-05,10.71,10.73,10.45,10.5,4.8356580000000005,551100
2010-05-06,10.43,10.52,9.47,10.03,4.619205,1117600
2010-05-07,10.0,10.12,9.62,9.99,4.600784,542800
2010-05-10,10.54,10.75,10.49,10.6,4.881711,492700
2010-05-11,10.32,10.73,10.32,10.59,4.877107,406000
2010-05-12,10.59,10.73,10.58,10.63,4.895529,386000
2010-05-13,10.63,10.8,10.58,10.59,4.877107,299300
2010-05-14,10.46,10.61,10.17,10.22,4.706708,385900
2010-05-17,10.22,10.3,10.0,10.1,4.651443,374900
