Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.64,8.74,8.6,8.66,3.8515,258900
2010-01-05,8.74,8.78,8.4,8.58,3.8159199999999998,383200
2010-01-06,8.54,8.74,8.54,8.6,3.824815,431600
2010-01-07,8.58,8.65,8.5,8.6,3.824815,238500
2010-01-08,8.54,8.68,8.54,8.66,3.8515,410500
2010-01-11,8.7,8.77,8.56,8.67,3.855948,347300
2010-01-12,8.61,8.73,8.56,8.63,3.8381559999999997,397300
2010-01-13,8.65,8.7,8.52,8.67,3.855948,333000
2010-01-14,8.67,8.79,8.61,8.71,3.873738,316100
2010-01-15,8.74,8.77,8.56,8.63,3.8381559999999997,303200
2010-01-19,8.63,9.03,8.63,9.0,4.002713,753200
2010-01-20,8.94,8.95,8.78,8.86,3.9404489999999996,446500
2010-01-21,8.92,9.0,8.65,8.73,3.8826300000000002,453400
2010-01-22,8.75,8.84,8.52,8.62,3.833709,538800
2010-01-25,8.96,9.17,8.72,9.05,4.024951000000001,692500
2010-01-26,9.11,9.12,8.81,8.81,3.9182120000000005,343300
2010-01-27,8.8,9.0,8.78,8.97,3.989372,321000
2010-01-28,9.0,9.04,8.9,8.97,3.989372,410200
2010-01-29,9.0,9.05,8.87,8.99,3.998265,386500
2010-02-01,9.0,9.02,8.9,9.01,4.00716,410000
2010-02-02,9.05,9.05,8.93,9.02,4.011608,373100
2010-02-03,9.01,9.25,9.01,9.2,4.091662,357500
2010-02-04,9.13,9.13,8.89,8.89,3.9537910000000003,425200
2010-02-05,8.81,8.9,8.6,8.88,3.949343,460100
2010-02-08,8.9,8.9,8.6,8.6,3.824815,211300
2010-02-09,8.7,8.74,8.5,8.57,3.811471,276900
2010-02-10,8.58,8.58,8.26,8.52,3.7892349999999997,289900
2010-02-11,8.52,8.61,8.5,8.55,3.802577,188500
2010-02-12,8.56,8.61,8.53,8.57,3.811471,158500
2010-02-16,8.65,8.83,8.61,8.8,3.913763,220300
2010-02-17,8.83,9.0,8.81,8.98,3.993818,240000
2010-02-18,8.99,9.0,8.95,8.99,3.998265,355000
2010-02-19,9.0,9.05,8.93,9.02,4.011608,235100
2010-02-22,9.0,9.1,8.92,9.05,4.024951000000001,300800
2010-02-23,9.07,9.1,8.96,9.05,4.024951000000001,237900
2010-02-24,9.05,9.15,8.96,9.1,4.047186,355100
2010-02-25,9.05,9.14,8.98,9.12,4.056082,329100
2010-02-26,9.13,9.25,9.06,9.25,4.1139,389100
2010-03-01,9.29,9.43,9.26,9.4,4.180612,353400
2010-03-02,9.45,9.6,9.41,9.52,4.233981,330100
2010-03-03,9.58,9.6,9.4,9.47,4.211742,309100
2010-03-04,9.55,9.8,9.55,9.79,4.354064,402100
