Date,Open,High,Low,Close,Adj Close,Volume
2014-05-06,0.14,0.14,0.14,0.14,0.14,33050.0
2014-05-07,0.14,0.14,0.13,0.14,0.14,27500.0
2014-05-08,,,,,,
2014-05-09,,,,,,
2014-05-12,,,,,,
2014-05-13,0.135,0.135,0.135,0.135,0.135,600.0
2014-05-14,,,,,,
2014-05-15,0.135,0.135,0.135,0.135,0.135,12900.0
2014-05-16,,,,,,
2014-05-19,,,,,,
2014-05-20,,,,,,
2014-05-21,,,,,,
2014-05-22,,,,,,
2014-05-23,,,,,,
2014-05-27,,,,,,
2014-05-28,,,,,,
2014-05-29,0.14,0.14,0.14,0.14,0.14,3000.0
2014-05-30,,,,,,
2014-06-02,,,,,,
2014-06-03,,,,,,
2014-06-04,,,,,,
2014-06-05,,,,,,
2014-06-06,,,,,,
2014-06-09,,,,,,
2014-06-10,0.13,0.14,0.13,0.14,0.14,29961.0
2014-06-11,,,,,,
2014-06-12,,,,,,
2014-06-13,,,,,,
2014-06-16,0.13,0.13,0.125,0.13,0.13,84700.0
2014-06-17,0.125,0.125,0.12,0.12,0.12,120698.0
2014-06-18,0.125,0.125,0.11,0.11,0.11,112000.0
2014-06-19,0.11,0.12,0.11,0.12,0.12,11000.0
2014-06-20,0.12,0.12,0.12,0.12,0.12,38250.0
2014-06-23,0.12,0.12,0.11,0.11,0.11,99100.0
2014-06-24,0.12,0.125,0.11,0.11,0.11,143500.0
2014-06-25,0.105,0.105,0.1,0.105,0.105,745542.0
2014-06-26,0.1,0.115,0.1,0.115,0.115,418800.0
2014-06-27,0.115,0.125,0.11,0.11,0.11,91600.0
2014-06-30,0.12,0.12,0.12,0.12,0.12,46500.0
2014-07-01,,,,,,
2014-07-02,0.115,0.12,0.11,0.11,0.11,87250.0
2014-07-03,0.115,0.12,0.115,0.12,0.12,44475.0
2014-07-07,0.12,0.12,0.115,0.115,0.115,89467.0
2014-07-08,0.115,0.12,0.115,0.115,0.115,70500.0
2014-07-09,0.11,0.115,0.11,0.115,0.115,48000.0
2014-07-10,0.11,0.11,0.105,0.105,0.105,33275.0
2014-07-11,,,,,,
2014-07-14,,,,,,
2014-07-15,0.11,0.11,0.11,0.11,0.11,50000.0
2014-07-16,,,,,,
2014-07-17,,,,,,
2014-07-18,0.115,0.115,0.115,0.115,0.115,11150.0
2014-07-21,0.11,0.11,0.1,0.11,0.11,226400.0
2014-07-22,0.11,0.11,0.1,0.105,0.105,37000.0
2014-07-23,,,,,,
2014-07-24,0.115,0.12,0.115,0.115,0.115,22348.0
2014-07-25,0.11,0.11,0.1,0.1,0.1,446800.0
2014-07-28,,,,,,
2014-07-29,0.105,0.105,0.105,0.105,0.105,500.0
2014-07-30,0.105,0.11,0.1,0.11,0.11,950300.0
2014-07-31,0.11,0.115,0.11,0.115,0.115,41000.0
2014-08-01,0.12,0.125,0.12,0.125,0.125,164750.0
2014-08-04,,,,,,
2014-08-05,,,,,,
2014-08-06,0.125,0.13,0.125,0.13,0.13,70850.0
2014-08-07,,,,,,
2014-08-08,0.14,0.15,0.14,0.15,0.15,239650.0
2014-08-11,,,,,,
2014-08-12,,,,,,
2014-08-13,,,,,,
2014-08-14,0.15,0.16,0.145,0.15,0.15,2098642.0
2014-08-15,,,,,,
2014-08-18,,,,,,
2014-08-19,,,,,,
2014-08-20,,,,,,
2014-08-21,,,,,,
2014-08-22,,,,,,
2014-08-25,0.13,0.13,0.125,0.125,0.125,15000.0
2014-08-26,,,,,,
2014-08-27,,,,,,
2014-08-28,0.135,0.135,0.135,0.135,0.135,5900.0
2014-08-29,,,,,,
2014-09-02,0.13,0.13,0.13,0.13,0.13,0.0
2014-09-03,,,,,,
2014-09-04,,,,,,
2014-09-05,,,,,,
2014-09-08,,,,,,
2014-09-09,,,,,,
2014-09-10,,,,,,
2014-09-11,,,,,,
2014-09-12,,,,,,
2014-09-15,0.115,0.115,0.11,0.11,0.11,57000.0
2014-09-16,,,,,,
2014-09-17,,,,,,
2014-09-18,,,,,,
2014-09-19,,,,,,
2014-09-22,0.11,0.11,0.11,0.11,0.11,10000.0
2014-09-23,,,,,,
2014-09-24,,,,,,
2014-09-25,,,,,,
2014-09-26,,,,,,
2014-09-29,,,,,,
2014-09-30,,,,,,
2014-10-01,,,,,,
2014-10-02,,,,,,
2014-10-03,,,,,,
2014-10-06,,,,,,
2014-10-07,,,,,,
2014-10-08,,,,,,
2014-10-09,0.085,0.085,0.085,0.085,0.085,0.0
2014-10-10,,,,,,
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,0.07,0.07,0.07,0.07,0.07,4000.0
2014-10-16,0.075,0.08,0.075,0.08,0.08,127600.0
2014-10-17,0.075,0.08,0.07,0.08,0.08,129000.0
2014-10-20,0.08,0.09,0.075,0.085,0.085,899500.0
2014-10-21,0.085,0.085,0.08,0.085,0.085,252925.0
2014-10-22,,,,,,
2014-10-23,0.085,0.085,0.085,0.085,0.085,19400.0
2014-10-24,0.085,0.09,0.085,0.09,0.09,19000.0
2014-10-27,0.085,0.085,0.085,0.085,0.085,3700.0
2014-10-28,0.085,0.085,0.08,0.08,0.08,16500.0
2014-10-29,0.08,0.08,0.08,0.08,0.08,143000.0
