Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.54,14.62,14.45,14.61,10.289408,18200
2010-01-05,14.64,14.7,14.57,14.65,10.317581,12800
2010-01-06,14.7,14.72,14.58,14.72,10.366881,16200
2010-01-07,14.62,14.76,14.44,14.49,10.204897,27400
2010-01-08,14.56,14.7,14.55,14.69,10.345754,44500
2010-01-11,14.64,14.89,14.63,14.85,10.458432,32800
2010-01-12,14.88,15.0,14.69,14.92,10.507735,64700
2010-01-13,14.87,14.9,14.74,14.79,10.459642,29800
2010-01-14,14.87,14.98,14.86,14.88,10.523292,26300
2010-01-15,14.86,14.88,14.84,14.88,10.523292,17200
2010-01-19,14.88,14.97,14.85,14.95,10.572797999999999,15500
2010-01-20,14.96,14.98,14.88,14.89,10.530363000000001,35900
2010-01-21,14.93,14.99,14.65,14.73,10.417214,60600
2010-01-22,14.73,14.98,14.61,14.88,10.523292,44200
2010-01-25,14.9,14.9,14.72,14.74,10.424284,28500
2010-01-26,14.72,14.87,14.71,14.79,10.459642,10700
2010-01-27,14.72,14.88,14.7,14.85,10.502078,20400
2010-01-28,14.91,14.91,14.8,14.9,10.537436,20100
2010-01-29,14.86,14.99,14.84,14.97,10.586946000000001,47700
2010-02-01,15.07,15.07,14.85,14.97,10.586946000000001,34300
2010-02-02,14.92,15.0,14.92,14.95,10.572797999999999,31800
2010-02-03,14.93,14.96,14.92,14.92,10.551582000000002,20500
2010-02-04,14.92,14.96,14.81,14.82,10.480858,26500
2010-02-05,14.82,14.92,14.79,14.87,10.516219,16300
2010-02-08,14.92,14.92,14.85,14.91,10.544513,10700
2010-02-09,14.84,14.89,14.76,14.77,10.445501,55700
2010-02-10,14.73,14.84,14.73,14.8,10.510839,31400
2010-02-11,14.79,14.97,14.75,14.86,10.553450999999999,54900
2010-02-12,14.78,14.85,14.75,14.78,10.49664,10500
2010-02-16,14.79,14.88,14.76,14.86,10.553450999999999,25200
2010-02-17,14.81,14.94,14.77,14.77,10.489531,42500
2010-02-18,14.85,14.85,14.54,14.64,10.397209,68500
2010-02-19,14.71,14.71,14.44,14.45,10.262267999999999,43700
2010-02-22,14.43,14.43,14.27,14.35,10.191251,22500
2010-02-23,14.37,14.41,14.18,14.21,10.091827,57100
2010-02-24,14.26,14.3,14.21,14.3,10.155744,105200
2010-02-25,14.27,14.3,14.27,14.29,10.148641,44700
2010-02-26,14.3,14.39,14.3,14.36,10.198357000000001,53200
2010-03-01,14.45,14.72,14.41,14.72,10.454022,48100
2010-03-02,14.68,14.82,14.63,14.67,10.418513,49400
2010-03-03,14.67,14.72,14.64,14.72,10.454022,59500
2010-03-04,14.69,14.88,14.69,14.87,10.560549,36200
2010-03-05,14.85,14.9,14.84,14.89,10.574757,20000
2010-03-08,14.85,14.88,14.83,14.84,10.539247,22500
2010-03-09,14.78,14.84,14.71,14.73,10.461121,52400
2010-03-10,14.71,14.78,14.57,14.73,10.461121,43300
2010-03-11,14.65,14.72,14.61,14.67,10.462553999999999,23700
2010-03-12,14.72,14.85,14.71,14.85,10.590929,39900
2010-03-15,14.86,14.95,14.83,14.92,10.64085,34500
2010-03-16,14.84,14.92,14.84,14.92,10.64085,22400
2010-03-17,14.87,14.94,14.87,14.94,10.655113,21500
2010-03-18,14.93,14.95,14.86,14.89,10.619452,19700
2010-03-19,14.92,14.93,14.8,14.92,10.64085,39000
2010-03-22,14.85,14.96,14.85,14.94,10.655113,30900
2010-03-23,14.9,14.95,14.85,14.93,10.64798,39800
2010-03-24,14.85,14.91,14.75,14.86,10.598053,39800
2010-03-25,14.83,14.88,14.74,14.85,10.590929,60600
2010-03-26,14.85,14.95,14.82,14.95,10.662246000000001,46800
2010-03-29,14.91,14.94,14.8,14.88,10.612319,26500
2010-03-30,14.81,14.85,14.63,14.74,10.512478,86800
2010-03-31,14.67,14.81,14.67,14.81,10.562393,26000
2010-04-01,14.79,14.94,14.78,14.92,10.64085,35200
2010-04-05,14.85,14.95,14.85,14.9,10.626584,34000
2010-04-06,14.83,14.92,14.83,14.92,10.64085,32500
2010-04-07,14.85,14.94,14.85,14.93,10.64798,25200
2010-04-08,14.94,14.97,14.83,14.91,10.633718,43900
2010-04-09,14.91,14.92,14.74,14.82,10.56953,56300
2010-04-12,14.77,14.9,14.77,14.89,10.619452,25000
2010-04-13,14.85,14.92,14.81,14.85,10.635213,36500
2010-04-14,14.8,14.89,14.8,14.89,10.663857,29900
2010-04-15,14.89,14.89,14.75,14.79,10.592236999999999,37400
2010-04-16,14.76,14.92,14.76,14.86,10.642371,52300
2010-04-19,14.76,14.87,14.76,14.85,10.635213,23500
2010-04-20,14.86,14.9,14.86,14.88,10.656692999999999,10200
2010-04-21,14.87,14.91,14.8,14.83,10.620886,52600
2010-04-22,14.86,14.9,14.84,14.9,10.671016999999999,58500
2010-04-23,14.88,14.95,14.88,14.91,10.678185000000001,35300
2010-04-26,14.9,14.91,14.84,14.9,10.671016999999999,14700
2010-04-27,14.85,14.91,14.85,14.89,10.663857,21700
2010-04-28,14.91,14.92,14.87,14.91,10.678185000000001,27700
2010-04-29,14.88,14.91,14.85,14.91,10.678185000000001,32300
2010-04-30,14.81,14.9,14.81,14.89,10.663857,22900
2010-05-03,14.9,14.91,14.86,14.9,10.671016999999999,27500
2010-05-04,14.9,14.91,14.86,14.91,10.678185000000001,17600
2010-05-05,14.87,14.93,14.86,14.93,10.6925,39500
2010-05-06,14.92,14.92,14.87,14.9,10.671016999999999,26000
2010-05-07,14.88,14.91,14.71,14.82,10.613725,30500
2010-05-10,14.81,14.91,14.72,14.79,10.592236999999999,20500
2010-05-11,14.81,14.86,14.79,14.8,10.599401,6700
2010-05-12,14.77,14.87,14.77,14.84,10.672755,24800
2010-05-13,14.84,14.95,14.83,14.95,10.751866,36300
2010-05-14,14.89,15.0,14.88,15.0,10.787828,24000
2010-05-17,15.0,15.01,14.94,14.99,10.780633,21500
2010-05-18,15.0,15.1,14.95,15.04,10.816594,44300
2010-05-19,15.01,15.04,14.9,14.96,10.759058999999999,30900
2010-05-20,14.93,14.97,14.79,14.88,10.701519000000001,49400
2010-05-21,14.88,15.03,14.8,15.03,10.809401,18100
2010-05-24,15.0,15.04,14.9,15.04,10.816594,30700
2010-05-25,14.95,14.99,14.82,14.91,10.723103,34800
2010-05-26,14.92,15.02,14.92,15.02,10.802213,19500
2010-05-27,15.02,15.02,14.97,15.0,10.787828,24100
2010-05-28,15.0,15.01,14.97,14.99,10.780633,13000
2010-06-01,15.08,15.09,14.99,15.04,10.816594,20900
2010-06-02,15.05,15.05,14.91,14.96,10.759058999999999,35700
2010-06-03,14.93,14.96,14.82,14.86,10.68714,47200
2010-06-04,14.87,14.89,14.77,14.86,10.68714,23100
2010-06-07,14.85,15.0,14.85,15.0,10.787828,26000
2010-06-08,14.96,15.06,14.95,15.04,10.816594,24400
2010-06-09,15.0,15.07,14.95,14.97,10.76625,22300
2010-06-10,14.98,15.05,14.94,14.95,10.751866,20500
2010-06-11,14.86,14.94,14.86,14.94,10.789423,15300
2010-06-14,14.95,14.99,14.92,14.98,10.818311999999999,6100
2010-06-15,14.98,15.08,14.96,15.0,10.832753,30600
2010-06-16,15.0,15.09,14.97,15.05,10.868858,37600
2010-06-17,15.06,15.07,15.01,15.07,10.883306,21600
2010-06-18,15.02,15.06,15.0,15.0,10.832753,12300
2010-06-21,15.02,15.07,15.02,15.03,10.854419,33600
2010-06-22,15.02,15.03,14.92,14.95,10.796643,41000
2010-06-23,14.96,15.0,14.95,15.0,10.832753,19100
2010-06-24,15.0,15.06,14.99,14.99,10.825536,37200
2010-06-25,15.0,15.04,14.99,15.01,10.839977000000001,13600
2010-06-28,15.05,15.06,15.0,15.0,10.832753,19500
2010-06-29,15.01,15.04,14.96,15.04,10.861638000000001,29500
2010-06-30,15.02,15.09,15.02,15.02,10.847192999999999,24500
2010-07-01,15.16,15.16,14.95,14.95,10.796643,79900
2010-07-02,14.97,14.99,14.86,14.86,10.731647,59200
2010-07-06,14.88,14.96,14.78,14.87,10.738866999999999,29400
2010-07-07,14.93,15.02,14.92,15.02,10.847192999999999,22000
2010-07-08,15.03,15.08,15.01,15.08,10.890531,10200
2010-07-09,15.02,15.05,15.01,15.02,10.847192999999999,41600
2010-07-12,15.02,15.05,14.99,15.0,10.832753,11900
2010-07-13,14.96,14.96,14.91,14.91,10.812449,15800
2010-07-14,14.95,14.99,14.93,14.99,10.870463,22000
2010-07-15,14.97,15.05,14.96,15.02,10.892219,30900
2010-07-16,15.05,15.05,14.98,15.02,10.892219,12800
2010-07-19,14.99,15.06,14.99,15.01,10.884964,21600
2010-07-20,14.98,15.06,14.97,15.06,10.921223,35200
2010-07-21,15.02,15.04,14.93,14.93,10.826949,51400
2010-07-22,14.95,14.99,14.94,14.94,10.834203,11800
2010-07-23,14.98,15.01,14.98,14.99,10.870463,20100
