Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.02,7.23,6.97,7.21,6.040562,133200.0
2010-01-05,7.21,7.21,6.81,6.84,5.730576,290800.0
2010-01-06,6.83,6.9,6.62,6.68,5.596527,680300.0
2010-01-07,6.69,6.9,6.62,6.88,5.764088,166600.0
2010-01-08,6.85,7.08,6.85,7.08,5.931649,149500.0
2010-01-11,7.14,7.18,6.97,7.04,5.898137,93500.0
2010-01-12,6.99,7.23,6.98,7.06,5.914892,118100.0
2010-01-13,7.1,7.16,7.01,7.04,5.898137,102700.0
2010-01-14,7.04,7.1,7.0,7.06,5.914892,97900.0
2010-01-15,7.1,7.1,6.9,6.97,5.839489,183200.0
2010-01-19,6.99,7.02,6.9,7.0,5.864625,152900.0
2010-01-20,6.94,7.02,6.84,7.0,5.864625,125100.0
2010-01-21,7.03,7.05,6.8,6.87,5.75571,132200.0
2010-01-22,6.87,6.98,6.7,6.75,5.655174,167800.0
2010-01-25,6.81,6.81,6.58,6.73,5.638417,161600.0
2010-01-26,6.72,6.84,6.65,6.69,5.604904,129800.0
2010-01-27,6.67,6.85,6.65,6.83,5.722198000000001,124000.0
2010-01-28,6.84,6.85,6.66,6.72,5.63004,219400.0
2010-01-29,6.76,6.83,6.67,6.68,5.596527,180300.0
2010-02-01,6.71,6.75,6.62,6.65,5.571394000000001,111200.0
2010-02-02,6.64,6.69,6.55,6.58,5.512747,157400.0
2010-02-03,6.57,6.62,6.46,6.5,5.445722,108800.0
2010-02-04,6.5,6.52,6.33,6.34,5.311675,232700.0
2010-02-05,6.37,6.42,6.27,6.37,5.336809,226700.0
2010-02-08,6.38,6.38,6.14,6.16,5.160869,166200.0
2010-02-09,6.21,6.28,6.1,6.15,5.211715,491300.0
2010-02-10,6.12,6.15,5.95,5.98,5.067652,255800.0
2010-02-11,5.95,6.4,5.95,6.38,5.406624,861700.0
2010-02-12,6.33,6.42,6.25,6.4,5.423573,210700.0
2010-02-16,6.44,6.55,6.35,6.5,5.508317,68600.0
2010-02-17,6.52,6.54,6.39,6.52,5.5252669999999995,84900.0
2010-02-18,6.53,6.63,6.51,6.61,5.601534,82800.0
2010-02-19,6.61,6.67,6.46,6.61,5.601534,109500.0
2010-02-22,6.61,6.72,6.6,6.71,5.686279,60900.0
2010-02-23,6.7,6.72,6.59,6.67,5.65238,91500.0
2010-02-24,6.72,6.81,6.59,6.76,5.728651,101300.0
2010-02-25,6.67,6.71,6.55,6.7,5.677803,114400.0
2010-02-26,6.69,6.69,6.46,6.49,5.499842,128400.0
2010-03-01,6.55,6.88,6.51,6.78,5.745598,242100.0
2010-03-02,6.79,6.86,6.68,6.84,5.796444,112600.0
2010-03-03,6.83,6.84,6.74,6.76,5.728651,89900.0
2010-03-04,6.8,6.8,6.72,6.78,5.745598,75200.0
2010-03-05,6.8,6.87,6.74,6.82,5.779496,140800.0
2010-03-08,6.84,6.84,6.75,6.76,5.728651,48300.0
2010-03-09,6.8,6.8,6.71,6.74,5.7117,107700.0
2010-03-10,6.73,6.79,6.64,6.71,5.686279,102500.0
2010-03-11,6.68,6.77,6.48,6.69,5.66933,114100.0
2010-03-12,6.69,6.71,6.63,6.67,5.65238,71400.0
2010-03-15,6.68,6.68,6.46,6.51,5.5167910000000004,98700.0
2010-03-16,6.51,6.55,6.32,6.51,5.5167910000000004,91300.0
2010-03-17,6.53,6.75,6.47,6.69,5.66933,83200.0
2010-03-18,6.73,6.75,6.65,6.74,5.7117,54100.0
2010-03-19,6.78,7.12,6.6,7.1,6.016776999999999,577400.0
2010-03-22,7.02,7.24,6.95,7.18,6.0845720000000005,168400.0
2010-03-23,7.2,7.2,7.0,7.17,6.076098,100200.0
2010-03-24,7.17,7.25,7.01,7.04,5.965930999999999,64900.0
2010-03-25,7.11,7.12,6.82,6.92,5.864240000000001,102500.0
2010-03-26,6.93,6.99,6.7,6.74,5.7117,116400.0
2010-03-29,6.74,6.8,6.54,6.55,5.5506910000000005,74200.0
2010-03-30,6.57,6.65,6.51,6.56,5.559163,96800.0
2010-03-31,6.56,6.59,6.5,6.5,5.508317,139000.0
2010-04-01,6.52,6.58,6.37,6.53,5.533741,78900.0
2010-04-05,6.56,6.67,6.51,6.59,5.584586,117200.0
2010-04-06,6.53,6.96,6.53,6.9,5.847291,385200.0
2010-04-07,6.86,6.95,6.85,6.93,5.872712,152200.0
2010-04-08,6.88,7.07,6.85,6.98,5.915087000000001,128500.0
2010-04-09,6.96,7.03,6.91,6.99,5.92356,113500.0
2010-04-12,6.99,7.1,6.97,7.05,5.974405,229400.0
2010-04-13,7.05,7.08,6.94,7.01,5.940507,131700.0
2010-04-14,7.03,7.13,6.96,7.07,5.991354,227900.0
2010-04-15,7.26,7.56,7.25,7.29,6.17779,424800.0
2010-04-16,7.3,7.32,7.15,7.17,6.076098,386800.0
2010-04-19,7.15,7.24,6.83,6.98,5.915087000000001,319500.0
2010-04-20,6.99,7.0,6.89,6.99,5.92356,188900.0
2010-04-21,6.95,7.05,6.95,7.03,5.957455,275100.0
2010-04-22,7.0,7.26,7.0,7.26,6.152366000000001,181000.0
2010-04-23,7.23,7.35,7.23,7.28,6.169316,149100.0
2010-04-26,7.25,7.33,7.13,7.26,6.152366000000001,162000.0
2010-04-27,7.21,7.4,7.16,7.18,6.0845720000000005,174200.0
2010-04-28,7.25,7.4,7.25,7.31,6.194738,114200.0
2010-04-29,7.38,7.41,7.22,7.4,6.271008,192700.0
2010-04-30,7.38,7.4,7.1,7.11,6.025251,169600.0
2010-05-03,7.13,7.31,7.13,7.3,6.186265000000001,172900.0
2010-05-04,7.23,7.33,7.2,7.3,6.186265000000001,265900.0
2010-05-05,7.28,7.35,7.22,7.24,6.1354169999999995,198200.0
2010-05-06,7.22,7.68,6.03,6.89,5.838817,367300.0
2010-05-07,6.84,7.07,6.5,6.55,5.5506910000000005,318900.0
2010-05-10,6.75,7.08,6.71,6.94,5.881187000000001,258300.0
2010-05-11,6.84,7.19,6.84,7.1,6.016776999999999,153300.0
2010-05-12,7.1,7.13,6.88,7.12,6.093806,237600.0
2010-05-13,7.08,7.23,6.94,7.04,6.025336,177300.0
2010-05-14,6.96,7.02,6.84,7.01,5.9996599999999995,111300.0
2010-05-17,7.06,7.19,6.99,7.18,6.145157,129700.0
2010-05-18,7.25,7.27,7.02,7.08,6.05957,129400.0
2010-05-19,7.04,7.13,6.98,7.0,5.991102,134000.0
2010-05-20,6.83,6.96,6.52,6.55,5.6059589999999995,242900.0
2010-05-21,6.5,6.76,6.5,6.65,5.691545,210900.0
2010-05-24,6.66,6.66,6.43,6.54,5.5974,88300.0
2010-05-25,6.43,6.5,6.24,6.44,5.511813,135900.0
2010-05-26,6.51,6.55,6.34,6.4,5.477578,176500.0
2010-05-27,6.51,6.58,6.44,6.56,5.614517,127900.0
2010-05-28,6.52,6.52,6.37,6.42,5.494693,111200.0
2010-06-01,6.39,6.49,6.3,6.3,5.391991,186100.0
2010-06-02,6.37,6.56,6.31,6.54,5.5974,174400.0
2010-06-03,6.53,6.74,6.36,6.48,5.546047,154900.0
2010-06-04,6.37,6.38,6.05,6.09,5.2122589999999995,206100.0
2010-06-07,6.11,6.23,6.02,6.05,5.1780230000000005,180000.0
2010-06-08,6.06,6.14,5.92,6.06,5.186580999999999,145000.0
2010-06-09,6.13,6.18,6.0,6.04,5.1694629999999995,140100.0
2010-06-10,6.13,6.22,6.05,6.21,5.314962,191300.0
2010-06-11,6.16,6.24,6.11,6.21,5.314962,77300.0
2010-06-14,6.25,6.28,6.1,6.13,5.246492,98500.0
2010-06-15,6.19,6.33,6.1,6.3,5.391991,126500.0
2010-06-16,6.24,6.41,6.2,6.34,5.426226,83500.0
2010-06-17,6.39,6.39,6.15,6.32,5.409108,74900.0
2010-06-18,6.36,6.5,6.11,6.41,5.486137,369100.0
2010-06-21,6.47,6.5,6.27,6.31,5.40055,61700.0
2010-06-22,6.35,6.44,6.15,6.15,5.263611,104000.0
2010-06-23,6.16,6.19,6.01,6.02,5.152347,63600.0
2010-06-24,5.97,6.01,5.75,5.77,4.938378,134700.0
2010-06-25,5.81,6.2,5.77,6.2,5.3064029999999995,627100.0
2010-06-28,6.14,6.24,5.96,6.06,5.186580999999999,84000.0
2010-06-29,5.97,6.04,5.81,5.86,5.015407,122800.0
2010-06-30,5.87,6.0,5.64,5.68,4.861349,256200.0
2010-07-01,5.72,5.72,5.4,5.51,4.715853,137900.0
2010-07-02,5.53,5.58,5.4,5.45,4.664499,87000.0
2010-07-06,5.53,5.61,5.2,5.4,4.621706,207200.0
2010-07-07,5.43,5.53,5.37,5.51,4.715853,153000.0
2010-07-08,5.56,5.6,5.47,5.57,4.767204,73400.0
2010-07-09,5.55,5.62,5.51,5.58,4.775764,62800.0
2010-07-12,5.58,5.69,5.55,5.56,4.758646,106900.0
2010-07-13,5.65,5.92,5.63,5.85,5.006848000000001,126200.0
2010-07-14,5.82,5.9,5.75,5.9,5.0496419999999995,100400.0
2010-07-15,5.89,6.0,5.75,5.9,5.0496419999999995,117900.0
2010-07-16,5.84,5.95,5.84,5.85,5.006848000000001,250700.0
2010-07-19,5.86,5.94,5.8,5.91,5.058199,104900.0
2010-07-20,5.83,6.01,5.78,6.01,5.1437870000000006,155900.0
2010-07-21,6.03,6.1,5.91,5.93,5.075317,107300.0
2010-07-22,6.03,6.23,5.96,6.2,5.3064029999999995,111700.0
2010-07-23,6.1,6.16,5.92,5.93,5.075317,137500.0
2010-07-26,5.97,6.09,5.81,6.09,5.2122589999999995,114900.0
2010-07-27,6.15,6.24,6.07,6.1,5.220816,112600.0
2010-07-28,6.1,6.22,5.87,5.89,5.041082,99800.0
2010-07-29,5.92,5.93,5.72,5.87,5.023966000000001,88000.0
2010-07-30,5.77,5.92,5.76,5.88,5.032525,43400.0
2010-08-02,5.98,5.98,5.84,5.94,5.083876999999999,96200.0
2010-08-03,5.9,5.99,5.76,5.91,5.058199,81200.0
2010-08-04,5.92,6.06,5.91,6.01,5.1437870000000006,59100.0
2010-08-05,5.96,6.07,5.91,6.05,5.1780230000000005,67600.0
2010-08-06,5.96,6.12,5.9,6.08,5.203698999999999,96200.0
2010-08-09,6.14,6.25,6.03,6.2,5.3064029999999995,283900.0
2010-08-10,6.1,6.14,5.95,5.95,5.117196,68000.0
2010-08-11,5.86,5.92,5.79,5.85,5.031192,225800.0
2010-08-12,5.77,5.99,5.77,5.88,5.056994,125400.0
2010-08-13,5.88,5.94,5.77,5.81,4.996791,108200.0
2010-08-16,5.76,5.92,5.76,5.91,5.082795,74400.0
2010-08-17,5.97,5.99,5.87,5.89,5.065593,88000.0
2010-08-18,5.9,5.9,5.77,5.81,4.996791,110600.0
2010-08-19,5.77,5.8,5.56,5.58,4.798984,121800.0
2010-08-20,5.54,5.61,5.47,5.54,4.764583999999999,133000.0
2010-08-23,5.59,5.6,5.26,5.29,4.549575,105000.0
2010-08-24,5.25,5.28,5.12,5.2,4.472171,134600.0
2010-08-25,5.15,5.26,5.11,5.25,4.515172,72200.0
2010-08-26,5.24,5.25,5.05,5.11,4.394769,99700.0
2010-08-27,5.18,5.27,5.03,5.25,4.515172,132800.0
2010-08-30,5.21,5.23,5.05,5.05,4.343168,141300.0
2010-08-31,5.05,5.18,5.03,5.08,4.368967,164900.0
2010-09-01,5.16,5.34,5.13,5.23,4.497973,273000.0
2010-09-02,5.24,5.24,5.13,5.19,4.463572,98000.0
2010-09-03,5.24,5.28,5.19,5.25,4.515172,110200.0
2010-09-07,5.24,5.24,5.06,5.07,4.360367,106900.0
2010-09-08,5.1,5.17,5.06,5.06,4.351767,103300.0
2010-09-09,5.12,5.22,5.05,5.06,4.351767,126800.0
2010-09-10,5.06,5.13,5.04,5.05,4.343168,105100.0
2010-09-13,5.1,5.24,5.06,5.2,4.472171,158200.0
2010-09-14,5.2,5.24,5.07,5.18,4.454971,130900.0
2010-09-15,5.17,5.49,5.13,5.42,4.661379,177800.0
2010-09-16,5.42,5.42,5.27,5.4,4.644176,107600.0
2010-09-17,5.43,5.47,5.27,5.41,4.652779,217700.0
2010-09-20,5.41,5.63,5.26,5.62,4.833385,175600.0
2010-09-21,5.6,5.7,5.52,5.54,4.764583999999999,71500.0
2010-09-22,5.51,5.6,5.29,5.31,4.566773,82100.0
2010-09-23,5.27,5.36,5.21,5.23,4.497973,124200.0
2010-09-24,5.31,5.42,5.25,5.37,4.618377,157600.0
2010-09-27,5.39,5.39,5.23,5.25,4.515172,65900.0
2010-09-28,5.28,5.33,5.14,5.28,4.540975,176500.0
2010-09-29,5.25,5.35,5.2,5.26,4.523773,118400.0
2010-09-30,5.31,5.34,5.16,5.19,4.463572,97100.0
2010-10-01,5.24,5.24,5.05,5.14,4.420569,151600.0
2010-10-04,5.11,5.14,5.02,5.05,4.343168,161200.0
2010-10-05,5.11,5.27,5.05,5.2,4.472171,160200.0
2010-10-06,5.19,5.3,5.19,5.25,4.515172,99000.0
2010-10-07,5.3,5.3,5.03,5.04,4.334566000000001,159900.0
2010-10-08,5.06,5.22,5.06,5.16,4.4377699999999995,120100.0
2010-10-11,5.16,5.16,5.07,5.11,4.394769,44600.0
2010-10-12,5.11,5.15,5.07,5.08,4.368967,90900.0
2010-10-13,5.1,5.19,5.08,5.12,4.40337,152100.0
2010-10-14,5.12,5.15,5.08,5.14,4.420569,101000.0
2010-10-15,5.21,5.24,5.09,5.14,4.420569,163100.0
2010-10-18,5.17,5.31,5.12,5.3,4.5581760000000004,90800.0
2010-10-19,5.25,5.32,5.05,5.09,4.377568,225800.0
2010-10-20,5.13,5.24,5.1,5.18,4.454971,114100.0
2010-10-21,5.22,5.24,5.05,5.1,4.386169000000001,113500.0
2010-10-22,5.1,5.22,4.98,5.0,4.300166,241000.0
2010-10-25,5.05,5.05,4.86,4.89,4.2055620000000005,124500.0
2010-10-26,4.88,4.94,4.84,4.87,4.188362000000001,92800.0
2010-10-27,4.85,4.86,4.75,4.82,4.14536,116300.0
2010-10-28,4.87,4.91,4.79,4.87,4.188362000000001,84800.0
2010-10-29,4.85,4.98,4.82,4.82,4.14536,145200.0
2010-11-01,4.85,4.85,4.71,4.79,4.119557,123600.0
2010-11-02,4.78,4.87,4.75,4.86,4.179761,214500.0
2010-11-03,4.87,4.93,4.79,4.9,4.214162,87300.0
2010-11-04,4.98,5.13,4.96,5.13,4.411969,166800.0
2010-11-05,5.15,5.2,4.99,5.02,4.317366000000001,89600.0
2010-11-08,4.96,5.02,4.88,4.91,4.248149,92000.0
2010-11-09,4.89,4.92,4.71,4.75,4.109716000000001,143700.0
2010-11-10,4.8,4.91,4.79,4.91,4.248149,110000.0
2010-11-11,4.84,4.89,4.84,4.85,4.196237,65900.0
2010-11-12,4.8,4.85,4.77,4.78,4.135673000000001,116100.0
2010-11-15,4.79,4.8,4.75,4.78,4.135673000000001,102200.0
2010-11-16,4.73,4.76,4.7,4.72,4.083761,121600.0
2010-11-17,4.76,4.78,4.56,4.6,3.979937,113000.0
2010-11-18,4.67,4.68,4.56,4.62,3.9972410000000003,120700.0
2010-11-19,4.63,4.63,4.45,4.55,3.9366760000000003,319500.0
2010-11-22,4.51,4.52,4.46,4.51,3.902068,200200.0
2010-11-23,4.5,4.56,4.47,4.55,3.9366760000000003,195100.0
2010-11-24,4.6,4.74,4.55,4.72,4.083761,169400.0
2010-11-26,4.71,4.73,4.61,4.61,3.9885879999999996,34600.0
2010-11-29,4.57,4.69,4.51,4.68,4.049151999999999,39000.0
2010-11-30,4.65,4.67,4.53,4.58,3.9626309999999996,143900.0
2010-12-01,4.68,4.74,4.61,4.67,4.040501,128000.0
2010-12-02,4.69,4.76,4.61,4.75,4.109716000000001,99900.0
2010-12-03,4.71,4.82,4.65,4.82,4.170282,130600.0
2010-12-06,4.8,4.98,4.71,4.98,4.308712,190300.0
2010-12-07,5.02,5.05,4.97,5.02,4.343319999999999,165300.0
2010-12-08,5.05,5.1,5.05,5.05,4.3692779999999996,79300.0
2010-12-09,5.12,5.15,5.0,5.13,4.438493,97600.0
2010-12-10,5.13,5.29,5.07,5.28,4.568276,126800.0
2010-12-13,5.28,5.3,5.16,5.18,4.481753,137200.0
2010-12-14,5.2,5.23,5.06,5.22,4.516363,177600.0
2010-12-15,5.23,5.29,5.18,5.26,4.550972,154900.0
2010-12-16,5.26,5.37,5.21,5.35,4.628839,184100.0
2010-12-17,5.37,5.52,5.34,5.42,4.6894029999999995,636300.0
2010-12-20,5.35,5.38,4.72,4.74,4.101065,573000.0
2010-12-21,4.78,4.9,4.78,4.86,4.204889,232100.0
2010-12-22,4.89,4.97,4.8,4.86,4.204889,206200.0
2010-12-23,4.87,5.05,4.81,5.05,4.3692779999999996,266400.0
2010-12-27,5.04,5.16,4.99,5.09,4.403886,155200.0
2010-12-28,5.08,5.12,5.01,5.01,4.33467,106400.0
2010-12-29,5.04,5.06,4.85,4.87,4.213541,124000.0
2010-12-30,4.85,4.9,4.71,4.83,4.178934,69300.0
2010-12-31,4.8,4.93,4.78,4.78,4.135673000000001,133300.0
2011-01-03,4.83,5.03,4.82,5.0,4.326018,169100.0
2011-01-04,5.04,5.04,4.85,4.93,4.265452,120300.0
2011-01-05,4.93,4.94,4.86,4.93,4.265452,107700.0
2011-01-06,4.92,5.01,4.88,4.97,4.300061,200700.0
2011-01-07,4.99,5.01,4.82,4.9,4.239496,88500.0
2011-01-10,4.87,4.94,4.78,4.78,4.135673000000001,143900.0
2011-01-11,4.81,4.94,4.8,4.94,4.274106,111900.0
2011-01-12,4.97,5.09,4.96,5.06,4.377929,369900.0
2011-01-13,5.07,5.08,5.02,5.05,4.3692779999999996,75200.0
2011-01-14,5.05,5.1,4.91,5.08,4.395233999999999,83200.0
2011-01-18,5.05,5.08,5.01,5.08,4.395233999999999,67400.0
2011-01-19,5.06,5.07,4.79,4.8,4.152976,165000.0
2011-01-20,4.75,4.9,4.75,4.77,4.127021,159600.0
2011-01-21,4.78,4.83,4.51,4.51,3.902068,164700.0
2011-01-24,4.53,4.65,4.53,4.63,4.0058940000000005,123500.0
2011-01-25,4.61,4.64,4.52,4.6,3.979937,87800.0
2011-01-26,4.64,4.69,4.6,4.69,4.057805,54000.0
2011-01-27,4.67,4.8,4.65,4.77,4.127021,102900.0
2011-01-28,4.79,4.79,4.5,4.52,3.9107199999999995,171200.0
2011-01-31,4.55,4.59,4.42,4.43,3.8328510000000002,110400.0
2011-02-01,4.45,4.46,4.27,4.44,3.841505,225400.0
2011-02-02,4.4,4.49,4.34,4.44,3.841505,85300.0
2011-02-03,4.45,4.51,4.36,4.48,3.8761120000000004,157700.0
2011-02-04,4.46,4.48,4.41,4.42,3.8241989999999997,67500.0
2011-02-07,4.41,4.48,4.41,4.45,3.8501559999999997,134700.0
2011-02-08,4.43,4.49,4.34,4.46,3.858807,64800.0
2011-02-09,4.43,4.49,4.4,4.45,3.8501559999999997,78800.0
2011-02-10,4.42,4.49,4.36,4.44,3.841505,108300.0
2011-02-11,4.41,4.48,4.39,4.46,3.858807,56700.0
2011-02-14,4.48,4.56,4.45,4.49,3.8847629999999995,43500.0
2011-02-15,4.46,4.55,4.4,4.4,3.806896,159900.0
2011-02-16,4.4,4.46,4.38,4.44,3.867875,73900.0
2011-02-17,4.44,4.57,4.44,4.49,3.911432,87300.0
2011-02-18,4.53,4.53,4.45,4.5,3.920144,91600.0
2011-02-22,4.44,4.49,4.4,4.45,3.8765870000000002,154900.0
2011-02-23,4.45,4.47,4.37,4.38,3.815608,146500.0
2011-02-24,4.41,4.44,4.37,4.43,3.859164,153200.0
2011-02-25,4.45,4.68,4.41,4.67,4.068239,181800.0
2011-02-28,4.72,4.76,4.6,4.62,4.024681,106200.0
2011-03-01,4.66,4.66,4.48,4.49,3.911432,118100.0
2011-03-02,4.51,4.52,4.36,4.39,3.824318,77600.0
2011-03-03,4.44,4.46,4.38,4.39,3.824318,101100.0
2011-03-04,4.38,4.42,4.36,4.39,3.824318,100800.0
2011-03-07,4.39,4.4,4.19,4.22,3.6762230000000002,110800.0
2011-03-08,4.24,4.35,4.22,4.34,3.780761,66800.0
2011-03-09,4.35,4.39,4.3,4.33,3.772049,47800.0
2011-03-10,4.29,4.31,4.1,4.1,3.5716870000000003,141900.0
2011-03-11,4.1,4.16,3.99,4.0,3.484572,116600.0
2011-03-14,3.98,4.07,3.88,3.88,3.380036,130000.0
2011-03-15,3.8,3.92,3.8,3.82,3.3277669999999997,134600.0
